#
#  metacyc 14.6 Pathways link table generated on Mon Dec 6, 2010
#
PWY0-1479	tRNA processing pathway I	
PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	
ASPASN-PWY	superpathway of aspartate and asparagine biosynthesis; interconversion of aspartate and asparagine	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of leucine, valine, and isoleucine biosynthesis	branched amino acid biosynthesis
COMPLETE-ARO-PWY	superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis	complete aromatic amino acid biosynthesis	aromatic amino acid biosynthesis
P4-PWY	superpathway of lysine, threonine and methionine biosynthesis I	superpathway of lysine, threonine, and methionine biosynthesis
PWY-3481	superpathway of phenylalanine and tyrosine biosynthesis	
PWY-5905	hypusine biosynthesis	
PWY-6482	diphthamide biosynthesis	
PWY-6628	superpathway of phenylalanine biosynthesis	
PWY-6629	superpathway of tryptophan biosynthesis	
PWY-6630	superpathway of tyrosine biosynthesis	
PWY-724	superpathway of lysine, threonine and methionine biosynthesis II	aspartate super pathway
PWY-821	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	
SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I	
ALANINE-SYN2-PWY	alanine biosynthesis II	
ALANINE-VALINESYN-PWY	alanine biosynthesis I	
PWY0-1021	alanine biosynthesis III	
PWY0-1061	superpathway of alanine biosynthesis	
ARGININE-SYN4-PWY	arginine biosynthesis IV	arginine biosynthesis 4
ARGSYN-PWY	arginine biosynthesis I	
ARGSYNBSUB-PWY	arginine biosynthesis II (acetyl cycle)	
PWY-4983	citrulline-nitric oxide cycle	citrulline-NO cycle
PWY-5154	arginine biosynthesis III	
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I	
ASPARAGINESYN-PWY	asparagine biosynthesis II	asparagine - aspartate pathway
ASPSYNII-PWY	cyanide detoxification	&beta;-cyanoalanine biosynthesis	asparagine biosynthesis II
PWY0-1325	superpathway of asparagine biosynthesis	
PWY490-4	asparagine biosynthesis III (tRNA-dependent)	asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
ASPARTATESYN-PWY	aspartate biosynthesis	aspartate biosynthesis and degradation
GLUTDEG-PWY	glutamate degradation II	glutamate - aspartate pathway
PWY-3941	&beta;-alanine biosynthesis II	&beta;-alanine biosynthesis from proprionate
PWY-3981	&beta;-alanine biosynthesis I	&beta;-alanine biosynthesis from polyamines
PWY-3982	uracil degradation II (reductive)	&beta;-alanine biosynthesis
PWY-5155	&beta;-alanine biosynthesis III	
PWY-5760	&beta;-alanine biosynthesis IV	
CYSTSYN-PWY	cysteine biosynthesis I	
HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation	cysteine biosynthesis II	homocysteine degradation
PWY-6292	cysteine biosynthesis III (mammalia)	
PWY-6293	cysteine biosynthesis IV (fungi)	
PWY-6308	cysteine biosynthesis II (RNA-dependent)	cysteinyl-tRNA<sup>cys</sup> biosynthesis via tRNA modification
PWY-801	homocysteine and cysteine interconversion	transsulfuration pathway
ARGASEDEG-PWY	arginine degradation I (arginase pathway)	arginase degradative pathway	glutamate biosynthesis
GLUGLNSYN-PWY	glutamate biosynthesis IV	glutamate biosynthesis from glutamine
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II	
GLUTSYN-PWY	glutamate biosynthesis I	
GLUTSYNIII-PWY	glutamate biosynthesis III	
PWY-4341	glutamate biosynthesis V	
PWY-5505	glutamate and glutamine biosynthesis	
GLNSYN-PWY	glutamine biosynthesis I	glutamine - glutamate pathway
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PWY-6549	glutamine biosynthesis III	glutamine biosynthesis (nitrogen remobilization from senescing leaves)
GLYCINE-SYN2-PWY	glycine biosynthesis II	
GLYSYN-ALA-PWY	glycine biosynthesis III	
GLYSYN-PWY	glycine biosynthesis I	
GLYSYN-THR-PWY	glycine biosynthesis IV	
THREOCAT-PWY	superpathway of threonine metabolism	threonine catabolism
HISTSYN-PWY	histidine biosynthesis	
