"16S rRNA Count","Group","GC Content","Endospores","Has ADP PFK","Sequencing Center","Taxonomy ID","Pathogenic in","Genbank accessions","Paralogs Count","Motility","Gram Stain","Refseq accessions","Has Any 1PFK","Genome Name","Body Site","Metabolism","MetaCyc %","Has Any Gluconate Dehydratase","Status","Oxygen Req NCBI","Oxygen Requirement IMG","RefSeq project ID","Diseases","Super Kingdom","Paralogs %","KEGG Count","IMG Pathwawy Count","GOLD ID","KEGG ID","Ecosystem Type","Isolation","Temperature Range","Ecosystem Category","Has EDA","Project ID","Class","MetaCyc Count","Optimal temp.","Gene Count","Sporulation","Sequence Status","IMG Pathway %","Organism Name","Ecosystem","IMG Submission ID","Disease","Proposal Name","Salinity","GenBank Project ID","Has ZWF","Ecosystem Subtype","Has 6PGL","Temp. range","Has EDD","Genus","Order","Energy Category","Energy Source","Genome Size","Cell Arrangement","NCBI Taxon ID","Domain","Body Subsite","Habitat","Family","Taxon Object ID","Has Gluconokinase","Has Rubisco","Biotic Relationships","Arrangment","Has Gluconate Dehydratase","Strain","Shape","Phylum","KEGG %","Has 1PFK","Has PPi PFK","Has Phosphoketolase","Cell Shape","Specific Ecosystem","RefSeq Project ID","Species","Phenotype"
3,"Actinobacteria",74,,"FALSE","DOE Joint Genome Institute, DSMZ",646311931,"No","CP001867",886,"No",0,0,"TRUE","Geodermatophilus obscurus DSM 43160",,,16.51,"FALSE","Finished","Aerobic","Aerobe",43725,"None","Bacteria",17.19,1239,332,"Gc01190","gob",,"Free living","Mesophile",,"TRUE",29547,"Actinobacteria",851,0,5155,,"complete",6.44,"Geodermatophilus obscurus DSM 43160",,,,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",,29547,"TRUE",,"TRUE","Mesophilic","FALSE","Geodermatophilus","Actinomycetales","Organic","Chemoorganotroph",5.3,"Filaments",526225,"Bacteria",,"Terrestrial","Geodermatophilaceae",646311931,"TRUE","TRUE","Free living","Filaments","FALSE","DSM 43160","Coccus","Actinobacteria",24.03,"TRUE","FALSE","FALSE","Coccus-shaped",,43725,"obscurus",
1,"Spirochaetes",27.8,"No","FALSE","DOE Joint Genome Institute, DSMZ",646564514,"No","CP001959",599,"Yes",0,0,"TRUE","Brachyspira murdochii 56-150, DSM 12563","Gastrointestinal tract",,15.49,"FALSE","Finished","Facultative","Anaerobe",48819,"None","Bacteria",20.71,785,181,"Gc01276","brm",,"Free living","Mesophile",,"TRUE",29543,"Spirochaetes",448,0,2893,"Nonsporulating","complete",6.26,"Brachyspira murdochii DSM 12563",,,,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",,29543,"FALSE",,"FALSE","Mesophilic","FALSE","Brachyspira","Spirochaetales","Organic","Chemoorganotroph",3.2,,526224,"Bacteria","Intestinal tract","Host-associated","Brachyspiraceae",646564514,"FALSE","FALSE","Free living",,"FALSE","DSM 12563","Spiral","Spirochaetes",27.13,"TRUE","FALSE","FALSE","Spiral-shaped",,48819,"murdochii",
2,"Actinobacteria",67,,"FALSE","DOE Joint Genome Institute, DSMZ",646311932,"Human","CP001802,CP001803",823,"No",0,0,"TRUE","Gordonia bronchialis DSM 43247","Airways",,17.19,"FALSE","Finished","Aerobic","Obligate aerobe",41403,"Endocarditis, Bacteremia","Bacteria",16.45,1226,307,"Gc01134","gbr",,"Free living","Mesophile",,"FALSE",29549,"Actinobacteria",860,0,5002,"Nonsporulating","complete",6.14,"Gordonia bronchialis DSM 43247",,,"Septicemia, endocarditis, lung and wound infections","A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",,29549,"TRUE",,"TRUE","Mesophilic","FALSE","Gordonia","Actinomycetales","Organic","Chemoorganotroph",5.281,"Filaments",526226,"Bacteria",,"Host-associated","Gordoniaceae",646311932,"TRUE","FALSE","Free living","Filaments","FALSE","DSM 43247","Rod","Actinobacteria",24.51,"TRUE","FALSE","FALSE","Rod-shaped",,41403,"bronchialis","Opportunistic Pathogen"
7,"Alphaproteobacteria",68.4,"No","FALSE","DOE Joint Genome Institute",643348564,"No","CP001349,CP001351,CP001352,CP001353,CP001354,CP001355,CP001356,CP001350",3222,"Yes",0,0,"TRUE","Methylobacterium nodulans ORS 2060","Plant-root","Nitrogen fixation",12.85,"FALSE","Finished","Aerobic","Aerobe",59023,"None","Bacteria",36.26,1850,258,"Gc00935","mno",,"Free living","Mesophile",,"TRUE",20477,"Alphaproteobacteria",1142,0,8885,"Nonsporulating","complete",2.9,"Methylobacterium nodulans ORS 2060",,,,"LGT in Methylobacteria Proposal # 0165-051130",,20477,"TRUE",,"TRUE","Mesophilic","FALSE","Methylobacterium","Rhizobiales","C1","Methylotroph",8.84326,"Singles, Pairs",460265,"Bacteria",,"Host-associated","Methylobacteriaceae",643348564,"FALSE","TRUE","Free living","Singles, Pairs","FALSE","ORS 2060","Rod","Proteobacteria",20.82,"FALSE","TRUE","TRUE","Rod-shaped",,59023,"nodulans",
4,"Alphaproteobacteria",66.6,"No","FALSE","Institute of Molecular Genetics, Prague, Integrated Genomics Inc, Univ of Chicago",646564563,"No","CP001312,CP001313",382,"Yes",0,0,"TRUE","Rhodobacter capsulatus SB1003",,,19.36,"TRUE","Finished","Facultative","Facultative",47509,"None","Bacteria",10.3,1219,270,"Gc01261","rcp",,"Free living","Mesophile",,"TRUE",55,"Alphaproteobacteria",718,"25-35",3708,"Nonsporulating","complete",7.28,"Rhodobacter capsulatus SB 1003",,,"None","zzz",,55,"TRUE",,"TRUE","Mesophilic","TRUE","Rhodobacter","Rhodobacterales","Inorganic","Phototroph",3.83,,272942,"Bacteria",,"Multiple","Rhodobacteraceae",646564563,"FALSE","TRUE","Free living","Singles, Pairs","FALSE","SB1003","Rod","Proteobacteria",32.87,"TRUE","FALSE","FALSE","Rod-shaped",,47509,"capsulatus",
3,"Alphaproteobacteria",68.8,,"FALSE","DOE Joint Genome Institute, Univ of Texas - Houston",640069327,"No","CP000143,CP000144,DQ232586,CP000145,CP000146,CP000147,DQ232587",661,"Yes",0,0,"TRUE","Rhodobacter sphaeroides 2.4.1",,,19.67,"FALSE","Finished","Facultative","Facultative",57653,"None","Bacteria",15.08,1449,369,"Gc00417","rsp",,"Free living","Mesophile",,"TRUE",56,"Alphaproteobacteria",862,"25-35",4383,,"complete",8.42,"Rhodobacter sphaeroides 2.4.1",,,,"Rhodobacter sphaeroides 2.4.1",,56,"TRUE",,"TRUE","Mesophilic","FALSE","Rhodobacter","Rhodobacterales","Inorganic","Photosynthetic",4.607,"Chains",272943,"Bacteria",,"Multiple","Rhodobacteraceae",640069327,"FALSE","TRUE","Free living","Chains","FALSE","2.4.1","Rod","Proteobacteria",33.06,"TRUE","FALSE","FALSE","Rod-shaped",,57653,"sphaeroides","Non-Pathogen"
4,"Firmicutes",42,,"FALSE","COMB, J. Craig Venter Institute",637000060,"No","CP000141",364,,0,0,"FALSE","Carboxydothermus hydrogenoformans Z-2901",,,19.47,"FALSE","Finished","Anaerobic","Anaerobe",57821,"None","Bacteria",13.29,843,276,"Gc00307","chy",,"Free living","Hyperthermophile",,"FALSE",253,"Clostridia",533,78,2738,,"complete",10.08,"Carboxydothermus hydrogenoformans Z-2901",,,,"zzz",,253,"FALSE",,"FALSE","Hyperthermophilic","FALSE","Carboxydothermus","Thermoanaerobacterales","Inorganic","Chemolithotroph",2.40152,,246194,"Bacteria",,"Aquatic","Thermoanaerobacteraceae",637000060,"FALSE","FALSE","Free living",,"FALSE","Z-2901",,"Firmicutes",30.79,"FALSE","FALSE","FALSE",,,57821,"hydrogenoformans",
2,"Actinobacteria",67.4,"No","FALSE","J. Craig Venter Institute",639633041,"Human","CP000480",1735,"No",0,0,"TRUE","Mycobacterium smegmatis MC2 155",,,17.69,"TRUE","Finished","Aerobic","Aerobe",57701,"Soft tissue lesions","Bacteria",25,1742,332,"Gc00461","msm",,"Free living","Mesophile",,"TRUE",92,"Actinobacteria",1228,37,6941,"Nonsporulating","complete",4.78,"Mycobacterium smegmatis str. MC2 155",,,"Soft tissue lesions","zzz",,92,"TRUE",,"TRUE","Mesophilic","TRUE","Mycobacterium","Actinomycetales","Organic","Chemoorganotroph",7,"Singles",246196,"Bacteria",,"Host-associated","Mycobacteriaceae",639633041,"FALSE","FALSE","Free living",,"FALSE","str. MC2 155","Rod","Actinobacteria",25.1,"TRUE","FALSE","FALSE","Rod-shaped",,57701,"smegmatis","Pathogen"
4,"Deltaproteobacteria",68.9,"Yes","FALSE","J. Craig Venter Institute, Monsanto",637000186,"No","CP000113",1093,"Yes",0,0,"FALSE","Myxococcus xanthus DK 1622",,,11.01,"FALSE","Finished","Aerobic","Obligate aerobe",58003,"None","Bacteria",14.66,1279,342,"Gc00391","mxa",,"Free living","Mesophile",,"FALSE",1421,"Deltaproteobacteria",821,"20-30",7454,"Sporulating","complete",4.59,"Myxococcus xanthus DK 1622",,,"None","zzz",,1421,"TRUE",,"TRUE","Mesophilic","FALSE","Myxococcus","Myxococcales","Organic","Chemoorganotroph",9.13976,"Singles",246197,"Bacteria",,"Terrestrial","Myxococcaceae",637000186,"TRUE","FALSE","Free living","Singles, Aggregates","FALSE","DK 1622","Rod","Proteobacteria",17.16,"FALSE","FALSE","FALSE","Rod-shaped",,58003,"xanthus","Non-Pathogen"
7,"Gammaproteobacteria",47.3,"No","FALSE","Los Alamos National Lab, Los Alamos National Laboratory",643692054,"Human","CP001485,CP001486",535,"Yes",0,0,"TRUE","Vibrio cholerae MJ-1236",,,17.82,"TRUE","Finished","Facultative","Facultative",59387,"Food poisoning, Cholera","Bacteria",13.74,1244,92,"Gc00994","vcj",,"Free living","Mesophile",,"TRUE",33555,"Gammaproteobacteria",694,0,3894,"Nonsporulating","complete",2.36,"Vibrio cholerae MJ-1236",,,"Cholera","zzz",,33555,"TRUE",,"TRUE","Mesophilic","TRUE","Vibrio","Vibrionales","Organic","Heterotroph",4.24958,"Singles",593588,"Bacteria",,"Aquatic","Vibrionaceae",643692054,"TRUE","FALSE","Free living",,"FALSE","MJ-1236","Rod","Proteobacteria",31.95,"TRUE","FALSE","FALSE","Curved-shaped",,59387,"cholerae","Pathogen"
2,"Gammaproteobacteria",58.8,,"FALSE","J. Craig Venter Institute",643348501,"No","CP001219",461,"Yes",0,0,"TRUE","Acidithiobacillus ferrooxidans ATCC 23270",,"Iron oxidizer",17.72,"FALSE","Finished","Facultative","Obligate aerobe",57649,"None","Bacteria",14.25,855,215,"Gc00911","afr",,"Free living","Mesophile",,"FALSE",53,"Gammaproteobacteria",573,"30-35",3234,"Nonsporulating","complete",6.65,"Acidithiobacillus ferrooxidans ATCC 23270",,,,"zzz",,53,"TRUE",,"TRUE","Mesophilic","FALSE","Acidithiobacillus","Acidithiobacillales","Inorganic","Obligate chemoautolithotroph",3,,243159,"Bacteria",,"Multiple","Acidithiobacillaceae",643348501,"FALSE","TRUE","Free living",,"FALSE","ATCC 23270","Rod","Proteobacteria",26.44,"TRUE","FALSE","TRUE","Rod-shaped",,57649,"ferrooxidans","Acidophile"
6,"Actinobacteria",54.1,"No","FALSE","RITE",640427110,,"AP009044,AP009045",310,"No",0,0,"TRUE","Corynebacterium glutamicum R",,,19.47,"FALSE","Finished","Facultative","Facultative",58897,"None","Bacteria",9.77,931,294,"Gc00535","cgt",,"Free living","Mesophile",,"TRUE",19193,"Actinobacteria",618,"30-40",3174,"Nonsporulating","complete",9.26,"Corynebacterium glutamicum R",,,,"zzz",,19193,"TRUE",,"TRUE","Mesophilic","FALSE","Corynebacterium","Actinomycetales","Organic","Chemoorganotroph",3.349,"Singles, V-shaped forms",340322,"Bacteria",,"Multiple","Corynebacteriaceae",640427110,"TRUE","FALSE","Free living","Singles, V-shaped pairs","FALSE","R","Rod","Actinobacteria",29.33,"TRUE","FALSE","FALSE","Rod-shaped",,58897,"glutamicum","Fast growing"
1,"Actinobacteria",70.1,"Yes","FALSE","DOE Joint Genome Institute",647000253,,"CP002801,CP002802,CP002803",884,"No",0,0,"FALSE","Frankia symbiont of Datisca glomerata",,,14.54,"FALSE","Draft","Aerobic",,46257,,"Bacteria",18.5,1011,234,"Gi04474","fsy",,,,,"FALSE",39113,"Actinobacteria",695,0,4779,,"complete",4.9,"Frankia symbiont of Datisca glomerata",,,,"CSP_776749",,39113,"TRUE",,"TRUE","Mesophilic","FALSE","Frankia","Actinomycetales","Unknown",,5.32,,656024,"Bacteria",,,"Frankiaceae",647000253,"FALSE","FALSE",,,"FALSE","of Datisca glomerata","Filaments","Actinobacteria",21.16,"FALSE","FALSE","TRUE",,,46257,"symbiont",
6,"Firmicutes",37.4,"No","FALSE","AGOWA, Max-Planck Institute, PathoGenoMik",646564544,,"FN557490",426,"Yes",0,0,"TRUE","Listeria seeligeri sv 1/2b, SLCC3954",,,18.57,"FALSE","Finished","Facultative","Facultative",46215,"None","Bacteria",15.24,892,194,"Gc01165","lsg",,"Free living","Mesophile",,"FALSE",41123,"Bacilli",519,0,2795,"Nonsporulating","complete",6.94,"Listeria seeligeri serovar 1/2b str. SLCC3954",,,,"zzz",,41123,"TRUE",,"TRUE","Mesophilic","FALSE","Listeria","Bacillales","Organic","Chemoorganotroph",2.8,"Chains, Singles",683837,"Bacteria",,,"Listeriaceae",646564544,"TRUE","FALSE","Free living",,"FALSE","serovar 1/2b str. SLCC3954","Rod","Firmicutes",31.91,"TRUE","FALSE","FALSE","Rod-shaped",,46215,"seeligeri","Non-Pathogen"
3,"Gammaproteobacteria",56.9,,"FALSE","DOE Joint Genome Institute, Woods Hole Oceanographic Institute",639633037,"No","CP000514,CP000516,CP000515",760,"Yes",0,0,"FALSE","Marinobacter aquaeolei VT8",,"Hydrocarbon degrading, Iron oxidizer, Oil degrading",16.86,"TRUE","Finished","Facultative","Facultative",59419,"None","Bacteria",17.5,1208,328,"Gc00504","maq",,"Free living","Mesophile",,"TRUE",13239,"Gammaproteobacteria",732,30,4342,"Nonsporulating","complete",7.55,"Marinobacter aquaeolei VT8",,,,"Single Microbes 2005 CSP","Moderate halophilic",13239,"TRUE",,"TRUE","Mesophilic","TRUE","Marinobacter","Alteromonadales","Organic","Heterotroph",4.77685,,351348,"Bacteria",,"Aquatic","Alteromonadaceae",639633037,"FALSE","FALSE","Free living",,"FALSE","VT8","Rod","Proteobacteria",27.82,"FALSE","FALSE","FALSE","Rod-shaped",,59419,"aquaeolei","Non-Pathogen, Biofilm"
1,"Aquificae",44,"No","FALSE","DOE Joint Genome Institute, DSMZ",650377953,,"AP011112",33,"No",0,0,"FALSE","Hydrogenobacter thermophilus TK-6",,,24.23,"FALSE","Finished","Facultative",,45927,,"Bacteria",1.69,675,62,,"hth",,,,,"FALSE",34131,"Aquificae",472,0,1948,,"complete",3.18,"Hydrogenobacter thermophilus TK-6",,,,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",,41547,"TRUE",,"TRUE","Thermophilic","FALSE","Hydrogenobacter","Aquificales","Unknown",,1.7,,608538,"Bacteria",,,"Aquificaceae",650377953,"FALSE","FALSE",,,"FALSE","TK-6","Rod","Aquificae",34.65,"FALSE","FALSE","FALSE",,,,"thermophilus",
10,"Gammaproteobacteria",46.3,,"FALSE","DOE Joint Genome Institute",643348574,"No","CP001252,CP001254,CP001255,CP001253",634,"Yes",0,0,"FALSE","Shewanella baltica OS223",,,16.21,"TRUE","Finished","Facultative","Facultative",58775,"None","Bacteria",13.72,1130,339,"Gc00902","sbp",,"Free living","Psychrotolerant",,"TRUE",17985,"Gammaproteobacteria",749,0,4622,"Nonsporulating","complete",7.33,"Shewanella baltica OS223",,,,"zzz",,17985,"TRUE",,"TRUE","Mesophilic","TRUE","Shewanella","Alteromonadales","Organic","Heterotroph",5.3579,"Singles, Pairs",407976,"Bacteria",,"Aquatic","Shewanellaceae",643348574,"TRUE","FALSE","Free living",,"FALSE","OS223","Rod","Proteobacteria",24.45,"FALSE","FALSE","TRUE","Rod-shaped",,58775,"baltica",
9,"Gammaproteobacteria",45.9,,"FALSE","J. Craig Venter Institute",637000258,"Human","AE014299,AE014300",697,"Yes",0,0,"FALSE","Shewanella oneidensis MR-1",,"Metal reducer",15.4,"TRUE","Finished","Facultative","Facultative",57949,"None","Bacteria",14.97,1092,365,"Gc00105","son",,"Free living","Mesophile",,"TRUE",335,"Gammaproteobacteria",717,0,4657,"Nonsporulating","complete",7.84,"Shewanella oneidensis MR-1",,,"Rare opportunistic pathogen of humans","zzz",,335,"TRUE",,"TRUE","Mesophilic","TRUE","Shewanella","Alteromonadales","Organic","Heterotroph",5.1298,"Pairs, Singles",211586,"Bacteria",,"Multiple","Shewanellaceae",637000258,"FALSE","FALSE","Free living",,"FALSE","MR-1","Rod","Proteobacteria",23.45,"FALSE","FALSE","TRUE","Rod-shaped",,57949,"oneidensis","Opportunistic Pathogen"
4,"Deltaproteobacteria",61.3,"No","FALSE","DOE Joint Genome Institute",649633049,"No","CP002479",222,,0,0,"FALSE","Geobacter sp. M18",,,15,"FALSE","Finished","Anaerobic",,55771,,"Bacteria",4.83,1153,225,,"geb",,,,,"FALSE",33159,"Deltaproteobacteria",690,0,4599,,"complete",4.89,"Geobacter sp. M18",,,,"zzz",,33159,"FALSE",,"FALSE","Mesophilic","FALSE","Geobacter","Desulfuromonadales","Unknown",,5.3,,443143,"Bacteria",,"Terrestrial","Geobacteraceae",649633049,"FALSE","FALSE",,,"FALSE","M18","Rod","Proteobacteria",25.07,"FALSE","FALSE","FALSE",,,55771,"sp.",
