h2o	C00001
atp	C00002
nad	C00003
nadh	C00004
nadph	C00005
nadp	C00006
o2	C00007
adp	C00008
pi	C00009
coa	C00010
co2	C00011
ppi	C00013
nh4	C01342
udp	C00015
fad	C00016
pydx5p	C00018
amet	C00019
amp	C00020
ahcys	C00021
pyr	C00022
fe2	C00023
accoa	C00024
glu-L	C00025
akg	C00026
h2o2	C00027
udpg	C00029
glc-D	C00031
pheme	C00032
ac	C00033
mn2	C00034
gdp	C00035
oaa	C00036
gly	C00037
zn2	C00038
ala-L	C00041
succ	C00042
uacgam	C00043
gtp	C00044
lys-L	C00047
glx	C00048
asp-L	C00049
gthrd	C00051
udpgal	C00052
paps	C00053
pap	C00054
cmp	C00055
for	C00058
so4	C00059
fmn	C00061
arg-L	C00062
ctp	C00063
gln-L	C00064
ser-L	C00065
fald	C00067
thmpp	C00068
ascb-L	C00072
met-L	C00073
pep	C00074
utp	C00075
ca2	C00076
trp-L	C00078
phe-L	C00079
h	C00080
itp	C00081
tyr-L	C00082
malcoa	C00083
acald	C00084
f6p	C00085
urea	C00086
s	C00087
no2	C00088
sucr	C00089
succoa	C00091
so3	C00094
fru	C00095
cys-L	C00097
ala-B	C00099
ppcoa	C00100
thf	C00101
g1p	C00103
idp	C00104
ump	C00105
ura	C00106
anth	C00108
2obut	C00109
dhap	C00111
cdp	C00112
chol	C00114
glyc	C00116
prpp	C00119
btn	C00120
rib-D	C00121
fum	C00122
leu-L	C00123
gal	C00124
gthox	C00127
ipdp	C00129
imp	C00130
datp	C00131
ala-D	C00133
ptrc	C00134
his-L	C00135
btcoa	C00136
inost	C00137
acgam	C00140
3mob	C00141
mlthf	C00143
gmp	C00144
ade	C00147
pro-L	C00148
mal-L	C00149
asn-L	C00152
ncam	C00153
pmtcoa	C00154
4hbz	C00156
cit	C00158
man	C00159
glyclt	C00160
ppa	C00163
phpyr	C00166
udpglcur	C00167
hpyr	C00168
cbp	C00169
5mta	C00170
cobalt2	C00175
cyan	C01326
thym	C00178
agm	C00179
xyl-D	C00181
val-L	C00183
dha	C00184
lac-L	C00186
thr-L	C00188
etha	C00189
glcur	C00191
adocbl	C00194
23dhb	C00196
3pg	C00197
ru5p-D	C00199
udpacgal	C00203
2ddglcn	C00204
dadp	C00206
