abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
h2o	H2O	H2O	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm, Peroxisome, Vacuole	C00001	7732-18-5	33474	1,10,2,3,4,5,6,7,8,9	
atp	ATP	C10H12N5O13P3	-4	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Mitochondria, Nucleus, Peroxisome, Vacuole	C00002	56-65-5	33477	1,10,2,3,4,5,6,7,8,9	
nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Peroxisome	C00003	53-84-9	33480	1,10,2,3,4,5,6,7,8,9	
nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	Cytosol, Endoplasmic Reticulum, Mitochondria, Peroxisome	C00004	58-68-4	33484	1,10,2,3,4,5,6,7,8,9	
nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	Cytosol, Endoplasmic Reticulum, Mitochondria, Nucleus, Peroxisome	C00005	2646-71-1	33486	1,10,2,3,4,5,6,7,8,9	
nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Peroxisome	C00006	53-59-8	33488	1,10,2,3,4,5,6,7,8,9	
o2	O2	O2	0	Cytosol, Endoplasmic Reticulum, Extra-organism, Mitochondria, Nucleus, Periplasm, Peroxisome	C00007	7782-44-7	33493	1,10,2,3,4,5,6,7,8,9	
adp	ADP	C10H12N5O10P2	-3	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Mitochondria, Nucleus, Peroxisome, Vacuole	C00008	58-64-0	33496	1,10,2,3,4,5,6,7,8,9	
pi	Phosphate	HO4P	-2	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Periplasm, Peroxisome, Vacuole	C00009	14265-44-2	33499	1,10,2,3,4,5,6,7,8,9	
coa	Coenzyme A	C21H32N7O16P3S	-4	Cytosol, Endoplasmic Reticulum, Extra-organism, Golgi Apparatus, Lysosome, Mitochondria, Nucleus, Peroxisome	C00010	85-61-0	33502	1,10,2,3,4,5,6,7,8,9	
