abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
GSPMDS	Glutathionylspermidine synthetase		[c] : atp + gthrd + spmd --> adp + gtspmd + h + pi	Arginine and Proline Metabolism	Cytosol	6.3.1.8	Irreversible	N	1528504	4		
LPLIPAL2E141	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)		[c] : 2agpe141 + h2o --> g3pe + h + ttdcea	Glycerophospholipid Metabolism	Cytosol	3.1.1.5	Irreversible	N	2707172	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase		[c] : anhgm3p + h2o --> LalaDgluMdap + anhgm	Murein Recycling	Cytosol		Irreversible	N	2327363	4	AmpD is cylosolic//PMID: 15901686	
ADCL	4-aminobenzoate synthase	Aminodeoxychorismate lyase	[c] : 4adcho --> 4abz + h + pyr	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	1531483	0		
PAPA120pp	Phosphatidate phosphatase (periplasmic, n-C12:0)	acid phosphatidyl phosphatase;, phosphatic acid phosphatase;, phosphatic acid phosphohydrolase, phosphatidate phosphatase;	[p] : h2o + pa120 --> 12dgr120 + pi	Glycerophospholipid Metabolism	Periplasm	3.1.3.4	Irreversible	N	2706031	3	from PMID: 2846511//PGPP activity is higher in the cytoplasmic membrane than the outer membrane, whereas PAPA activities are higher in the outer membrane.//It appears that PgpA activity is for PAPA where PgpB activity is for both PAPA and PGP.//PgpB is known to be located in both the inner and outer membrane, pgpA is acitve in the inner membrane.  However, it is not know which side of the membranes the active site for each of the enzymes is on.////removal of the phosphate moiety from PG-phosphate, is indeterminate because at least three different enzymes (PgpA, PgpB, and an unknown protein) are thought to catalyze this hydrolytic step.//PMID: 14527277////PMID: 9370315 states gene responsible is pgpB in E coli////reactions are set up to act on FA with two identical -acyl chain lengths////AMF	
METabcpp	L-methionine transport via ABC system (periplasm)		atp[c] + h2o[c] + met-L[p] --> adp[c] + h[c] + met-L[c] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912595	0	JLR- not sure about locus (two methionine systems metD and metP); genes for this reaction might include yaeE(metI) and abc(metN)	
HEPT2	heptosyltransferase II (LPS core synthesis)		[c] : adphep-LD + hlipa --> adp + h + hhlipa	Lipopolysaccharide Biosynthesis / Recycling	Cytosol		Irreversible	N	2374869	4	Core LPS biosynthesis//see PMID: 12045108//for review////see PMID: 11054112//for WaaA, WaaC and WaaF reactions ////ADP-D-mannose can also serve as a surrogate substrate for WaaC//	
SKMtex	shikimate transport via diffusion (extracellular to periplasm)		skm[e] <==> skm[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2390901		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
GALTptspp	Galactitol transport via PEP:Pyr PTS (periplasm)		galt[p] + pep[c] --> galt1p[c] + pyr[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912275	0		
PGSA140	Phosphatidylglycerol synthase (n-C14:0)		[c] : cdpdtdecg + glyc3p --> cmp + h + pgp140	Glycerophospholipid Metabolism	Cytosol	2.7.8.5	Irreversible	N	2617770	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
ECAP2pp	enterobacterial common antigen polymerase (periplasm)		[p] : eca2und + unagamuf --> eca3und + h + udcpdp	Lipopolysaccharide Biosynthesis / Recycling	Periplasm		Irreversible	N	2377339	3	characterization of WzxE gene, also talks about WzzE and WzyE function////paper states that only WzyE can transport UNAGA, others state differently//PMID: 12621029////review is excellent with diagram of core LPS oligosaccharide and pointing to specific papers//see PMID: 12045108	
ETOHtex	ethanol transport via diffusion (extracellular to periplasm)		etoh[e] <==> etoh[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915212	4	molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
GLXCL	glyoxalate carboligase	glyoxylate carbo-ligase, glyoxylic carbo-ligase, hydroxymalonic semialdehyde carboxylase, tartronate semialdehyde carboxylase, tartronate-semialdehyde synthase, tartronic semialdehyde carboxylase	[c] : (2) glx + h --> 2h3oppan + co2	Glyoxylate Metabolism	Cytosol	4.1.1.47	Irreversible	N	1472072	4		
LEUtex	L-leucine transport via diffusion (extracellular to periplasm)		leu-L[e] <==> leu-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915972		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
DALAtex	D-Alanine transport via diffusion (extracellular to periplasm)		ala-D[e] <==> ala-D[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915072		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
