"RBS","J23101","J23109","PLTETo1","galP1","lacUV5","pLlacO1","pLux","pT7A1","pTac","pTet","pminor","pTrp","Nopromoter (tac spacer)"
"Anderson_RBS",24.40,5.77,45.30,48.80,0.00,37.10,6.13,0.00,25.40,79.20,0.00,7.16,0.00
"Bujard_RBS",3728.00,48.20,916.00,812.00,918.00,825.00,30.80,592.00,3866.00,4008.00,8.21,55.00,8.43
"B0030_RBS",47.30,0.00,41.00,101.00,137.00,6.08,0.00,602.00,135.00,628.00,5.85,6.18,0.00
"B0032_RBS",9.00,0.00,0.00,10.80,6.56,0.00,0.00,17.30,9.18,5.78,0.00,0.00,0.00
"B0034_RBS",22.70,0.00,35.10,33.50,10.00,0.00,0.00,32.70,21.10,668.00,0.00,6.42,0.00
"GSG_RBS",233.00,6.31,84.00,280.00,234.00,72.00,8.39,1467.00,722.00,517.00,6.38,12.10,8.35
"GSGV_RBS",23.20,7.84,13.70,20.50,27.00,13.30,0.00,101.00,66.70,34.30,0.00,7.16,0.00
"Invitrogen_RBS",33.10,6.02,130.00,166.00,420.00,6.56,0.00,6012.00,1992.00,1743.00,9.04,20.40,7.78
"JBEI_RBS",1304.00,67.20,381.00,261.00,489.00,25.40,0.00,5592.00,2166.00,799.00,7.06,23.70,7.45
"Plotkin_RBS",524.00,7.14,35.10,210.00,180.00,92.00,0.00,235.00,480.00,294.00,6.15,7.99,8.24
"Alon_RBS",58.90,62.60,130.00,56.80,67.00,104.00,0.00,140.00,206.00,170.00,0.00,7.84,6.91
"DeadRBS",5.92,0.00,0.00,0.00,0.00,0.00,0.00,6.70,6.27,0.00,0.00,0.00,0.00
