#name:Shigella dysenteriae, Apex, Kuntumalla et al
#score:3.6
#weight:100%
#description:MS/MS Apex data from <a href="http://www.ncbi.nlm.nih.gov/pubmed/19563668" target="_blank">Kuntumalla et al., Proteome Science, 2009</a><br/><b>PaxDB score</b>: 3.6&nbsp<b>Coverage</b>: 25%
#
#internal_id	string_external_id	abundance
3060701	300267.SDY_P004	643.326664141
3060719	300267.SDY_P023	306.766835531
3060727	300267.SDY_P031	105.466945108
3060763	300267.SDY_P067	4878.90910959
3060770	300267.SDY_P074	632.65228404
3060783	300267.SDY_P087	750.676491651
3060792	300267.SDY_P096	181.566062005
3060812	300267.SDY_P116	553.701461817
3060856	300267.SDY_P161	287.765079404
3060857	300267.SDY_P162	1949.0291456
3060858	300267.SDY_P163	473.483228833
3060859	300267.SDY_P164	1077.63780801
3060860	300267.SDY_P165	2402.74166204
3060861	300267.SDY_P166	852.872548683
3060862	300267.SDY_P167	1130.76585451
3060863	300267.SDY_P168	1010.09755484
3060865	300267.SDY_P170	346.862763615
3060866	300267.SDY_P171	50.8571036188
3060869	300267.SDY_P174	197.98426974
3060872	300267.SDY_P177	287.051743273
3060876	300267.SDY_P181	641.511687659
3060878	300267.SDY_P183	126.799861613
3060879	300267.SDY_P184	252.917617516
3060880	300267.SDY_P185	171.789427897
3060881	300267.SDY_P186	7501.03456161
3060885	300267.SDY_P190	548.788070006
3060886	300267.SDY_P191	419.392030547
3060910	300267.SDY_P214	157.272011455
3060920	300267.SDY_P224	297.768341688
3056430	300267.SDY_0003	149.507117166
3056431	300267.SDY_0004	405.126995494
3056435	300267.SDY_0008	3667.65158946
3056436	300267.SDY_0009	318.279700142
3056440	300267.SDY_0013	6148.25320895
3056441	300267.SDY_0014	173.345088952
3056452	300267.SDY_0025	2843.9375181
3056453	300267.SDY_0026	450.027720436
3056457	300267.SDY_0030	261.391375293
3056460	300267.SDY_0034	1222.58899416
3056461	300267.SDY_0035	719.578271053
3056462	300267.SDY_0036	102.560852476
3056471	300267.SDY_0045	370.665985504
3056474	300267.SDY_0048	680.181491166
3056479	300267.SDY_0053	444.430360729
3056480	300267.SDY_0054	1052.80497945
3056481	300267.SDY_0055	461.571151537
3056497	300267.SDY_0071	612.902247043
3056502	300267.SDY_0076	84.7537974445
3056504	300267.SDY_0078	521.891932852
3056505	300267.SDY_0079	83.0209131101
3056509	300267.SDY_0083	151.825795635
3056524	300267.SDY_0100	214.736784871
3056525	300267.SDY_0101	62.3381036333
3056534	300267.SDY_0112	371.546950413
3056537	300267.SDY_0115	233.951556106
3056538	300267.SDY_0116	509.368510372
3056540	300267.SDY_0118	360.203639139
3056542	300267.SDY_0120	425.636700448
3056544	300267.SDY_0122	223.326256266
3056546	300267.SDY_0124	47.9240893275
3056547	300267.SDY_0125	697.894550832
3056550	300267.SDY_0128	279.274184576
3056556	300267.SDY_0134	383.667154645
3056560	300267.SDY_0139	172.341805479
3056561	300267.SDY_0140	220.297170176
3056565	300267.SDY_0144	2811.54657388
3056566	300267.SDY_0145	2686.63165433
3056567	300267.SDY_0146	7543.87353814
3056575	300267.SDY_0154	750.676491651
3056576	300267.SDY_0155	574.164986651
3056582	300267.SDY_0161	2240.73166822
3056585	300267.SDY_0165	334.237350361
3056590	300267.SDY_0170	415.766966453
3056591	300267.SDY_0171	62.3381036333
3056592	300267.SDY_0172	581.957671052
3056595	300267.SDY_0175	1533.13219405
3056597	300267.SDY_0178	2314.80689652
3056600	300267.SDY_0181	916.210282118
3056601	300267.SDY_0182	1689.59461727
3056603	300267.SDY_0184	475.583864276
3056604	300267.SDY_0185	2828.79924604
3056605	300267.SDY_0186	4571.00524522
3056606	300267.SDY_0187	548.520629426
3056607	300267.SDY_0188	836.819695611
3056612	300267.SDY_0193	279.407291128
3056613	300267.SDY_0194	4013.69769326
3056616	300267.SDY_0197	134.736806194
3056620	300267.SDY_0201	834.431263683
3056625	300267.SDY_0207	519.363386666
3056631	300267.SDY_0213	424.228980696
3056633	300267.SDY_0215	1575.49387137
3056634	300267.SDY_0216	1034.05083287
3056657	300267.SDY_0246	1251.12748609
3056658	300267.SDY_0248	901.50048401
3056681	300267.SDY_0275	1040.45510407
3056683	300267.SDY_0277	2144.78997615
3056684	300267.SDY_0278	261.200299727
3056697	300267.SDY_0291	592.410074649
3056698	300267.SDY_0292	1931.47032446
3056699	300267.SDY_0293	263.234484338
3056701	300267.SDY_0295	2715.6472762
3056702	300267.SDY_0296	2312.32362788
3056704	300267.SDY_0298	1501.3529833
3056705	300267.SDY_0299	768.434430163
3056710	300267.SDY_0304	1859.36792547
3056714	300267.SDY_0308	1255.64963363
3056724	300267.SDY_0318	763.508568432
3056725	300267.SDY_0319	1734.5728642
3056726	300267.SDY_0320	268.932772222
3056730	300267.SDY_0324	297.768341688
