"Name","Gene","Identifier"
"Glucokinase",GLK1,YCL040W
"Hexokinase",HXK1,YFR053C
"Hexokinase",HXK2,YGL253W
"Phosphoglucose isomerase",PGI1,YBR196C
"6-phosphofructokinase",PFK1,YGR240C
"6-phosphofructokinase",PFK2,YMR205C
"Fructose-bisphosphate aldolase",FBA1,YKL060C
"Triosephosphate isomerase",TPI1,YDR050C
"Glyceraldehyde-3-phosphate dehydrogenase",TDH1,YJL052W
"Glyceraldehyde-3-phosphate dehydrogenase",TDH2,YJR009C
"Glyceraldehyde-3-phosphate dehydrogenase",TDH3,YGR192C
"Phosphoglycerate kinase",PGK1,YCR012W
"Phosphoglycerate mutase",GPM1,YKL152C
"Phosphoglycerate mutase",GPM2,YDL021W
"Phosphoglycerate mutase",GPM3,YOL056W
"Enolase",ENO1,YGR254W
"Enolase",ENO2,YHR174W
"pyruvate kinase",CDC19,YAL038W
"pyruvate kinase",PYK2,YOR347C

