cid,glucose avg,glucose std,gluconate avg, gluconate sfd
2,3.276,0.064,2.488,0.043
8,0.574,0.0070,0.455,0.020
20,0.458,0.023,0.359,0.004
114,0.164,0.049,0.071,0.029
942,0.526,0.012,0.441,0.011
35,0.317,0.0031,0.247,0.018
3,1.330,0.077,1.495,0.041
4,0.026,0.0012,0.032,0.0019
6,0.011,0.0003,0.008,0.0003
5,0.108,0.0087,0.127,0.023
152,0.356,0.009,0.330,0.021
62,2.47,0.52,2.23,0.58
64,2.31,0.023,2.66,0.092
82,0.079,0.003,0.071,0.006
147,0.013,0.0046,0.020,0.0034
79,0.105,0.008,0.086,0.012
49,1.33,0.056,1.46,0.074
25,29.1,0.046,31.6,0.95
42,1.13,0.18,0.960,0.10
26,0.605,0.088,0.543,0.21
149,1.60,0.07,1.51,0.052
122,0.521,0.083,0.611,0.099
311,0.0078,0.002,0.0093,0.001
158,0.668,0.061,0.592,0.052
92,0.902,0.017,0.663,0.12
85,0.319,0.028,0.309,0.019
354,1.10,0.022,0.896,0.019
111,1.25,0.082,1.29,0.16
184,0.048,0.002,0.055,0.010
197+631,0.756,0.036,0.784,0.026
74,0.335,0.075,0.372,0.066
22,2.58,0.75,1.18,0.27
575,0.0017,0.0004,0.0019,0.0005
5382,3.416,0.024,6.95,1.16
279,0.025,0.0003,0.022,0.0015
231,0.530,0.019,0.483,0.014 
