"cid","nH","z","nMg","dG0","ref"
1,2,0,0,-237.19,"Alberty 2006"
2,12,-4,0,-2768.1,"Alberty 2006"
2,13,-3,0,-2811.48,"Alberty 2006"
2,14,-2,0,-2838.18,"Alberty 2006"
2,12,-2,1,-3258.7,"Alberty 2006"
2,13,-1,1,-3287.5,"Alberty 2006"
2,12,0,2,-3729.3,"Alberty 2006"
3,26,-1,0,0,"Alberty 2006"
4,27,-2,0,22.65,"Alberty 2006"
5,26,-4,0,-809.71,"Alberty 2006"
6,25,-3,0,-835.18,"Alberty 2006"
7,0,0,0,16.4,"Alberty 2006"
8,12,-3,0,-1906.13,"Alberty 2006"
8,13,-2,0,-1947.1,"Alberty 2006"
8,14,-1,0,-1971.98,"Alberty 2006"
8,12,-1,1,-2388,"Alberty 2006"
8,13,0,1,-2416.7,"Alberty 2006"
9,1,-2,0,-1096.1,"Alberty 2006"
9,2,-1,0,-1137.3,"Alberty 2006"
10,31,-5,0,0,"Alberty 2006"
10,32,-4,0,-47.83,"Alberty 2006"
13,0,-4,0,-1919.86,"Alberty 2006"
13,1,-3,0,-1973.86,"Alberty 2006"
13,2,-2,0,-2012.21,"Alberty 2006"
13,3,-1,0,-2025.11,"Alberty 2006"
13,4,0,0,-2029.85,"Alberty 2006"
14,3,0,0,-26.5,"Alberty 2006"
14,4,1,0,-79.31,"Alberty 2006"
16,31,-2,0,0,"Alberty 2006"
20,12,-2,0,-1040.45,"Alberty 2006"
20,13,-1,0,-1078.86,"Alberty 2006"
20,14,0,0,-1101.63,"Alberty 2006"
20,12,0,1,-1511.8,"Alberty 2006"
22,3,-1,0,-472.27,"Alberty 2006"
24,34,-4,0,-180.36,"Alberty 2006"
25,8,-1,0,-697.47,"Alberty 2006"
26,4,-2,0,-793.41,"Alberty 2006"
27,2,0,0,-134.03,"Alberty 2006"
31,12,0,0,-915.9,"Alberty 2006"
33,3,-1,0,-369.31,"Alberty 2006"
33,4,0,0,-396.45,"Alberty 2006"
36,2,-2,0,-793.29,"Alberty 2006"
37,5,0,0,-379.91,"Alberty 2006"
41,7,0,0,-371,"Alberty 2006"
42,4,-2,0,-690.44,"Alberty 2006"
42,5,-1,0,-722.62,"Alberty 2006"
42,6,0,0,-746.64,"Alberty 2006"
48,1,-1,0,-468.6,"Alberty 2006"
49,6,-1,0,-695.88,"Alberty 2006"
51,15,-2,0,34.17,"Alberty 2006"
51,16,-1,0,-13.44,"Alberty 2006"
58,1,-1,0,-351,"Alberty 2006"
59,0,-2,0,-744.53,"Alberty 2006"
59,1,-1,0,-755.91,"Alberty 2006"
61,19,-2,0,0,"Alberty 2006"
64,10,0,0,-528.02,"Alberty 2006"
65,7,0,0,-510.87,"Alberty 2006"
73,11,0,0,-502.92,"Alberty 2006"
74,2,-3,0,-1263.65,"Alberty 2006"
74,3,-2,0,-1303.61,"Alberty 2006"
78,12,0,0,-114.7,"Alberty 2006"
79,11,0,0,-207.1,"Alberty 2006"
81,10,-5,0,-2925.31,"Alberty 2006"
81,11,-4,0,-2982.9,"Alberty 2006"
81,12,-3,0,-3026.28,"Alberty 2006"
82,11,0,0,-370.7,"Alberty 2006"
84,4,0,0,-139,"Alberty 2006"
85,11,-2,0,-1760.8,"Alberty 2006"
85,12,-1,0,-1796.6,"Alberty 2006"
86,4,0,0,-202.8,"Alberty 2006"
87,0,0,0,0,"Alberty 2006"
88,0,-1,0,-32.2,"Alberty 2006"
88,1,0,0,-50.6,"Alberty 2006"
89,22,0,0,-1564.7,"Alberty 2006"
91,35,-5,0,-509.72,"Alberty 2006"
91,36,-4,0,-533.76,"Alberty 2006"
92,11,-2,0,-1763.94,"Alberty 2006"
92,12,-1,0,-1800.59,"Alberty 2006"
92,11,0,1,-2234.08,"Alberty 2006"
93,7,-2,0,-1358.96,"Alberty 2006"
93,8,-1,0,-1397.04,"Alberty 2006"
94,0,-2,0,-486.5,"Alberty 2006"
94,1,-1,0,-527.78,"Alberty 2006"
95,12,0,0,-915.51,"Alberty 2006"
97,6,-1,0,-291,"Alberty 2006"
97,7,0,0,-338.82,"Alberty 2006"
100,36,-4,0,-179.14,"Alberty 2006"
103,11,-2,0,-1756.87,"Alberty 2006"
103,12,-1,0,-1793.98,"Alberty 2006"
104,10,-4,0,-2066.44,"Alberty 2006"
104,11,-3,0,-2121.01,"Alberty 2006"
104,12,-2,0,-2161.99,"Alberty 2006"
111,5,-2,0,-1296.26,"Alberty 2006"
111,6,-1,0,-1328.8,"Alberty 2006"
116,8,0,0,-497.48,"Alberty 2006"
117,9,-2,0,-1595.78,"Alberty 2006"
117,10,-1,0,-1633.96,"Alberty 2006"
118,5,-2,0,-1288.6,"Alberty 2006"
118,6,-1,0,-1321.14,"Alberty 2006"
119,8,-5,0,-3284.25,"Alberty 2006"
119,9,-4,0,-3325.23,"Alberty 2006"
119,10,-3,0,-3363.42,"Alberty 2006"
121,10,0,0,-752,"Alberty 2006"
122,2,-2,0,-601.87,"Alberty 2006"
