"CID","Km"
2,0.18
3,0.155
4,0.045
5,0.021
6,0.037
7,0.07
8,0.2
9,2.2
10,0.05375
11,1.66750105
13,0.165
14,55
15,0.171
16,0.0024
18,0.01
19,0.022
20,0.124
21,0.013
22,0.715
24,0.0567
25,3.675
26,0.449
27,0.12
29,0.216
31,0.755
32,0.0024
33,20
34,0.0225
35,0.097
36,0.063
37,6
39,0.041
40,0.0057
41,4.395
42,0.4675
43,0.33
44,0.0453
46,0.009
47,1.26
48,1.45
49,0.66
51,1.355
52,0.084
53,0.0052
54,0.0300195
55,0.19
58,4.2
59,0.16
61,0.008
62,0.74
63,0.29
64,0.472
65,2.13
66,0.00319
67,1.145
68,0.00158
72,2.2625
73,0.865
74,0.16
75,0.107
77,3.2
78,0.0223
79,0.161
80,0.002
81,0.035
82,0.24
83,0.01145
84,1.35
85,0.62
86,1.195
87,50
88,0.155
89,12.075
90,0.011
91,0.093
92,1.2
93,0.25
94,0.0375
95,2.2
96,0.0149
97,0.255
99,6.775
100,0.15
101,0.17
103,0.445
104,0.622
105,0.035
106,0.16875
108,0.0265
109,1.185
110,0.00535
111,0.289
112,0.777
114,0.735
116,24.95
117,0.394
118,0.42
119,0.03925
120,0.0003
121,4
122,0.2775
123,1.1
124,48
125,0.0018
126,0.051775
127,0.059
128,0.08
129,0.0179
130,0.04055
131,0.0077
132,11.2
133,2.55
134,0.2
135,0.52
136,0.045
137,2.92
138,0.0145
139,0.015
140,5.3
141,0.4775
143,0.043
144,0.0112
146,3.2
147,0.41
148,1.4
149,1.27
152,0.5735
153,0.07
154,0.029
155,0.1095
156,0.032
157,0.805
158,0.2
159,0.3425
160,0.16
163,2.8575
164,0.675
165,0.063
166,0.23
167,0.2075
168,0.12
169,0.155
170,0.0103
175,0.0042
177,2.4275
178,0.1
179,0.99
180,0.01495
181,5.725
183,0.8
184,0.52
185,1.8175
186,1.9
187,0.14
188,7.265
189,0.171
190,0.025
191,0.6
192,0.9
195,0.245
196,0.1671
197,0.485
198,9.25
199,0.35
202,2.99
203,0.026
204,3.939
207,0.0189
208,18.1895
209,3.55
212,0.048
213,2.625
214,0.05
216,41.45
217,9
218,46
219,0.01025
221,4.55
222,0.02725
223,0.19
224,0.017
227,0.525
229,0.016
230,0.0505
231,0.51665
232,0.18
233,0.176625
234,0.0133
235,0.0132
236,0.02
237,0.058
239,0.075
240,0.00069
242,0.0069
243,16.7
244,0.2
245,9.55
246,1.1155
247,182
248,1.775
249,0.00645
250,0.0365
251,0.01365
252,4.315
253,0.094
254,0.165
255,0.025
256,2.7
257,2.4
258,0.9805
259,198.4
261,0.44005
262,0.0451
263,0.41
265,0.08021
266,0.1385
267,30
268,0.004
269,0.073
270,0.859625
272,0.01575
275,1.1
279,0.1925
280,0.04
282,0.063
283,0.7
286,0.029
288,1.4
292,2.745
294,0.096
295,0.11
296,0.37
299,0.53725
300,9.1
301,0.085
307,0.037
309,0.805
310,1.57
311,0.208
312,1
313,0.24215
314,0.29
315,0.0365
318,0.1605
319,0.1855
320,2.825
322,1.431
323,0.0575
325,0.0221
326,0.00059
327,1.4175
328,0.7107
329,0.4
330,0.02875
331,0.075
332,0.024
333,0.64025
334,2.4
337,0.026
338,0.02
341,0.0045
342,0.0285
343,0.0865
344,0.056
345,0.097
346,0.07025
348,0.16
349,0.019
350,0.057
