cid,min_c,max_c,remark
0,1e-6,1e-2,"default concentration bounds"
1,1,1,"water"
2,5e-3,5e-3,"ATP (in order to keep ATP -> ADP at -55 kJ/mol)"
8,5e-4,5e-4,"ADP (in order to keep ATP -> ADP at -55 kJ/mol)"
9,5e-3,5e-3,"Pi  (in order to keep ATP -> ADP at -55 kJ/mol)"
20,1e-4,1e-4,"AMP (in order to keep ATP -> AMP at -110 kJ/mol)"
13,3e-9,3e-9,"PPi (in order to keep ATP -> AMP at -110 kJ/mol)"
3,1e-4,1e-3,"NAD (ox)"
4,1e-4,1e-3,"NAD (red)"
6,1e-4,1e-3,"NADP (ox)"
5,1e-4,1e-3,"NADP (red)"
16,1e-4,1e-3,"FAD (ox)"
1352,1e-4,1e-3,"FADH2 (red)"
399,1e-4,1e-3,"ubiquinone (ox)"
390,1e-4,1e-3,"ubiquinol (red)"
139,1e-4,1e-3,"ferredoxin (ox)"
138,1e-4,1e-3,"ferredoxin (red)"
828,1e-4,1e-3,"menaquinone (ox)"
5819,1e-4,1e-3,"menaquinone (red)"
343,1e-4,1e-3,"thioredoxin (ox)"
342,1e-4,1e-3,"thioredoxin (red)"
876,1e-4,1e-3,"coenzyme F420 (ox)"
1080,1e-4,1e-3,"coenzyme F420 (red)"
