"compound","pH=5|I=0.25M","pH=6|I=0.25M","pH=7|I=0.25M","pH=8|I=0.25M","pH=9|I=0.25M"
"acetaldehyde","-21.60","1.23","24.06","46.90","69.73"
"acetate","-282.71","-265.02","-247.83","-230.70","-213.57"
"acetone","16.40","50.65","84.90","119.14","153.39"
"acetylcoA","-92.31","-75.19","-58.06","-40.94","-23.81"
"acetylphos","-1153.77","-1129.84","-1107.02","-1085.39","-1066.49"
"aconitatecis","-836.37","-819.24","-802.12","-785.00","-767.87"
"adenine","457.06","485.92","514.50","543.04","571.58"
"adenosine","186.98","261.25","335.46","409.66","483.87"
"adp","-1569.05","-1495.55","-1424.70","-1355.78","-1287.24"
"alanine","-165.55","-125.59","-85.64","-45.68","-5.73"
"ammonia","37.28","60.11","82.93","105.64","127.51"
"amp","-698.40","-625.22","-554.83","-486.04","-417.51"
"arabinose","-448.73","-391.65","-334.57","-277.49","-220.41"
"asparagineL","-291.13","-245.47","-199.80","-154.14","-108.47"
"aspartate","-520.59","-486.34","-452.09","-417.85","-383.60"
"atp","-2437.46","-2363.76","-2292.50","-2223.44","-2154.88"
"bpg","-2262.15","-2233.92","-2207.30","-2183.36","-2160.38"
"butanoln","121.66","178.74","235.82","292.90","349.98"
"butyrate","-147.99","-108.03","-68.08","-28.12","11.83"
"citrate","-1027.23","-995.44","-966.23","-937.62","-909.07"
"citrateiso","-1020.58","-988.80","-959.58","-930.97","-902.42"
"coA","-18.48","-12.79","-7.26","-2.82","-1.10"
"coAglutathione","403.59","489.21","574.83","660.45","746.07"
"co2g","-394.36","-394.36","-394.36","-394.36","-394.36"
"co2tot","-564.61","-554.49","-547.10","-541.18","-535.80"
"coaq","-119.90","-119.90","-119.90","-119.90","-119.90"
"cog","-137.17","-137.17","-137.17","-137.17","-137.17"
"creatine","4.95","56.32","107.69","159.07","210.44"
"creatinine","182.31","222.27","262.22","302.18","342.13"
"cysteineL","-133.37","-93.43","-53.65","-14.97","20.99"
"cystineL","-314.31","-245.81","-177.32","-108.82","-40.33"
"cytochromecox","-7.29","-7.29","-7.29","-7.29","-7.29"
"cytochromecred","-27.75","-27.75","-27.75","-27.75","-27.75"
"dihydroxyacetonephos","-1154.88","-1124.53","-1095.70","-1067.13","-1038.59"
"ethanol","-5.54","28.71","62.96","97.20","131.45"
"ethylacetate","-102.85","-57.19","-11.52","34.14","79.81"
"fadox","906.61","1083.56","1260.51","1437.46","1614.40"
"fadred","926.43","1114.79","1303.16","1491.52","1679.89"
"fadenzox","906.61","1083.56","1260.51","1437.46","1614.40"
"fadenzred","876.71","1065.07","1253.44","1441.80","1630.17"
"ferredoxinox","-0.81","-0.81","-0.81","-0.81","-0.81"
"ferredoxinred","38.07","38.07","38.07","38.07","38.07"
"fmnox","554.41","662.86","771.31","879.77","988.22"
"fmnred","574.23","694.10","813.97","933.84","1053.70"
"formate","-322.46","-316.75","-311.04","-305.34","-299.63"
"fructose","-563.31","-494.81","-426.32","-357.82","-289.33"
"fructose6phos","-1445.66","-1379.42","-1315.74","-1252.84","-1190.04"
"fructose16phos","-2326.42","-2264.57","-2206.78","-2149.62","-2092.54"
"fumarate","-546.67","-535.02","-523.58","-512.16","-500.74"
"galactose","-556.73","-488.23","-419.74","-351.24","-282.75"
"galactose1phos","-1440.96","-1375.09","-1311.60","-1248.72","-1185.93"
"glucose","-563.70","-495.20","-426.71","-358.21","-289.72"
"glucose1phos","-1442.86","-1376.01","-1311.89","-1248.92","-1186.11"
"glucose6phos","-1449.53","-1382.88","-1318.92","-1255.98","-1193.18"
"glutamate","-463.48","-417.82","-372.15","-326.49","-280.82"
"glutamine","-234.52","-177.44","-120.36","-63.28","-6.20"
"glutathioneox","877.26","1048.50","1219.74","1390.98","1562.22"
"glutathionered","455.34","546.64","637.62","726.89","813.52"
"glyceraldehydephos","-1147.22","-1116.87","-1088.04","-1059.47","-1030.93"
"glycerol","-262.68","-217.02","-171.35","-125.69","-80.02"
"glycerol3phos","-1163.24","-1118.83","-1077.13","-1036.91","-996.93"
"glycine","-233.16","-204.62","-176.08","-147.54","-119.00"
"glycolate","-443.71","-426.59","-409.46","-392.34","-375.21"
"glycylglycine","-285.40","-239.74","-194.07","-148.41","-102.74"
"glyoxylate","-440.06","-434.35","-428.64","-422.94","-417.23"
"h2aq","76.30","87.72","99.13","110.55","121.96"
"h2g","58.70","70.12","81.53","92.95","104.36"
"h2o","-178.49","-167.07","-155.66","-144.24","-132.83"
"h2o2aq","-75.33","-63.91","-52.50","-41.08","-29.67"
"hydroxypropionateb","-372.46","-343.92","-315.38","-286.84","-258.30"
"hypoxanthine","206.90","229.73","252.56","275.40","298.23"
"indole","429.25","469.21","509.16","549.12","589.07"
"ketoglutarate","-679.25","-656.42","-633.58","-610.75","-587.92"
"lactate","-370.78","-342.24","-313.70","-285.16","-256.62"
"lactose","-921.63","-796.06","-670.48","-544.90","-419.32"
"leucineisoL","37.65","111.85","186.06","260.26","334.47"
"leucineL","29.30","103.50","177.71","251.91","326.12"
"lyxose","-455.64","-398.56","-341.48","-284.40","-227.32"
"malate","-729.49","-705.79","-682.85","-660.00","-637.17"
"maltose","-928.99","-803.42","-677.84","-552.26","-426.68"
"mannitolD","-531.71","-451.80","-371.89","-291.97","-212.06"
"mannose","-557.80","-489.30","-420.81","-352.31","-283.82"
"methaneaq","83.07","105.90","128.73","151.57","174.40"
"methaneg","66.68","89.51","112.34","135.18","158.01"
"methanol","-57.91","-35.08","-12.25","10.59","33.42"
"methionineL","-180.07","-117.28","-54.49","8.29","71.08"
"methylamineion","135.43","169.68","203.93","238.17","272.42"
"n2aq","18.70","18.70","18.70","18.70","18.70"
"n2g","0.00","0.00","0.00","0.00","0.00"
"nadox","762.29","910.70","1059.11","1207.51","1355.92"
"nadred","811.86","965.98","1120.09","1274.21","1428.33"
"nadpox","-108.72","33.98","176.68","319.38","462.08"
"nadpred","-59.05","89.36","237.77","386.18","534.59"
"o2aq","16.40","16.40","16.40","16.40","16.40"
"o2g","0.00","0.00","0.00","0.00","0.00"
"oxalate","-677.26","-677.15","-677.14","-677.14","-677.14"
"oxaloacetate","-737.83","-726.41","-715.00","-703.58","-692.16"
"oxalosuccinate","-1024.72","-1001.89","-979.05","-956.22","-933.39"
"palmitate","649.64","826.59","1003.54","1180.48","1357.43"
"pep","-1218.97","-1203.00","-1189.73","-1178.02","-1166.58"
"pg2","-1396.52","-1368.31","-1341.79","-1317.92","-1294.95"
"pg3","-1402.06","-1373.94","-1347.73","-1324.05","-1301.11"
"phenylalanineL","115.75","178.54","241.33","304.11","366.90"
"pi","-1079.46","-1068.49","-1059.49","-1052.97","-1047.17"
"ppi","-1957.07","-1947.46","-1940.66","-1935.64","-1933.29"
"propanol2","49.57","95.23","140.90","186.56","232.23"
"propanoln","58.99","104.65","150.32","195.98","241.65"
"pyruvate","-385.03","-367.91","-350.78","-333.66","-316.53"
"retinal","821.80","981.62","1141.45","1301.27","1461.10"
"retinol","852.59","1023.83","1195.07","1366.31","1537.55"
"ribose","-445.29","-388.21","-331.13","-274.05","-216.97"
"ribose1phos","-1320.16","-1264.30","-1211.14","-1159.50","-1108.09"
"ribose5phos","-1328.24","-1272.38","-1219.22","-1167.58","-1116.17"
"ribulose","-442.44","-385.36","-328.28","-271.20","-214.12"
"serineL","-305.42","-265.46","-225.51","-185.55","-145.60"
"sorbose","-559.75","-491.25","-422.76","-354.26","-285.77"
"succinate","-578.32","-553.72","-530.64","-507.79","-484.95"
"succinylcoA","-393.33","-370.32","-347.47","-324.63","-301.80"
"sucrose","-919.00","-793.43","-667.85","-542.27","-416.69"
"thioredoxinox","0.00","0.00","0.00","0.00","0.00"
"thioredoxinred","33.33","44.70","55.74","64.03","66.35"
"tryptophaneL","237.50","306.00","374.49","442.99","511.48"
"tyrosineL","-47.85","14.94","77.73","140.51","203.30"
"ubiquinoneox","2641.49","3155.21","3668.94","4182.66","4696.38"
"ubiquinonered","2610.27","3135.41","3660.55","4185.69","4710.83"
"urate","-238.66","-221.54","-204.41","-187.29","-170.16"
"urea","-85.40","-62.57","-39.74","-16.90","5.93"
"uricacid","-239.50","-216.67","-193.84","-171.00","-148.17"
"valineL","-35.80","26.99","89.78","152.56","215.35"
"xylose","-456.99","-399.91","-342.83","-285.75","-228.67"
"xylulose","-452.65","-395.57","-338.49","-281.41","-224.33"
