"groups","est_dG"
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",3.67
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ethanol : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | acetaldehyde : 1",5.78
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | Origin : -1 | heteroaromatic : -1 | >CH- : -1 | -CH3 : -2 | ring -CH2- : 1 | NADH : 1 | H : 1 | acetone : 1",0.94
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | OCCC : 1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",3.67
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | -CH=O : 1",5.22
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | >CH- : -1 | ring -CH2- : 1 | NADH : 1 | H : 1",3.76
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.57
"ring -N< : 1 | ring -CH< : 4 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -5 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C< : 1",1.77
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.57
"ring -N< : 1 | ring -CH< : 2 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | -CH2- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -3 | ring -CH2- : 2 | NADH : 1 | H : 1 | ring >C< : 1",3.81
"ring -N< : 1 | ring -CH< : 3 | ring =CH- : -1 | ring -O- : 1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | >CH- : -4 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C< : 1",2.01
