"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R00001","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00002","Not calculated","Not calculated","Involves unknown structures"
"R00004",-5.39,1.22,
"R00005",-9.62,1.78,
"R00006",10.53,0.73,
"R00008",3.17,0.44,
"R00009",-45.35,1.5,
"R00010",-3.11,0.69,
"R00011","Not calculated","Not calculated","Charge imbalanced"
"R00012",1.07,0.75,
"R00013",-10.57,0.68,
"R00014",-6.87,0.76,
"R00015",0,2,
"R00016",0,2,
"R00017","Not calculated","Not calculated","Involves unknown structures"
"R00018",-0.52,1.1,
"R00019","Not calculated","Not calculated","Involves unknown structures"
"R00021","Not calculated","Not calculated","Involves unknown structures"
"R00022",-3.11,0.69,
"R00023",18.47,6.85,
"R00024",-7.91,0.76,
"R00025","Not calculated","Not calculated","Involves groups with unknown energies"
"R00026",-3.11,0.69,
"R00027",2.47,0.49,
"R00028",-3.11,0.69,
"R00029","Not calculated","Not calculated","Involves unknown structures"
"R00031",-82.88,0.89,
"R00032",-87.46,1.51,
"R00033",-26.49,0.74,
"R00034","Not calculated","Not calculated","Charge imbalanced"
"R00035",-103.89,3.01,
"R00036",-15.3,1.69,
"R00038",-4.02,0.42,
"R00039",0,2,
"R00040",-98.33,1.2,
"R00041","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00042",-136.56,1.23,
"R00043",-83.78,1.23,
"R00044",-121.35,4.77,
"R00045",-79.73,3.53,
"R00047",-83.08,1.26,
"R00048",-2.14,0.68,
"R00049",0,2,
"R00052","Not calculated","Not calculated","Involves unknown structures"
"R00053",-2.14,0.68,
"R00054",-2.14,0.68,
"R00055",-98.33,1.2,
"R00056",-9.31,0.75,
"R00057",-102.94,3.67,
"R00058",-82.17,3.6,
"R00059",-0.46,0.85,
"R00060","Not calculated","Not calculated","Involves unknown structures"
"R00061","Not calculated","Not calculated","Involves unknown structures"
"R00062",0,2,
"R00063",0,2,
"R00064",-8.55,2.73,
"R00066","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00067","Not calculated","Not calculated","Involves unknown structures"
"R00068",-103.89,3.01,
"R00069",134.22,2.3,
"R00070",-84.11,5.3,
"R00071",82.88,0.89,
"R00072",-41.51,0.89,
"R00073",-50.32,0.96,
"R00074",-286.3,7.35,
"R00075",-34.08,6.67,
"R00076","Not calculated","Not calculated","Involves unknown structures"
"R00077","Not calculated","Not calculated","Involves unknown structures"
"R00078",-8.17,3.04,
"R00080",-264.92,7.48,
"R00081","Not calculated","Not calculated","Involves unknown structures"
"R00082","Not calculated","Not calculated","Involves unknown structures"
"R00083","Not calculated","Not calculated","Charge imbalanced"
"R00084",-25.97,2.61,
"R00085",-13.63,1.44,
"R00086",-6.82,0.72,
"R00087",-8.24,0.75,
"R00088",-8.48,1.32,
"R00089",1.05,2.18,
"R00090",-77.06,1.53,
"R00091",2.92,2.04,
"R00092",50.3,1.76,
"R00093",13.41,1.25,
"R00094",2.92,2.04,
"R00095","Not calculated","Not calculated","Charge imbalanced"
"R00097","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00098","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00099","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00100","Not calculated","Not calculated","Involves unknown structures"
"R00101","Not calculated","Not calculated","Involves unknown structures"
"R00102",-3.67,1.02,
"R00103",-9.31,0.75,
"R00104",-4.5,0.24,
"R00105",-4.5,0.24,
"R00106","Not calculated","Not calculated","Involves unknown structures"
"R00107","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00108","Not calculated","Not calculated","Involves unknown structures"
"R00109","Not calculated","Not calculated","Involves unknown structures"
"R00110","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00111","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00112",0,2,
"R00113",-77.06,1.53,
"R00114",13.41,1.25,
"R00115",2.92,2.04,
"R00116",2.92,2.04,
"R00118",-2.32,0.74,
"R00119",-3.67,1.02,
"R00120",-28.79,1.89,
"R00121","Not calculated","Not calculated","Charge imbalanced"
"R00122",-6.82,0.72,
"R00123",-8.48,1.32,
"R00124",0,2,
"R00125",-9.31,0.75,
"R00126",2.5,0.74,
"R00127",0,2,
"R00128",-6.82,0.72,
"R00129",-13.1,0.86,
"R00130",-4.5,0.24,
"R00131",-5.75,1.32,
"R00132",0.84,0.87,
"R00134",-3.09,1.26,
"R00135","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00136","Not calculated","Not calculated","Involves groups with unknown energies"
"R00137",1.07,0.75,
"R00138","Not calculated","Not calculated","Involves groups with unknown energies"
"R00139",0,2,
"R00140",0,2,
"R00141","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00143",22.97,1.49,
"R00144","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00145",9.93,1.34,
"R00146",9.93,1.34,
"R00147","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00148","Not calculated","Not calculated","Charge imbalanced"
"R00149",-7.38,1.16,
"R00150",-0.56,0.9,
"R00152","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00153","Not calculated","Not calculated","Involves unknown structures"
"R00155",-6.82,0.72,
"R00156",0,2,
"R00157",0,2,
"R00158",0,2,
"R00159",-6.82,0.72,
"R00160","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00161","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00162","Not calculated","Not calculated","Involves unknown structures"
"R00164","Not calculated","Not calculated","Involves unknown structures"
"R00165","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00166","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00167","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00168","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00169","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00170","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00171","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00172","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00173",-2.32,0.74,
"R00174",-4.5,0.24,
"R00175",-7.47,2.24,
"R00177",3.09,2.36,
"R00178",-3.09,0.54,
