H2O,C00001,H2O2,C00027,0.75
ATP,C00002,dATP,C00131,0.75
Adenosine 5'-triphosphate,C00002,Guanosine 5'-triphosphate,C00044,0.88
Adenosine 5'-triphosphate,C00002,Inosine 5'-triphosphate,C00081,0.88
Adenosine 5'-triphosphate,C00002,Cytidine 5'-triphosphate,C00063,0.76
Adenosine 5'-triphosphate,C00002,Uridine 5'-triphosphate,C00075,0.76
Adenosine 5'-triphosphate,C00002,2'-Deoxyinosine 5'-triphosphate,C01345,0.741935483871
Adenosine 5'-triphosphate,C00002,Deoxyguanosine 5'-triphosphate,C00286,0.733333333333
NAD,C00003,NADH,C00004,0.75
NAD,C00003,NADP,C00006,0.75
NADP,C00006,NADPH,C00005,0.8
ADP,C00008,NADP,C00006,0.75
ADP,C00008,dADP,C00206,0.75
Adenosine 5'-diphosphate,C00008,Guanosine 5'-diphosphate,C00035,0.875
Adenosine 5'-diphosphate,C00008,Inosine 5'-diphosphate,C00104,0.875
Adenosine 5'-diphosphate,C00008,Uridine 5'-diphosphate,C00015,0.75
Adenosine 5'-diphosphate,C00008,Cytidine 5'-diphosphate,C00112,0.75
Adenosine 5'-diphosphate,C00008,2'-Deoxyinosine 5'-diphosphate,C01344,0.733333333333
Adenosine 5'-diphosphate,C00008,6-Thioinosine-5'-diphosphate,C16616,0.714285714286
Orthophosphate,C00009,Pyrophosphate,C00013,0.714285714286
Phosphoric acid,C00009,Triphosphoric acid,C00536,0.833333333333
Coenzyme A,C00010,Coenzyme R,C00120,0.8
Coenzyme A,C00010,Coenzyme M,C03576,0.8
Coenzyme A,C00010,Coenzyme B,C04628,0.8
Coenzyme A,C00010,Coenzyme Q6,C17568,0.727272727273
Coenzyme A,C00010,Coenzyme Q8,C17569,0.727272727273
CO2,C00011,Co2+,C00175,0.75
Carbon dioxide,C00011,Carbon monoxide,C00237,0.733333333333
UDP,C00015,dUDP,C01346,0.75
Uridine 5'-diphosphate,C00015,Cytidine 5'-diphosphate,C00112,0.869565217391
Uridine 5'-diphosphate,C00015,Inosine 5'-diphosphate,C00104,0.818181818182
Uridine 5'-diphosphate,C00015,Guanosine 5'-diphosphate,C00035,0.791666666667
Pyridoxal 5-phosphate,C00018,Pyridoxine 5-phosphate,C00627,0.818181818182
Pyridoxal 5-phosphate,C00018,Pyridoxamine 5-phosphate,C00647,0.791666666667
Pyridoxal 5-phosphate,C00018,Xylitol 5-phosphate,C02895,0.761904761905
Pyridoxal 5-phosphate,C00018,Ribitol 5-phosphate,C01068,0.714285714286
S-Adenosylmethionine,C00019,N-Acetylmethionine,C02712,0.7
AMP,C00020,dAMP,C00360,0.75
AMP,C00020,cAMP,C00575,0.75
AMP,C00020,AMPA,C11033,0.75
Adenosine 5'-monophosphate,C00020,Inosine 5'-monophosphate,C00130,0.884615384615
Adenosine 5'-monophosphate,C00020,Guanosine 5'-monophosphate,C00144,0.884615384615
Adenosine 5'-monophosphate,C00020,Adenosine-2'-monophosphate,C00946,0.884615384615
Adenosine 5'-monophosphate,C00020,Uridine 5'-monophosphate,C00105,0.769230769231
Adenosine 5'-monophosphate,C00020,6-Thioinosine-5'-monophosphate,C04646,0.733333333333
5'-Adenosine monophosphate,C00020,Deoxyguanosine monophosphate,C00362,0.714285714286
Adenosine 5'-phosphate,C00020,Xanthosine 5'-phosphate,C00655,0.826086956522
Adenosine 5'-phosphate,C00020,Guanosine 3'-phosphate,C06193,0.818181818182
Adenosine 5'-phosphate,C00020,Pyridoxine 5'-phosphate,C00627,0.739130434783
S-Adenosyl-L-homocysteine,C00021,S-Inosyl-L-homocysteine,C03431,0.8
S-Adenosyl-L-homocysteine,C00021,S-Ribosyl-L-homocysteine,C03539,0.76
2-Oxopropanoate,C00022,3-Oxopropanoate,C00222,0.866666666667
