# Copyright SRI International 1999-2010, Marine Biological Laboratory 1998-2001, DoubleTwist Inc 1998-1999.  All Rights Reserved.
#
# Authors:
#    Peter D. Karp
#    Ingrid  Keseler
#    Alexander  Shearer
#    Carol  Fulcher
#    Malabika  Sarker
#    Anamika  Kothari
#    Suzanne  Paley
#    Markus  Krummenacker
#    Tomer  Altman
#    Ian  Paulsen
#    Amanda  Mackie
#    Julio  Collado-Vides
#    Cesar  Bonavides-Martinez
#    Socorro  Gama-Castro
#    Martin  Peralta
#    Alberto  Santos-Zavaleta
#    Verena  Weiss
#    John L Ingraham
#    Robert  Gunsalus
#
# Please see the license agreement regarding the use of and distribution of this file.
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html .
#
# Species: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 14.6
# File Name: reactions.dat
# Date and time generated: December 6, 2010, 12:36:01
#
# Attributes:
#    UNIQUE-ID
#    TYPES
#    COMMON-NAME
#    CANNOT-BALANCE?
#    CITATIONS
#    COMMENT
#    CREDITS
#    DATA-SOURCE
#    DBLINKS
#    DELTAG0
#    DOCUMENTATION
#    EC-NUMBER
#    ENZYMATIC-REACTION
#    ENZYMES-NOT-USED
#    EQUILIBRIUM-CONSTANT
#    HIDE-SLOT?
#    IN-PATHWAY
#    INSTANCE-NAME-TEMPLATE
#    LEFT
#    MEMBER-SORT-FN
#    OFFICIAL-EC?
#    ORPHAN?
#    PREDECESSORS
#    PRIMARIES
#    REACTION-DIRECTION
#    REACTION-LIST
#    REGULATED-BY
#    REQUIREMENTS
#    RIGHT
#    SIGNAL
#    SPECIES
#    SPONTANEOUS?
#    STD-REDUCTION-POTENTIAL
#    SYNONYMS
#    SYSTEMATIC-NAME
#
UNIQUE-ID - RXN0-6505
TYPES - Protein-Reactions
TYPES - Binding-Reactions
IN-PATHWAY - PWY0-1493
LEFT - PD02233
LEFT - RCSB-MONOMER
REACTION-DIRECTION - LEFT-TO-RIGHT
RIGHT - PC00084
//
UNIQUE-ID - R131-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [93385104]
CITATIONS - [99459253]
CITATIONS - [392507]
CITATIONS - [99428636]
LEFT - BIOTINLIG-MONOMER
LEFT - BIO-5-AMP
RIGHT - MONOMER-48
//
UNIQUE-ID - R133-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [9202008]
LEFT - PD04028
LEFT - CYTIDINE
//
UNIQUE-ID - R134-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [1505031]
CITATIONS - [10739923]
CITATIONS - [1569108]
CITATIONS - [9837950]
LEFT - PD01520
LEFT - ACYL-COA
RIGHT - MONOMER-51
//
UNIQUE-ID - R136-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [94047069]
CITATIONS - [9382703]
CITATIONS - [8655535]
LEFT - PC00061
LEFT - FRU1P
RIGHT - CPLX-127
//
UNIQUE-ID - R137-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [94047069]
CITATIONS - [8655535]
LEFT - PC00061
LEFT - FRUCTOSE-16-DIPHOSPHATE
RIGHT - CPLX-128
//
UNIQUE-ID - R138-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [8982002]
CITATIONS - [8175668]
LEFT - PD03028
LEFT - GALACTOSE
RIGHT - MONOMER-52
//
UNIQUE-ID - R139-RXN
TYPES - Protein-Ligand-Binding-Reactions
CITATIONS - [8982002]
LEFT - PD00261
