#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
ABA2	Q96375	ABA2	
AG11	Q9M7C9	g-pin2	
AG4	O64404	f-&delta;sel1	
AG5	O64405	f-&gamma;hum	
AG6	Q948Z0	g-cam	
AG8	Q9M7D1	g-&beta;phe	
AG9	Q9M7D0	g-teo	
AGT1		AGT1	
AT1G01290	Q39056	Cnx3	
AT1G01480		ACS2	
AT1G01710		AT1G01710	
AT1G02500	P23686	SAM-1	
AT1G03475	Q9LR75	HEMF1	
AT1G03630	O48741	PORC	
AT1G04580		AAO4	
AT1G05160	O23051	KAO1	
AT1G05530	Q9ZVY5	UGT75B2	
AT1G05560	Q9LR44	UGT75B1	
AT1G05680	Q9SYK9	UGT74E2	
AT1G06290		AT1G06290	
AT1G06820	Q9M9Y8	CRTISO	
AT1G08480	Q941A6	SDH6	
AT1G08510	Q9SJE2	FatB	
AT1G08520	Q9SJE1	CHLD	
AT1G08550	Q39249	NPQ1	
AT1G08830	P24704	CSD1	
AT1G08980		AT1G08980	
AT1G09795		AtATP-PRT2	
AT1G09940	P49294	HEMA2	
AT1G10670		ACLA-1	
AT1G10830	B3H769	Z-ISO	
AT1G11680	Q9SAA9	CYP51G1	
AT1G12350		AtCoaB	
AT1G12780	Q42605	UGE1	
AT1G13560		AAPT1	
AT1G14290		AT1G14290	
AT1G14520	Q8L799	MIOX1	
AT1G14810		AT1G14810	
AT1G15550	Q39103	GA3ox1	
AT1G15710		TyrAAT2	
AT1G15950		CCR1	
AT1G16400		At1g16400	
AT1G16410		At1g16410	
AT1G16540		ABA3	
AT1G17050	Q76FS5	SPS2	
AT1G17745		PGDH	
AT1G18590		AtST5c	
AT1G18640		PSP	
AT1G19640		At1g19640	
AT1G19670	O22527	CLH1	
AT1G19920		APS2	
AT1G20050	O48962	HYD1	
AT1G20330	Q8L7L3	SMT2	
AT1G20510		OPCL1	
AT1G20620		CAT3	
AT1G20630		CAT1	
AT1G21640		NADK2	
AT1G22400	Q9SK82	UGT85A1	
AT1G24100		AT1G24100	
AT1G27450		APT1	
AT1G27980	Q9C509	At1G27980	
AT1G28130		GH3.17	
AT1G30040	Q9XFR9	GA2ox2	
AT1G30530	Q9S9P6	UGT78D1	
AT1G30620	Q9SA77	MUR4	
AT1G31800	Q56YV8	LUT5	
AT1G31860		At-IE	
AT1G32060	P25697	PRK	
AT1G32200	Q43307	ATS1	
AT1G37130		NIA2	
AT1G43710		AtSDC	
AT1G44446	Q9MBA1	CAO	
AT1G47260	Q9C6B3	at1g47260	
AT1G47290	Q0VH36	3&beta;-HSD/D1	
AT1G47420	Q9SX77	SDH5	
AT1G49140	Q9M9B4	at1g49140	
AT1G49430		LACS2	
AT1G49530	Q9XIC0	GGPS6	
AT1G50430	Q9LDU6	DWF5	
AT1G50480		THFS	
AT1G50960	Q9C6I4	GA2ox7	
AT1G51680	Q42524	4CL1	
AT1G51980	O04308	at1g51980	
AT1G52340	Q9C826	ABA2	
AT1G52400	Q9SE50	BG1	
AT1G53500	Q9LPG6	MUM4	
AT1G54040		AT1G54040	
AT1G55920		SAT1	
AT1G57750		AT1G57750	
AT1G58080		AtATP-PRT1	
AT1G58290	P42804	HEMA1	
AT1G59500		GH3.4	
AT1G60440		AtPANK1	
AT1G60600		ABC4	
AT1G61120		GES	
AT1G61720		<i>AtBAN</i>	
AT1G62180		APR2	
AT1G62430		AT1G62430	
