"EC1","EC2","EC3","EC4","Compound ID (KEGG)","Reaction ID (KEGG)","Reaction direction (KEGG)","Organism ID","Publication ID","Temperature","pH","KM (uM)","kcat (1/sec)"
1,1,1,1,84,754,1,7,2819000,"NaN","NaN",3400,"NaN"
1,1,1,1,84,754,1,7,6395900,"NaN","NaN",85,"NaN"
1,1,1,1,84,754,1,8,6354100,"NaN","NaN",217,"NaN"
1,1,1,1,84,754,1,9,3282500,"NaN","NaN",2830,"NaN"
1,1,1,1,84,754,1,12,3156600,"NaN","NaN",53,"NaN"
1,1,1,1,84,754,1,14,-20,"NaN","NaN",1450,"NaN"
1,1,1,1,84,754,1,14,-13,"NaN","NaN",1250,"NaN"
1,1,1,1,84,754,1,16,8166600,"NaN","NaN",85000,"NaN"
1,1,1,1,84,754,1,28,-23,"NaN","NaN",194,"NaN"
1,1,1,1,84,754,1,30,-7,"NaN","NaN",6000,"NaN"
1,1,1,1,84,754,1,31,-12,"NaN","NaN",86,"NaN"
1,1,1,1,84,754,1,34,-3,"NaN","NaN",7050,"NaN"
1,1,1,1,84,754,1,37,-15,"NaN","NaN",600,"NaN"
1,1,1,1,84,754,1,42,8491700,"NaN","NaN",1800,"NaN"
1,1,1,1,84,754,1,46,12834000,25,5.5,300,"NaN"
1,1,1,1,84,754,1,46,12834000,25,6,24000,"NaN"
1,1,1,1,84,754,1,56,-22,"NaN","NaN",8.6,"NaN"
1,1,1,1,84,754,1,65,7011400,"NaN",7,100,16.7
1,1,1,1,84,754,1,72,18189000,40,9,59,0.3
1,1,1,1,84,754,1,72,18189000,70,9,13,5.4
1,1,1,1,84,754,1,77,-25,"NaN",8.5,1900,"NaN"
1,1,1,1,84,754,1,89,17647000,33,7,920,"NaN"
1,1,1,1,84,754,1,30,20851,"NaN","NaN","NaN",31.8
1,1,1,1,376,2124,1,7,15370000,25,7.5,11,1.83
1,1,1,1,376,2124,1,30,-24,"NaN","NaN",260,2.5
1,1,1,1,469,754,-1,3,6796100,"NaN","NaN",8920,"NaN"
1,1,1,1,469,754,-1,4,15096000,25,7.5,480,41.3
1,1,1,1,469,754,-1,4,15096000,25,10.5,830,215
1,1,1,1,469,754,-1,6,11964000,25,7.5,10600,"NaN"
1,1,1,1,469,754,-1,7,-6,"NaN","NaN",1800,"NaN"
1,1,1,1,469,754,-1,7,236460,"NaN",10.8,450,"NaN"
1,1,1,1,469,754,-1,7,2099100,"NaN","NaN",18000,"NaN"
1,1,1,1,469,754,-1,7,2819000,"NaN","NaN",840,"NaN"
1,1,1,1,469,754,-1,7,2819000,70,9,22,"NaN"
1,1,1,1,469,754,-1,7,6342700,"NaN","NaN",1500,"NaN"
1,1,1,1,469,754,-1,7,6342700,"NaN","NaN",1700,4
1,1,1,1,469,754,-1,7,6395900,"NaN","NaN",49,"NaN"
1,1,1,1,469,754,-1,7,6397200,"NaN","NaN","1.20E+05",7.83
1,1,1,1,469,754,-1,7,7876100,"NaN","NaN",28000,30.7
1,1,1,1,469,754,-1,7,11964000,25,7.5,9000,0.175
1,1,1,1,469,754,-1,8,-6,"NaN",10,800,"NaN"
1,1,1,1,469,754,-1,8,3816800,"NaN","NaN",1400,"NaN"
1,1,1,1,469,754,-1,8,3816800,"NaN",7.5,"5.00E+06","NaN"
1,1,1,1,469,754,-1,8,3816800,"NaN",10,"3.40E+05",62.7
1,1,1,1,469,754,-1,8,6354100,"NaN","NaN",760,"NaN"
1,1,1,1,469,754,-1,9,-25,"NaN",8.5,13000,"NaN"
1,1,1,1,469,754,-1,9,3282500,"NaN","NaN",16700,"NaN"
1,1,1,1,469,754,-1,9,11893000,25,7.5,39000,"NaN"
1,1,1,1,469,754,-1,9,16661000,25,7.5,12000,"NaN"
1,1,1,1,469,754,-1,9,17073000,10,9,9030,1.15
1,1,1,1,469,754,-1,9,17073000,20,9,5700,0.152
1,1,1,1,469,754,-1,9,17073000,30,9,8560,"NaN"
1,1,1,1,469,754,-1,9,17073000,40,9,12100,"NaN"
1,1,1,1,469,754,-1,9,18318000,"NaN","NaN",14000,"NaN"
1,1,1,1,469,754,-1,11,3161900,"NaN",7.5,3330,"NaN"
1,1,1,1,469,754,-1,12,3156600,"NaN","NaN",1300,"NaN"
1,1,1,1,469,754,-1,14,-20,"NaN","NaN",3500,"NaN"
1,1,1,1,469,754,-1,16,8166600,"NaN","NaN",24000,"NaN"
1,1,1,1,469,754,-1,17,-7,"NaN",8.8,16000,"NaN"
1,1,1,1,469,754,-1,21,9161600,"NaN","NaN",1640,"NaN"
1,1,1,1,469,754,-1,22,-17,23,"NaN",20000,"NaN"
1,1,1,1,469,754,-1,22,-17,27,"NaN",25000,"NaN"
1,1,1,1,469,754,-1,22,-17,33,"NaN",30000,"NaN"
1,1,1,1,469,754,-1,22,-17,43,"NaN",41300,"NaN"
1,1,1,1,469,754,-1,26,9161600,"NaN","NaN",29900,"NaN"
1,1,1,1,469,754,-1,27,8730200,"NaN","NaN",500,9.58
1,1,1,1,469,754,-1,28,-23,"NaN","NaN",4680,"NaN"
1,1,1,1,469,754,-1,30,-7,"NaN",6.1,"1.18E+05","NaN"
1,1,1,1,469,754,-1,30,-7,"NaN",7,42000,"NaN"
1,1,1,1,469,754,-1,30,-7,"NaN",10,7000,"NaN"
1,1,1,1,469,754,-1,30,20851,"NaN","NaN",40000,1.27
1,1,1,1,469,754,-1,30,7011400,"NaN",7.5,4000,"NaN"
1,1,1,1,469,754,-1,30,12185000,37,7.3,2460,"NaN"
1,1,1,1,469,754,-1,31,-12,"NaN","NaN",4800,"NaN"
1,1,1,1,469,754,-1,34,-3,"NaN","NaN",47300,"NaN"
1,1,1,1,469,754,-1,35,640170,"NaN",9.2,700,"NaN"
1,1,1,1,469,754,-1,35,3115800,"NaN","NaN",260,1.88
1,1,1,1,469,754,-1,35,8555200,55,"NaN","1.84E+05",0.85
1,1,1,1,469,754,-1,41,9161600,"NaN","NaN",60,"NaN"
1,1,1,1,469,754,-1,42,8491700,"NaN","NaN",150,"NaN"
1,1,1,1,469,754,-1,43,16390000,"NaN","NaN",5380,"NaN"
1,1,1,1,469,754,-1,46,12834000,25,8.5,2300,"NaN"
1,1,1,1,469,754,-1,52,9161600,"NaN","NaN",8700,"NaN"
1,1,1,1,469,754,-1,54,2790000,"NaN","NaN",8100,6.63
1,1,1,1,469,754,-1,56,-22,"NaN","NaN",2500,"NaN"
1,1,1,1,469,754,-1,58,6796100,"NaN","NaN",6440,"NaN"
1,1,1,1,469,754,-1,61,6796100,"NaN","NaN",5220,"NaN"
1,1,1,1,469,754,-1,64,2943300,"NaN","NaN",6000,"NaN"
1,1,1,1,469,754,-1,65,7011400,"NaN",7.5,180,0.0833
1,1,1,1,469,754,-1,65,7011400,"NaN",10,5000,0.45
1,1,1,1,469,754,-1,67,-13,"NaN","NaN",22200,"NaN"
1,1,1,1,469,754,-1,70,8365400,"NaN","NaN",1230,0.467
1,1,1,1,469,754,-1,72,18189000,40,9,340,"NaN"
1,1,1,1,469,754,-1,74,-26,"NaN","NaN",5110,"NaN"
1,1,1,1,469,754,-1,75,12031000,50,10,24200,"NaN"
1,1,1,1,469,754,-1,80,16390000,"NaN","NaN",6660,"NaN"
1,1,1,1,469,754,-1,81,17073000,10,9,190,39.9
1,1,1,1,469,754,-1,81,17073000,20,9,147,34
1,1,1,1,469,754,-1,81,17073000,30,9,168,109.5
1,1,1,1,469,754,-1,81,17073000,40,9,248,10
1,1,1,1,469,754,-1,81,17073000,50,9,430,"NaN"
1,1,1,1,469,754,-1,81,17073000,60,9,1040,"NaN"
1,1,1,1,469,754,-1,35,17825000,65,10.5,1330,"NaN"
1,1,1,1,469,754,-1,84,8550400,"NaN",10,17.2,"NaN"
1,1,1,1,469,754,-1,88,17990000,"NaN","NaN",56,0.00086
1,1,1,1,469,754,-1,89,17647000,33,8,6800,"NaN"
1,1,1,1,469,754,-1,7,236460,"NaN","NaN","NaN",2.5
1,1,1,1,469,754,-1,7,836290,"NaN",7.5,"NaN",0.7
1,1,1,1,469,754,-1,7,836290,"NaN",10,"NaN",10.2
1,1,1,1,469,754,-1,27,3178800,"NaN","NaN","NaN",8
1,1,1,1,469,754,-1,30,8532700,"NaN","NaN","NaN",308
1,1,1,1,469,754,-1,35,8555200,"NaN",9.2,"NaN",0.5
1,1,1,1,469,754,-1,65,7011400,"NaN","NaN","NaN",0.567
1,1,1,1,469,754,-1,65,7011400,40,"NaN","NaN",0.4
1,1,1,1,469,754,-1,72,18189000,70,9,"NaN",8.2
1,1,1,1,473,2124,-1,7,7876100,"NaN","NaN",9,0.4
1,1,1,1,473,2124,-1,7,8730200,"NaN","NaN",30,"NaN"
1,1,1,1,473,2124,-1,7,11964000,25,7.5,11,0.11
1,1,1,1,473,2124,-1,7,15370000,"NaN","NaN",33,"NaN"
1,1,1,1,473,2124,-1,7,15370000,25,7.5,23,0.9
1,1,1,1,473,2124,-1,27,8730200,"NaN","NaN",20,1.9
1,1,1,1,473,2124,-1,30,-24,"NaN","NaN",59,1.55
1,1,1,1,473,2124,-1,27,3178800,"NaN","NaN","NaN",1.3
1,1,1,2,84,746,1,6,18212000,37,7,28470,53.5
1,1,1,2,84,746,1,8,6416300,"NaN","NaN",3800,"NaN"
1,1,1,2,84,746,1,9,9327600,"NaN","NaN","1.58E+05","NaN"
1,1,1,2,84,746,1,71,10474000,"NaN","NaN",7000,"NaN"
1,1,1,2,84,746,1,553,9209100,"NaN","NaN",130,"NaN"
1,1,1,2,84,746,1,555,8135500,"NaN","NaN",400,"NaN"
1,1,1,2,84,746,1,556,-216,"NaN","NaN",44800,"NaN"
1,1,1,2,84,746,1,556,8068000,"NaN","NaN",250,"NaN"
1,1,1,2,84,746,1,48,15556000,25,8,2330,"NaN"
1,1,1,2,84,746,1,576,17294000,80,8,3100,15
1,1,1,2,116,1041,-1,96,4402900,"NaN","NaN","7.75E+05",0.612
1,1,1,2,116,1041,-1,7,16919,"NaN","NaN","NaN",0.0283
1,1,1,2,469,746,-1,71,10474000,"NaN","NaN",70000,"NaN"
1,1,1,2,469,746,-1,176,-215,"NaN","NaN",13,"NaN"
1,1,1,2,469,746,-1,553,9209100,"NaN","NaN",10000,"NaN"
1,1,1,2,469,746,-1,555,8135500,"NaN","NaN",11100,"NaN"
1,1,1,2,469,746,-1,556,-216,"NaN","NaN",16400,"NaN"
1,1,1,2,469,746,-1,556,8068000,"NaN","NaN",25000,"NaN"
1,1,1,2,469,746,-1,48,15556000,25,8,500,"NaN"
1,1,1,2,469,746,-1,576,17294000,80,11,9700,14
1,1,1,2,577,1041,1,96,6989600,"NaN","NaN",4500,"NaN"
1,1,1,2,577,1041,1,559,6343100,"NaN","NaN",430,"NaN"
1,1,1,2,577,1041,1,96,4402900,"NaN","NaN","NaN",14.4
1,1,1,3,4,1773,1,15,-405,"NaN","NaN",460,"NaN"
1,1,1,3,4,1773,1,111,7550000,"NaN","NaN",300,"NaN"
1,1,1,3,5,1775,1,6,8444900,"NaN","NaN",90,"NaN"
1,1,1,3,5,1775,1,10,-406,"NaN","NaN",31,"NaN"
1,1,1,3,5,1775,1,10,762130,"NaN","NaN",36,"NaN"
1,1,1,3,5,1775,1,15,-405,"NaN","NaN",27,"NaN"
1,1,1,3,5,1775,1,16,762130,"NaN","NaN",40,"NaN"
1,1,1,3,6,1775,-1,6,8444900,"NaN","NaN",73,"NaN"
1,1,1,3,6,1775,-1,234,11812000,37,8,166,"NaN"
1,1,1,3,6,1775,-1,1021,4144700,"NaN","NaN",180,"NaN"
1,1,1,3,263,1773,-1,6,8444900,"NaN","NaN",13,"NaN"
1,1,1,3,263,1773,-1,6,11888000,"NaN","NaN",410,24
1,1,1,3,263,1773,-1,234,11812000,37,8,5200,"NaN"
1,1,1,3,263,1775,-1,6,8444900,"NaN","NaN",13,"NaN"
1,1,1,3,263,1775,-1,6,11888000,"NaN","NaN",410,24
1,1,1,3,263,1775,-1,234,11812000,37,8,5200,"NaN"
1,1,1,3,441,1773,1,6,8444900,"NaN","NaN",170,"NaN"
1,1,1,3,441,1773,1,10,762130,"NaN","NaN",150,"NaN"
1,1,1,3,441,1773,1,14,-405,"NaN","NaN",100,"NaN"
1,1,1,3,441,1773,1,15,-407,"NaN","NaN",80,"NaN"
1,1,1,3,441,1773,1,15,-405,"NaN","NaN",66,"NaN"
1,1,1,3,441,1773,1,111,-407,"NaN","NaN",500,"NaN"
1,1,1,3,441,1775,1,6,8444900,"NaN","NaN",170,"NaN"
1,1,1,3,441,1775,1,10,762130,"NaN","NaN",150,"NaN"
1,1,1,3,441,1775,1,14,-405,"NaN","NaN",100,"NaN"
1,1,1,3,441,1775,1,15,-407,"NaN","NaN",80,"NaN"
1,1,1,3,441,1775,1,15,-405,"NaN","NaN",66,"NaN"
1,1,1,3,441,1775,1,111,-407,"NaN","NaN",500,"NaN"
1,1,1,4,3,2855,-1,9,11306000,"NaN","NaN",550,"NaN"
1,1,1,4,3,2855,-1,136,16391000,"NaN","NaN",600,"NaN"
1,1,1,4,3,2855,-1,405,2040300,"NaN","NaN",160,"NaN"
1,1,1,4,3,2855,-1,1211,25056,"NaN","NaN",200,"NaN"
1,1,1,4,3,2946,-1,9,11306000,"NaN","NaN",550,"NaN"
1,1,1,4,3,2946,-1,136,16391000,"NaN","NaN",600,"NaN"
1,1,1,4,3,2946,-1,405,2040300,"NaN","NaN",160,"NaN"
1,1,1,4,3,2946,-1,1211,25056,"NaN","NaN",200,"NaN"
1,1,1,4,4,2855,1,9,11306000,"NaN","NaN",55,"NaN"
1,1,1,4,4,2855,1,136,16391000,"NaN","NaN",97,"NaN"
1,1,1,4,4,2855,1,1211,25056,"NaN","NaN",100,"NaN"
1,1,1,4,4,2946,1,9,11306000,"NaN","NaN",55,"NaN"
1,1,1,4,4,2946,1,136,16391000,"NaN","NaN",97,"NaN"
1,1,1,4,4,2946,1,1211,25056,"NaN","NaN",100,"NaN"
1,1,1,4,741,2855,1,405,2040300,"NaN","NaN",1600,"NaN"
1,1,1,4,741,2855,1,1211,25056,"NaN","NaN",87000,"NaN"
1,1,1,5,3,2343,-1,4,11883000,25,7,990,55
1,1,1,5,3,2343,-1,7,11883000,25,7,850,1.5
1,1,1,5,3,2343,-1,8,11883000,25,7,1500,41
1,1,1,5,3,2343,-1,101,11883000,25,7,910,44
1,1,1,5,3,2343,-1,169,4144800,"NaN",7,180,"NaN"
1,1,1,5,3,2855,-1,4,11883000,25,7,990,55
1,1,1,5,3,2855,-1,7,11883000,25,7,850,1.5
1,1,1,5,3,2855,-1,8,11883000,25,7,1500,41
1,1,1,5,3,2855,-1,101,11883000,25,7,910,44
1,1,1,5,3,2855,-1,169,4144800,"NaN",7,180,"NaN"
1,1,1,5,4,2343,1,0,-571,"NaN","NaN",501,"NaN"
1,1,1,5,4,2343,1,4,11883000,25,7,220,41
1,1,1,5,4,2343,1,6,6755200,"NaN","NaN",460,"NaN"
1,1,1,5,4,2343,1,7,11883000,25,7,170,3.8
1,1,1,5,4,2343,1,8,11883000,25,7,360,23
1,1,1,5,4,2343,1,27,11306000,"NaN","NaN",118,"NaN"
1,1,1,5,4,2343,1,55,-570,"NaN","NaN",45,"NaN"
1,1,1,5,4,2343,1,95,11883000,25,7,690,76
1,1,1,5,4,2343,1,101,11883000,25,7,120,8
1,1,1,5,4,2343,1,128,6755200,"NaN","NaN",100,"NaN"
1,1,1,5,4,2343,1,169,4144800,"NaN",7,9,"NaN"
1,1,1,5,4,2343,1,572,-572,"NaN","NaN",30,"NaN"
1,1,1,5,4,2343,1,946,-571,"NaN","NaN",20,"NaN"
1,1,1,5,4,2343,1,1070,4124,"NaN",6.3,116,"NaN"
1,1,1,5,4,2855,1,0,-571,"NaN","NaN",501,"NaN"
1,1,1,5,4,2855,1,4,11883000,25,7,220,41
1,1,1,5,4,2855,1,6,6755200,"NaN","NaN",460,"NaN"
1,1,1,5,4,2855,1,7,11883000,25,7,170,3.8
1,1,1,5,4,2855,1,8,11883000,25,7,360,23
1,1,1,5,4,2855,1,27,11306000,"NaN","NaN",118,"NaN"
1,1,1,5,4,2855,1,55,-570,"NaN","NaN",45,"NaN"
1,1,1,5,4,2855,1,95,11883000,25,7,690,76
1,1,1,5,4,2855,1,101,11883000,25,7,120,8
1,1,1,5,4,2855,1,128,6755200,"NaN","NaN",100,"NaN"
1,1,1,5,4,2855,1,169,4144800,"NaN",7,9,"NaN"
1,1,1,5,4,2855,1,572,-572,"NaN","NaN",30,"NaN"
1,1,1,5,4,2855,1,946,-571,"NaN","NaN",20,"NaN"
1,1,1,5,4,2855,1,1070,4124,"NaN",6.3,116,"NaN"
1,1,1,5,5,2856,1,6,4151500,"NaN","NaN",8,"NaN"
1,1,1,5,5,2856,1,6,6755200,"NaN","NaN",20,"NaN"
1,1,1,5,5,2856,1,8,12604000,"NaN","NaN",7,25
1,1,1,5,5,2856,1,95,11883000,25,7,5,26
1,1,1,5,5,2856,1,101,11883000,25,7,3,27
1,1,1,5,5,2856,1,4,11883000,25,7,"NaN",34
1,1,1,5,5,2856,1,7,11883000,25,7,"NaN",1.5
1,1,1,5,6,2856,-1,4,12604000,"NaN","NaN",3,"NaN"
1,1,1,5,6,2856,-1,7,11883000,25,7,1,0.65
1,1,1,5,6,2856,-1,95,11883000,25,7,2,23
1,1,1,5,6,2856,-1,4,11883000,25,7,"NaN",15
1,1,1,5,6,2856,-1,8,11883000,25,7,"NaN",10
1,1,1,5,6,2856,-1,8,12604000,25,7,"NaN",9.5
1,1,1,5,6,2856,-1,101,11883000,25,7,"NaN",26
1,1,1,5,466,2343,-1,4,11883000,25,7,9000,3
1,1,1,5,466,2343,-1,7,11883000,25,7,1500,0.65
1,1,1,5,466,2343,-1,8,11883000,25,7,6900,"NaN"
1,1,1,5,466,2343,-1,27,3910600,"NaN","NaN",7400,"NaN"
1,1,1,5,466,2343,-1,27,11306000,"NaN","NaN",3300,"NaN"
1,1,1,5,466,2343,-1,55,-570,"NaN","NaN",450,"NaN"
1,1,1,5,466,2343,-1,95,11883000,25,7,13000,6.9
1,1,1,5,466,2343,-1,101,11883000,25,7,3300,"NaN"
1,1,1,5,466,2343,-1,169,4144800,"NaN",7,530,"NaN"
1,1,1,5,466,2343,-1,946,-571,"NaN","NaN",60,"NaN"
1,1,1,5,741,2343,1,0,-571,"NaN","NaN",1800,"NaN"
1,1,1,5,741,2343,1,4,11883000,25,7,670,41
1,1,1,5,741,2343,1,6,4151500,"NaN","NaN",4440,"NaN"
1,1,1,5,741,2343,1,7,11883000,25,7,77,1.6
1,1,1,5,741,2343,1,8,11883000,25,7,1100,25
1,1,1,5,741,2343,1,8,12604000,25,7,780,"NaN"
1,1,1,5,741,2343,1,27,11306000,"NaN","NaN",200,"NaN"
1,1,1,5,741,2343,1,55,-570,"NaN","NaN",2500,"NaN"
1,1,1,5,741,2343,1,95,11883000,25,7,520,24
1,1,1,5,741,2343,1,101,11883000,25,7,200,30
1,1,1,5,741,2343,1,128,4152600,"NaN","NaN",67,"NaN"
1,1,1,5,741,2343,1,128,6755200,"NaN","NaN",40,"NaN"
1,1,1,5,741,2343,1,572,-572,"NaN","NaN",67000,"NaN"
1,1,1,5,741,2343,1,946,-571,"NaN","NaN",3610,"NaN"
1,1,1,5,741,2343,1,1070,4124,"NaN",6.3,3000,"NaN"
1,1,1,5,741,2343,1,1070,4152600,"NaN","NaN",3500,"NaN"
1,1,1,5,741,2343,1,1070,6755200,"NaN","NaN",3100,"NaN"
1,1,1,5,741,2855,1,0,-571,"NaN","NaN",1800,"NaN"
1,1,1,5,741,2855,1,4,11883000,25,7,670,41
1,1,1,5,741,2855,1,6,4151500,"NaN","NaN",4440,"NaN"
1,1,1,5,741,2855,1,7,11883000,25,7,77,1.6
1,1,1,5,741,2855,1,8,11883000,25,7,1100,25
1,1,1,5,741,2855,1,8,12604000,25,7,780,"NaN"
1,1,1,5,741,2855,1,27,11306000,"NaN","NaN",200,"NaN"
1,1,1,5,741,2855,1,55,-570,"NaN","NaN",2500,"NaN"
1,1,1,5,741,2855,1,95,11883000,25,7,520,24
1,1,1,5,741,2855,1,101,11883000,25,7,200,30
1,1,1,5,741,2855,1,128,4152600,"NaN","NaN",67,"NaN"
1,1,1,5,741,2855,1,128,6755200,"NaN","NaN",40,"NaN"
1,1,1,5,741,2855,1,572,-572,"NaN","NaN",67000,"NaN"
1,1,1,5,741,2855,1,946,-571,"NaN","NaN",3610,"NaN"
1,1,1,5,741,2855,1,1070,4124,"NaN",6.3,3000,"NaN"
1,1,1,5,741,2855,1,1070,4152600,"NaN","NaN",3500,"NaN"
1,1,1,5,741,2855,1,1070,6755200,"NaN","NaN",3100,"NaN"
1,1,1,5,741,2856,1,0,-571,"NaN","NaN",1800,"NaN"
1,1,1,5,741,2856,1,4,11883000,25,7,670,41
1,1,1,5,741,2856,1,6,4151500,"NaN","NaN",4440,"NaN"
1,1,1,5,741,2856,1,7,11883000,25,7,77,1.6
1,1,1,5,741,2856,1,8,11883000,25,7,1100,25
1,1,1,5,741,2856,1,8,12604000,25,7,780,"NaN"
1,1,1,5,741,2856,1,27,11306000,"NaN","NaN",200,"NaN"
1,1,1,5,741,2856,1,55,-570,"NaN","NaN",2500,"NaN"
1,1,1,5,741,2856,1,95,11883000,25,7,520,24
1,1,1,5,741,2856,1,101,11883000,25,7,200,30
1,1,1,5,741,2856,1,128,4152600,"NaN","NaN",67,"NaN"
1,1,1,5,741,2856,1,128,6755200,"NaN","NaN",40,"NaN"
1,1,1,5,741,2856,1,572,-572,"NaN","NaN",67000,"NaN"
1,1,1,5,741,2856,1,946,-571,"NaN","NaN",3610,"NaN"
1,1,1,5,741,2856,1,1070,4124,"NaN",6.3,3000,"NaN"
1,1,1,5,741,2856,1,1070,4152600,"NaN","NaN",3500,"NaN"
1,1,1,5,741,2856,1,1070,6755200,"NaN","NaN",3100,"NaN"
1,1,1,6,3,1034,-1,25,-599,"NaN",10,130,"NaN"
