name,cid,from_kegg,cid_override,inchi,comment
H2O(1),1,yes,,,
atp-4-,2,yes,,,
NAD(ox),3,yes,,,
NAD(red),4,yes,,,
NADP(red),5,yes,,,
NADP(ox),6,yes,,,
adp-3-,8,yes,,,
Orthophospate,9,yes,,,
hpo4-2-,9,yes,,,
Pyrophosphate  this is an approximate result.,13,yes,,,
flavin-adenine dinucleotide,16,yes,,,
amp-2--,20,yes,,,
Pyruvate-,22,yes,,,
acetate-,33,yes,,,
Glutathione (reduced),51,yes,,,
Glutathoine(red),51,yes,,,
UDPgalactose,52,yes,,,
3'-Phosphoadenylylsulfate,53,yes,,,
"adenosine 3',5'-biphosphate",54,yes,,,
fmn(oxidized),61,yes,,,
L-ascorbate,72,yes,,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",
phosphoenolpyruvate3-,74,yes,,,
Sulfur,87,yes,,,
L--glycerophosphate(aq),93,yes,,,
GDPmannose,96,yes,,,
Propanonyl-coa,100,yes,,,
Glucose 1-phosphate,103,yes,,,
2-aminobenzoic acid,108,yes,,,
d-glyceraldehyde-3-phosphate,118,yes,,,
5-phospho--d-ribose 1-diphosphate,119,yes,,,
cytochrome c,125,yes,,,
reduced cytochrome c,126,yes,,,
glutathoine(ox),127,yes,,,
Ferredoxin(red),138,yes,,InChI=1S/Fe/q+2,
Ferredoxin(ox),139,yes,,InChI=1S/Fe/q+3,
2-Ketoisovalerate,141,yes,,,
Guanosine 5 '-phosphate,144,yes,,,
(S)-Proline,148,yes,,,
3-Oxobutanoate,164,yes,,,
5 '-methylthioadenosine,170,yes,,,
(r)-3-Phosphoglycerate,197,yes,,,
2-oxo-3-deoxy-d-gluconate,204,yes,,,
dADP,206,yes,,,
adenylylsulfate,224,yes,,,
oxidized Methyl viologen,225,yes,,"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2",
acetyl phosphate-2-,227,yes,,,
4-methyl-2-oxopentanooate,233,yes,,,
d-erythrose 4-phospahte,279,yes,,,
Hydrogen sulfide,283,yes,,InChI=1S/H2S/h1H2,
cdpcholine,307,yes,,,
3-Oxobutanoyl-coa,332,yes,,,
GDPglucose,394,yes,,,
L-isoleusine,407,yes,,,
n-2-acetyl-l-ornithine,437,yes,,,
l-aspartate-4-semialdehyde,441,yes,,,
Vitamin A alcohol,473,yes,,,
ADPglucose,498,yes,,,
cdpglucose,501,yes,,,
4-androstene-17-ol-3-one,535,yes,,,
cdpethanolamine,570,yes,,,
Adenosine 3':5'-(cyclic)phosphate,575,yes,,,
(R)-Glyceraldehyde,577,yes,,,
dimethylsulfide,580,yes,,,
d-mannitol-1-phosphate,644,yes,,,
"d-glucose 1,6-diphosphate",1231,yes,,,
"l,l-2,6-diaminoheptanedioate",666,yes,,,
2-deoxy--d-ribose 1-phosphate,672,yes,,,
"5-Androstane-3,17-dione",674,yes,,,
",-Trehalose 6-phosphate",689,yes,,,
"4-pregnene-11,17,21-triol-3,20-dione",735,yes,,,
tRNA-tyr,787,yes,,,
dtdpglucose,842,yes,,,
desamino nad,857,yes,,,
cis-but-2-enoyl-coa,877,yes,,,
trans-but-2-enoyl-coenzyme a,877,yes,,,
alpha-Acetolactic acid,900,yes,,,
Dimethylmaleate,922,yes,,,
"guanosine 3 ',5 '-cyclic phosphate",942,yes,,,
guanosine 3':5'-(cyclic)phosphate,942,yes,,,
inosine 3':5'-(cyclic)phosphate,943,yes,,,
