Name,TAX ID,KEGG ID,Domain
Acidobacterium capsulatum ATCC 51196,240015,aca,bacteria
Acidobacterium sp. MP5ACTX9,696844,acm,bacteria
Terriglobus saanensis SP1PR4,401053,tsa,bacteria
Candidatus Koribacter versatilis Ellin345,204669,aba,bacteria
Candidatus Solibacter usitatus Ellin6076,234267,sus,bacteria
Acidimicrobium ferrooxidans DSM 10331,525909,afo,bacteria
Arcanobacterium haemolyticum DSM 20595,644284,ahe,bacteria
Mobiluncus curtisii ATCC 43063,548479,mcu,bacteria
Catenulispora acidiphila DSM 44928,479433,cai,bacteria
Corynebacterium aurimucosum ATCC 700975,548476,car,bacteria
Corynebacterium diphtheriae NCTC 13129,257309,cdi,bacteria
Corynebacterium efficiens YS-314,196164,cef,bacteria
Corynebacterium glutamicum ATCC 13032,196627,cgb,bacteria
Corynebacterium glutamicum ATCC 13032,196627,cgl,bacteria
Corynebacterium glutamicum R,340322,cgt,bacteria
Corynebacterium jeikeium K411,306537,cjk,bacteria
Corynebacterium kroppenstedtii DSM 44385,645127,ckp,bacteria
Corynebacterium pseudotuberculosis FRC41,765874,cpu,bacteria
Corynebacterium resistens DSM 45100,662755,crd,bacteria
Corynebacterium ulcerans BR-AD22,945712,cul,bacteria
Corynebacterium urealyticum DSM 7109,504474,cur,bacteria
Gordonia bronchialis DSM 43247,526226,gbr,bacteria
Amycolicicoccus subflavus DQS3-9A1,443218,asd,bacteria
Mycobacterium abscessus ATCC 19977,561007,mab,bacteria
Mycobacterium avium 104,243243,mav,bacteria
Mycobacterium avium subsp. paratuberculosis K-10,262316,mpa,bacteria
Mycobacterium gilvum PYR-GCK,350054,mgi,bacteria
Mycobacterium leprae Br4923,561304,mlb,bacteria
Mycobacterium leprae TN,272631,mle,bacteria
Mycobacterium marinum M,216594,mmi,bacteria
Mycobacterium smegmatis str. MC2 155,246196,msm,bacteria
Mycobacterium sp. JDM601,875328,mjd,bacteria
Mycobacterium sp. JLS,164757,mjl,bacteria
Mycobacterium sp. KMS,189918,mkm,bacteria
Mycobacterium sp. MCS,164756,mmc,bacteria
Mycobacterium sp. Spyr1,278137,msp,bacteria
Mycobacterium africanum GM041182,572418,maf,bacteria
Mycobacterium bovis AF2122/97,233413,mbo,bacteria
Mycobacterium bovis BCG str. Pasteur 1173P2,410289,mbb,bacteria
Mycobacterium bovis BCG str. Tokyo 172,561275,mbt,bacteria
Mycobacterium canettii CIPT 140010059,1048245,mce,bacteria
Mycobacterium tuberculosis CDC1551,83331,mtc,bacteria
Mycobacterium tuberculosis F11,336982,mtf,bacteria
Mycobacterium tuberculosis H37Ra,419947,mra,bacteria
Mycobacterium tuberculosis H37Rv,83332,mtu,bacteria
Mycobacterium tuberculosis KZN 1435,478434,mtb,bacteria
Mycobacterium ulcerans Agy99,362242,mul,bacteria
Mycobacterium vanbaalenii PYR-1,350058,mva,bacteria
Nocardia farcinica IFM 10152,247156,nfa,bacteria
Rhodococcus equi 103S,685727,req,bacteria
Rhodococcus erythropolis PR4,234621,rer,bacteria
Rhodococcus jostii RHA1,101510,rha,bacteria
Rhodococcus opacus B4,632772,rop,bacteria
Segniliparus rotundus DSM 44985,640132,srt,bacteria
Tsukamurella paurometabola DSM 20162,521096,tpr,bacteria
Acidothermus cellulolyticus 11B,351607,ace,bacteria
Frankia alni ACN14a,326424,fal,bacteria
Frankia sp. CcI3,106370,fra,bacteria
Frankia sp. EAN1pec,298653,fre,bacteria
Frankia sp. EuI1c,298654,fri,bacteria
Frankia symbiont of Datisca glomerata,656024,fsy,bacteria
Geodermatophilus obscurus DSM 43160,526225,gob,bacteria
Nakamurella multipartita DSM 44233,479431,nml,bacteria
Stackebrandtia nassauensis DSM 44728,446470,sna,bacteria
Kineococcus radiotolerans SRS30216,266940,kra,bacteria
Beutenbergia cavernae DSM 12333,471853,bcv,bacteria
Cellulomonas fimi ATCC 484,590998,cfi,bacteria
Cellulomonas flavigena DSM 20109,446466,cfl,bacteria
Brachybacterium faecium DSM 4810,446465,bfa,bacteria
Kytococcus sedentarius DSM 20547,478801,kse,bacteria
Intrasporangium calvum DSM 43043,710696,ica,bacteria
Jonesia denitrificans DSM 20603,471856,jde,bacteria
Clavibacter michiganensis subsp. michiganensis NCPPB 382,443906,cmi,bacteria
Clavibacter michiganensis subsp. sepedonicus,31964,cms,bacteria
Leifsonia xyli subsp. xyli str. CTCB07,281090,lxx,bacteria
Microbacterium testaceum StLB037,979556,mts,bacteria
Arthrobacter arilaitensis Re117,861360,aai,bacteria
Arthrobacter aurescens TC1,290340,aau,bacteria
Arthrobacter chlorophenolicus A6,452863,ach,bacteria
Arthrobacter phenanthrenivorans Sphe3,930171,apn,bacteria
Arthrobacter sp. FB24,290399,art,bacteria
Kocuria rhizophila DC2201,378753,krh,bacteria
Micrococcus luteus NCTC 2665,465515,mlu,bacteria
