"name","cid","inchi"
"s-aminomethyldihydro--lipoate",,"InChI=1/C9H19NO2S2/c10-7-14-6-5-8(13)3-1-2-4-9(11)12/h8,13H,1-7,10H2,(H,11,12)"
"ap-nad",,"InChI=1S/C22H28N6O14P2/c1-10(29)11-3-2-4-27(5-11)21-17(32)15(30)12(40-21)6-38-43(34,35)42-44(36,37)39-7-13-16(31)18(33)22(41-13)28-9-26-14-19(23)24-8-25-20(14)28/h2-5,8-9,12-13,15-18,21-22,30-33H,6-7H2,1H3,(H3-,23,24,25,34,35,36,37)/p+1"
"ap-nadh",,"InChI=1S/C22H30N6O14P2/c1-10(29)11-3-2-4-27(5-11)21-17(32)15(30)12(40-21)6-38-43(34,35)42-44(36,37)39-7-13-16(31)18(33)22(41-13)28-9-26-14-19(23)24-8-25-20(14)28/h2,4-5,8-9,12-13,15-18,21-22,30-33H,3,6-7H2,1H3,(H,34,35)(H,36,37)(H2,23,24,25)"
"1-dodecanoic acid","2679",
",-trehalose 6-phosphate","689",
"nad(ox)","3",
"nad(red)","4",
"nadp(ox)","6",
"gdpglucose","394",
"adpglucose","498",
"dadp","206",
"3-oxobutanoate","109",
"pyrophosphate  this is an approximate result.","13",
"vitamin a alcohol","473",
"n-decanoic acid","1571",
"2'-deoxyinosine","5512",
"n-octonic acid","6423",
"orotidine 5 '-phosphate","1103",
"5-pregnane-17,21-diol-3,11,20-trione","5469",
"5-pregnane-3,17,21-triol-11,20-dione","5471",
"5-phospho--d-ribose 1-diphosphate","119",
"nadp(red)","5",
"n-w-phospho-l-arginine","5945",
"6-amino-d-glucose 6-phosphate","352",
"cis-cis-hexadienedioate","2480",
"n-octanoic acid","6423",
"glycinamide","3838",
"lyxose","1508",
"adenosine 3':5'-(cyclic)phosphate","575",
"l-arginyl-trna-arg","2163",
"/-)-1-phenyl-1-ethanol","7112",
"udpgalactose","52",
"d-1-piperidine-2-carboxylate","4092",
"gdpmannose","96",
"benzyloxycarbonylglycine","3710  ",
"l-tyrosyl-trna-tyr","2839",
"guanosine 5 '-phosphate","144",
"nomega-phospho-l-arginine","5945",
"adp--s","1469",
"\)-1-phenyl-1-propyl acetate","17666",
"adenylyl-[l-glutamate:ammonia ligase(adp-forming)]","1299",
")-1-phenyl ethanol","7112",
"dihydro--lipoate","2147",
"trna-tyr","787",
"phosphotaurocyamine","3149",
"trna-arg","1636",
"d-glucose 6-phosphate-2-","92",
"1-phenyl-1-ethanone","7113",
",-trehalose","1083",
"(r)-3-phosphoglycerate","197",
"[l-glutamate:ammonia ligase(adp-forming)]","1281",
"1,2,3-trioctanoyl glycerol","13044",
"trna-phe","1648",
"trna-lys","1646",
"trna-his","1643",
"trna-ser","1650",
"trna-ile","1644",
"l-isoleusine","407",
"estradiol-17","951",
"trna-thr","1651",
"trna-val","1653",
"h2o(1)","1",
"l-arginosuccinate","3406",
"glucose 1-phosphate","103",
"pyruvate-","22",
"l-lysyl-trna-lys","1931",
"l-histidyl-trna-his","2988",
"l-seryl-trna-ser","2553",
"l-isoleucyl-trna-ile","3127",
"5-amino-1--d-ribosyl-4-imidazolecarboxamide 5'-phosphate","4677",
"3'-phosphoadenylylsulfate","53",
"5-androstane-3,17-dione","674",
"L--glycerophosphate(aq)","93",
"glutathione (reduced)","51",
"glutathoine(red)","51",
"dimethylmaleate","922",
"(s)-proline","148",
"octanal","1545",
"orthophospate","9",
"d-ribulose 1,5-biphosphate","1182",
"heptanoate","17714",
"propanonyl-coa","100",
"(r)-glyceraldehyde","577",
"ammonium carbamate","1563",
"tributyrylglycerol","13870",
"3-oxobutanoyl-coa","332",
