abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
SHSL1	O-succinylhomoserine lyase (L-cysteine)	cystathionine g-synthase, cystathionine gamma-synthase	[c] : cys-L + suchms --> cyst-L + h + succ	Methionine Metabolism	Cytosol	4.2.99.9	Irreversible	N	141683	0		
DHFRim	dihydrofolate reductase, mitochondrial		[m] : dhf + h + nadph --> nadp + thf	Folate Metabolism	Mitochondria	1.5.1.3	Irreversible	N	1448929	0		
PYR5CDm	D1-pyrroline-5-carboxylate dehydrogenase, mitochondrial		[m] : glu5sa + h2o + nadp --> glu-L + (2) h + nadph	Glutamate metabolism	Mitochondria	1.5.1.12	Irreversible	N	1458256	0		
TTDCAt	Tetradecanoate (n-C14:0) transport in via uniport		ttdca[e] --> ttdca[c]	Transport, Extracellular	Cytosol, Extra-organism		Irreversible	Y	1457033	0		
FAS180ACPm	fatty-acyl-ACP synthase (n-C18:0ACP), mitochondrial		[m] : (3) h + malACP + (2) nadph + palmACP --> ACP + co2 + h2o + (2) nadp + ocdcaACP	Fatty Acid  Biosynthesis	Mitochondria		Irreversible	N	1513063	0		
GLYTRS	Glycyl-tRNA synthetase		[c] : atp + gly + trnagly --> amp + glytrna + ppi	Glycine and Serine Metabolism	Cytosol	6.1.1.14	Irreversible	N	227975	0		
ADCL	4-aminobenzoate synthase	Aminodeoxychorismate lyase	[c] : 4adcho --> 4abz + h + pyr	Folate Metabolism	Cytosol		Irreversible	N	1531483	0		
FALDH	formaldehyde dehydrogenase		[c] : fald + gthrd + nad <==> Sfglutth + h + nadh	Pyruvate Metabolism	Cytosol	1.2.1.1	Reversible	N	1485707	0		
FACOAL141	fatty-acid--CoA ligase (tetradecenoate)		[c] : atp + coa + ttdcea <==> amp + ppi + tdecoa	Fatty Acid  Biosynthesis	Cytosol	6.2.1.3	Reversible	N	1451823	0		
SADT	sulfate adenylyltransferase		[c] : atp + h + so4 --> aps + ppi	Cysteine Metabolism	Cytosol	2.7.7.4	Irreversible	N	140908	0		
MDHm	malate dehydrogenase, mitochondrial		[m] : mal-L + nad <==> h + nadh + oaa	Oxidative Phosphorylation	Mitochondria	1.1.1.37	Reversible	N	217980	0		
CTPS2	CTP synthase (glutamine)		[c] : atp + gln-L + h2o + utp --> adp + ctp + glu-L + (2) h + pi	Purine and Pyrimidine Biosynthesis	Cytosol	6.3.4.2	Irreversible	N	143492	0		
NH4tm	NH3 mitochondrial transport		nh4[c] <==> nh4[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1446597	0		
PAtm_SC	phosphatidate reversible transport, mitochondrial, yeast-specific		pa_SC[c] <==> pa_SC[m]	Transport, Mitochondrial	Cytosol, Mitochondria		Reversible	Y	1457060	0		
CSm	citrate synthase		[m] : accoa + h2o + oaa --> cit + coa + h	Citric Acid Cycle	Mitochondria		Irreversible	N	214045	0		
PGAMT	phosphoglucosamine mutase		[c] : gam1p <==> gam6p	Glutamate metabolism	Cytosol	5.4.2.10	Reversible	N	226721	0		
FTHFI [deleted 07/26/2004  01:58:12 PM]	5-Formyltetrahydrofolate:10-Formyltetrahydrofolate isomerase		[c] : 5fthf + atp + h2o --> 10fthf + adp + pi	Folate Metabolism	Cytosol		Irreversible	N	1554058	0		
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)		[c] : atp + gdp <==> adp + gtp	Nucleotide Salvage Pathway	Cytosol	2.7.4.6	Reversible	N	144708	0		
G13MTg	Glycolipid 1,3-alpha-D-mannosyltransferase, Golgi apparatus		[g] : gdpmann + macchitppdol --> gdp + h + m1macchitppdol	Glycoprotein Metabolism	Golgi Apparatus	2.4.1.132	Irreversible	N	1530292	0		
GAT1_SC	glycerol 3-phosphate acyltransferase (glycerol 3-phosphate), yeast-specific		[c] : (0.02) dcacoa + (0.06) ddcacoa + glyc3p + (0.17) hdcoa + (0.09) ocdycacoa + (0.24) odecoa + (0.27) pmtcoa + (0.05) stcoa + (0.1) tdcoa --> (0.01) 1ag3p_SC + coa	Phospholipid Biosynthesis	Cytosol		Irreversible	N	1531106	0		
FAS120	fatty acid synthase (n-C12:0)		[c] : dca + (3) h + malcoa + (2) nadph --> co2 + coa + ddca + h2o + (2) nadp	Fatty Acid  Biosynthesis	Cytosol	2.3.1.85	Irreversible	N	1453521	0	another enzymatic function of FAS (CYGD)	
ASPTRS	Aspartyl-tRNA synthetase		[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi	Alanine and Aspartate Metabolism	Cytosol	6.1.1.12	Irreversible	N	227818	0		
