"RBS","J23101","J23109","PLTETo1","galP1","lacUV5","pLlacO1","pLux","pT7A1","pTac","pTet","pminor","pTrp","Nopromoter (tac spacer)"
"Anderson_RBS",66.70,36.75,132.50,26.36,19.65,118.62,24.08,32.31,72.55,143.51,21.52,30.06,21.84
"Bujard_RBS",4573.11,206.30,2730.96,239.14,1220.70,3406.45,172.15,38.66,5584.57,7465.68,35.92,156.07,23.86
"B0030_RBS",142.53,59.02,110.10,70.26,481.86,25.27,24.98,896.56,323.60,1215.12,31.31,24.55,26.51
"B0032_RBS",37.13,25.90,21.98,8.18,30.33,27.54,24.53,67.02,39.86,25.71,25.69,22.76,16.77
"B0034_RBS",61.01,35.68,125.50,26.85,40.26,23.91,27.03,55.68,54.15,1279.43,26.03,27.11,16.99
"GSG_RBS",444.57,38.94,369.50,192.44,810.33,354.84,59.40,2575.96,1549.95,1670.09,24.57,51.75,28.95
"GSGV_RBS",52.76,35.92,74.26,4.86,90.51,75.14,16.81,166.10,137.95,84.93,26.89,25.55,21.66
"Invitrogen_RBS",912.93,28.00,609.33,31.26,1415.79,23.24,40.34,4085.31,3952.68,5234.28,37.68,130.66,26.39
"JBEI_RBS",2379.19,219.46,1525.67,116.81,1437.50,145.86,23.45,3936.51,4292.49,2525.30,34.03,121.82,27.37
"Plotkin_RBS",1023.19,36.95,167.81,130.38,585.68,384.66,30.25,623.41,1340.25,815.78,28.23,38.63,26.44
"Alon_RBS",97.72,183.30,642.82,20.28,232.87,497.99,33.61,330.97,507.23,511.71,23.93,36.60,18.65
"DeadRBS",22.34,22.63,23.64,8.15,18.99,22.94,35.29,36.84,36.43,38.32,27.47,22.31,24.06
