"Name","Gene","Identifier"
"Glucose PTS",ptsG,b1101
"Phosphoglucose isomerase",pgi,b4025
"6-phosphofructokinase",pfkA,b3916
"6-phosphofructokinase",pfkB,b1723
"Fructose-bisphosphate aldolase",fbaA,b2925
"Fructose-bisphosphate aldolase",fbaB,b2097
"Triosephosphate isomerase",tpiA,b3919
"Glyceraldehyde-3-phosphate dehydrogenase",gapA,b1779
"Phosphoglycerate kinase",pgk,b2926
"Phosphoglycerate mutase",gpmA,b0755
"Phosphoglycerate mutase",gpmI,b3612
"Enolase",eno,b2779
"pyruvate kinase",pykF,b1676
"pyruvate kinase",pykA,b1854
