"Name","Gene","Identifier"
"Glucose ABC Transporter",malX,SDY_1842
"Glucose PTS",crr,SDY_2614
"Glucose PTS",ptsG,SDY_2049
"Phosphoglucose isomerase",pgi,SDY_4226
"6-phosphofructokinase",pfkA,SDY_3831
"6-phosphofructokinase",pfkB,SDY_1816
"Fructose-bisphosphate aldolase",fba,SDY_3157
"Triosephosphate isomerase",tpiA,SDY_3826
"Glyceraldehyde-3-phosphate dehydrogenase",gapA,SDY_1488
"Phosphoglycerate kinase",pgk,SDY_3156
"Phosphoglycerate mutase",gpmA,SDY_0702
"Phosphoglycerate mutase",gpmB,SDY_4656
"Phosphoglycerate mutase",gpmI,SDY_4045
"Enolase",eno,SDY_2996
"pyruvate kinase",pykF,SDY_1905
"pyruvate kinase",pykA,SDY_1141
