"cid","compound name","Alberty name"
1,"H2O","h2o"
2,"ATP","atp"
3,"NAD(ox)","nadox"
4,"NAD(red)","nadred"
5,"NADP(red)","nadpred"
6,"NADP(ox)","nadpox"
7,"O2(aq)","o2aq"
8,"ADP","adp"
9,"Orthophosphate","pi"
10,"CoA","coA"
11,"CO2(aq)","co2aq"
13,"pyrophosphate","ppi"
14,"NH3","ammonia"
16,"FAD(ox)","fadox"
20,"AMP","amp"
22,"Pyruvate","pyruvate"
24,"Acetyl-CoA","acetylcoA"
25,"L-Glutamate","glutamate"
26,"2-Oxoglutarate","ketoglutarate"
27,"H2O2(aq)","h2o2aq"
31,"D-Glucose","glucose"
33,"Acetate","acetate"
36,"Oxaloacetate","oxaloacetate"
37,"Glycine","glycine"
41,"Alanine","alanine"
42,"Succinate","succinate"
48,"Glyoxylate","glyoxylate"
49,"L-Aspartate","aspartate"
51,"Glutathione(red)","glutathionered"
58,"Formate","formate"
59,"Sulfate","sulfate"
61,"FMN(ox)","fmnox"
64,"L-Glutamine","glutamine"
65,"L-Serine","serineL"
67,"Formaldehyde","formaldehyde"
73,"L-Methionine","methionineL"
74,"Phosphoenolpyruvate","pep"
78,"L-Tryptophan","tryptophanL"
79,"L-Phenylalanine","phenylalanineL"
80,"H+","hplus"
81,"ITP","itp"
82,"L-Tyrosine","tyrosineL"
84,"Acetaldehyde","acetaldehyde"
85,"D-Fructose-6-phosphate","fructose6phos"
86,"Urea","urea"
87,"Sulfur","sulfurcr"
88,"Nitrite","nitrite"
89,"Sucrose","sucrose"
91,"Succinyl-CoA","succinylcoA"
92,"D-Glucose-6-phosphate","glucose6phos"
93,"sn-Glycerol-3-phosphate","glycerol3phos"
94,"Sulfite","sulfite"
95,"D-Fructose","fructose"
97,"L-cysteine","cysteineL"
100,"Propanoyl-CoA","propanoylcoA"
103,"D-Glucose-1-phosphate","glucose1phos"
104,"IDP","idp"
106,"Uracil",
111,"Dihydroxyacetone-P","dihydroxyacetonephos"
116,"Glycerol","glycerol"
117,"D-Ribose 5-phosphate","ribose5phos"
118,"Glyceraldehyde-3-phosphate","glyceraldehydephos"
119,"D-Ribose 5-phospho 1-diphosphate","prpp"
121,"D-Ribose","ribose"
122,"Fumarate","fumarate"
123,"L-Leucine","leucineL"
124,"D-Galactose","galactose"
125,"Cytochrome c(ox)","cytochromecox"
