CID,nH,charge,nMg,dG0
1,2,0,0,-237.19
2,12,-4,0,-2768.1
2,13,-3,0,-2811.48
2,14,-2,0,-2838.18
2,12,-2,1,-3258.7
2,13,-1,1,-3287.5
2,12,0,2,-3729.3
3,26,-1,0,0.0
4,27,-2,0,22.65
5,26,-4,0,-809.71
6,25,-3,0,-835.18
7,0,0,0,16.4
8,12,-3,0,-1906.13
8,13,-2,0,-1947.1
8,14,-1,0,-1971.98
8,12,-1,1,-2388
8,13,0,1,-2416.7
9,1,-2,0,-1096.1
9,2,-1,0,-1137.3
10,35,-1,0,0.0
10,36,0,0,-47.83
13,0,-4,0,-1919.86
13,1,-3,0,-1973.86
13,2,-2,0,-2012.21
13,3,-1,0,-2025.11
13,4,0,0,-2029.85
14,3,0,0,-26.5
14,4,1,0,-79.31
16,31,-2,0,0.0
20,12,-2,0,-1040.45
20,13,-1,0,-1078.86
20,14,0,0,-1101.63
20,12,0,1,-1511.8
22,3,-1,0,-472.27
24,38,0,0,-180.36
25,8,-1,0,-697.47
26,4,-2,0,-793.41
27,2,0,0,-134.03
31,12,0,0,-915.9
33,3,-1,0,-369.31
33,4,0,0,-396.45
36,2,-2,0,-793.29
37,5,0,0,-379.91
41,7,0,0,-371.0
42,4,-2,0,-690.44
42,5,-1,0,-722.62
42,6,0,0,-746.64
48,1,-1,0,-468.6
49,6,-1,0,-695.88
51,15,-2,0,34.17
51,16,-1,0,-13.44
58,1,-1,0,-351.0
59,0,-2,0,-744.53
59,1,-1,0,-755.91
61,19,-2,0,0.0
64,10,0,0,-528.02
65,7,0,0,-510.87
73,11,0,0,-502.92
74,2,-3,0,-1263.65
74,3,-2,0,-1303.61
78,12,0,0,-114.7
79,11,0,0,-207.1
81,10,-5,0,-2925.31
81,11,-4,0,-2982.9
81,12,-3,0,-3026.28
82,11,0,0,-370.7
84,4,0,0,-139.0
85,11,-2,0,-1760.8
85,12,-1,0,-1796.6
86,4,0,0,-202.8
87,0,0,0,0.0
88,0,-1,0,-32.2
88,1,0,0,-50.6
89,22,0,0,-1564.7
91,39,-1,0,-509.72
91,40,0,0,-533.76
92,11,-2,0,-1763.94
92,12,-1,0,-1800.59
92,11,0,1,-2234.08
93,7,-2,0,-1358.96
93,8,-1,0,-1397.04
94,0,-2,0,-486.5
94,1,-1,0,-527.78
95,12,0,0,-915.51
97,6,-1,0,-291.0
97,7,0,0,-338.82
100,40,0,0,-179.14
103,11,-2,0,-1756.87
103,12,-1,0,-1793.98
104,10,-4,0,-2066.44
104,11,-3,0,-2121.01
104,12,-2,0,-2161.99
111,5,-2,0,-1296.26
111,6,-1,0,-1328.8
116,8,0,0,-497.48
117,9,-2,0,-1595.78
117,10,-1,0,-1633.96
118,5,-2,0,-1288.6
118,6,-1,0,-1321.14
119,8,-5,0,-3284.25
119,9,-4,0,-3325.23
119,10,-3,0,-3363.42
121,10,0,0,-752.0
122,2,-2,0,-601.87
122,3,-1,0,-628.14
122,4,0,0,-645.8
123,13,0,0,-352.25
124,12,0,0,-908.93
125,0,3,0,0.0
126,0,2,0,-24.51
127,30,-2,0,0.0
130,10,-3,0,-1200.43
130,11,-2,0,-1255.42
130,12,-1,0,-1293.84
131,12,-4,0,-2620.24
131,13,-3,0,-2663.62
131,14,-2,0,-2690.32
132,4,0,0,-175.31
138,0,0,0,38.07
139,0,1,0,0.0
147,5,0,0,313.4
147,6,1,0,289.43
149,4,-2,0,-842.66
149,5,-1,0,-872.68
152,8,0,0,-525.93
158,5,-3,0,-1162.69
158,6,-2,0,-1199.18
158,7,-1,0,-1226.33
159,12,0,0,-910.0
160,3,-1,0,-530.95
164,5,0,0,-482.49
168,3,-1,0,-608.55
181,10,0,0,-750.49
183,11,0,0,-358.65
184,6,0,0,-451.0
185,22,0,0,-1585.94
186,5,-1,0,-516.72
188,9,0,0,-528.89
197,4,-3,0,-1502.54
197,5,-2,0,-1545.52
198,10,0,0,-903.5
199,9,-2,0,-1595.32
199,10,-1,0,-1633.5
206,12,-3,0,-1758.27
206,13,-2,0,-1799.24
206,14,-1,0,-1824.12
207,6,0,0,-159.7
208,22,0,0,-1574.69
209,0,-2,0,-673.9
209,1,-1,0,-698.33
212,13,0,0,-194.5
212,14,1,0,-214.28
216,10,0,0,-742.23
224,12,-1,0,-1541.98
227,3,-2,0,-1219.49
227,4,-1,0,-1269.08
227,5,0,0,-1298.26
233,9,-1,0,-445.14
236,4,-4,0,-2356.14
236,5,-3,0,-2401.58
237,0,0,0,-119.9
243,22,0,0,-1567.33
244,0,-1,0,-108.74
244,1,0,0,-111.25
246,7,-1,0,-352.63
247,12,0,0,-911.95
249,31,-1,0,-259.4
252,22,0,0,-1587.71
258,5,-1,0,-661.01
262,4,0,0,89.5
275,11,-2,0,-1759.87
275,12,-1,0,-1796.63
282,2,0,0,17.6
283,0,-2,0,85.8
283,1,-1,0,12.08
283,2,0,0,-27.83
288,0,-2,0,-527.81
288,1,-1,0,-586.77
288,2,0,0,-623.11
294,11,-1,0,-358.02
294,12,0,0,-409.15
300,9,0,0,-259.2
309,10,0,0,-735.94
310,10,0,0,-746.15
311,5,-3,0,-1156.04
311,6,-2,0,-1192.57
311,7,-1,0,-1219.47
313,35,-1,0,-509.96
332,40,0,0,-285.32
342,0,-2,0,69.88
342,1,-1,0,20.56
342,2,0,0,-25.37
343,0,0,0,0.0
354,10,-4,0,-2601.4
354,11,-3,0,-2639.36
354,12,-2,0,-2673.89
360,12,-2,0,-892.59
360,13,-1,0,-931.0
360,14,0,0,-953.77
366,4,0,0,-356.9
376,28,0,0,0.0
379,12,0,0,-784.09
390,92,0,0,-89.92
392,14,0,0,-942.61
399,90,0,0,0.0
407,13,0,0,-343.9
417,3,-3,0,-917.13
423,7,-1,0,-128.75
455,14,-2,0,840.08
455,15,-1,0,803.32
463,7,0,0,223.8
469,6,0,0,-181.64
473,30,0,0,-27.91
474,12,0,0,-774.8
476,10,0,0,-749.14
491,12,0,0,-666.51
533,0,0,0,86.55
559,13,0,0,-46.64
559,14,1,0,-66.42
575,7,-1,0,-629.68
577,6,0,0,-440.02
620,9,-2,0,-1587.7
620,10,-1,0,-1625.88
631,4,-3,0,-1496.38
631,5,-2,0,-1539.99
636,11,-2,0,-1754.56
636,12,-1,0,-1791.32
644,13,-2,0,-1793.58
644,14,-1,0,-1830.68
673,9,-2,0,-1447.92
673,10,-1,0,-1486.11
697,0,0,0,18.7
708,0,-1,0,-51.57
791,7,0,0,-23.14
794,14,0,0,-946.36
849,8,0,0,-337.65
887,0,0,0,104.2
920,50,-1,0,-35.85
1005,6,-2,0,-1360.75
1005,7,-1,0,-1397.51
1013,5,-1,0,-518.4
1083,22,0,0,-1582.76
1096,13,-2,0,-1793.1
1096,14,-1,0,-1829.75
1112,9,-2,0,-1598.34
1112,10,-1,0,-1636.53
1113,11,-2,0,-1756.81
1113,12,-1,0,-1793.57
1127,4,-2,0,-951.78
1236,9,-2,0,-1746.08
1236,10,-1,0,-1782.73
1352,33,-2,0,-38.88
1382,0,0,0,0.0
1384,2,-2,0,-592.09
1412,8,0,0,-129.87
1438,4,0,0,-34.33
1507,14,0,0,-944.73
1801,10,0,0,-604.14
1845,8,0,0,-185.23
1847,21,-2,0,-38.88
2037,8,0,0,-520.2
2226,4,-2,0,-600.7
2226,5,-1,0,-636.49
2237,6,-1,0,-469.15
2557,39,-1,0,-502.48
2557,40,0,0,-526.51
2612,6,-2,0,-843.9
3196,6,-2,0,-840.18
3232,2,-3,0,-1448.67
3383,10,0,0,-905.34
3384,11,-2,0,-1756.69
3384,12,-1,0,-1791.77
4348,39,-1,0,-663.44
4348,40,0,0,-687.47
5379,4,-2,0,-1138.88
5572,5,-1,0,-595.88
5979,8,0,0,-175.81
6142,10,0,0,-171.84
7064,22,0,0,-1575.22
14818,0,2,0,-78.9
14819,0,3,0,-4.7
16637,9,-2,0,-1439.84
16637,10,-1,0,-1478.02
