"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
,1,"H2O",-237.19,-285.83,0,2,0,"test","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]",2,"ATP",-2768.1,-3619.21,-4,12,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O",2,"ATP",-2811.48,-3612.91,-3,13,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O",2,"ATP",-2838.18,-3627.91,-2,14,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Mg+2]",2,"ATP",-3258.7,-4063.31,-2,12,1,"train","Alberty (2003) beta","with Mg"
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Mg+2]",2,"ATP",-3287.5,-4063.01,-1,13,1,"train","Alberty (2003) beta","with Mg"
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Mg+2].[Mg+2]",2,"ATP",-3729.3,-4519.51,0,12,2,"train","Alberty (2003) beta","with Mg"
,3,"NAD(ox)",0,0,-1,26,0,"test","Alberty (2003)",
,4,"NAD(red)",22.65,-31.94,-2,27,0,"test","Alberty (2003)",
,5,"NADP(red)",-809.19,-29.18,-4,26,0,"test","Alberty (2003)",
,6,"NADP(ox)",-835.18,0,-3,25,0,"test","Alberty (2003)",
,7,"O2(aq)",16.4,-11.7,0,0,0,"test","Alberty (2003)",
,7,"O2(g)",0,0,0,0,0,"skip","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])[O-]",8,"ADP",-1906.13,-2626.54,-3,12,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])O",8,"ADP",-1947.1,-2620.94,-2,13,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])O",8,"ADP",-1971.98,-2638.54,-1,14,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])[O-].[Mg+2]",8,"ADP",-2388,-3074.54,-1,12,1,"train","Alberty (2003) beta","with Mg"
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])[O-].[Mg+2]",8,"ADP",-2416.7,-3075.44,0,13,1,"train","Alberty (2003) beta","with Mg"
"OP(=O)([O-])[O-]",9,"Orthophosphate",-1096.1,-1299,-2,1,0,"test","Alberty (2003)",
"OP(=O)([O-])O",9,"Orthophosphate",-1137.3,-1302.6,-1,2,0,"test","Alberty (2003)",
"OP(=O)([O-])[O-].[Mg+2]",9,"Orthophosphate",-1566.87,-1753.8,0,1,1,"test","Alberty (2003) beta",
,10,"CoA",0,,-1,35,0,"test","Alberty (2003)",
,10,"CoA",-47.83,,0,36,0,"test","Alberty (2003)","CoA(-1) = 0"
,11,"CO2(g)",-394.36,-393.5,0,0,0,"test","Alberty (2003)",
"[O-]P(=O)([O-])OP(=O)([O-])[O-]",13,"pyrophosphate",-1919.86,-2293.47,-4,0,0,"test","Alberty (2003)",
"[O-]P(=O)([O-])OP(=O)([O-])O",13,"pyrophosphate",-1973.86,-2294.87,-3,1,0,"test","Alberty (2003)",
"[O-]P(=O)(O)OP(=O)([O-])O",13,"pyrophosphate",-2012.21,-2295.37,-2,2,0,"test","Alberty (2003)",
"[O-]P(=O)(O)OP(=O)(O)O",13,"pyrophosphate",-2025.11,-2290.37,-1,3,0,"test","Alberty (2003)",
"OP(=O)(O)OP(=O)(O)O",13,"pyrophosphate",-2029.85,-2281.17,0,4,0,"test","Alberty (2003)",
,14,"NH3",-79.31,-132.51,1,4,0,"test","Alberty (2003)",
,14,"NH3",-26.5,-80.29,0,3,0,"test","Alberty (2003)",
,15,"UDP",-1868.29,,-4,10,0,"test","Alberty (2003) beta","Cytidine0=0"
,15,"UDP",-1926.28,,-3,11,0,"test","Alberty (2003) beta","Cytidine0=0"
,15,"UDP",-1967.25,,-2,12,0,"test","Alberty (2003) beta","Cytidine0=0"
,16,"FAD(ox)",0,,-2,31,0,"test","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])[O-]",20,"AMP",-1040.45,-1635.37,-2,12,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])O",20,"AMP",-1078.86,-1629.79,-1,13,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])O",20,"AMP",-1101.63,-1648.07,0,14,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])[O-].[Mg+2]",20,"AMP",-1511.8,-2091.07,0,12,1,"train","Alberty (2003) beta",
"CC(=O)C(=O)[O-]",22,"Pyruvate",-472.27,-596.22,-1,3,0,"train","Alberty (2003)",
"CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O",24,"Acetyl-CoA",-188.52,,0,38,0,"train","Alberty (2003)","CoA(-1) = 0"
,24,"Acetyl-CoA",-180.36,,0,38,0,"skip","Alberty (2003) beta","CoA(-1) = 0, double entry (dG = 188)"
"C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]",25,"L-Glutamate",-697.47,-979.89,-1,8,0,"train","Alberty (2003)",
"C(CC(=O)[O-])C(=O)C(=O)[O-]",26,"2-Oxoglutarate",-793.41,-1044.06,-2,4,0,"train","Alberty (2003)",
,27,"H2O2(aq)",-134.03,-191.17,0,2,0,"test","Alberty (2003)",
"OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1",31,"D-Glucose",-915.9,-1262.19,0,12,0,"train","Alberty (2003)",
"CC(=O)[O-]",33,"Acetate",-369.31,-486.01,-1,3,0,"train","Alberty (2003)",
"CC(=O)O",33,"Acetate",-396.45,-485.76,0,4,0,"train","Alberty (2003)",
,35,"GDP",-1655.41,,-4,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,35,"GDP",-1711.86,,-3,12,0,"test","Alberty (2003) beta","Guanosine0=0"
,35,"GDP",-1752.84,,-2,13,0,"test","Alberty (2003) beta","Guanosine0=0"
"C(C(=O)C(=O)[O-])C(=O)[O-]",36,"Oxaloacetate",-793.29,,-2,2,0,"train","Alberty (2003)",
"C(C(=O)C(=O)O)C(=O)[O-]",36,"Oxaloacetate",-698.33,,-1,3,0,"skip","Alberty (2003) beta","probably a mistake done by Alberty"
"C(C(=O)[O-])[NH3+]",37,"Glycine",-379.91,-523,0,5,0,"train","Alberty (2003)",
"C[C@@H](C(=O)[O-])[NH3+]",41,"Alanine",-371,-554.8,0,7,0,"train","Alberty (2003)",
"C(CC(=O)[O-])C(=O)[O-]",42,"Succinate",-690.44,-908.68,-2,4,0,"train","Alberty (2003)",
"C(CC(=O)O)C(=O)[O-1]",42,"Succinate",-722.62,-908.84,-1,5,0,"train","Alberty (2003)",
"C(CC(=O)O)C(=O)O",42,"Succinate",-746.64,-912.2,0,6,0,"train","Alberty (2003)",
,44,"GTP",-2514.24,,-5,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,44,"GTP",-2573.75,,-4,12,0,"test","Alberty (2003) beta","Guanosine0=0"
,44,"GTP",-2617.13,,-3,13,0,"test","Alberty (2003) beta","Guanosine0=0"
