"compound","pH=7|I=0M","pH=7|I=0.10M","pH=7|I=0.25M"
"acetaldehyde","20.83","23.27","24.06"
"acetate","-249.46","-248.23","-247.83"
"acetone","80.04","83.71","84.90"
"acetylcoA","-60.49","-58.65","-58.06"
"acetylphos","-1109.34","-1107.57","-1107.02"
"aconitatecis","-797.26","-800.93","-802.12"
"adenine","510.45","513.51","514.50"
"adenosine","324.93","332.89","335.46"
"adp","-1428.93","-1425.55","-1424.70"
"alanine","-91.31","-87.02","-85.64"
"ammonia","80.50","82.34","82.93"
"amp","-562.04","-556.53","-554.83"
"arabinose","-342.67","-336.55","-334.57"
"asparagineL","-206.28","-201.38","-199.80"
"aspartate","-456.14","-453.08","-452.09"
"atp","-2292.61","-2292.16","-2292.50"
"bpg","-2202.06","-2205.69","-2207.30"
"butanoln","227.72","233.84","235.82"
"butyrate","-72.94","-69.26","-68.08"
"citrate","-963.46","-965.49","-966.23"
"citrateiso","-956.82","-958.84","-959.58"
"coA","-7.98","-7.43","-7.26"
"coAglutathione","563.49","572.06","574.83"
"co2g","-394.36","-394.36","-394.36"
"co2tot","-547.33","-547.15","-547.10"
"coaq","-119.90","-119.90","-119.90"
"cog","-137.17","-137.17","-137.17"
"creatine","100.41","105.92","107.69"
"creatinine","256.55","260.84","262.22"
"cysteineL","-59.23","-55.01","-53.65"
"cystineL","-187.03","-179.69","-177.32"
"cytochromecox","0.00","-5.51","-7.29"
"cytochromecred","-24.51","-26.96","-27.75"
"dihydroxyacetonephos","-1096.60","-1095.91","-1095.70"
"ethanol","58.10","61.77","62.96"
"ethylacetate","-18.00","-13.10","-11.52"
"fadox","1238.65","1255.17","1260.51"
"fadred","1279.68","1297.43","1303.16"
"fadenzox","1238.65","1255.17","1260.51"
"fadenzred","1229.96","1247.71","1253.44"
"ferredoxinox","0.00","-0.61","-0.81"
"ferredoxinred","38.07","38.07","38.07"
"fmnox","759.17","768.35","771.31"
"fmnred","800.20","810.61","813.97"
"formate","-311.04","-311.04","-311.04"
"fructose","-436.03","-428.69","-426.32"
"fructose6phos","-1321.71","-1317.16","-1315.74"
"fructose16phos","-2202.84","-2205.66","-2206.78"
"fumarate","-521.97","-523.19","-523.58"
"galactose","-429.45","-422.11","-419.74"
"galactose1phos","-1317.50","-1313.01","-1311.60"
"glucose","-436.42","-429.08","-426.71"
"glucose1phos","-1318.03","-1313.34","-1311.89"
"glucose6phos","-1325.00","-1320.37","-1318.92"
"glutamate","-377.82","-373.54","-372.15"
"glutamine","-128.46","-122.34","-120.36"
"glutathioneox","1198.69","1214.60","1219.74"
"glutathionered","625.75","634.76","637.62"
"glyceraldehydephos","-1088.94","-1088.25","-1088.04"
"glycerol","-177.83","-172.93","-171.35"
"glycerol3phos","-1080.22","-1077.83","-1077.13"
"glycine","-180.13","-177.07","-176.08"
"glycolate","-411.08","-409.86","-409.46"
"glycylglycine","-200.55","-195.65","-194.07"
"glyoxylate","-428.64","-428.64","-428.64"
"h2aq","97.51","98.74","99.13"
"h2g","79.91","81.14","81.53"
"h2o","-157.28","-156.05","-155.66"
"h2o2aq","-54.12","-52.89","-52.50"
"hydroxypropionateb","-318.62","-316.17","-315.38"
"hypoxanthine","249.33","251.77","252.56"
"indole","503.49","507.78","509.16"
"ketoglutarate","-633.58","-633.58","-633.58"
"lactate","-316.94","-314.49","-313.70"
"lactose","-688.29","-674.83","-670.48"
"leucineisoL","175.53","183.49","186.06"
"leucineL","167.18","175.14","177.71"
"lyxose","-349.58","-343.46","-341.48"
