"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
,2,"ATP",-2768.1,,-4,12,0,"train","Alberty (2003)",
,2,"ATP",-2811.48,,-3,13,0,"train","Alberty (2003)",
,2,"ATP",-2838.18,,-2,14,0,"train","Alberty (2003)",
,8,"ADP",-1906.13,-2626.54,-3,12,0,"train","Alberty (2003)",
,8,"ADP",-1947.1,-2620.94,-2,13,0,"train","Alberty (2003)",
,8,"ADP",-1971.98,-2638.54,-1,14,0,"train","Alberty (2003)",
,288,"CO2(tot)",-527.81,,-2,0,0,"train","Alberty (2003)",
,288,"CO2(tot)",-586.77,,-1,1,0,"train","Alberty (2003)",
,288,"CO2(tot)",-623.11,,0,2,0,"train","Alberty (2003)",
,10,"CoA",0,,-1,0,0,"train","Alberty (2003)",
,10,"CoA",-47.83,,0,1,0,"train","Alberty (2003)",
,125,"Cytochrome c(ox)",0,,3,0,0,"train","Alberty (2003)",
,126,"Cytochrome c(red)",-24.51,,2,0,0,"train","Alberty (2003)",
,16,"FAD(ox)",0,,-2,31,0,"train","Alberty (2003)",
,1352,"FADH2(red)",-38.88,,-2,33,0,"train","Alberty (2003)",
,139,"Ferredoxin(ox)",0,,1,0,0,"train","Alberty (2003)",
,138,"Ferredoxin(red)",38.07,,0,0,0,"train","Alberty (2003)",
,61,"FMN(ox)",0,,-2,19,0,"train","Alberty (2003)",
,1847,"FMNH2(red)",-38.88,,-2,21,0,"train","Alberty (2003)",
,127,"Glutathione(ox)",0,,-2,30,0,"train","Alberty (2003)",
,51,"Glutathione(red)",34.17,,-2,15,0,"train","Alberty (2003)",
,51,"Glutathione(red)",-13.44,,-1,16,0,"train","Alberty (2003)",
,80,"H+",0,,0,0,0,"train","Alberty (2003)",
,1,"H2O",-237.19,,0,2,0,"train","Alberty (2003)",
,697,"N2(aq)",18.7,,0,0,0,"train","Alberty (2003)",
,3,"NAD(ox)",0,,-1,26,0,"train","Alberty (2003)",
,4,"NAD(red)",22.65,,-2,27,0,"train","Alberty (2003)",
,6,"NADP(ox)",-835.18,,-3,25,0,"train","Alberty (2003)",
,5,"NADP(red)",-809.19,,-4,26,0,"train","Alberty (2003)",
,14,"NH3",-79.31,,1,4,0,"train","Alberty (2003)",
,14,"NH3",-26.5,,0,3,0,"train","Alberty (2003)",
,7,"O2(aq)",16.4,,0,0,0,"train","Alberty (2003)",
,9,"Orthophosphate",-1096.1,,-2,1,0,"train","Alberty (2003)",
,9,"Orthophosphate",-1137.3,,-1,2,0,"train","Alberty (2003)",
,13,"pyrophosphate",-1919.86,,-4,0,0,"train","Alberty (2003)",
,13,"pyrophosphate",-1973.86,,-3,1,0,"train","Alberty (2003)",
,13,"pyrophosphate",-2012.21,,-2,2,0,"train","Alberty (2003)",
,13,"pyrophosphate",-2025.11,,-1,3,0,"train","Alberty (2003)",
,13,"pyrophosphate",-2029.85,,0,4,0,"train","Alberty (2003)",
,399,"Ubiquinone(ox)",0,,0,90,0,"train","Alberty (2003)",
,390,"Ubiquinone(red)",-89.92,,0,92,0,"train","Alberty (2003)",
,33,"Acetate",-369.31,-486.01,-1,3,0,"train","Alberty (2003)",
,33,"Acetate",-396.45,-485.76,0,4,0,"train","Alberty (2003)",
,58,"Formate",-351,-425.55,-1,1,0,"skip","Alberty (2003)",
