"cid","name","dG'0","pH","I","pMg","use for","compound_ref","remark"
2612,"(R)-2-Methylmalate",,7,0.25,14,"training","Alberty (2006)",
3196,"(S)-2-Hydroxyglutarate",,7,0.25,14,"training","Alberty (2006)",
80051,"1-chlorobutane",,7,0.25,14,"training","Dolfing (1994)",
80054,"1-chloropentane",,7,0.25,14,"training","Dolfing (1994)",
80048,"1-chloropropane",,7,0.25,14,"training","Dolfing (1994)",
18247,"1,1-dichloroethane",,7,0.25,14,"training","Dolfing (1994)",
14039,"1,1-dichloroethylene",,7,0.25,14,"training","Dolfing (1994)",
18246,"1,1,1-trichloroethane",,7,0.25,14,"training","Dolfing (1994)",
14705,"1,1,1,2-tetrachloroethane",,7,0.25,14,"training","Dolfing (1994)",
19536,"1,1,2-trichloroethane",,7,0.25,14,"training","Dolfing (1994)",
80046,"1,1,2,2-tetrachloroethane",,7,0.25,14,"training","Dolfing (1994)",
80003,"1,2-dichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 95-50-1"
6752,"1,2-dichloroethane",,7,0.25,14,"training","Dolfing (1994)",
19034,"1,2-dichloropropane",,7,0.25,14,"training","Dolfing (1994)",
80006,"1,2,3-trichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 87-61-6"
14400,"1,2,3-trichloropropane",,7,0.25,14,"training","Dolfing (1994)",
80009,"1,2,3,4-tetrachlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 63697-20-1"
80010,"1,2,3,5-tetrachlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 63697-21-2"
80007,"1,2,4-trichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 63697-18-7"
80011,"1,2,4,5-tetrachlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 95-94-3"
236,"1,3-bisphosphoglycerate",,7,0.25,14,"training","Alberty (2006)",
80004,"1,3-dichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 63697-17-6"
80049,"1,3-dichloropropane",,7,0.25,14,"training","Dolfing (1994)",
80008,"1,3,5-trichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 63697-19-8"
80005,"1,4-dichlorobenzene",,7,0.25,14,"training","Dolfing (1992)","CAS 92-87-5"
80028,"2-amino-5-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 635-21-2"
80022,"2-bromobenzoate",,7,0.25,14,"training","Dolfing (1992)",
2357,"2-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 7250-60-4"
80052,"2-chlorobutane",,7,0.25,14,"training","Dolfing (1994)",
14219,"2-chlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
2359,"2-fluorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
80029,"2-hydroxy-5-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
5984,"2-Hydroxybutanoic acid",,7,0.25,14,"training","Thauer (1977)",
80025,"2-iodobenzoate",,7,0.25,14,"training","Dolfing (1992)",
80030,"2-methyl-5-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
26,"2-Oxoglutarate",,7,0.25,14,"training","Alberty (2006)",
631,"2-Phospho-D-glycerate",,7,0.25,14,"training","Alberty (2006)",
1845,"2-propanol",,7,0.25,14,"training","Alberty (2006)",
80015,"2,3-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 50-45-3"
80031,"2,3-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
80033,"2,3,4-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
80039,"2,3,4,5-tetrachlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=1 but its formation energy is missing"
80040,"2,3,4,6-tetrachlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=1 but its formation energy is missing"
80020,"2,3,5-trichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 50-73-7"
80036,"2,3,5-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
80041,"2,3,5,6-tetrachlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=1 but its formation energy is missing"
80037,"2,3,6-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
6670,"2,4-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 50-84-0"
2625,"2,4-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
80034,"2,4,5-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
80035,"2,4,6-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
80016,"2,5-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 50-79-3"
6602,"2,5-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
80017,"2,6-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 50-30-6"
7096,"2,6-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=3 but its formation energy is missing"
80023,"3-bromobenzoate",,7,0.25,14,"training","Dolfing (1992)",
80014,"3-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 535-80-8"
14270,"3-chlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
2364,"3-fluorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
1013,"3-Hydroxypropanoate",,7,0.25,14,"training","Alberty (2006)",
80026,"3-iodobenzoate",,7,0.25,14,"training","Dolfing (1992)",
197,"3-Phospho-D-glycerate",-2207.3,7,0.25,14,"training","Alberty (2006)",
80018,"3,4-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 51-44-5"
14462,"3,4-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
80021,"3,4,5-trichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
80038,"3,4,5-trichlorophenol",,7,0.25,14,"skip","Dolfing (1992)","the most abundant species at pH 7 is nH=2 but its formation energy is missing"
80019,"3,5-dichlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 51-36-5"
80032,"3,5-dichlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
80024,"4-bromobenzoate",,7,0.25,14,"training","Dolfing (1992)",
2370,"4-chlorobenzoate",,7,0.25,14,"training","Dolfing (1992)","CAS 74-11-3"
2124,"4-chlorophenol",,7,0.25,14,"skip","Dolfing (1992)",
2371,"4-fluorobenzoate",,7,0.25,14,"training","Dolfing (1992)",
1127,"4-hydroxy-2-oxoglutarate",,7,0.25,14,"training","Alberty (2006)",
80027,"4-iodobenzoate",,7,0.25,14,"training","Dolfing (1992)",
84,"Acetaldehyde",24.06,7,0.25,14,"training","Alberty (2006)",
33,"Acetate",-247.83,7,0.25,14,"training","Alberty (2006)",
207,"Acetone",84.9,7,0.25,14,"training","Alberty (2006)",
227,"Acetyl-phosphate",-1107.02,7,0.25,14,"testing","Alberty (2006)","too small"
147,"Adenine",514.5,7,0.25,14,"training","Alberty (2006)",
212,"Adenosine",335.46,7,0.25,14,"training","Alberty (2006)",
8,"ADP",-1424.7,7,0.25,14,"training","Alberty (2006)",
41,"Alanine",-85.64,7,0.25,14,"training","Alberty (2006)",
14,"ammonia",82.93,7,0.25,14,"testing","Alberty (2006)","too small"
1342,"ammonium",82.93,7,0.25,14,"testing","Alberty (2006)","too small"
20,"AMP",-554.83,7,0.25,14,"training","Alberty (2006)",
2,"ATP",-2292.5,7,0.25,14,"training","Alberty (2006)",
6142,"N-butanol",235.82,7,0.25,14,"training","Alberty (2006)",
246,"Butyrate",-68.08,7,0.25,14,"training","Alberty (2006)",
18248,"chloroethane",,7,0.25,14,"training","Dolfing (1994)",
6793,"chloroethylene",,7,0.25,14,"training","Dolfing (1994)",
80043,"chloromethane",,7,0.25,14,"testing","Dolfing (1994)","too small"
6792,"cis-1,2-dichloroethylene",,7,0.25,14,"training","Dolfing (1994)",
417,"cis-Aconitate",-802.12,7,0.25,14,"training","Alberty (2006)",
158,"Citrate",-966.23,7,0.25,14,"training","Alberty (2006)",
237,"CO(aq)",-119.9,7,0.25,14,"testing","Alberty (2006)","too small"
11,"CO2(aq)",,7,0.25,14,"testing","Alberty (2006)","too small"
288,"CO2(tot)",-547.1,7,0.25,14,"testing","Alberty (2006)","too small"
300,"Creatine",107.69,7,0.25,14,"training","Alberty (2006)",
791,"Creatinine",262.22,7,0.25,14,"training","Alberty (2006)",
1417,"Cyanate",,7,0.25,14,"testing","Alberty (2006)","too weird (resonance between C=N and C#N)"
1417,"cyanate",,7,0.25,14,"skip","Wagman (1982)","duplicate of Alberty (2006)"
575,"Cyclic-AMP",,7,0.25,14,"training","Alberty (2006)",
125,"Cytochrome c(ox)",,7,0.25,14,"skip","Alberty (2006)","Cytochrome c(ox)=0"
126,"Cytochrome c(red)",,7,0.25,14,"skip","Alberty (2006)","Cytochrome c(ox)=0"
216,"D-Arabinose",-334.57,7,0.25,14,"training","Alberty (2006)","five-membered C4O ring form (arabinofuranose)"
1112,"D-arabinose-5P",,7,0.25,14,"training","Alberty (2006)",
95,"D-Fructose",-426.32,7,0.25,14,"training","Alberty (2006)",
354,"D-Fructose-1,6-bisphosphate",-2206.78,7,0.25,14,"training","Alberty (2006)",
85,"D-Fructose-6-phosphate",-1315.74,7,0.25,14,"training","Alberty (2006)",
3383,"D-Galactono-1,4-lactone",,7,0.25,14,"training","Alberty (2006)",
124,"D-Galactose",-419.74,7,0.25,14,"training","Alberty (2006)",
3384,"D-Galactose-1-phosphate",-1311.6,7,0.25,14,"training","Alberty (2006)",
1113,"D-galactose-6P",-1311.6,7,0.25,14,"training","Alberty (2006)",
257,"D-Gluconate",,7,0.25,14,"training","Thauer (1977)",
198,"D-Glucono-1,5-lactone",,7,0.25,14,"training","Alberty (2006)",
1236,"D-Glucono-1,5-lactone 6-phosphate",,7,0.25,14,"training","Alberty (2006)",
31,"D-Glucose",,7,0.25,14,"training","Alberty (2006)",
103,"D-Glucose-1-phosphate",,7,0.25,14,"training","Alberty (2006)",
577,"D-Glyceraldehyde",,7,0.25,14,"training","Alberty (2006)",
258,"D-Glycerate",,7,0.25,14,"training","Alberty (2006)",
476,"D-Lyxose",,7,0.25,14,"training","Alberty (2006)",
