cid,name,dG0,dH0,z,nH,nMg,compound_ref,remark
"1","H2O","-237.19",,"0","2","0","Alberty (2006)",
"2","ATP","-2768.1",,"-4","12","0","Alberty (2006)",
"2","ATP","-2811.48",,"-3","13","0","Alberty (2006)",
"2","ATP","-2838.18",,"-2","14","0","Alberty (2006)",
"3","NAD(ox)","0.0",,"-1","26","0","Alberty (2006)",
"4","NAD(red)","22.65",,"-2","27","0","Alberty (2006)",
"5","NADP(red)","-809.71",,"-4","26","0","Alberty (2006)",
"6","NADP(ox)","-835.18",,"-3","25","0","Alberty (2006)",
"7","O2","16.4",,"0","0","0","Alberty (2006)",
"8","ADP","-1906.13",,"-3","12","0","Alberty (2006)",
"8","ADP","-1947.1",,"-2","13","0","Alberty (2006)",
"8","ADP","-1971.98",,"-1","14","0","Alberty (2006)",
"9","orthophosphate","-1096.1",,"-2","1","0","Alberty (2006)",
"9","orthophosphate","-1137.3",,"-1","2","0","Alberty (2006)",
"9","orthophosphate","-1149.6",,"0","3","0","Alberty (2006)",
"9","orthophosphate","-1025.8",,"-3","5","0","Alberty (2006)",
"10","CoA","0.0",,"-1","32","0","Alberty (2006)",
"10","CoA","-47.83",,"0","33","0","Alberty (2006)",
"11","CO2(aq)","-386.0",,"0","0","0","Alberty (2006)",
"13","pyrophosphate","-1919.86",,"-4","0","0","Alberty (2006)",
"13","pyrophosphate","-1973.86",,"-3","1","0","Alberty (2006)",
"13","pyrophosphate","-2012.21",,"-2","2","0","Alberty (2006)",
"13","pyrophosphate","-2025.11",,"-1","3","0","Alberty (2006)",
"13","pyrophosphate","-2029.85",,"0","4","0","Alberty (2006)",
"14","ammonia","-26.5",,"0","3","0","Alberty (2006)",
"14","ammonia","-79.31",,"1","4","0","Alberty (2006)",
"16","FAD(ox)","0.0",,"-2","31","0","Alberty (2006)",
"20","AMP","-1040.45",,"-2","12","0","Alberty (2006)",
"20","AMP","-1078.86",,"-1","13","0","Alberty (2006)",
"20","AMP","-1101.63",,"0","14","0","Alberty (2006)",
"22","pyruvate","-472.27",,"-1","3","0","Alberty (2006)",
"22","pyruvate","-486.0",,"0","4","0","Alberty (2006)",
"24","acetyl-CoA","-180.36",,"0","35","0","Alberty (2006)",
"25","L-glutamate","-697.47",,"-1","8","0","Alberty (2006)",
"26","alpha-ketoglutarate","-793.41",,"-2","4","0","Alberty (2006)",
"26","alpha-ketoglutarate","-820.1",,"-1","5","0","Alberty (2006)",
"26","alpha-ketoglutarate","-834.2",,"0","6","0","Alberty (2006)",
"27",,"-134.03",,"0","2","0","Alberty (2006)",
"31",,"-915.9",,"0","12","0","Alberty (2006)",
"33",,"-369.31",,"-1","3","0","Alberty (2006)",
"33",,"-396.45",,"0","4","0","Alberty (2006)",
"36",,"-793.29",,"-2","2","0","Alberty (2006)",
"36",,"-818.2",,"-1","3","0","Alberty (2006)",
"36",,"-832.8",,"0","4","0","Alberty (2006)",
"37",,"-324.1",,"-1","4","0","Alberty (2006)",
"37",,"-379.91",,"0","5","0","Alberty (2006)",
"37",,"-393.3",,"1","6","0","Alberty (2006)",
"41",,"-315.7",,"-1","6","0","Alberty (2006)",
"41",,"-371.0",,"0","7","0","Alberty (2006)",
"41",,"-384.3",,"1","8","0","Alberty (2006)",
"42",,"-690.44",,"-2","4","0","Alberty (2006)",
"42",,"-722.62",,"-1","5","0","Alberty (2006)",
"42",,"-746.64",,"0","6","0","Alberty (2006)",
"48",,"-468.6",,"-1","1","0","Alberty (2006)",
"48",,"-486.7",,"0","2","0","Alberty (2006)",
"49",,"-639.4",,"-2","5","0","Alberty (2006)",
"49",,"-695.88",,"-1","6","0","Alberty (2006)",
"49",,"-718.1",,"0","7","0","Alberty (2006)",
"49",,"-729.5",,"1","8","0","Alberty (2006)",
"51",,"34.17",,"-2","15","0","Alberty (2006)",
"51",,"-13.44",,"-1","16","0","Alberty (2006)",
"58",,"-351.0",,"-1","1","0","Alberty (2006)",
"58",,"-372.4",,"0","2","0","Alberty (2006)",
"59",,"-744.53",,"-2","0","0","Alberty (2006)",
"59",,"-755.91",,"-1","1","0","Alberty (2006)",
"61",,"0.0",,"-2","19","0","Alberty (2006)",
"64",,"-528.02",,"0","10","0","Alberty (2006)",
"65",,"-458.7",,"-1","6","0","Alberty (2006)",
"65",,"-510.87",,"0","7","0","Alberty (2006)",
"65",,"-523.5",,"1","8","0","Alberty (2006)",
"74",,"-1263.65",,"-3","2","0","Alberty (2006)",
"74",,"-1303.61",,"-2","3","0","Alberty (2006)",
"78",,"-61.0",,"-1","11","0","Alberty (2006)",
"78",,"-114.7",,"0","12","0","Alberty (2006)",
"78",,"-128.7",,"1","13","0","Alberty (2006)",
"79",,"-154.0",,"-1","10","0","Alberty (2006)",
"79",,"-207.1",,"0","11","0","Alberty (2006)",
"79",,"-221.1",,"1","12","0","Alberty (2006)",
"80",,"0.0",,"1","1","0","Alberty (2006)",
