"ENTRY","DELTAG","UNCERTAINTY","CHARGE","REASON ENERGY COULD NOT BE ESTIMATED"
"C00001",-56.69,0.5,0,
"C00002",-673.85,3.04,-3,
"C00003",-529.59,4.36,-1,
"C00004",-524.32,4.27,-2,
"C00005",-736.82,4.26,-3,
"C00006",-742.09,4.35,-2,
"C00007",3.92,0.5,0,
"C00008",-465.85,3.04,-2,
"C00009",-261.97,0.5,-2,
"C00010",-751.99,3.45,-3,
"C00011",-92.26,0.5,0,
"C00012","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00013",-480.93,0.5,-2,
"C00014",-18.97,0.5,1,
"C00015",-605.77,1.89,-2,
"C00016","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00017","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00018",-272,1.66,-1,
"C00019",-66.63,3.68,1,
"C00020",-257.85,3.03,-1,
"C00021",-76.11,3.14,0,
"C00022",-112.69,0.3,-1,
"C00023",0,0.5,0,
"C00024",-785.83,3.53,-3,
"C00025",-164.13,0.38,-1,
"C00026",-188.9,0.38,-2,
"C00027",-32.05,0.5,0,
"C00028","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00029",-762.55,3.12,-2,
"C00030","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00031",-218.28,1.54,0,
"C00032","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00033",-88.29,0.5,-1,
"C00034","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00035",-516.3,2.74,-2,
"C00036",-190.52,0.35,-2,
"C00037",-87.73,0.24,0,
"C00038","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00039","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00040","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00041",-87.92,0.29,0,
"C00042",-162.96,0.28,-2,
"C00043",-756.9,3.24,-2,
"C00044",-724.3,2.75,-3,
"C00045","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00046","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00047",-84.04,0.56,1,
"C00048",-111.04,0.27,-1,
"C00049",-165.75,0.34,-1,
"C00050","Not calculated","Not calculated","Not calculated","No molfile exists for this compound."
"C00051",-220.95,1.54,-1,
"C00052",-762.55,3.12,-2,
"C00053",-580.35,3.11,-3,
"C00054",-470.35,3.04,-2,
"C00055",-345.38,1.92,-1,
"C00058",-83.9,0.5,-1,
"C00059",-177.97,0.5,-2,
"C00060","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00061","Not calculated","Not calculated","Not calculated","Unlabled atoms"
"C00062",-73.77,1.56,1,
"C00063",-761.38,1.93,-3,
"C00064",-121.69,0.61,0,
"C00065",-124.15,0.31,0,
"C00066","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00067",-31.2,0.5,0,
"C00068",-368.32,2.57,-1,
"C00069","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00070","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00071","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00072",-194.91,1.51,-1,
"C00073",-75.91,0.82,0,
"C00074",-316.08,0.59,-2,
"C00075",-813.77,1.9,-3,
"C00076","Not calculated","Not calculated","Not calculated","Involves groups with unknown energy"
"C00077",-85.66,0.51,1,
"C00078",-25,1.58,0,
"C00079",-51.05,0.83,0,
"C00080","Not calculated","Not calculated","Not calculated","Involves psuedoatoms or polymers"
"C00081",-729.58,2.75,-3,
"C00082",-90.53,0.9,0,
"C00083",-863.66,3.54,-4,
"C00084",-33.4,0.5,0,
