url,reference_id,method,evaluation,ec,enzyme,kegg_reaction,reaction,K,T,I,pH,pMg,comment,Ktype
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=2.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.87,298.15,0.25,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=70VEE/RAI_584,70VEE/RAI,spectrophotometry,B,1.2.1.12&2.7.2.3,glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase,C00118 + C00008 + C00003 + C00009 = C00197 + C00002 + C00004,D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),59.0,311.15,0.25,7,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=78INF/KIN_701,78INF/KIN,paper chromatography,B,2.7.7.15,choline-phosphate cytidylyltransferase,,CTP(aq) + phosphorylcholine(aq) = pyrophosphate(aq) + CDPcholine(aq),0.2,310.15,0.15,7.5,3,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.11,313.0,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.01,307.7,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.0,307.5,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.93,307.5,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),3.97,307.3,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.68,304.1,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.74,304.1,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),4.69,303.6,0.1,7.3,,,K'
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=53BOC/ALB_1146,53BOC/ALB,spectrophotometry,A,4.2.1.2,fumarate hydratase,C00122 + C00001 = C00149,fumarate(aq) + H2O(l) = (S)-malate(aq),5.04,293.3,0.1,7.3,,,K'
