cid,nH,z
1,2,0
2,12,-4
2,13,-3
2,14,-2
3,26,-1
3,27,0
4,27,-2
4,28,-1
5,26,-4
5,27,-3
5,28,-2
6,25,-3
6,26,-2
6,27,-1
8,12,-3
8,13,-2
8,14,-1
9,2,-1
9,1,-2
10,34,-2
10,33,-3
10,32,-4
13,2,-2
13,1,-3
13,0,-4
14,3,0
14,4,1
15,12,-2
15,11,-3
15,10,-4
20,14,0
20,13,-1
20,12,-2
21,19,-1
21,20,0
21,21,1
21,22,2
22,3,-1
24,36,-2
24,35,-3
24,34,-4
25,8,-1
26,4,-2
29,22,-2
31,12,0
33,3,-1
33,4,0
35,12,-3
36,2,-2
37,5,0
41,7,0
42,5,-1
42,4,-2
42,6,0
44,12,-4
47,15,1
48,1,-1
49,6,-1
51,16,-1
51,15,-2
52,22,-2
55,12,-2
58,1,-1
59,0,-2
59,1,-1
62,15,2
64,10,0
65,7,0
67,2,0
74,2,-3
74,3,-2
75,11,-4
77,13,1
78,12,0
79,11,0
81,12,-3
81,11,-4
81,10,-5
82,11,0
83,33,-5
84,4,0
85,12,-1
85,11,-2
86,4,0
89,22,0
91,39,-1
91,40,0
92,12,-1
92,11,-2
96,23,-2
100,40,0
101,21,-2
103,12,-1
103,11,-2
104,10,-4
104,12,-2
104,11,-3
105,11,-2
106,4,0
111,5,-2
111,6,-1
112,12,-3
114,14,1
117,10,-1
117,9,-2
118,5,-2
118,6,-1
119,8,-5
119,10,-3
119,9,-4
121,10,0
122,2,-2
122,3,-1
122,4,0
123,13,0
124,12,0
127,30,-2
129,9,-3
130,10,-3
130,12,-1
130,11,-2
131,12,-4
131,13,-3
131,14,-2
133,7,0
135,9,0
140,15,0
143,21,-2
144,12,-2
147,6,1
147,5,0
149,5,-1
149,4,-2
154,62,-4
155,9,0
158,7,-1
158,5,-3
158,6,-2
159,12,0
164,5,0
166,7,-1
167,19,-3
168,3,-1
169,2,-2
178,6,0
181,10,0
183,11,0
185,22,0
186,5,-1
188,9,0
189,8,1
190,20,-2
191,9,-1
197,4,-3
197,5,-2
199,10,-1
199,9,-2
206,12,-3
206,13,-2
206,14,-1
208,22,0
212,14,1
212,13,0
214,14,0
216,10,0
217,8,-1
219,31,-1
222,3,-1
224,12,-1
227,5,0
227,4,-1
227,3,-2
229,1,0
231,9,-2
232,5,-1
233,9,-1
234,21,-2
235,9,-3
236,4,-4
236,5,-3
239,12,-2
242,5,0
243,22,0
249,31,-1
250,9,0
251,8,-2
252,22,0
258,5,-1
262,4,0
266,4,0
270,18,-1
275,12,-1
275,11,-2
279,7,-2
294,11,-1
294,12,0
295,3,-1
299,12,0
300,9,0
309,10,0
310,10,0
311,7,-1
311,5,-3
311,6,-2
318,15,0
322,6,-2
327,13,1
332,40,0
333,9,-1
334,9,0
337,5,0
352,13,-1
354,10,-4
354,12,-2
354,11,-3
357,14,-2
360,13,-1
360,12,-2
360,14,0
361,12,-3
362,12,-2
363,13,-3
364,13,-2
376,28,0
385,4,0
387,13,0
394,23,-2
415,19,-2
417,3,-3
423,7,-1
424,6,0
438,6,-1
439,8,-2
445,20,-1
463,7,0
473,30,0
475,13,0
476,10,0
497,4,-2
498,23,-2
499,7,1
504,17,-2
507,12,0
508,10,0
515,13,1
522,11,-1
534,13,1
558,9,-1
559,14,1
559,13,0
575,7,-1
577,6,0
581,6,0
588,13,-1
603,5,0
617,19,-3
620,10,-1
620,9,-2
631,4,-3
631,5,-2
636,12,-1
636,11,-2
645,15,0
664,22,-2
668,11,-2
673,10,-1
673,9,-2
683,35,-5
684,7,-1
705,12,-3
739,15,1
740,7,0
785,5,-1
798,32,-4
861,12,0
864,16,-1
885,8,-2
905,9,-1
920,50,-1
935,20,-2
940,6,-1
944,9,-1
956,10,-1
979,9,0
1003,6,0
1005,7,-1
1005,6,-2
1019,12,0
1083,22,0
1094,11,-2
1099,11,-2
1100,11,-1
1101,9,-2
1103,10,-3
1107,10,-3
1112,10,-1
1112,9,-2
1113,12,-1
1113,11,-2
1127,4,-2
1131,11,-2
1142,15,1
1143,10,-4
1157,9,0
1172,11,-2
1179,7,-1
1194,17,0
1209,3,0
1213,35,-5
1267,7,-2
1277,18,0
1281,10,0
1286,8,-3
1299,22,0
1384,2,-2
1401,7,0
