"name","synonym","formula","CAS","MW","step","T","pKa"
"Acetaldehyde","Ethanal","C2H4O","75-07-0",44.052,,25,13.57
"Acetamide","Ethanamide","C2H5NO","60-35-5",59.067,,25,15.1
"Acetanilide","N-Phenylacetamide","C8H9NO","103-84-4",135.163,,25,0.5
"Acetazolamide","N-[5-(Aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide","C4H6N4O3S2","59-66-5",222.246,,,7.2
"Acetic acid","Ethanoic acid","C2H4O2","64-19-7",60.052,,25,4.756
"Acetoacetic acid",,"C4H6O3","541-50-4",102.089,,25,3.6
"Acetohydroxamic acid","N-Hydroxyacetamide","C2H5NO2","546-88-3",75.067,,,8.7
"N-Acetylglycine","Aceturic acid","C4H7NO3","543-24-8",117.104,,25,3.67
"2-(Acetyloxy)benzoic acid","Acetylsalicylic acid","C9H8O4","50-78-2",180.158,,25,3.48
"Aconine",,"C25H41NO9","509-20-6",499.596,,,9.52
"Aconitine",,"C34H47NO11","302-27-2",645.737,,,5.88
"9-Acridinamine","Aminacrine","C13H10N2","90-45-9",194.231,,20,9.99
"Acridine","Dibenzo[b,e]pyridine","C13H9N","260-94-6",179.217,,20,5.58
"3,6-Acridinediamine","Proflavine","C13H11N3","92-62-6",209.246,,20,9.65
"Acrylic acid","2-Propenoic acid","C3H4O2","79-10-7",72.063,,25,4.25
"Adenine","1H-Purin-6-amine","C5H5N5","73-24-5",135.128,1,,4.3
"Adenine","1H-Purin-6-amine","C5H5N5","73-24-5",135.128,2,,9.83
"Adenosine","beta-D-Ribofuranoside, adenine-9","C10H13N5O4","58-61-7",267.242,1,25,3.6
"Adenosine","beta-D-Ribofuranoside, adenine-9","C10H13N5O4","58-61-7",267.242,2,25,12.4
"5'-Adenylic acid","Adenosine 5'-monophosphate","C10H14N5O7P","61-19-8",347.222,1,,3.8
"5'-Adenylic acid","Adenosine 5'-monophosphate","C10H14N5O7P","61-19-8",347.222,2,,6.2
"Adipamic acid",,"C6H11NO3","334-25-8",145.156,,25,4.63
"Agaritine","L-Glutamic acid, 5-[2-[4-(hydroxymethyl)phenyl]hydrazide]","C12H17N3O4","2757-90-6",267.281,1,,3.4
"Agaritine","L-Glutamic acid, 5-[2-[4-(hydroxymethyl)phenyl]hydrazide]","C12H17N3O4","2757-90-6",267.281,2,,8.86
"L-Alanine","2-Aminopropanoic acid, (S)-","C3H7NO2","56-41-7",89.094,1,25,2.34
"L-Alanine","2-Aminopropanoic acid, (S)-","C3H7NO2","56-41-7",89.094,2,25,9.87
"beta-Alanine","3-Aminopropanoic acid","C3H7NO2","107-95-9",89.094,1,25,3.55
"beta-Alanine","3-Aminopropanoic acid","C3H7NO2","107-95-9",89.094,2,25,10.24
"Allantoin",,"C4H6N4O3","97-59-6",158.116,,25,8.96
"Allopurinol","1,5-Dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one","C5H4N4O","315-30-0",136.112,,,10.2
"Alloxanic acid",,"C4H4N2O5","470-44-0",160.085,,25,6.64
"Allyl alcohol","2-Propen-1-ol","C3H6O","107-18-6",58.079,,25,15.5
"Allylamine","2-Propen-1-amine","C3H7N","107-11-9",57.095,,25,9.49
"N-Allylaniline","Allylphenylamine","C9H11N","589-09-3",133.19,,25,4.17
"Aminoacetonitrile",,"C2H4N2","540-61-4",56.066,,25,5.34
"2-Aminoadipic acid",,"C6H11NO4","626-71-1",161.156,1,25,2.14
"2-Aminoadipic acid",,"C6H11NO4","626-71-1",161.156,2,25,4.21
"2-Aminoadipic acid",,"C6H11NO4","626-71-1",161.156,3,25,9.77
"4-Aminoazobenzene",,"C12H11N3","60-09-3",197.235,,25,2.82
"2-Aminobenzenesulfonic acid","Orthanilic acid","C6H7NO3S","88-21-1",173.19,,25,2.46
"3-Aminobenzenesulfonic acid","Metanilic acid","C6H7NO3S","121-47-1",173.19,,25,3.74
"4-Aminobenzenesulfonic acid","Sulfanilic acid","C6H7NO3S","121-57-3",173.19,,25,3.23
"2-Aminobenzonitrile",,"C7H6N2","1885-29-6",118.136,,25,0.77
