cid,name,T,nH_below,nH_above,smiles_below,smiles_above,pKa,ref
,1-methyl-L-histidine,298.15,13,12,[nH+]1cn(C)cc1C[C@H]([NH3+])C(=O)O,[nH+]1cn(C)cc1C[C@H]([NH3+])C(=O)[O-],1.69,CRC (88th edition)
,1-methyl-L-histidine,298.15,12,11,[nH+]1cn(C)cc1C[C@H]([NH3+])C(=O)[O-],n1cn(C)cc1C[C@H]([NH2+])C(=O)[O-],6.48,CRC (88th edition)
,1-methyl-L-histidine,298.15,11,10,n1cn(C)cc1C[C@H]([NH3+])C(=O)[O-],n1cn(C)cc1C[C@H](N)C(=O)[O-],8.85,CRC (88th edition)
1,water,298.15,2,2,,,
2,ATP,298.15,14,13,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)[nH+]cnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O,4.68,Alberty 2003
2,ATP,298.15,13,12,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O,C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-],7.6,Alberty 2003
3,NAD+,298.15,27,26,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,3.86,Domenech 1999
4,NADH,298.15,28,27,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)[C@H]1O,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,3.86,Domenech 1999 (assumed same as NAD+)
5,NADPH,298.15,28,27,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)[C@H]1O,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,3.87,Domenech 1999 (assumed same as NADPH)
5,NADPH,298.15,27,26,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,5.86,Domenech 1999 (assumed same as NADPH)
6,NADP+,298.15,27,26,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)[nH+]cnc23)[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,3.87,Domenech 1999
6,NADP+,298.15,26,25,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,5.86,Domenech 1999
7,oxygen,298.15,0,0,,,
