"name","CID_ox","nH_ox","charge_ox","CID_red","nH_red","charge_red","E'0","pH","ref"
"NAD",3,26,-1,4,27,-2,-0.32,7,"CRC biochemistry (2010)"
"NADP",6,25,-2,5,26,-3,-0.324,7,"CRC biochemistry (2010)"
"ferredoxin",139,0,1,138,0,0,-0.412,7,"Prince (1987)"
"ubiquinone (n=1)",399,26,0,390,28,0,0.113,7,"Thauer (1977)"
"menaquinone (n=1)",828,24,0,5819,26,0,-0.074,7,"Thauer (1977)"
"FAD",16,33,0,1352,35,0,-0.219,7,"CRC biochemistry (2010)"
"FAD(enz)",80059,33,0,80060,35,0,0.459,0,"Alberty (2006)"
"FMN",61,18,0,1847,20,0,-0.219,7.09,"CRC biochemistry (2010)"
"thioredoxin",343,12,0,342,14,0,-0.27,7,"CRC biochemistry (2010)"
"coenzyme F420",876,36,0,1080,38,0,-0.36,7,"Deppenmeier (2008)"
"methyl viologen",225,14,2,80067,14,1,-0.440,7,"Saeki (1985)"
"dimethyl sulfoxide",11143,6,0,580,6,0,0.16,7,"Unden (1997)"
"Trimethylamine",565,9,0,1104,9,0,0.13,7,"Unden (1997)"
