cid, nH, z, dG0
1, 2, 0, -237.19
2, 12, -4, -2768.1
2, 13, -3, -2811.48
2, 14, -2, -2838.18
3, 26, -1, 0.0
4, 27, -2, 22.65
5, 26, -4, -809.19
6, 25, -3, -835.18
7, 0, 0, 16.4
8, 12, -3, -1906.13
8, 13, -2, -1947.1
8, 14, -1, -1971.98
9, 2, -1, -1137.3
9, 1, -2, -1096.1
10, 35, -1, 0.0
10, 36, 0, -47.83
11, 0, 0, -394.36
13, 1, -3, -1973.86
13, 2, -2, -2012.21
13, 0, -4, -1919.86
13, 3, -1, -2025.11
13, 4, 0, -2029.85
14, 3, 0, -26.5
14, 4, 1, -79.31
15, 11, -3, -1926.28
15, 10, -4, -1868.29
15, 12, -2, -1967.25
16, 31, -2, 0.0
18, 8, -2, -1237.93601653776
18, 9, -1, -1274.31147628941
20, 13, -1, -1078.86
20, 12, -2, -1040.45
20, 14, 0, -1101.63
21, 21, 1, -530.57154863383
21, 22, 2, -557.489725647835
21, 19, -1, -487.380119692325
21, 20, 0, -505.923721463639
22, 3, -1, -472.27
24, 38, 0, -188.52
25, 8, -1, -697.47
26, 4, -2, -793.41
27, 2, 0, -134.03
31, 12, 0, -915.9
33, 3, -1, -369.31
33, 4, 0, -396.45
35, 12, -3, -1711.86
35, 13, -2, -1752.84
35, 11, -4, -1655.41
36, 2, -2, -793.29
37, 5, 0, -379.91
41, 7, 0, -371.0
42, 5, -1, -722.62
42, 4, -2, -690.44
42, 6, 0, -746.64
44, 12, -4, -2573.75
44, 11, -5, -2514.24
44, 13, -3, -2617.13
47, 13, -1, -321.41014904806
47, 16, 2, -385.415529604693
47, 14, 0, -339.953750819374
47, 15, 1, -358.497352590688
48, 1, -1, -468.6
49, 6, -1, -695.88
51, 16, -1, -13.44
51, 15, -2, 34.17
54, 13, -2, -1942.72636207868
54, 12, -3, -1906.35090232703
54, 11, -4, -1881.70307515684
54, 14, -1, -1979.10182183033
55, 13, -1, -884.36
55, 12, -2, -845.95
55, 14, 0, -909.45
58, 1, -1, -351.0
59, 0, -2, -744.53
59, 1, -1, -755.91
61, 19, -2, 0.0
62, 13, -1, -373.909647943005
62, 16, 2, -437.915028499638
62, 14, 0, -392.453249714319
62, 15, 1, -410.996851485633
63, 12, -4, -2573.6
63, 13, -3, -2616.98
63, 14, -2, -2645.98
64, 10, 0, -528.02
65, 7, 0, -510.87
72, 8, 0, -734.156482308206
73, 11, 0, -502.92
74, 2, -3, -1263.65
74, 3, -2, -1303.61
75, 12, -3, -2831.63
75, 10, -5, -2727.23
75, 11, -4, -2788.25
77, 13, 1, -365.464499017335
77, 14, 2, -392.38267603134
77, 11, -1, -328.377295474707
77, 12, 0, -346.920897246021
78, 12, 0, -114.7
79, 11, 0, -207.1
80, 0, 0, 0.0
81, 12, -3, -3026.28
81, 11, -4, -2982.9
82, 11, 0, -370.7
83, 37, -1, -510.104500040214
83, 38, 0, -537.022677054219
84, 4, 0, -139.0
85, 12, -1, -1796.6
85, 11, -2, -1760.8
86, 4, 0, -202.8
88, 0, -1, -32.2
88, 1, 0, -50.6
89, 22, 0, -1564.7
90, 6, 0, -224.970772133599
91, 39, -1, -509.59
91, 40, 0, -533.76
92, 12, -1, -1791.85295337167
92, 11, -2, -1755.47749362002
93, 8, -1, -1397.04
93, 7, -2, -1358.96
94, 0, -2, -486.5
94, 1, -1, -527.78
95, 12, 0, -915.51
97, 7, 0, -338.82
97, 6, -1, -291.0
99, 8, 1, -394.603813427159
99, 7, 0, -367.685636413154
99, 6, -1, -349.14203464184
100, 40, 0, -179.14
101, 21, -2, -784.504199677203
101, 23, 0, -838.340553705213
101, 22, -1, -811.422376691208
103, 12, -1, -1793.98
103, 11, -2, -1756.87
104, 12, -2, -2161.99
104, 11, -3, -2121.01
105, 10, -3, -1002.21
105, 12, -1, -1099.01
105, 11, -2, -1060.6
106, 3, -1, 347.48
106, 4, 0, 293.25
108, 8, 1, -274.609269244305
108, 7, 0, -247.6910922303
108, 6, -1, -229.147490458986
109, 5, -1, -465.055191706092
109, 6, 0, -491.973368720097
110, 44, -1, -595.307285507769
110, 43, -2, -558.931825756115
111, 5, -2, -1296.26
111, 6, -1, -1328.8
112, 12, -3, -1711.63
112, 13, -2, -1752.6
112, 14, -1, -1779.77
113, 5, -1, -714.222178477589
113, 3, -3, -660.385824449578
113, 6, 0, -741.140355491594
113, 4, -2, -687.304001463584
116, 8, 0, -497.48
117, 10, -1, -1620.75
117, 9, -2, -1582.57
118, 5, -2, -1288.6
118, 6, -1, -1321.14
119, 8, -5, -3284.25
119, 10, -3, -3363.42
119, 9, -4, -3325.23
121, 10, 0, -738.79
122, 2, -2, -601.87
122, 3, -1, -628.14
122, 4, 0, -645.8
123, 13, 0, -352.25
124, 12, 0, -908.93
127, 30, -2, 0.0
129, 9, -3, -1786.20631462844
129, 10, -2, -1822.58177438009
130, 12, -1, -1293.84
130, 11, -2, -1255.42
131, 12, -4, -2623.9891953416
131, 13, -3, -2648.63702251179
131, 14, -2, -2685.01248226344
132, 4, 0, -175.31
133, 8, 1, -396.404200314752
133, 7, 0, -369.486023300747
133, 6, -1, -350.942421529433
134, 13, 1, -20.8625971864014
134, 14, 2, -39.4061989577154
134, 12, 0, -2.31899541508744
135, 8, -1, -241.617577687618
135, 9, 0, -260.161179458932
135, 10, 1, -287.079356472937
136, 42, 0, -171.912294014893
137, 12, 0, -1342.07480603839
141, 7, -1, -459.888432167037
141, 8, 0, -486.806609181042
144, 13, -1, -884.69
144, 12, -2, -846.27
144, 11, -3, -789.59
146, 6, 0, -20.2060379591466
147, 6, 1, 286.7
147, 5, 0, 310.67
148, 8, -1, -608.48320910414
148, 9, 0, -635.401386118145
149, 5, -1, -872.68
149, 4, -2, -842.66
152, 8, 0, -525.93
153, 6, 0, -8.5925827750649
154, 66, 0, -88.3065368951322
155, 8, -1, -284.032853573346
155, 7, -2, -265.489251802032
155, 9, 0, -331.85285357336
155, 10, 1, -358.771030587365
156, 5, -1, -393.503504483022
156, 6, 0, -420.421681497027
158, 7, -1, -1226.33
158, 5, -3, -1162.69
158, 6, -2, -1199.18
159, 12, 0, -910.0
160, 3, -1, -530.95
163, 5, -1, -357.772867843272
163, 6, 0, -384.691044857277
164, 5, -1, -482.49
166, 7, -1, -289.053947744742
166, 8, 0, -315.972124758747
168, 3, -1, -608.55
169, 2, -2, -1231.95
169, 3, -1, -1281.5
169, 4, 0, -1310.73
170, 16, 1, -208.534772857622
170, 15, 0, -183.886945687431
178, 5, -1, 349.99
178, 6, 0, 293.25
179, 16, 2, -84.938551426013
179, 14, 0, -47.851347883385
179, 15, 1, -66.394949654699
180, 5, -1, -188.738770308569
180, 6, 0, -215.656947322575
181, 10, 0, -750.49
182, 42, 0, -2896.44257328234
183, 11, 0, -358.65
184, 6, 0, -451.0
185, 22, 0, -1585.94
186, 5, -1, -516.72
188, 9, 0, -528.89
189, 8, 1, -199.152904063731
189, 7, 0, -180.609302292417
191, 10, 0, -1116.64951352379
191, 9, -1, -1089.73133650979
193, 6, 0, 36.0309802676911
196, 5, -1, -598.268238657475
196, 6, 0, -625.18641567148
197, 4, -3, -1502.54
197, 5, -2, -1545.52
198, 10, 0, -903.5
199, 10, -1, -1633.5
199, 9, -2, -1595.32
204, 10, 0, -948.815392109801
204, 9, -1, -921.897215095796
206, 13, -2, -1782.71362555555
206, 12, -3, -1758.06579838536
206, 14, -1, -1819.0890853072
207, 6, 0, -159.7
208, 22, 0, -1574.69
209, 0, -2, -673.9
209, 1, -1, -698.33
212, 14, 1, -214.28
212, 13, 0, -194.5
213, 7, 0, -429.92308458135
213, 6, -1, -403.004907567344
214, 13, -1, -157.59
214, 14, 0, -214.65
216, 10, 0, -742.23
217, 8, -1, -686.776790046127
217, 9, 0, -713.694967060132
217, 7, -2, -668.233188274813
217, 10, 1, -740.613144074137
218, 6, 1, -39.86
219, 31, -1, 101.646276512929
219, 32, 0, 74.7280994989242
221, 12, 0, -914.231457733719
222, 3, -1, -464.228176865685
222, 4, 0, -491.14635387969
223, 42, 0, -115.431370452195
224, 12, -2, -1541.98
227, 3, -2, -1219.39
227, 4, -1, -1268.08
227, 5, 0, -1298.26
230, 5, -1, -598.268238657475
230, 6, 0, -625.18641567148
231, 10, -1, -1630.98597838433
231, 9, -2, -1594.61051863267
232, 5, -1, -457.261030439039
232, 6, 0, -484.179207453044
233, 9, -1, -445.14
234, 21, -2, -721.599798148741
234, 23, 0, -775.436152176752
234, 22, -1, -748.517975162746
235, 9, -3, -1797.23053788176
235, 10, -2, -1833.60599763341
236, 4, -4, -2356.14
236, 5, -3, -2401.58
236, 6, -2, -2440.16
237, 0, 0, -119.9
239, 13, -1, -1367.49906872602
239, 12, -2, -1331.12360897437
242, 4, -1, 560.41
242, 5, 0, 507.9
243, 22, 0, -1567.33
244, 0, -1, -108.74
244, 1, 0, -111.25
246, 7, -1, -352.63
247, 12, 0, -911.95
249, 31, -1, -259.4
250, 9, 0, -396.689980651462
251, 10, 0, -998.531292763276
251, 9, -1, -971.613115749271
251, 8, -2, -944.694938735266
252, 22, 0, -1587.71
253, 4, -1, -176.825002380263
253, 5, 0, -203.743179394268
254, 10, 0, -1134.19216607018
254, 9, -1, -1107.27398905617
254, 8, -2, -1080.35581204217
255, 20, 0, -511.44337404629
256, 5, -1, -515.298435553469
256, 6, 0, -542.216612567474
257, 11, -1, -1122.69888022672
257, 12, 0, -1149.61705724073
258, 5, -1, -661.01
259, 10, 0, -772.883966318952
261, 6, 0, 36.0309802676911
262, 4, 0, 89.5
263, 8, -1, -499.70045592539
263, 9, 0, -518.244057696704
263, 10, 1, -545.162234710709
265, 8, -2, -177.659750636838
265, 9, -1, -225.479750636852
265, 10, 0, -273.299750636865
266, 4, 0, -295.695444516262
267, 12, 0, -914.231457733719
272, 15, 0, -392.388702017779
273, 10, 0, -860.646806609192
275, 12, -1, -1796.63
275, 11, -2, -1759.87
279, 8, -1, -1474.43378272131
279, 7, -2, -1438.05832296966
282, 2, 0, 17.6
283, 0, -2, 85.8
283, 1, -1, 12.08
283, 2, 0, -27.83
284, 12, -4, -1068.35697285246
284, 15, -1, -1149.11150389447
284, 16, 0, -1176.02968090848
284, 13, -3, -1095.27514986646
284, 14, -2, -1122.19332688047
286, 12, -4, -2995.5271666098
286, 13, -3, -3031.90262636146
288, 0, -2, -527.81
288, 1, -1, -586.77
288, 2, 0, -623.11
292, 8, 1, 125.606374293576
292, 7, 0, 144.14997606489
294, 12, 0, -409.15
295, 3, -1, -574.440702800861
295, 4, 0, -601.358879814866
296, 11, -1, -1392.82549669564
296, 12, 0, -1419.74367370964
299, 11, -1, -160.08
299, 12, 0, -214.65
300, 9, 0, -259.2
302, 8, -1, -686.776790046127
302, 9, 0, -713.694967060132
302, 7, -2, -668.233188274813
302, 10, 1, -740.613144074137
303, 10, 0, -518.544370440929
303, 11, 1, -545.462547454934
303, 9, -1, -500.000768669615
305, 0, 2, -455.3
308, 13, 1, -523.369187864513
308, 14, 2, -550.287364878518
308, 11, -1, -486.281984321885
308, 12, 0, -504.825586093199
309, 10, 0, -735.94
310, 10, 0, -746.15
311, 7, -1, -1219.47
311, 5, -3, -1156.04
311, 6, -2, -1192.57
312, 10, 0, -775.231485069048
313, 35, -1, -509.96
314, 11, 0, -445.959852451653
315, 19, 0, -26.6495958592197
315, 21, 2, -63.7367994018477
315, 20, 1, -45.1931976305337
317, 52, 0, -3557.17961179854
319, 38, 1, -161.760102059371
319, 37, 0, -143.216500288057
322, 7, -1, -809.264135465477
322, 8, 0, -836.182312479482
322, 6, -2, -782.345958451472
323, 42, 0, -320.196104626648
327, 14, 1, -583.72744075236
327, 12, -1, -538.265661967041
327, 13, 0, -556.809263738355
328, 13, 1, -352.7522786973
328, 14, 2, -379.670455711306
328, 11, -1, -315.665075154673
328, 12, 0, -334.208676925987
329, 14, 1, -768.419045480997
329, 13, 0, -749.875443709683
330, 13, 0, -422.434336811032
331, 8, -1, -233.524479396014
331, 9, 0, -260.442656410019
332, 40, 0, -285.32
333, 10, 0, -1116.64951352379
333, 9, -1, -1089.73133650979
334, 8, -1, -342.174888215193
334, 9, 0, -360.718489986507
334, 10, 1, -387.636667000512
337, 5, -1, -619.689857770154
337, 6, 0, -646.608034784159
341, 17, -3, -1684.11721457383
341, 18, -2, -1720.49267432549
345, 10, -3, -1963.94491611302
345, 12, -1, -2027.23855287868
345, 11, -2, -1990.86309312703
346, 7, -1, -1040.39893995003
346, 8, 0, -1076.77439970168
346, 6, -2, -1021.85533817872
348, 90, -1, 163.450632402038
348, 89, -2, 199.826092153691
349, 5, -1, -459.061417326631
349, 6, 0, -485.979594340636
352, 13, -1, -1609.6650813673
352, 12, -2, -1591.12147959598
352, 14, 0, -1646.04054111895
353, 33, -3, -1457.89056795799
353, 34, -2, -1494.26602770965
354, 11, -3, -2639.36
354, 10, -4, -2601.4
354, 12, -2, -2673.89
355, 11, 0, -596.047101261656
355, 10, -1, -577.503499490342
355, 12, 1, -622.965278275661
356, 43, -1, -658.782358532101
356, 44, 0, -685.700535546106
360, 13, -1, -916.790228599315
360, 14, 0, -953.165688350968
360, 12, -2, -892.142401429124
361, 13, -2, -2165.97922940522
361, 12, -3, -2129.60376965357
362, 13, -1, -1300.05583244898
362, 12, -2, -1263.68037269733
363, 13, -3, -2282.28517237796
363, 14, -2, -2318.66063212961
364, 13, -2, -1416.36177542172
364, 14, -1, -1452.73723517338
365, 12, -1, -1410.66482824818
365, 11, -2, -1374.28936849652
366, 3, -1, -325.9
366, 4, 0, -356.9
371, 13, 0, 138.94601775835
376, 28, 0, 0.0
379, 12, 0, -784.09
380, 6, 1, 481.64
380, 5, 0, 507.9
381, 44, 0, 282.314210130183
383, 2, -2, -688.997927441946
383, 3, -1, -715.916104455951
383, 4, 0, -742.834281469956
385, 3, -1, 335.49
385, 4, 0, 293.25
387, 12, -1, 52.86
387, 13, 0, 0.0
388, 9, 0, 84.4407223720017
388, 10, 1, 65.8971206006877
390, 92, 0, -89.92
392, 14, 0, -942.61
396, 4, 0, 208.386232071919
397, 42, 5, -1637.85754612436
397, 41, 4, -1619.31394435304
397, 38, 1, -1563.6831390391
397, 40, 3, -1600.77034258173
397, 37, 0, -1545.13953726779
397, 39, 2, -1582.22674081042
398, 13, 1, 195.070135495597
398, 12, 0, 213.613737266911
399, 90, 0, 0.0
400, 20, 0, -559.612332049942
402, 5, -2, -675.20033470146
402, 8, 1, -747.580290500784
402, 7, 0, -720.662113486779
402, 6, -1, -693.743936472774
406, 44, 0, -262.90896732963
407, 13, 0, -343.9
408, 11, 0, -656.619317090643
408, 10, -1, -629.701140076638
409, 3, -1, 38.0039222028619
409, 4, 0, -9.81607779715173
411, 46, 0, -410.386564207065
412, 70, 0, -74.3722440418386
413, 40, 1, -2124.33734033276
413, 41, 2, -2142.88094210407
413, 39, 0, -2105.79373856144
414, 10, 0, -312.853769885789
415, 19, -2, -700.850525234598
415, 20, -1, -727.768702248603
415, 21, 0, -754.686879262608
417, 3, -3, -917.13
418, 11, -1, -662.175907157763
418, 12, 0, -689.094084171768
420, 32, 0, -2235.70553476613
423, 7, -1, -128.75
424, 6, 0, -290.528684977208
429, 6, 0, -302.842487579317
430, 8, -1, -449.457212078013
430, 9, 0, -468.000813849327
430, 10, 1, -494.918990863332
431, 11, 0, -353.75134355986
431, 10, -1, -335.207741788546
431, 12, 1, -380.669520573866
433, 5, -1, -564.543354301858
433, 6, 0, -591.461531315863
436, 14, 1, -230.750963678735
436, 13, 0, -212.207361907421
438, 7, -1, -912.006878207799
438, 8, 0, -938.925055221804
438, 6, -2, -885.088701193793
439, 10, 0, -769.265905371438
439, 9, -1, -742.347728357433
439, 8, -2, -715.429551343428
440, 24, -1, -660.240745088257
440, 25, 0, -687.158922102262
440, 23, -2, -633.322568074252
441, 8, 1, -495.892362910518
441, 7, 0, -468.974185896513
441, 6, -1, -450.430584125199
446, 12, -1, -1791.85295337167
446, 11, -2, -1755.47749362002
447, 12, -4, -2736.97339708607
447, 13, -3, -2773.34885683772
447, 14, -2, -2809.72431658938
448, 25, -3, -1571.00389126591
448, 26, -2, -1607.37935101757
449, 17, -3, -1004.68779592527
449, 18, -2, -1023.23139769659
449, 21, 1, -1103.9859287386
449, 19, -1, -1050.14957471059
449, 20, 0, -1077.0677517246
450, 8, -1, -553.029648026454
450, 9, 0, -579.94782504046
451, 7, -1, -1212.48385638648
451, 8, 0, -1239.40203340048
451, 5, -3, -1158.64750235847
451, 6, -2, -1185.56567937247
455, 15, -1, 803.32
455, 14, -2, 840.08
458, 12, -4, -3062.97040288684
458, 13, -3, -3099.34586263849
459, 13, -4, -3148.20856933419
459, 14, -3, -3184.58402908585
460, 12, -3, -3142.51162216065
460, 11, -4, -3106.13616240899
463, 7, 0, 223.8
466, 8, 0, -291.355699817614
469, 6, 0, -181.64
470, 26, 0, -2842.95970213636
470, 23, -3, -2762.20517109434
470, 25, -1, -2816.04152512235
470, 24, -2, -2789.12334810834
472, 4, 0, 111.16775797456
473, 30, 0, -27.91
474, 12, 0, -774.8
475, 14, 1, -22.09
475, 13, 0, 0.0
476, 10, 0, -749.14
478, 10, 0, -616.590478121766
479, 6, 0, -133.003117267011
481, 4, 0, 110.915149669125
482, 11, -1, -589.279991608797
482, 12, 0, -616.198168622802
483, 11, 0, -46.6804652562694
483, 12, 1, -65.2240670275834
486, 34, -2, -517.397637118044
486, 35, -1, -544.315814132049
486, 36, 0, -571.233991146054
488, 3, 0, -196.507918490253
489, 7, -1, -701.981811602657
489, 8, 0, -728.899988616663
489, 6, -2, -675.063634588652
490, 5, -1, -612.679997174651
490, 6, 0, -639.598174188656
490, 4, -2, -585.761820160646
491, 12, 0, -666.51
492, 32, 0, -2238.05305351623
493, 10, 0, -1091.57009794845
493, 9, -1, -1064.65192093444
494, 40, 3, -1224.83250479527
494, 38, 1, -1187.74530125264
494, 39, 2, -1206.28890302396
494, 37, 0, -1169.20169948133
494, 41, 4, -1243.37610656659
495, 16, 0, -945.813595617745
497, 5, -1, -866.474525739501
497, 6, 0, -893.392702753506
497, 4, -2, -839.556348725496
499, 7, -1, -769.055467739315
499, 8, 0, -795.97364475332
500, 34, 0, -375.332158893072
500, 33, -1, -348.413981879067
500, 32, -2, -321.495804865062
502, 10, 0, -999.058635957178
502, 9, -1, -972.140458943173
503, 10, 0, -646.082158883553
504, 19, 0, -725.13241558637
504, 18, -1, -698.214238572365
504, 17, -2, -671.29606155836
507, 12, 0, -758.506276911115
508, 10, 0, -775.231485069048
509, 12, 0, -467.620956794744
510, 68, 0, 10.8721697339629
511, 3, -1, -261.504230814151
511, 4, 0, -288.422407828156
512, 40, 0, -9.84534290683764
514, 11, -1, -1122.69888022672
514, 12, 0, -1149.61705724073
515, 13, 1, -365.464499017335
515, 14, 2, -392.38267603134
515, 11, -1, -328.377295474707
515, 12, 0, -346.920897246021
517, 32, 0, -42.4302137206035
521, 16, 0, -170.869151122389
522, 11, -1, -663.976294045355
522, 12, 0, -690.89447105936
525, 13, 1, -157.906341578028
525, 11, -1, -112.444562792709
525, 12, 0, -130.988164564023
526, 12, 0, -533.043332610223
527, 42, 0, -523.088384200926
527, 41, -1, -496.17020718692
530, 6, 0, -224.970772133599
531, 39, -1, -406.868392758914
531, 40, 0, -433.786569772919
532, 12, 0, -796.640580167103
533, 0, 0, 86.55
534, 13, 1, -300.147440198931
534, 12, 0, -281.603838427617
539, 5, -1, -188.738770308569
539, 6, 0, -215.656947322575
540, 42, 0, 89.3333637222575
542, 13, -1, -813.380320431437
542, 16, 2, -885.760276230761
542, 15, 1, -858.842099216756
542, 14, 0, -831.923922202751
542, 12, -2, -794.836718660123
543, 7, 0, -78.7469943953174
544, 7, -1, -591.301092230828
544, 8, 0, -618.219269244833
545, 10, 0, -999.058635957178
545, 9, -1, -972.140458943173
546, 4, 0, -247.252587556478
547, 11, 0, -408.970767140919
547, 12, 1, -427.514368912233
548, 8, 0, -168.615902465079
551, 32, 0, -2235.70553476613
552, 5, -1, -1024.0000934497
552, 6, 0, -1050.9182704637
552, 4, -2, -997.081916435693
553, 20, 0, -559.612332049942
555, 9, 0, -117.405137638933
555, 10, 1, -135.948739410247
556, 8, 0, -13.2388915324998
557, 8, 0, -291.635838913292
558, 10, 0, -1118.99703227389
558, 9, -1, -1092.07885525988
559, 14, 1, -75.5441927130159
559, 13, 0, -50.8963655428252
565, 9, 0, 90.6127161555573
566, 42, 0, -1043.84377215878
566, 41, -1, -1016.92559514478
566, 40, -2, -990.007418130774
568, 8, 1, -274.609269244305
568, 7, 0, -247.6910922303
568, 6, -1, -229.147490458986
571, 14, 1, -454.689204578595
571, 13, 0, -436.145602807281
577, 6, 0, -440.02
579, 16, -1, -47.3530563909395
579, 15, -2, 0.466943609074095
579, 17, 0, -95.1730563909531
