CID,name,nH,nMg,nC,nN,nO,nS,nP,ne-
1,H2O,2,0,0,0,1,0,0,10
2,ATP,13,0,10,5,13,0,3,260
3,NAD+,26,0,21,7,14,0,2,344
4,NADH,27,0,21,7,14,0,2,346
5,NADPH,26,0,21,7,17,0,3,386
6,NADP+,25,0,21,7,17,0,3,384
7,Oxygen,0,0,0,0,2,0,0,16
8,ADP,13,0,10,5,10,0,2,220
9,Orthophosphate,1,0,0,0,4,0,1,50
10,CoA,32,0,21,7,16,1,3,400
11,CO2,0,0,1,0,2,0,0,22
13,Diphosphate,1,0,0,0,7,0,2,90
14,NH3,4,0,0,1,0,0,0,10
15,UDP,12,0,9,2,12,0,2,208
16,FAD,33,0,27,9,15,0,2,408
20,AMP,12,0,10,5,7,0,1,180
21,S-Adenosyl-L-homocysteine,20,0,14,6,5,1,0,202
22,Pyruvate,3,0,3,0,3,0,0,46
23,Iron,0,0,0,0,0,0,0,26
24,Acetyl-CoA,34,0,23,7,17,1,3,422
25,L-Glutamate,8,0,5,1,4,0,0,78
26,2-Oxoglutarate,4,0,5,0,5,0,0,76
27,Hydrogen peroxide,2,0,0,0,2,0,0,18
29,UDP-glucose,22,0,15,2,17,0,2,294
31,D-Glucose,12,0,6,0,6,0,0,96
33,Acetate,3,0,2,0,2,0,0,32
34,Manganese,0,0,0,0,0,0,0,25
35,GDP,13,0,10,5,11,0,2,228
36,Oxaloacetate,2,0,4,0,5,0,0,68
37,Glycine,5,0,2,1,2,0,0,40
41,L-Alanine,7,0,3,1,2,0,0,48
42,Succinate,4,0,4,0,4,0,0,62
43,UDP-N-acetyl-D-glucosamine,25,0,17,3,17,0,2,316
44,GTP,13,0,10,5,14,0,3,268
47,L-Lysine,15,0,6,2,2,0,0,80
48,Glyoxylate,1,0,2,0,3,0,0,38
49,L-Aspartate,6,0,4,1,4,0,0,70
51,Glutathione,16,0,10,3,6,1,0,162
52,UDP-D-galactose,22,0,15,2,17,0,2,294
55,CMP,12,0,9,3,8,0,1,168
58,Formate,1,0,1,0,2,0,0,24
59,Sulfate,0,0,0,0,4,1,0,50
61,FMN,18,0,17,4,9,0,1,238
62,L-Arginine,15,0,6,4,2,0,0,94
63,CTP,13,0,9,3,14,0,3,248
64,L-Glutamine,10,0,5,2,3,0,0,78
65,L-Serine,7,0,3,1,3,0,0,56
67,Formaldehyde,2,0,1,0,1,0,0,16
73,L-Methionine,11,0,5,1,2,1,0,80
74,Phosphoenolpyruvate,2,0,3,0,6,0,1,86
75,UTP,12,0,9,2,15,0,3,248
77,L-Ornithine,13,0,5,2,2,0,0,72
78,L-Tryptophan,12,0,11,2,2,0,0,108
79,L-Phenylalanine,11,0,9,1,2,0,0,88
80,H+,1,0,0,0,0,0,0,0
81,ITP,12,0,10,4,14,0,3,260
82,L-Tyrosine,11,0,9,1,3,0,0,96
84,Acetaldehyde,4,0,2,0,1,0,0,24
85,D-Fructose 6-phosphate,11,0,6,0,9,0,1,136
86,Urea,4,0,1,2,1,0,0,32
88,Nitrite,0,0,0,1,2,0,0,24
89,Sucrose,22,0,12,0,11,0,0,182
91,Succinyl-CoA,35,0,25,7,19,1,3,452
92,D-Glucose 6-phosphate,11,0,6,0,9,0,1,136
93,sn-Glycerol 3-phosphate,7,0,3,0,6,0,1,90
94,Sulfite,1,0,0,0,3,1,0,42
95,D-Fructose,12,0,6,0,6,0,0,96
96,GDP-mannose,23,0,16,5,16,0,2,314
97,L-Cysteine,7,0,3,1,2,1,0,64
99,beta-Alanine,7,0,3,1,2,0,0,48
100,Propanoyl-CoA,36,0,24,7,17,1,3,430
101,Tetrahydrofolate,21,0,19,7,6,0,0,234
103,D-Glucose 1-phosphate,11,0,6,0,9,0,1,136
104,IDP,12,0,10,4,11,0,2,220
105,UMP,11,0,9,2,9,0,1,168
106,Uracil,4,0,4,2,2,0,0,58
109,2-Oxobutanoate,5,0,4,0,3,0,0,54
111,Glycerone phosphate,5,0,3,0,6,0,1,88
112,CDP,13,0,9,3,11,0,2,208
114,Choline,14,0,5,1,1,0,0,58
116,Glycerol,8,0,3,0,3,0,0,50
117,D-Ribose 5-phosphate,9,0,5,0,8,0,1,120
118,D-Glyceraldehyde 3-phosphate,5,0,3,0,6,0,1,88
119,5-Phospho-alpha-D-ribose 1-diphosphate,9,0,5,0,14,0,3,200
121,D-Ribose,10,0,5,0,5,0,0,80
122,Fumarate,2,0,4,0,4,0,0,60
123,L-Leucine,13,0,6,1,2,0,0,72
124,D-Galactose,12,0,6,0,6,0,0,96
125,Ferricytochrome c,0,0,nan,nan,nan,nan,nan,nan
126,Ferrocytochrome c,0,0,nan,nan,nan,nan,nan,nan
127,Glutathione disulfide,32,0,20,6,12,2,0,322
129,Isopentenyl diphosphate,10,0,5,0,7,0,2,128
130,IMP,11,0,10,4,8,0,1,180
131,dATP,13,0,10,5,12,0,3,252
132,Methanol,4,0,1,0,1,0,0,18
133,D-Alanine,7,0,3,1,2,0,0,48
135,L-Histidine,9,0,6,3,2,0,0,82
137,myo-Inositol,12,0,6,0,6,0,0,96
138,Reduced ferredoxin,0,0,0,0,0,0,0,24
139,Oxidized ferredoxin,0,0,0,0,0,0,0,23
140,N-Acetyl-D-glucosamine,15,0,8,1,6,0,0,118
143,"5,10-Methylenetetrahydrofolate",21,0,20,7,6,0,0,240
144,GMP,12,0,10,5,8,0,1,188
