"cid","nH","z","dG0","estimated"
"1","2","0","-237.19","0"
"2","12","-4","-2768.1","0"
"2","13","-3","-2811.48","0"
"2","14","-2","-2838.18","0"
"3","26","-1","0.0","0"
"4","27","-2","22.65","0"
"5","26","-4","-809.19","0"
"6","25","-3","-835.18","0"
"7","0","0","16.4","0"
"8","12","-3","-1906.13","0"
"8","13","-2","-1947.1","0"
"8","14","-1","-1971.98","0"
"9","2","-1","-1137.3","0"
"9","1","-2","-1096.1","0"
"10","35","-1","0.0","0"
"10","36","0","-47.83","0"
"11","0","0","-394.36","0"
"13","1","-3","-1973.86","0"
"13","2","-2","-2012.21","0"
"13","0","-4","-1919.86","0"
"13","3","-1","-2025.11","0"
"13","4","0","-2029.85","0"
"14","3","0","-26.5","0"
"14","4","1","-79.31","0"
"15","11","-3","-1926.28","0"
"15","10","-4","-1868.29","0"
"15","12","-2","-1967.25","0"
"16","31","-2","0.0","0"
"18","8","-2","-1237.93601653776","1"
"18","9","-1","-1274.31147628941","1"
"20","13","-1","-1078.86","0"
"20","12","-2","-1040.45","0"
"20","14","0","-1101.63","0"
"21","21","1","-530.57154863383","1"
"21","22","2","-557.489725647835","1"
"21","19","-1","-487.380119692325","1"
"21","20","0","-505.923721463639","1"
"22","3","-1","-472.27","0"
"24","38","0","-188.52","0"
"25","8","-1","-697.47","0"
"26","4","-2","-793.41","0"
"27","2","0","-134.03","0"
"31","12","0","-915.9","0"
"33","3","-1","-369.31","0"
"33","4","0","-396.45","0"
"35","12","-3","-1711.86","0"
"35","13","-2","-1752.84","0"
"35","11","-4","-1655.41","0"
"36","2","-2","-793.29","0"
"37","5","0","-379.91","0"
"41","7","0","-371.0","0"
"42","5","-1","-722.62","0"
"42","4","-2","-690.44","0"
"42","6","0","-746.64","0"
"44","12","-4","-2573.75","0"
"44","11","-5","-2514.24","0"
"44","13","-3","-2617.13","0"
"47","13","-1","-321.41014904806","1"
"47","16","2","-385.415529604693","1"
"47","14","0","-339.953750819374","1"
"47","15","1","-358.497352590688","1"
"48","1","-1","-468.6","0"
"49","6","-1","-695.88","0"
"51","16","-1","-13.44","0"
"51","15","-2","34.17","0"
"54","13","-2","-1942.72636207868","1"
"54","12","-3","-1906.35090232703","1"
"54","11","-4","-1881.70307515684","1"
"54","14","-1","-1979.10182183033","1"
"55","13","-1","-884.36","0"
"55","12","-2","-845.95","0"
"55","14","0","-909.45","0"
"58","1","-1","-351.0","0"
"59","0","-2","-744.53","0"
"59","1","-1","-755.91","0"
"61","19","-2","0.0","0"
"62","13","-1","-373.909647943005","1"
"62","16","2","-437.915028499638","1"
"62","14","0","-392.453249714319","1"
"62","15","1","-410.996851485633","1"
"63","12","-4","-2573.6","0"
"63","13","-3","-2616.98","0"
"63","14","-2","-2645.98","0"
"64","10","0","-528.02","0"
"65","7","0","-510.87","0"
"72","8","0","-734.156482308206","1"
"73","11","0","-502.92","0"
