"16S rRNA Count","Arrangment","Biotic Relationships","Body Site","Body Subsite","Cell Arrangement","Cell Shape","Class","Disease","Diseases","Domain","Ecosystem","Ecosystem Category","Ecosystem Subtype","Ecosystem Type","Endospores","Energy Category","Energy Source","Family","GC Content","Genbank accessions","GenBank Project ID","Gene Count","Genome Name","Genome Size","Genus","GOLD ID","Gram Stain","Group","Habitat","Has 1PFK","Has 6PGL","Has ADP PFK","Has Any 1PFK","Has Any Gluconate Dehydratase","Has EDA","Has EDD","Has Gluconate Dehydratase","Has Gluconokinase","Has Phosphoketolase","Has PPi PFK","Has Rubisco","Has ZWF","IMG Pathwawy Count","IMG Pathway %","IMG Submission ID","Isolation","KEGG %","KEGG Count","KEGG ID","Metabolism","MetaCyc %","MetaCyc Count","Motility","NCBI Taxon ID","Optimal temp.","Order","Organism Name","Oxygen Req NCBI","Oxygen Requirement IMG","Paralogs %","Paralogs Count","Pathogenic in","Phenotype","Phylum","Project ID","Proposal Name","Refseq accessions","RefSeq project ID","RefSeq Project ID","Salinity","Sequence Status","Sequencing Center","Shape","Species","Specific Ecosystem","Sporulation","Status","Strain","Super Kingdom","Taxon Object ID","Taxonomy ID","Temp. range","Temperature Range","Has 1PFK or EDD"
3,"Filaments","Free living",,,"Filaments","Coccus-shaped","Actinobacteria",,"None","Bacteria",,,,,,"Organic","Chemoorganotroph","Geodermatophilaceae",74,"CP001867",29547,5155,"Geodermatophilus obscurus DSM 43160",5.3,"Geodermatophilus","Gc01190",0,"Actinobacteria","Terrestrial","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE",332,6.44,,"Free living",24.03,1239,"gob",,16.51,851,"No",526225,0,"Actinomycetales","Geodermatophilus obscurus DSM 43160","Aerobic","Aerobe",17.19,886,"No",,"Actinobacteria",29547,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",0,43725,43725,,"complete","DOE Joint Genome Institute, DSMZ","Coccus","obscurus",,,"Finished","DSM 43160","Bacteria",646311931,646311931,"Mesophilic","Mesophile","1PFK"
1,,"Free living","Gastrointestinal tract","Intestinal tract",,"Spiral-shaped","Spirochaetes",,"None","Bacteria",,,,,"No","Organic","Chemoorganotroph","Brachyspiraceae",27.8,"CP001959",29543,2893,"Brachyspira murdochii 56-150, DSM 12563",3.2,"Brachyspira","Gc01276",0,"Spirochaetes","Host-associated","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",181,6.26,,"Free living",27.13,785,"brm",,15.49,448,"Yes",526224,0,"Spirochaetales","Brachyspira murdochii DSM 12563","Facultative","Anaerobe",20.71,599,"No",,"Spirochaetes",29543,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",0,48819,48819,,"complete","DOE Joint Genome Institute, DSMZ","Spiral","murdochii",,"Nonsporulating","Finished","DSM 12563","Bacteria",646564514,646564514,"Mesophilic","Mesophile","1PFK"
2,"Filaments","Free living","Airways",,"Filaments","Rod-shaped","Actinobacteria","Septicemia, endocarditis, lung and wound infections","Endocarditis, Bacteremia","Bacteria",,,,,,"Organic","Chemoorganotroph","Gordoniaceae",67,"CP001802,CP001803",29549,5002,"Gordonia bronchialis DSM 43247",5.281,"Gordonia","Gc01134",0,"Actinobacteria","Host-associated","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",307,6.14,,"Free living",24.51,1226,"gbr",,17.19,860,"No",526226,0,"Actinomycetales","Gordonia bronchialis DSM 43247","Aerobic","Obligate aerobe",16.45,823,"Human","Opportunistic Pathogen","Actinobacteria",29549,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",0,41403,41403,,"complete","DOE Joint Genome Institute, DSMZ","Rod","bronchialis",,"Nonsporulating","Finished","DSM 43247","Bacteria",646311932,646311932,"Mesophilic","Mesophile","1PFK"
7,"Singles, Pairs","Free living","Plant-root",,"Singles, Pairs","Rod-shaped","Alphaproteobacteria",,"None","Bacteria",,,,,"No","C1","Methylotroph","Methylobacteriaceae",68.4,"CP001349,CP001351,CP001352,CP001353,CP001354,CP001355,CP001356,CP001350",20477,8885,"Methylobacterium nodulans ORS 2060",8.84326,"Methylobacterium","Gc00935",0,"Alphaproteobacteria","Host-associated","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE",258,2.9,,"Free living",20.82,1850,"mno","Nitrogen fixation",12.85,1142,"Yes",460265,0,"Rhizobiales","Methylobacterium nodulans ORS 2060","Aerobic","Aerobe",36.26,3222,"No",,"Proteobacteria",20477,"LGT in Methylobacteria Proposal # 0165-051130",0,59023,59023,,"complete","DOE Joint Genome Institute","Rod","nodulans",,"Nonsporulating","Finished","ORS 2060","Bacteria",643348564,643348564,"Mesophilic","Mesophile","1PFK"
4,"Singles, Pairs","Free living",,,,"Rod-shaped","Alphaproteobacteria","None","None","Bacteria",,,,,"No","Inorganic","Phototroph","Rhodobacteraceae",66.6,"CP001312,CP001313",55,3708,"Rhodobacter capsulatus SB1003",3.83,"Rhodobacter","Gc01261",0,"Alphaproteobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",270,7.28,,"Free living",32.87,1219,"rcp",,19.36,718,"Yes",272942,"25-35","Rhodobacterales","Rhodobacter capsulatus SB 1003","Facultative","Facultative",10.3,382,"No",,"Proteobacteria",55,"zzz",0,47509,47509,,"complete","Institute of Molecular Genetics, Prague, Integrated Genomics Inc, Univ of Chicago","Rod","capsulatus",,"Nonsporulating","Finished","SB1003","Bacteria",646564563,646564563,"Mesophilic","Mesophile","BOTH"
3,"Chains","Free living",,,"Chains","Rod-shaped","Alphaproteobacteria",,"None","Bacteria",,,,,,"Inorganic","Photosynthetic","Rhodobacteraceae",68.8,"CP000143,CP000144,DQ232586,CP000145,CP000146,CP000147,DQ232587",56,4383,"Rhodobacter sphaeroides 2.4.1",4.607,"Rhodobacter","Gc00417",0,"Alphaproteobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",369,8.42,,"Free living",33.06,1449,"rsp",,19.67,862,"Yes",272943,"25-35","Rhodobacterales","Rhodobacter sphaeroides 2.4.1","Facultative","Facultative",15.08,661,"No","Non-Pathogen","Proteobacteria",56,"Rhodobacter sphaeroides 2.4.1",0,57653,57653,,"complete","DOE Joint Genome Institute, Univ of Texas - Houston","Rod","sphaeroides",,,"Finished","2.4.1","Bacteria",640069327,640069327,"Mesophilic","Mesophile","1PFK"
2,,"Free living",,,"Singles","Rod-shaped","Actinobacteria","Soft tissue lesions","Soft tissue lesions","Bacteria",,,,,"No","Organic","Chemoorganotroph","Mycobacteriaceae",67.4,"CP000480",92,6941,"Mycobacterium smegmatis MC2 155",7,"Mycobacterium","Gc00461",0,"Actinobacteria","Host-associated","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",332,4.78,,"Free living",25.1,1742,"msm",,17.69,1228,"No",246196,37,"Actinomycetales","Mycobacterium smegmatis str. MC2 155","Aerobic","Aerobe",25,1735,"Human","Pathogen","Actinobacteria",92,"zzz",0,57701,57701,,"complete","J. Craig Venter Institute","Rod","smegmatis",,"Nonsporulating","Finished","str. MC2 155","Bacteria",639633041,639633041,"Mesophilic","Mesophile","BOTH"
7,,"Free living",,,"Singles","Curved-shaped","Gammaproteobacteria","Cholera","Food poisoning, Cholera","Bacteria",,,,,"No","Organic","Heterotroph","Vibrionaceae",47.3,"CP001485,CP001486",33555,3894,"Vibrio cholerae MJ-1236",4.24958,"Vibrio","Gc00994",0,"Gammaproteobacteria","Aquatic","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",92,2.36,,"Free living",31.95,1244,"vcj",,17.82,694,"Yes",593588,0,"Vibrionales","Vibrio cholerae MJ-1236","Facultative","Facultative",13.74,535,"Human","Pathogen","Proteobacteria",33555,"zzz",0,59387,59387,,"complete","Los Alamos National Lab, Los Alamos National Laboratory","Rod","cholerae",,"Nonsporulating","Finished","MJ-1236","Bacteria",643692054,643692054,"Mesophilic","Mesophile","BOTH"
2,,"Free living",,,,"Rod-shaped","Gammaproteobacteria",,"None","Bacteria",,,,,,"Inorganic","Obligate chemoautolithotroph","Acidithiobacillaceae",58.8,"CP001219",53,3234,"Acidithiobacillus ferrooxidans ATCC 23270",3,"Acidithiobacillus","Gc00911",0,"Gammaproteobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",215,6.65,,"Free living",26.44,855,"afr","Iron oxidizer",17.72,573,"Yes",243159,"30-35","Acidithiobacillales","Acidithiobacillus ferrooxidans ATCC 23270","Facultative","Obligate aerobe",14.25,461,"No","Acidophile","Proteobacteria",53,"zzz",0,57649,57649,,"complete","J. Craig Venter Institute","Rod","ferrooxidans",,"Nonsporulating","Finished","ATCC 23270","Bacteria",643348501,643348501,"Mesophilic","Mesophile","1PFK"
6,"Singles, V-shaped pairs","Free living",,,"Singles, V-shaped forms","Rod-shaped","Actinobacteria",,"None","Bacteria",,,,,"No","Organic","Chemoorganotroph","Corynebacteriaceae",54.1,"AP009044,AP009045",19193,3174,"Corynebacterium glutamicum R",3.349,"Corynebacterium","Gc00535",0,"Actinobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",294,9.26,,"Free living",29.33,931,"cgt",,19.47,618,"No",340322,"30-40","Actinomycetales","Corynebacterium glutamicum R","Facultative","Facultative",9.77,310,,"Fast growing","Actinobacteria",19193,"zzz",0,58897,58897,,"complete","RITE","Rod","glutamicum",,"Nonsporulating","Finished","R","Bacteria",640427110,640427110,"Mesophilic","Mesophile","1PFK"
6,,"Free living",,,"Chains, Singles","Rod-shaped","Bacilli",,"None","Bacteria",,,,,"No","Organic","Chemoorganotroph","Listeriaceae",37.4,"FN557490",41123,2795,"Listeria seeligeri sv 1/2b, SLCC3954",2.8,"Listeria","Gc01165",0,"Firmicutes",,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",194,6.94,,"Free living",31.91,892,"lsg",,18.57,519,"Yes",683837,0,"Bacillales","Listeria seeligeri serovar 1/2b str. SLCC3954","Facultative","Facultative",15.24,426,,"Non-Pathogen","Firmicutes",41123,"zzz",0,46215,46215,,"complete","AGOWA, Max-Planck Institute, PathoGenoMik","Rod","seeligeri",,"Nonsporulating","Finished","serovar 1/2b str. SLCC3954","Bacteria",646564544,646564544,"Mesophilic","Mesophile","1PFK"
3,,"Free living",,,,"Rod-shaped","Gammaproteobacteria",,"None","Bacteria",,,,,,"Organic","Heterotroph","Alteromonadaceae",56.9,"CP000514,CP000516,CP000515",13239,4342,"Marinobacter aquaeolei VT8",4.77685,"Marinobacter","Gc00504",0,"Gammaproteobacteria","Aquatic","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",328,7.55,,"Free living",27.82,1208,"maq","Hydrocarbon degrading, Iron oxidizer, Oil degrading",16.86,732,"Yes",351348,30,"Alteromonadales","Marinobacter aquaeolei VT8","Facultative","Facultative",17.5,760,"No","Non-Pathogen, Biofilm","Proteobacteria",13239,"Single Microbes 2005 CSP",0,59419,59419,"Moderate halophilic","complete","DOE Joint Genome Institute, Woods Hole Oceanographic Institute","Rod","aquaeolei",,"Nonsporulating","Finished","VT8","Bacteria",639633037,639633037,"Mesophilic","Mesophile","EDD"
10,,"Free living",,,"Singles, Pairs","Rod-shaped","Gammaproteobacteria",,"None","Bacteria",,,,,,"Organic","Heterotroph","Shewanellaceae",46.3,"CP001252,CP001254,CP001255,CP001253",17985,4622,"Shewanella baltica OS223",5.3579,"Shewanella","Gc00902",0,"Gammaproteobacteria","Aquatic","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",339,7.33,,"Free living",24.45,1130,"sbp",,16.21,749,"Yes",407976,0,"Alteromonadales","Shewanella baltica OS223","Facultative","Facultative",13.72,634,"No",,"Proteobacteria",17985,"zzz",0,58775,58775,,"complete","DOE Joint Genome Institute","Rod","baltica",,"Nonsporulating","Finished","OS223","Bacteria",643348574,643348574,"Mesophilic","Psychrotolerant","EDD"
9,,"Free living",,,"Pairs, Singles","Rod-shaped","Gammaproteobacteria","Rare opportunistic pathogen of humans","None","Bacteria",,,,,,"Organic","Heterotroph","Shewanellaceae",45.9,"AE014299,AE014300",335,4657,"Shewanella oneidensis MR-1",5.1298,"Shewanella","Gc00105",0,"Gammaproteobacteria","Multiple","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",365,7.84,,"Free living",23.45,1092,"son","Metal reducer",15.4,717,"Yes",211586,0,"Alteromonadales","Shewanella oneidensis MR-1","Facultative","Facultative",14.97,697,"Human","Opportunistic Pathogen","Proteobacteria",335,"zzz",0,57949,57949,,"complete","J. Craig Venter Institute","Rod","oneidensis",,"Nonsporulating","Finished","MR-1","Bacteria",637000258,637000258,"Mesophilic","Mesophile","EDD"
8,,"Free living",,,"Pairs, Singles","Rod-shaped","Gammaproteobacteria",,"None","Bacteria",,,,,,"Organic","Heterotroph","Shewanellaceae",53.6,"CP000507",13385,3791,"Shewanella amazonensis SB2B",4.3,"Shewanella","Gc00477",0,"Gammaproteobacteria","Multiple","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",348,9.18,,"Free living",28.57,1083,"saz","Metal reducer",19.15,726,,326297,37,"Alteromonadales","Shewanella amazonensis SB2B","Facultative","Facultative",9.21,349,,,"Proteobacteria",13385,"zzz",0,58257,58257,,"complete","DOE Joint Genome Institute","Rod","amazonensis",,"Nonsporulating","Finished","SB2B","Bacteria",639633057,639633057,"Mesophilic","Mesophile","EDD"
2,,"Free living",,,,"Coccus-shaped","Methanococci",,"None","Archaea",,,,,"No","Inorganic","Lithotroph","Methanocaldococcaceae",31.3,"L77117,L77118,L77119",102,1844,"Methanocaldococcus jannaschii DSM 2661",1.73997,"Methanocaldococcus","Gc00004",,"Euryarchaeota","Aquatic","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",207,11.23,,"Free living",29.01,535,"mja","Methanogen",18.98,350,"Yes",243232,85,"Methanococcales","Methanocaldococcus jannaschii DSM 2661","Anaerobic","Obligate anaerobe",10.2,188,"No","Piezophile","Euryarchaeota",102,"zzz",0,57713,57713,"Moderate halophilic","complete","J. Craig Venter Institute, Univ of Illinois at Urbana-Champaign","Irregular coccus","jannaschii",,"Nonsporulating","Finished","DSM 2661","Archaea",638154505,638154505,"Hyperthermophilic","Hyperthermophile","1PFK"
2,"Pairs","Free living",,,,"Coccus-shaped","Gammaproteobacteria",,"None","Bacteria",,,,,,"C1","Methanotroph","Methylococcaceae",63.6,"AE017282",21,3061,"Methylococcus capsulatus Bath",3.3,"Methylococcus","Gc00217",0,"Gammaproteobacteria","Multiple","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE",305,9.96,,"Free living",30.09,921,"mca",,21.2,649,,243233,45,"Methylococcales","Methylococcus capsulatus str. Bath","Aerobic","Aerobe",10.91,334,"No",,"Proteobacteria",21,"zzz",0,57607,57607,,"complete","J. Craig Venter Institute, Univ of Bergen, Norway","Coccus","capsulatus",,,"Finished","str. Bath","Bacteria",637000166,637000166,"Thermophilic","Thermophile","EDD"
3,"Pairs, Tetrads","Free living",,,,"Coccus-shaped","Deinococci",,"None","Bacteria",,,,,,"Organic","Chemoorganotroph","Deinococcaceae",66.6,"AE000513,AE001825,AE001826,AE001827",65,3249,"Deinococcus radiodurans USUHS (R1)",3.28464,"Deinococcus","Gc00024",0,"Deinococcus-Thermus","Terrestrial","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",304,9.36,,"Free living",26.9,874,"dra",,17.88,581,,243230,"30-37","Deinococcales","Deinococcus radiodurans R1","Aerobic","Aerobe",8.96,291,"No","Radiation resistant","Thermi",65,"zzz",0,57665,57665,,"complete","J. Craig Venter Institute","Coccus","radiodurans",,,"Finished","R1","Bacteria",637000092,637000092,"Mesophilic","Mesophile","1PFK"
2,,"Free living",,,,"Rod-shaped","Actinobacteria","None","None","Bacteria",,,,,,"Organic","Chemoorganotroph","Cellulomonadaceae",74.1,"CP001964",19707,3783,"Cellulomonas flavigena 134, DSM 20109",4.1,"Cellulomonas","Gc01326",0,"Actinobacteria","Terrestrial","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE",264,6.98,,"Free living",23.5,889,"cfl","Biomass degrader, Cellulose degrader, Nitrate reducer, Xylan degrader",15.65,592,"Yes",446466,0,"Actinomycetales","Cellulomonas flavigena DSM 20109","Facultative","Facultative",11.5,435,"No",,"Actinobacteria",19707,"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)",0,48821,48821,,"complete","DOE Joint Genome Institute, DSMZ","Rod","flavigena",,"Nonsporulating","Finished","DSM 20109","Bacteria",646564520,646564520,"Mesophilic","Mesophile","1PFK"
6,"Singles","Free living","Airways",,"Singles","Rod-shaped","Gammaproteobacteria","Bubonic plague","Bubonic plague","Bacteria",,,,,,"Organic","Heterotroph","Enterobacteriaceae",47.6,"AL590842,AL117189,AL109969,AL117211",34,4368,"Yersinia pestis CO-92",4.82965,"Yersinia","Gc00064",0,"Gammaproteobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",407,9.32,,"Free living",30.86,1348,"ype",,17.35,758,,214092,"28-30","Enterobacteriales","Yersinia pestis CO92","Facultative","Facultative",15.8,690,"Human, Rodent","Pathogen","Proteobacteria",34,"zzz",0,57621,57621,,"complete","DSTL, Imperial College, MDS, Sanger Institute","Rod","pestis",,"Nonsporulating","Finished","CO92","Bacteria",637000351,637000351,"Mesophilic","Mesophile","BOTH"
6,"Singles","Free living","Gastrointestinal tract","Intestinal tract","Singles","Rod-shaped","Bacteroidia","Severe infection, diarrhea, and abcesses","Abscesses, Diarrhea","Bacteria",,,,,,"Organic","Chemoorganotroph","Bacteroidaceae",43.2,"AP006841,AP006842",13067,4730,"Bacteroides fragilis YCH46",5.31127,"Bacteroides","Gc00222",0,"Bacteroidetes/Chlorobi",,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",302,6.38,,"Free living",18.08,855,"bfr",,12.92,611,,295405,37,"Bacteroidales","Bacteroides fragilis YCH46","Anaerobic","Obligate anaerobe",18.67,883,"Human","Pathogen","Bacteroidetes",13067,"zzz",0,58195,58195,,"complete","Kitasato Univ, RIKEN, Tokushima Univ","Rod","fragilis",,,"Finished","YCH46","Bacteria",637000025,637000025,"Mesophilic","Mesophile","1PFK"
10,,,,,,,"Bacilli",,,"Bacteria",,,,,,,,"Bacillaceae",43.8,"CP002293,CP002294",33183,4031,"Geobacillus sp. Y4.1MC1",3.872,"Geobacillus",,0,"Firmicutes","Multiple","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",177,4.39,,,29.05,1171,"gmc",,18.04,727,,581103,0,"Bacillales","Geobacillus sp. Y4.1MC1","Aerobic",,5.06,204,"No",,"Firmicutes",33183,"zzz",0,55779,55779,,"complete","DOE Joint Genome Institute","Rod","sp.",,,"Finished","Y4.1MC1","Bacteria",649633047,649633047,"Thermophilic",,"1PFK"
5,"Singles","Free living",,,"Singles","Rod-shaped","Gammaproteobacteria","Plant rot","Plant rot, Speck disease","Bacteria",,,,,,"Organic","Heterotroph","Pseudomonadaceae",58.3,"AE016853,AE016855,AE016854",359,5721,"Pseudomonas syringae pv. tomato DC3000",6.54066,"Pseudomonas","Gc00154",0,"Gammaproteobacteria","Multiple","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE",419,7.32,,"Free living",27.62,1580,"pst",,16.05,918,"Yes",223283,0,"Pseudomonadales","Pseudomonas syringae pv. tomato str. DC3000","Aerobic","Aerobe",21.53,1232,"Plant","Pathogen","Proteobacteria",359,"zzz",0,57967,57967,,"complete","Cornell Univ, J. Craig Venter Institute, Kansas State Univ, Univ of Missouri, Univ of Nebraska","Rod","syringae",,"Nonsporulating","Finished","pv. tomato str. DC3000","Bacteria",637000225,637000225,"Mesophilic","Mesophile","BOTH"
9,"Singles, Pairs, Chains","Free living",,,"Chains, Singles, Pairs","Rod-shaped","Clostridia","Botulism","Botulism","Bacteria",,,,,"Yes","Organic","Chemoorganotroph","Clostridiaceae",28.3,"CP000728,CP000729",19519,3863,"Clostridium botulinum F Langeland",4.018,"Clostridium","Gc00622",0,"Firmicutes","Multiple","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",198,5.13,,"Free living",22.7,877,"cbf",,12.79,494,"Yes",441772,37,"Clostridiales","Clostridium botulinum F str. Langeland","Anaerobic","Obligate anaerobe",19.8,765,"Human","Pathogen","Firmicutes",19519,"zzz",0,58929,58929,,"complete","DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory","Rod","botulinum",,"Sporulating","Finished","F str. Langeland","Bacteria",640753019,640753019,"Mesophilic","Mesophile","1PFK"
8,"Singles, Pairs, Chains","Free living",,,"Pairs, Chains, Singles","Rod-shaped","Clostridia","Botulism","Botulism","Bacteria",,,,,"Yes","Organic","Chemoorganotroph","Clostridiaceae",28.2,"CP000727",19521,3622,"Clostridium botulinum BoNT/A1 Hall",3.76056,"Clostridium","Gc00621",0,"Firmicutes","Multiple","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",195,5.38,,"Free living",24.21,877,"cbh",,13.47,488,"Yes",441771,37,"Clostridiales","Clostridium botulinum A str. Hall","Anaerobic","Obligate anaerobe",19.63,711,"Human","Pathogen","Firmicutes",19521,"zzz",0,58931,58931,,"complete","DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory","Rod","botulinum",,"Sporulating","Finished","A str. Hall","Bacteria",640753018,640753018,"Mesophilic","Mesophile","1PFK"
