Species, Gene
ECO, b0129(yadI) b0679(nagE) b0731(mngA) b1101(ptsG) b1621(malX) b1736(chbA) b1738(chbB) b1817(manX) b2093(gatB) b2094(gatA) b2167(fruA) b2169(fruB) b2383(fryA) b2387(fryB) b2417(crr) b2429(murP) b2703(srlE) b2704(srlB) b2715(ascF) b2933(cmtA) b2934(cmtB) b3133(agaV) b3138(agaB) b3204(ptsN) b3599(mtlA) b3722(bglF) b3899(frvB) b3900(frvA) b3947(ptsA) b3950(frwB) b3953(frwD) b4194(ulaB) b4195(ulaC) b4240(treB) b4302(sgcA) b4565(sgcB)
ECJ, JW0125(yadI) JW0665(nagE) JW0720(mngA) JW1087(ptsG) JW1613(malX) JW1725(chbA) JW1727(chbB) JW1806(manX) JW2077(gatB) JW2078(gatA) JW2081(gatA) JW2154(fruA) JW2156(fruB) JW2380(ypdD) JW2410(crr) JW2422(murP) JW2673(srlB) JW2900(cmtA) JW2901(cmtB) JW3102(agaV) JW3107(agaB) JW3171(ptsN) JW3573(mtlA) JW3659(glvB) JW3700(bglF) JW3871(frvA) JW3922(frwB) JW3925(frwD) JW4152(ulaB) JW4153(ulaC) JW4199(treB) JW4264(sgcA) JW5389(ypdH) JW5430(srlE) JW5435(ascF) JW5555(ptsA) JW5562(frvB) JW5967(sgcB)
ECD, ECDH10B_0109(yadI) ECDH10B_0744(nagE) ECDH10B_0797(mngA) ECDH10B_1173(ptsG) ECDH10B_1754(malX) ECDH10B_1874(chbA) ECDH10B_1876(chbB) ECDH10B_1955(manX) ECDH10B_2246(gatB) ECDH10B_2247(gatA) ECDH10B_2324(fruA) ECDH10B_2548(ypdD) ECDH10B_2552(ypdH) ECDH10B_2582(crr) ECDH10B_2594(murP) ECDH10B_2871(srlE) ECDH10B_2872(srlB) ECDH10B_2883(ascF) ECDH10B_3306(agaV) ECDH10B_3311(agaB) ECDH10B_3378(ptsN) ECDH10B_3780(mtlA) ECDH10B_3909(bglF) ECDH10B_4089(frvB) ECDH10B_4136(ptsA) ECDH10B_4138(frwB) ECDH10B_4141(frwD) ECDH10B_4389(ulaB) ECDH10B_4390(ulaC) ECDH10B_4435(treB) ECDH10B_4503(sgcA) ECDH10B_4506(sgcB)
EBW, BWG_0122(yadI) BWG_0539(nagE) BWG_0589(mngA) BWG_0949(ptsG) BWG_1435(malX) BWG_1549(chbA) BWG_1551(chbB) BWG_1630(manX) BWG_1879(gatB) BWG_1880(gatA) BWG_1949(fruA) BWG_2151(fryA) BWG_2155(fryB) BWG_2179(crr) BWG_2191(murP) BWG_2439(srlE) BWG_2440(srlB) BWG_2451(ascF) BWG_2655(cmtA) BWG_2656(cmtB) BWG_2839(agaV) BWG_2842(agaB) BWG_2906(ptsN) BWG_3289(mtlA) BWG_3413(bglF) BWG_3569(frvB) BWG_3570(frvA) BWG_3616(ptsA) BWG_3618(frwB) BWG_3621(frwD) BWG_3906(ulaB) BWG_3907(ulaC) BWG_3948(treB) BWG_3999(sgcA) BWG_4002(sgcB)
ECE, Z0140(yadI) Z0826(nagE) Z1088 Z1740(ptsG) Z2626(malX) Z2766(celC) Z2768(celA) Z2860(manX) Z3256(gatB) Z3257(gatA) Z3425(fruA) Z3427(fruB) Z3648 Z3653 Z3683(crr) Z3694(murP) Z4009(srlE_2) Z4011(srlB) Z4023(ascF) Z4277(cmtA) Z4278(cmtB) Z4485(agaV) Z4488 Z4492(agaB) Z4567(ptsN) Z4875 Z4876 Z5023(mtlA) Z5178 Z5442(frvB) Z5443(frvA) Z5502(ptsA) Z5506(frwB) Z5509(frwD) Z5616 Z5617 Z5803(sgaB) Z5804(ptxA) Z5850(treB)
ECS, ECs0133 ECs0709 ECs0941 ECs1479 ECs2329 ECs2442 ECs2444 ECs2527 ECs2896 ECs2897 ECs3059 ECs3061 ECs3263 ECs3267 ECs3289 ECs3300(murP) ECs3560 ECs3571 ECs3808 ECs3809(cmtB) ECs4011 ECs4014 ECs4018 ECs4083 ECs4350 ECs4351 ECs4475 ECs4623 ECs4825 ECs4826 ECs4877 ECs4879 ECs4882 ECs5001 ECs5002 ECs5170 ECs5171 ECs5217
ECF, ECH74115_0137 ECH74115_0772(nagE) ECH74115_1480(ptsG) ECH74115_2333(malX) ECH74115_2454(chbA) ECH74115_2456(chbB) ECH74115_2546(manX) ECH74115_3072(gatB) ECH74115_3073(gatA) ECH74115_3303(fruA) ECH74115_3305(fruB) ECH74115_3615(fryA) ECH74115_3619 ECH74115_3648(crr) ECH74115_3659(murP) ECH74115_3954(srlB) ECH74115_3966(ascF) ECH74115_4234 ECH74115_4235(cmtB) ECH74115_4447(agaV) ECH74115_4450(agaF) ECH74115_4455(agaB) ECH74115_4526(ptsN) ECH74115_4823 ECH74115_4824 ECH74115_4969(mtlA) ECH74115_5114 ECH74115_5350 ECH74115_5351 ECH74115_5408(ptsA) ECH74115_5410 ECH74115_5414 ECH74115_5497 ECH74115_5710(ulaB) ECH74115_5711(ulaC) ECH74115_5762(treB)
ETW, ECSP_0130(yadI) ECSP_0726(nagE) ECSP_0961 ECSP_1402(ptsG) ECSP_2185(malX) ECSP_2304(chbA) ECSP_2306(chbB) ECSP_2390(manX) ECSP_2888(gatB) ECSP_2889(gatA) ECSP_3045(fruA) ECSP_3047(fruB) ECSP_3333 ECSP_3337 ECSP_3365(crr) ECSP_3376(murP) ECSP_3652(srlB) ECSP_3663(ascF) ECSP_3903(cmtA) ECSP_3904(cmtB) ECSP_4104(agaV) ECSP_4107(agaF) ECSP_4112(agaB) ECSP_4179(ptsN) ECSP_4457 ECSP_4458 ECSP_4592(mtlA) ECSP_4734 ECSP_4959(frvB) ECSP_4960(frvA) ECSP_5017(ptsA) ECSP_5019(frwB) ECSP_5022(frwD) ECSP_5094 ECSP_5095 ECSP_5294(ulaB) ECSP_5295(ulaC) ECSP_5341(treB)
EOJ, ECO26_0131(yadI) ECO26_0743(nagE) ECO26_0791(mngA) ECO26_1434(ptsG) ECO26_2137 ECO26_2139 ECO26_2349(malX) ECO26_2511(chbA) ECO26_2513(chbB) ECO26_2587(manX) ECO26_3002(gatB) ECO26_3003(gatA) ECO26_3079(fruA) ECO26_3081(fruB) ECO26_3443(ypdD) ECO26_3447(ypdH) ECO26_3470(crr) ECO26_3481(murP) ECO26_3766(srlE) ECO26_3767(srlB) ECO26_3778(ascF) ECO26_3887 ECO26_4024(cmtA) ECO26_4025(cmtB) ECO26_4032 ECO26_4033 ECO26_4236(agaV) ECO26_4239 ECO26_4243(agaB) ECO26_4308(ptsN) ECO26_4686(frvA) ECO26_4687(frvB) ECO26_4860(bglF) ECO26_4899(glvC) ECO26_5001(mtlA) ECO26_5067(frwB) ECO26_5070(frwD) ECO26_5130 ECO26_5131 ECO26_5360(ulaB)
EOI, ECO111_0130(yadI) ECO111_0698(nagE) ECO111_0747(mngA) ECO111_1378(ptsG) ECO111_1932 ECO111_1934 ECO111_2090(malX) ECO111_2247(chbA) ECO111_2249(chbB) ECO111_2324(manX) ECO111_2809(gatB) ECO111_2810(gatA) ECO111_2885(fruA) ECO111_2887(fruB) ECO111_3120(ypdD) ECO111_3124(ypdH) ECO111_3147(crr) ECO111_3158(murP) ECO111_3421(srlE) ECO111_3422(srlB) ECO111_3433(ascF) ECO111_3673(cmtA) ECO111_3674(cmtB) ECO111_3681 ECO111_3682 ECO111_3955(agaV) ECO111_3958 ECO111_3962(agaB) ECO111_4029(ptsN) ECO111_4420(mtlA) ECO111_4510(glvC) ECO111_4722(frvB) ECO111_4723(frvA) ECO111_4773(ptsA) ECO111_4775(frwB) ECO111_4778(frwD) ECO111_4837 ECO111_4838 ECO111_5019(ulaC) ECO111_5020(ulaB) ECO111_5125(treB)
