Species, Gene
RLT, Rleg2_4979
CSH, Closa_0608
SKE, Sked_02970
SSM, Spirs_3399
MJA, MJ_1604
MFE, Mefer_1517
MVU, Metvu_0786
MFS, MFS40622_0160
MIF, Metin_0227
MIG, Metig_1734
MMP, MMP1296(pfkC)
MMQ, MmarC5_0297
MMX, MmarC6_1378
MMZ, MmarC7_0541
MAE, Maeo_0005
MVN, Mevan_0606
MVO, Mvol_0050 Mvol_0110
MOK, Metok_1190
MAC, MA3562(glkA) MA3563(pfk)
MBA, Mbar_A2004 Mbar_A2005
MMA, MM_0472 MM_0473
MBU, Mbur_1338 Mbur_1339
MMH, Mmah_1645 Mmah_1646
MEV, Metev_0816 Metev_0817
MZH, Mzhil_0819 Mzhil_0820
MTP, Mthe_1214
MCJ, MCON_0234(pfkC)
MBN, Mboo_1525
NMG, Nmag_3826
PHO, PH0589 PH1645
PAB, PAB0967 PAB2013
PFU, PF0312 PF1784
PYN, PNA2_0229 PNA2_1204
PYA, PYCH_02450 PYCH_10910
TKO, TK0376 TK1110
TON, TON_0246 TON_1012
TGA, TGAM_0818(glkA) TGAM_1465(pfkC)
TSI, TSIB_0252 TSIB_1220
TBA, TERMP_00004 TERMP_01160
THE, GQS_04080 GQS_10400
