Species, Gene
HSA, 5211(PFKL) 5213(PFKM) 5214(PFKP)
PTR, 450266(PFKP) 451863(PFKM) 458602(PFKL)
PON, 100172585(PFKM) 100173235(PFKL) 100173619(PFKP)
MCC, 707806(PFKM) 722173 722330
MMU, 18641(Pfkl) 18642(Pfkm) 56421(Pfkp)
RNO, 25741(Pfkl) 60416(Pfkp) 65152(Pfkm)
CFA, 403849(PFKM) 478019(PFKP) 487797(PFKL)
AML, 100467584 100471440 100479861
BTA, 506544(PFKM) 507119(PFKP) 508683(PFKL)
SSC, 733601(PFKM)
ECB, 100034116(PFKM) 100056927 100070818(PFKP)
MDO, 100022041(PFKP) 100023492
OAA, 100080281 100083239
GGA, 374064(PFKM) 769850(PFKL)
MGP, 100540026 100549777(PFKP)
TGU, 100229947
ACS, 100552812 100561110(pfkp) 100563919
XLA, 100037146(pfkp) 379632 446756(pfkm)
XTR, 100216266(pfkm) 394825(pfkp)
DRE, 447836(pfkma) 560944 561416 568001(pfkmb) 570106
BFO, BRAFLDRAFT_69755
CIN, 100187197(pfkm)
SPU, 548617
DME, Dmel_CG4001(Pfk)
DPO, Dpse_GA17840
DAN, Dana_GF12020
DER, Dere_GG24141
DPE, Dper_GL17610
DSE, Dsec_GM21187
DSI, Dsim_GD10715
DWI, Dwil_GK21487
DYA, Dyak_GE19339(Dyak_Pfk)
DGR, Dgri_GH21789
DMO, Dmoj_GI20539
DVI, Dvir_GJ22388
AGA, AgaP_AGAP007642
AAG, AaeL_AAEL006895
CQU, CpipJ_CPIJ008591
NVI, 100115310(NV12083)
TCA, 658327
API, 100160659
PHU, Phum_PHUM615880
CEL, C50F4.2 Y71H10A.1
CBR, CBG02020 CBG19122
BMY, Bm1_31220
TSP, Tsp_05639
SMM, Smp_043670.1
TAD, TRIADDRAFT_28803
ATH, AT2G22480(PFK5) AT4G26270(PFK3) AT4G29220(PFK1) AT4G32840(PFK6) AT5G47810(PFK2) AT5G56630(PFK7) AT5G61580(PFK4)
ALY, ARALYDRAFT_481109 ARALYDRAFT_491421 ARALYDRAFT_492186 ARALYDRAFT_495754 ARALYDRAFT_496324 ARALYDRAFT_913590
POP, POPTR_1116049 POPTR_219726 POPTR_280952 POPTR_745171 POPTR_819528 POPTR_866992
RCU, RCOM_0070960 RCOM_0799050 RCOM_0880730 RCOM_1048820 RCOM_1487750 RCOM_1501790
VVI, 100242301 100242517 100243946 100245726 100245746
OSA, 4327301 4336113 4339369 4345675 4347060 4347383 4348582
SBI, SORBI_01g004810 SORBI_01g022370 SORBI_02g024680 SORBI_03g003140 SORBI_03g034060 SORBI_06g019610 SORBI_07g021500 SORBI_09g006030 SORBI_09g026150 SORBI_10g003650
ZMA, 100191982 100192478(pco064611a) 100279231 100280694 100281464 100281585 100281688 100285548
PPP, PHYPADRAFT_128193 PHYPADRAFT_136703 PHYPADRAFT_151059 PHYPADRAFT_185258 PHYPADRAFT_81369
CRE, CHLREDRAFT_196430(PFK2) CHLREDRAFT_196624(PFK1)
VCN, VOLCADRAFT_74177(pfk2) VOLCADRAFT_78805(pfk1)
OLU, OSTLU_29493 OSTLU_37009
OTA, Ot04g00450 Ot14g02170
CME, CMI162C CMM196C
SCE, YGR240C(PFK1) YMR205C(PFK2)
AGO, AGOS_AEL208W AGOS_AFL185W
KLA, KLLA0F06248g
LTH, KLTH0A05874g KLTH0B04576g
PPA, PAS_chr1-4_0047 PAS_chr2-1_0402
VPO, Kpol_1018p12 Kpol_1050p72
ZRO, ZYRO0B08140g ZYRO0D09130g
CGR, CAGL0F08041g CAGL0I05698g CAGL0L10758g
DHA, DEHA2D10186g DEHA2G20768g
PIC, PICST_66973(PFK2) PICST_70563(PFK1)
PGU, PGUG_03026 PGUG_04679
LEL, LELG_04039 LELG_05055
CAL, CaO19.11449(PFK1) CaO19.13893(PFK2)
CTP, CTRG_05115 CTRG_06094
CDU, CD36_54420 CD36_71630
YLI, YALI0D16357g
CLU, CLUG_00984 CLUG_01811
NCR, NCU00629
SMP, SMAC_01314
PAN, PODANSg3960
MGR, MGG_02653(MG02653.4)
FGR, FG09456.1
SSL, SS1G_11603
BFU, BC1G_10994
ANI, AN3223.2
AFM, AFUA_4G00960
NFI, NFIA_044540
AOR, AOR_1_2444154(AO090003001390) AOR_1_724024(AO090010000444)
ANG, ANI_1_204164(An18g01670)
AFV, AFLA_024480 AFLA_119290
ACT, ACLA_078110
PCS, Pc12g13500
CIM, CIMG_08879
CPW, CPC735_063930
URE, UREG_02793
ABE, ARB_05993
TVE, TRV_06349
PNO, SNOG_02539
TML, GSTUM_00009355001
SPO, SPBC16H5.02(pfk1)
CNE, CNJ01080
CNB, CNBJ2390
LBC, LACBIDRAFT_297266
MPR, MPER_03527 MPER_05684
CCI, CC1G_14425
SCM, SCHCODRAFT_82322
UMA, UM02512.1
MGL, MGL_0801
ECU, ECU03_0680
NCE, NCER_102427
MBR, MONBRDRAFT_17406
DDI, DDB_G0274111(pfkA)
EHI, EHI_103590(85.t00007) EHI_163630(74.t00023) EHI_187040(12.t00038)
EDI, EDI_004720 EDI_016560 EDI_347100
PFA, PF11_0294 PFI0755c
PFH, PFHG_01431
PCB, PC000906.02.0
PBE, PB000520.00.0
PKN, PKH_071270
PVX, PVX_099200
BBO, BBOV_II006170(18.m06510)
CPV, cgd2_2130
TGO, TGME49_040890
PTM, GSPATT00026938001
TBR, Tb927.3.3270
TCR, 508153.340
LMA, LmjF29.2510
LIF, LINJ_29_2620
LBZ, LbrM29_V2.2480
TVA, TVAG_263690 TVAG_293770
ECO, b1723(pfkB) b3916(pfkA)
ECJ, JW3887(pfkA) JW5280(pfkB)
ECD, ECDH10B_1861(pfkB) ECDH10B_4105(pfkA)
EBW, BWG_1536(pfkB) BWG_3585(pfkA)
ECE, Z2752(pfkB) Z5460(pfkA)
ECS, ECs2429 ECs4841(pfkA)
ECF, ECH74115_2441(pfkB) ECH74115_5370(pfkA)
ETW, ECSP_2291(pfkB) ECSP_4978(pfkA)
EOJ, ECO26_2496(pfkB) ECO26_4669(pfkA)
EOI, ECO111_2233(pfkB) ECO111_4739(pfkA)
EOH, ECO103_1915(pfkB) ECO103_4612(pfkA)
ECG, E2348C_1852(pfkB) E2348C_4220(pfkA)
EOK, G2583_2169(pfkB) G2583_4720(pfkA)
ECC, c2121(pfkB) c4867(pfkA)
ECP, ECP_1670 ECP_4125
ECI, UTI89_C1916(pfkB) UTI89_C4499(pfkA)
ECV, APECO1_2553(pfkA) APECO1_793(pfkB)
ECX, EcHS_A1804(pfkB) EcHS_A4146(pfkA)
ECW, EcE24377A_1943(pfkB) EcE24377A_4449(pfkA)
ECM, EcSMS35_1468(pfkB) EcSMS35_4356(pfkA)
ECY, ECSE_1892 ECSE_4204
ECR, ECIAI1_1781(pfkB) ECIAI1_4121(pfkA)
ECQ, ECED1_1926(pfkB) ECED1_4618(pfkA)
ECK, EC55989_1890(pfkB) EC55989_4394(pfkA)
ECT, ECIAI39_1331(pfkB) ECIAI39_3080(pfkA)
EUM, ECUMN_2012(pfkB) ECUMN_4444(pfkA)
ECZ, ECS88_1775(pfkB) ECS88_4366(pfkA)
ECL, EcolC_1909 EcolC_4102
EBR, ECB_01692(pfkB) ECB_03801(pfkA)
EBD, ECBD_1922 ECBD_4108
EFE, EFER_1345(pfkB) EFER_3857(pfkA)
STY, STY1785(pfkB) STY3809(pfkA)
STT, t1206(pfkB) t3557(pfkA)
STM, STM1326(pfkB) STM4062(pfkA)
SPT, SPA1518(pfkB) SPA3905(pfkA)
SEK, SSPA1409 SSPA3633
SPQ, SPAB_02014 SPAB_05034
SEI, SPC_2404(pfkB) SPC_4169(pfkA)
SEC, SC1347(pfkB) SC3953(pfkA)
SEH, SeHA_C1455(pfkB) SeHA_C4393(pfkA)
SEE, SNSL254_A1440(pfkB) SNSL254_A4391(pfkA)
SEW, SeSA_A1423(pfkB) SeSA_A4279(pfkA)
SEA, SeAg_B1845(pfkB) SeAg_B4308(pfkA)
SED, SeD_A2018(pfkB) SeD_A4460(pfkA)
SEG, SG1790(pfkB) SG3359(pfkA)
SET, SEN1717(pfkB) SEN3852(pfkA)
SES, SARI_01650 SARI_03581
YPE, YPO0078(pfkA)
YPK, y0059(pfkA)
YPA, YPA_3463
YPN, YPN_3770
YPM, YP_0080(pfkA)
YPP, YPDSF_3826
YPG, YpAngola_A0088(pfkA)
YPZ, YPZ3_0071(pfkA)
YPS, YPTB0074(pfkA)
YPI, YpsIP31758_0089(pfkA)
YPY, YPK_4126
YPB, YPTS_0077
YEN, YE0089(pfkA)
YEP, YE105_C0090
SFL, SF1507(pfkB) SF3994(pfkA)
SFX, S1624(pfkB) S3753(pfkA)
SFV, SFV_1498(pfkB) SFV_3578(pfkA)
SSN, SSON_1434(pfkB) SSON_4085(pfkA)
SBO, SBO_1367(pfkB) SBO_3933(pfkA)
SBC, SbBS512_E1968(pfkB) SbBS512_E4395(pfkA)
SDY, SDY_1816(pfkB) SDY_3831(pfkA)
ECA, ECA2352 ECA4307(pfkA)
PCT, PC1_0140 PC1_1956
PWA, Pecwa_0138 Pecwa_2252
ETA, ETA_00980(pfkA)
EPY, EpC_01090(pfkA)
EAM, EAMY_0108(pfkA)
EAY, EAM_0103(pfkA)
EBI, EbC_01310(pfkA) EbC_37860(pfkA)
PLU, plu4774(pfkA)
PAY, PAU_04264(pfkA)
BUC, BU305(pfkA)
BAS, BUsg295(pfkA)
BAB, bbp284(pfkA)
BCC, BCc_187(pfkA)
BAP, BUAP5A_299(pfkA)
BAU, BUAPTUC7_300(pfkA)
BAJ, BCTU_197(pfkA)
SGL, SG2178
ENT, Ent638_1721 Ent638_4056
ENC, ECL_02424 ECL_05061
ESC, Entcl_2086 Entcl_4346
EAS, Entas_1739 Entas_4352
EAE, EAE_07545 EAE_16965
ESA, ESA_02134 ESA_04127
