taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,Has EMP Glycolysis,Has ED Pathway,Has SemiP ED Pathway,Has SLP Bypass EMP
638154512,Archaea,Finished,Picrophilus torridus DSM 9790,Picrophilus torridus DSM 9790,638154512,263820,58041,10641,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,torridus,DSM 9790,"GenoMik Competence Network, Georg-August-Univ Goettingen, Goettingen Genomics Laboratory, TU Hamburg-Harburg",BMBF,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00190,Free living,zzz,zzz,zzz,Coccus-shaped,None,Heterotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,zzz,zzz,Aerobe,Aerobe,Acidophile,Biotechnological,zzz,zzz,Thermophile,zzz,10496,1,4,556065,0.36,1418572,1545895,1605,1551,96.64,54,3,1,1,zzz,1,zzz,44,7,98,6.11,636,39.63,21,1.31,zzz,zzz,19,1,72,4,1092,68.04,454,28.29,5,0.31,116,7.23,209,13.02,1504,93.71,122,7.6,1366,56,208,12.96,1343,83.68,1378,85.86,173,10.78,1208,75.26,713,44.42,1226,76.39,453,28.22,907,529,926,454,1340,83.49,552,34.39,197,12.27,630,39.25,921,57.38,949,59.13,602,37.51,415,25.86,1136,70.78,558,34.77,223,13.89,193,12.02,1569,97.76,69,pto,True,False,False,False,True,False,False,False,False,False,False,False
641228509,Bacteria,Finished,Sorangium cellulosum So ce 56,Sorangium cellulosum So ce 56,641228509,448385,61629,28111,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,cellulosum,So ce 56',Bielefeld Univ,zzz,2008-02-07,Yes,IMG/W 2.5,zzz,zzz,Gc00676,Free living,zzz,zzz,"Singles, Clusters",Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Cellulose degrader,Aerobe,Aerobe,zzz,Biotechnological,zzz,zzz,Mesophile,zzz,10009,1,6,9302956,0.71,11328483,13033779,9700,9384,96.74,316,12,4,4,zzz,4,zzz,60,244,809,8.34,4436,45.73,zzz,zzz,zzz,zzz,3,zzz,3,zzz,4395,45.31,4869,50.2,120,1.24,2531,26.09,1792,18.47,8381,86.4,1944,20.04,5782,699,207,2.13,9177,94.61,4277,44.09,5107,52.65,5375,55.41,3071,31.66,5898,60.8,1634,16.85,1901,992,2045,1060,7242,74.66,1496,15.42,621,6.4,1467,15.12,7917,81.62,2684,27.67,6700,69.07,995,10.26,8389,86.48,1107,11.41,348,3.59,422,4.35,9314,96.02,1461,scl,True,True,False,False,True,False,True,False,True,False,False,False
637000305,Bacteria,Finished,Streptomyces coelicolor A3(2),Streptomyces coelicolor A3(2),637000305,100226,57801,242,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,coelicolor,A3(2),"IGF, John Innes Centre, Sanger Institute","Beowulf Genomics, BBSRC",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00087,Free living,zzz,zzz,zzz,Filament-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Aerobe,Aerobe,zzz,"Antibiotic production, Biotechnological",zzz,Sporulating,Mesophile,zzz,10599,3,zzz,6519342,0.72,8033770,9054847,8325,8210,98.62,115,18,1,6,zzz,6,zzz,65,32,776,9.32,4683,56.25,56,0.67,zzz,zzz,zzz,zzz,zzz,zzz,5226,62.77,2946,35.39,38,0.46,1949,23.41,1896,22.77,7821,93.95,2219,26.65,5707,847,749,9,7461,89.62,8154,97.95,56,0.67,5261,63.2,2480,29.79,5978,71.81,1538,18.47,1812,875,1983,1057,6574,78.97,1459,17.53,877,10.53,1591,19.11,6619,79.51,2790,33.51,5420,65.11,1072,12.88,7138,85.74,1644,19.75,454,5.45,698,8.38,8143,97.81,643,sco,True,False,False,True,True,False,True,False,True,False,False,False
639633003,Bacteria,Finished,Acidovorax genus,Acidovorax sp. JS42,639633003,232721,58427,15685,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,sp.,JS42,DOE Joint Genome Institute,DOE,2007-01-28,Yes,IMG/W 2.1,zzz,zzz,Gc00485,Free living,zzz,zzz,zzz,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Non-Pathogen,Biotechnological,zzz,Nonsporulating,Mesophile,zzz,10200,3,2,3030216,0.66,4040079,4585154,4395,4320,98.29,75,9,3,3,zzz,3,zzz,51,15,399,9.08,2180,49.6,165,3.75,zzz,zzz,zzz,zzz,zzz,zzz,3077,70.01,1231,28.01,12,0.27,1034,23.53,953,21.68,4224,96.11,979,22.28,3487,333,305,6.94,4015,91.35,4157,94.58,163,3.71,3215,73.15,1309,29.78,3464,78.82,1377,31.33,1797,718,1885,1104,3780,86.01,1055,24,626,14.24,1220,27.76,3100,70.53,2127,48.4,2193,49.9,767,17.45,3553,80.84,996,22.66,326,7.42,378,8.6,4173,94.95,305,ajs,True,False,False,False,True,True,True,True,False,False,False,False
648276729,Bacteria,Draft,A Whole Genome Sequence of Sphingobium chlorophenolicum,Sphingobium chlorophenolicum L-1,648276729,690566,52597,50015,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,chlorophenolicum,L-1,DOE Joint Genome Institute,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01844,Free living,zzz,zzz,zzz,zzz,zzz,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,zzz,zzz,,,zzz,zzz,zzz,zzz,Mesophile,zzz,14991,22,zzz,2908290,0.64,4073260,4556429,4221,4165,98.67,56,5,3,1,zzz,1,zzz,51,zzz,364,8.62,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3187,75.5,906,21.46,72,1.71,1499,35.51,822,19.47,4023,95.31,636,15.07,3343,239,zzz,zzz,4165,98.67,13,0.31,4152,98.37,3179,75.31,1522,36.06,3327,78.82,1153,27.32,1645,744,1776,1003,3620,85.76,1069,25.33,519,12.3,1162,27.53,3003,71.14,1885,44.66,2280,54.02,840,19.9,3325,78.77,700,16.58,280,6.63,260,6.16,4162,98.6,355,sch,False,False,False,False,False,True,True,True,False,False,False,False
637000310,Bacteria,Finished,Synechococcus,Prochlorococcus sp. CC9605,637000310,110662,58319,13643,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Synechococcus,sp.,CC9605,DOE Joint Genome Institute,DOE,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00313,Free living,zzz,zzz,zzz,Coccus-shaped,None,"Photosynthetic, Photoautotroph, Oligotroph",Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Carbon dioxide fixation,,,zzz,"Biotechnological, Ocean carbon cycle, Environmental",zzz,Nonsporulating,Mesophile,zzz,10373,1,zzz,1486753,0.59,2182868,2510659,2761,2702,97.86,59,6,2,2,zzz,2,zzz,45,8,129,4.67,916,33.18,57,2.06,zzz,zzz,zzz,zzz,zzz,zzz,1401,50.74,1276,46.22,25,0.91,440,15.94,537,19.45,2623,95,270,9.78,2390,113,336,12.17,2366,85.69,2642,95.69,60,2.17,1556,56.36,816,29.55,1821,65.95,820,29.7,1186,563,1400,785,2011,72.84,719,26.04,243,8.8,839,30.39,1863,67.48,1264,45.78,1438,52.08,534,19.34,2168,78.52,626,22.67,271,9.82,188,6.81,2629,95.22,199,syd,False,False,False,False,False,False,True,False,False,False,False,False
640427128,Bacteria,Finished,Pelotomaculum thermopropionicum SI,Pelotomaculum thermopropionicum SI,640427128,370438,58877,19023,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,thermopropionicum,SI,Marine Biotechnology Institute,zzz,2007-06-28,Yes,IMG/W 2.3,zzz,zzz,Gc00556,zzz,zzz,zzz,zzz,zzz,None,,,zzz,zzz,zzz,zzz,zzz,zzz,Gram+,zzz,zzz,zzz,Propionate-oxidizing,Anaerobe,Anaerobe,Non-Pathogen,Biotechnological,zzz,Sporulating,Thermophile,zzz,10129,1,5,1602272,0.53,2597490,3025375,3018,2920,96.75,98,6,2,2,zzz,2,zzz,51,41,229,7.59,1344,44.53,zzz,zzz,zzz,zzz,zzz,zzz,3,zzz,1715,56.83,1133,37.54,72,2.39,486,16.1,606,20.08,2813,93.21,559,18.52,2328,206,250,8.28,2670,88.47,2230,73.89,690,22.86,2069,68.56,903,29.92,2297,76.11,1044,34.59,1316,523,1470,935,2460,81.51,703,23.29,281,9.31,828,27.44,2092,69.32,1412,46.79,1508,49.97,509,16.87,2411,79.89,717,23.76,257,8.52,257,8.52,2933,97.18,299,pth,True,False,False,False,True,False,False,False,False,False,False,False
649633078,Bacteria,Finished,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),"Odoribacter splanchnicus 1651/6, DSM 20712",649633078,709991,63397,43469,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,splanchnicus,DSM 20712,"DOE Joint Genome Institute, DSMZ",zzz,2011-03-26,Yes,IMG/W 3.4,zzz,zzz,Gc01667,Free living,Gastrointestinal tract,zzz,zzz,Fusiform,None,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Nonmotile,Nitrate reducer,Anaerobe,Anaerobe,zzz,"GEBA, Tree of Life",zzz,Nonsporulating,Mesophile,zzz,15137,1,zzz,1904432,0.43,3824553,4392288,3746,3672,98.02,74,12,4,4,zzz,4,zzz,60,2,191,5.1,zzz,zzz,175,4.67,zzz,zzz,zzz,zzz,zzz,zzz,2272,60.65,1127,30.09,273,7.29,1463,39.05,832,22.21,3565,95.17,167,4.46,2717,58,zzz,zzz,3672,98.02,8,0.21,3664,97.81,2398,64.01,985,26.29,2495,66.6,1006,26.86,1311,586,1401,789,3217,85.88,678,18.1,417,11.13,693,18.5,2979,79.52,1176,31.39,2496,66.63,488,13.03,3184,85,293,7.82,108,2.88,100,2.67,3503,93.51,382,osp,True,False,False,False,True,False,False,False,False,False,False,False
637000154,Bacteria,Finished,Listeria monocytogenes 4b F2365,Listeria monocytogenes 4b F2365,637000154,265669,57689,85,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,monocytogenes,str. 4b F2365,J. Craig Venter Institute,USDA,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00186,Free living,Gastrointestinal tract,Intestinal tract,"Singles, Chains",Rod-shaped,"Listeriosis, Food poisoning",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,10500,1,zzz,1105169,0.38,2607587,2905187,3013,2844,94.39,169,18,6,6,zzz,6,zzz,67,84,280,9.29,1584,52.57,23,0.76,zzz,zzz,zzz,zzz,zzz,zzz,1967,65.28,874,29.01,3,0.1,593,19.68,798,26.49,2817,93.49,484,16.06,2516,197,528,17.52,2316,76.87,2779,92.23,65,2.16,2266,75.21,1029,34.15,2362,78.39,1046,34.72,1461,593,1527,873,2485,82.48,814,27.02,438,14.54,955,31.7,1889,62.69,1578,52.37,1266,42.02,554,18.39,2290,76,883,29.31,329,10.92,291,9.66,2983,99,168,lmf,True,False,False,True,True,False,False,False,False,False,False,False
643692037,Bacteria,Finished,Staphylococcus carnosus carnosus TM300,Staphylococcus carnosus carnosus TM300,643692037,396513,59401,34811,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,carnosus,carnosus TM300,"MWG-Biotech, Univ of Wuerzburg",zzz,2009-06-09,Yes,IMG/W 2.9,zzz,zzz,Gc00955,Free living,zzz,zzz,"Clusters, Singles",zzz,None,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Facultative,Facultative,Non-Pathogen,"Biotechnological, Food industry",zzz,Nonsporulating,Mesophile,zzz,11927,1,zzz,888822,0.35,2227940,2566423,2538,2462,97.01,76,15,5,5,zzz,5,zzz,60,1,194,7.64,1277,50.32,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1530,60.28,910,35.86,22,0.87,410,16.15,629,24.78,2420,95.35,306,12.06,2156,138,350,13.79,2112,83.22,4,0.16,2458,96.85,2008,79.12,939,37,2072,81.64,959,37.79,1363,584,1465,884,2189,86.25,766,30.18,367,14.46,856,33.73,1606,63.28,1429,56.3,1033,40.7,548,21.59,1914,75.41,575,22.66,219,8.63,164,6.46,2495,98.31,263,sca,True,False,False,True,True,False,False,False,True,False,False,False
