Species, Gene
ECO, b1851(edd)
ECJ, JW1840(edd)
ECD, ECDH10B_1992(edd)
EBW, BWG_1665(edd)
ECE, Z2903(edd)
ECS, ECs2561
ECF, ECH74115_2586(edd)
ETW, ECSP_2425(edd)
EOJ, ECO26_2689(edd)
EOI, ECO111_2359(edd)
EOH, ECO103_2041(edd)
ECG, E2348C_1976(edd)
EOK, G2583_2303(edd)
ECC, c2264(edd)
ECP, ECP_1795
ECI, UTI89_C2054(edd)
ECV, APECO1_901(edd)
ECX, EcHS_A1943(edd)
ECW, EcE24377A_2081(edd)
ECM, EcSMS35_1336(edd)
ECY, ECSE_2026
ECR, ECIAI1_1924(edd)
ECQ, ECED1_2056(edd)
ECK, EC55989_2029(edd)
ECT, ECIAI39_1199(edd)
EUM, ECUMN_2148(edd)
ECZ, ECS88_1907(edd)
ECL, EcolC_1781
EBR, ECB_01822(edd)
EBD, ECBD_1788
EFE, EFER_1222(edd)
STY, STY2093(edd)
STT, t0992(edd)
STM, STM1885(edd)
SPT, SPA0984(edd)
SEK, SSPA0918
SPQ, SPAB_01284
SEI, SPC_1831(edd)
SEC, SC1890(edd)
SEH, SeHA_C2099(edd)
SEE, SNSL254_A2044(edd)
SEW, SeSA_A2039(edd)
SEA, SeAg_B1239(edd)
SED, SeD_A1363(edd)
SEG, SG1167(edd)
SET, SEN1118(edd)
SES, SARI_01061
YPE, YPO2533(edd)
YPK, y1654(edd)
YPA, YPA_2025
YPN, YPN_2128
YPM, YP_2344(edd)
YPP, YPDSF_1943
YPG, YpAngola_A1791(edd)
YPZ, YPZ3_2237(edd)
YPS, YPTB2565(edd)
YPI, YpsIP31758_1476(edd)
YPY, YPK_1582
YPB, YPTS_2660
YEN, YE1368(edd)
YEP, YE105_C2745
SFL, SF1861(edd)
SFX, S1927(edd)
SFV, SFV_1853(edd)
SSN, SSON_1297(edd)
SBO, SBO_1159(edd)
SBC, SbBS512_E2126(edd)
SDY, SDY_1137(edd)
ECA, ECA1836(edd)
PWA, Pecwa_2771
EBI, EbC_02850
ENT, Ent638_2420
ENC, ECL_01447
ESC, Entcl_1939
EAE, EAE_22805
ESA, ESA_01390
CTU, CTU_25330(edd)
KPN, KPN_02366(edd)
KPE, KPK_1923(edd)
KPU, KP1_3495(edd)
KVA, Kvar_1743
CKO, CKO_01115
CRO, ROD_18911(edd)
SPE, Spro_4499
SRS, SerAS12_4597
PMR, PMI2760(edd)
EIC, NT01EI_1609
ETR, ETAE_1451
DDA, Dd703_1227
RAH, Rahaq_2351
GAN, UMN179_00741
XFA, XF1062
XFT, PD0343(edd)
XFM, Xfasm12_0371
XFN, XfasM23_0335
XCC, XCC2139(edd)
XCB, XC_1974
XCA, xccb100_2039(edd)
XCV, XCV2234(edd)
XAC, XAC2068(edd)
XOO, XOO2317(edd)
XOM, XOO_2194
XOP, PXO_00611(edd)
XAL, XALc_1833(edd)
SML, Smlt1790(edd)
SMT, Smal_1528
PSU, Psesu_1289
VCH, VC0288
VCO, VC0395_A2666(edd)
VCM, VCM66_0273(edd)
VCJ, VCD_001332
VVU, VV1_1099(edd)
VVY, VV0059
VVM, VVM_00153
VPA, VP0062
VHA, VIBHAR_00512
VEX, VEA_001960
VFM, VFMJ11_A1080(edd)
VSA, VSAL_II0667(edd)
VAN, VAA_03280
PAE, PA3194(edd)
PAU, PA14_22910(edd)
PAP, PSPA7_1934(edd)
PAG, PLES_18741(edd)
PPU, PP_1010(edd)
PPF, Pput_1048
PPG, PputGB1_1009
PPW, PputW619_4214
PPT, PPS_1039
PST, PSPTO_1288(edd)
PSB, Psyr_1109
PSP, PSPPH_1177(edd)
PFL, PFL_4622(edd)
PFO, Pfl01_4375
PFS, PFLU4964
PEN, PSEEN4417(edd)
PMY, Pmen_1312
PMK, MDS_1342
PSA, PST_2444 PST_3500
PSZ, PSTAB_2342 PSTAB_3472
PBA, PSEBR_a1208
PFV, Psefu_2058
CJA, CJA_1349(edd)
AVN, Avin_15680(edd-1) Avin_27280(edd-2)
ACI, ACIAD0542(edd)
ACD, AOLE_16995
ACB, A1S_0483
ABM, ABSDF3021(edd)
ABY, ABAYE3281(edd)
ABC, ACICU_00494
ABN, AB57_0587(edd)
ABB, ABBFA_003050(edd)
SON, SO_2487(edd)
SDN, Sden_2077
SFR, Sfri_1894
SAZ, Sama_1810
SBL, Sbal_2239 Sbal_4525
SBM, Shew185_2132
SBN, Sbal195_2177
SBP, Sbal223_2252
SLO, Shew_2046
SPC, Sputcn32_1868
SSE, Ssed_2072
SPL, Spea_2333
SHE, Shewmr4_2044
SHM, Shewmr7_1931
SHN, Shewana3_2149
SHW, Sputw3181_2140
SHL, Shal_1951
SWD, Swoo_2537
SWP, swp_2392
SVO, SVI_2315(edd)
CPS, CPS_2283(edd)
PHA, PSHAa1366(edd)
PAT, Patl_0972
PSM, PSM_A1394(edd)
SDE, Sde_1381
MAQ, Maqu_1830
AMC, MADE_1011695
ALT, ambt_05825
GAG, Glaag_3436
FBL, Fbal_1963
LPN, lpg0418(edd)
