Species, Gene
ATH, AT1G12000 AT1G20950 AT1G76550 AT4G04040(MEE51)
ALY, ARALYDRAFT_472333 ARALYDRAFT_476813 ARALYDRAFT_490075 ARALYDRAFT_888516
POP, POPTR_1093153 POPTR_550714 POPTR_761666 POPTR_828526
RCU, RCOM_0903240 RCOM_1602260
VVI, 100244809 100249662 100256839
OSA, 4330512 4340643 4340909 4345338
SBI, SORBI_02g020400 SORBI_04g030000 SORBI_07g012720 SORBI_10g008850
ZMA, 100191851 100193340(pco110217) 100280449(gpm893) 100282190(gpm74) 100382182
PPP, PHYPADRAFT_107676 PHYPADRAFT_188815 PHYPADRAFT_218794 PHYPADRAFT_218994 PHYPADRAFT_55781
CME, CMH052C
EHI, EHI_000730(91.t00031)
EDI, EDI_026500
PFA, PF11_0294
TAN, TA13950
TET, TTHERM_00170320 TTHERM_00338460
GLA, GL50803_14993
TPS, THAPSDRAFT_22213(PFK2) THAPSDRAFT_31232(PFK1)
MMT, Metme_0798
GUR, Gura_2657
PPD, Ppro_1644
DVU, DVU2061(pfkA)
DVL, Dvul_1167
DVM, DvMF_0763
DDE, Dde_1589
DMA, DMR_35530
LIP, LI0052(pfp)
DBA, Dbac_0531
DRT, Dret_2114
DOL, Dole_1694 Dole_2111
DAL, Dalk_3448 Dalk_5211
DAT, HRM2_22130 HRM2_28010(pfp)
ADE, Adeh_2085
ACP, A2cp1_1871
SCL, sce2257(pfp)
SAT, SYN_00887 SYN_02953
DAO, Desac_2330 Desac_2907
SFU, Sfum_2958 Sfum_3375
DBR, Deba_0708
SME, SMc01852(pfk)
SMD, Smed_2106
RHI, NGR_c21220
ATU, Atu2115(pfp)
ARA, Arad_3013(pfk)
AVI, Avi_2909(pfp)
RET, RHE_CH02862(pfk)
REC, RHECIAT_CH0003014(pfk)
RLE, RL3322(pfp)
RLT, Rleg2_2609
RLG, Rleg_2869
LAS, CLIBASIA_00560(pfk)
MET, M446_1760
MNO, Mnod_0681
BCV, Bcav_1905
BFA, Bfae_19500
JDE, Jden_1438
XCE, Xcel_1999
SKE, Sked_15800
CFL, Cfla_2066
PAC, PPA1090
PAK, HMPREF0675_4153
PFR, PFREUD_12040(pfp)
NCA, Noca_3098
KFL, Kfla_6879
TFU, Tfu_1037
SRO, Sros_2755
FRA, Francci3_2843 Francci3_3085
FRE, Franean1_2426
FRI, FraEuI1c_4705
FAL, FRAAL4376
ACE, Acel_0983
NML, Namu_1832
STP, Strop_3267
AHE, Arch_0752
MCU, HMPREF0573_11799(pfp)
RXY, Rxyl_2082
CTR, CT205(pfkA_1) CT207(pfkA_2)
CTA, CTA_0223(pfkA_1) CTA_0225(pfkA_2)
CTB, CTL0457(pfkA) CTL0459(pfkA_2)
CTL, CTLon_0452(pfkA) CTLon_0454(pfkA_2)
CTJ, JALI_1991(pfkA) JALI_2011(pfkA_2)
CMU, TC0477(pfkA-1) TC0479(pfkA-2)
CPN, CPn0160(pfkA_1) CPn0208(pfkA_2)
CPA, CP0559 CP0611
CPJ, CPj0160(pfkA_1) CPj0208(pfkA_2)
CPT, CpB0161 CpB0212
CCA, CCA00608 CCA00610
CAB, CAB581 CAB583
CFE, CF0393(pfkA1) CF0395(pfkA2)
PCU, pc0880(pfkA)
WCH, wcw_1081(pfkA)
SNG, SNE_A09660(pFP-BETA)
BBU, BB0020 BB0727
BBZ, BbuZS7_0020 BbuZS7_0751
BGA, BG0020(pfpB) BG0749(pfk)
BAF, BAPKO_0019(pfpB) BAPKO_0771(pfk)
BTU, BT0020 BT0727
BHR, BH0020 BH0727
BDU, BDU_26(pfpB) BDU_730(pfk)
BRE, BRE_25(pfpB) BRE_733(pfk)
TPA, TP0108 TP0542
TPP, TPASS_0108(pfk) TPASS_0542
TDE, TDE0064(pfk) TDE1550
SSM, Spirs_2255 Spirs_3247
LIL, LB_111
LIC, LIC20088(pfp)
LBJ, LBJ_4094(pfkA)
LBL, LBL_4110(pfkA)
LBI, LEPBI_II0179
LBF, LBF_4172(pfkA)
SUS, Acid_4739
BTH, BT_0307
BFR, BF3100
BFS, BF2938
BVU, BVU_2286
PGI, PG0163(pfk)
PGN, PGN_0275
PDI, BDI_1519
PPN, Palpr_0153
APS, CFPG_563
PRU, PRU_0792
PMZ, HMPREF0659_A6875
RBI, RB2501_13019
FBC, FB2170_16991
FSU, Fisuc_2971
OTE, Oter_0150
CAA, Caka_1353
RBA, RB10591(pfk)
PSL, Psta_0329
IPA, Isop_2970
EMI, Emin_1007
RSD, TGRD_570
TID, Thein_0888
TOP, TOPB45_1305
MPD, MCP_0203(pfp)
RCI, RCIX1358(pfp)
