Species, Gene
ATH, AT1G67090(RBCS1A) AT5G38410 AT5G38420 AT5G38430 ArthCp030(rbcL)
ALY, ARALYDRAFT_475563 ARALYDRAFT_475805 ARALYDRAFT_494136
POP, POPTR_578586 POPTR_580797 POPTR_813777 Poptr_cp030(rbcL)
RCU, RCOM_0030020 RCOM_1067650 RCOM_1158790 RCOM_1571640 RCOM_1655340
VVI, 100256536 100267942 4025045(rbcL) 7498516(rbcL)
OSA, 3131463(rbcL) 4328326 4338862 4341443 4351758 4351966 4352014 4352015 4352016 4352021
SBI, SORBI_05g003480 SobiCp030(rbcL)
ZMA, 542212(ssu1) 845212(rbcL)
PPP, PHYPADRAFT_115069 PHYPADRAFT_123666 PHYPADRAFT_146969 PHYPADRAFT_151552 PHYPADRAFT_168764 PHYPADRAFT_233894 PHYPADRAFT_87752 PhpapaCp031(rbcL)
CRE, CHLREDRAFT_108283 CHLREDRAFT_82986(RBCS1) ChreCp049(rbcL)
VCN, VOLCADRAFT_96572 VOLCADRAFT_96573
OLU, OSTLU_28400 OSTLU_32608(rbcL) OSTLU_42060 OSTLU_89572
OTA, OstapCp59(rbcL) Ot07g01830 Ot18g02030(rbcS2)
CME, CMV014C
PPF, Pput_1846
MCA, MCA2743(rbcL) MCA2744(cbbS)
TCX, Tcr_0424 Tcr_0427(rbcL) Tcr_0428 Tcr_0838(rbcL) Tcr_0839
NOC, Noc_0332 Noc_0333(rbcL)
NHL, Nhal_3435 Nhal_3436 Nhal_3442 Nhal_3443
NWA, Nwat_2772 Nwat_2773
ALV, Alvin_1365 Alvin_1366 Alvin_2545 Alvin_2749 Alvin_2750 Alvin_2751
AEH, Mlg_1168 Mlg_2836(rbcL) Mlg_2837
HHA, Hhal_0467 Hhal_1045 Hhal_1046(rbcL)
TGR, Tgr7_3202 Tgr7_3203(rbcL)
TKM, TK90_0858 TK90_0859
HNA, Hneap_0921 Hneap_0922(rbcL) Hneap_1095
CSA, Csal_3215
HEL, HELO_1481
MMW, Mmwyl1_3120
MME, Marme_1595
AFE, Lferr_1388 Lferr_1389(rbcL) Lferr_1814 Lferr_2660(rbcL) Lferr_2661
AFR, AFE_1690(cbbS-2) AFE_1691(rbcL) AFE_2155(cbbL2) AFE_3051(rbcL) AFE_3052(cbbS-1)
RMA, Rmag_0701
VOK, COSY_0653(cbbM)
REH, H16_B1394(cbbS2) H16_B1395(rbcL) PHG426(cbbSp) PHG427(rbcL)
RME, Rmet_1500(cbbS) Rmet_1501(cbbL)
CTI, RALTA_B1701(cbbS) RALTA_B1702(rbcL)
CNC, CNE_2c13520(cbbS) CNE_2c13530(cbbL) CNE_BB1p11580
BAC, BamMC406_5257
BXE, Bxe_B0441 Bxe_B2452 Bxe_B2453(rbcL)
BPH, Bphy_6496 Bphy_6497(rbcL)
BPY, Bphyt_7230
BUG, BC1001_3962 BC1001_3963
BGE, BC1002_3207 BC1002_3208
BGF, BC1003_5439 BC1003_5440
BBR, BB1035
AXY, AXYL_03869
RFR, Rfer_1391
POL, Bpro_0032 Bpro_0093
PNA, Pnap_1978
DAC, Daci_5642
VAP, Vapar_1945 Vapar_3031 Vapar_3032(rbcL)
VPE, Varpa_3601 Varpa_3886
MPT, Mpe_A1478(rbcL) Mpe_A1479(cbbS) Mpe_A2782(rbcL) Mpe_A2783(cbbS)
