Species, Gene
ECO, b2168(fruK)
ECJ, JW2155(fruK)
ECD, ECDH10B_2325(fruK)
ECE, Z3426(fruK)
ECS, ECs3060(fruK)
ECF, ECH74115_3304(fruK)
ETW, ECSP_3046(fruK)
EOJ, ECO26_3080(fruK)
EOI, ECO111_2886(fruK)
EOH, ECO103_2643(fruK)
ECG, E2348C_2314(fruK)
EOK, G2583_2711(fruK)
ECC, c2703(fruK)
ECP, ECP_2208(fruK)
ECI, UTI89_C2443(fruK)
ECV, APECO1_4386(fruK)
ECX, EcHS_A2305(fruK)
ECW, EcE24377A_2465(fruK)
ECM, EcSMS35_2315(fruK)
ECY, ECSE_2436(fruK)
ECR, ECIAI1_2248(fruK)
ECQ, ECED1_2616(fruK)
ECK, EC55989_2421(fruK)
ECT, ECIAI39_2308(fruK)
EUM, ECUMN_2504(fruK)
ECZ, ECS88_2316(fruK)
ECL, EcolC_1480(fruK)
EBR, ECB_02097(fruK)
EBD, ECBD_1490(fruK)
EFE, EFER_2255(fruK)
STY, STY2441(fruK) STY3436
STT, t0649(fruK) t3174
STM, STM2205(fruK) STM3254
SPT, SPA0646(fruK) SPA3123
SEK, SSPA0607(fruK) SSPA2915
SPQ, SPAB_00803(fruK) SPAB_04064
SEI, SPC_1496(fruK)
SEC, SC2221(fruK)
SEH, SeHA_C2441(fruK)
SEE, SNSL254_A2397(fruK)
SEW, SeSA_A2444(fruK)
SEA, SeAg_B2353(fruK)
SED, SeD_A2555(fruK)
SEG, SG2242(fruK)
SET, SEN2198(fruK)
SES, SARI_00680(fruK)
YPE, YPO1299(fruK)
YPK, y2886(fruK)
YPA, YPA_1016(fruK)
YPN, YPN_2680(fruK)
YPM, YP_1293(fruK)
YPP, YPDSF_2398(fruK)
YPG, YpAngola_A1525(fruK)
YPZ, YPZ3_1187(fruK)
YPS, YPTB1330(fruK)
YPI, YpsIP31758_2682(fruK)
YPY, YPK_2763(fruK)
YPB, YPTS_1425(fruK)
YEN, YE1448(fruK)
YEP, YE105_C2667
SFL, SF2253(fruK)
SFX, S2382(fruK)
SFV, SFV_2243(fruK)
SSN, SSON_2224(fruK)
SBO, SBO_2156(fruK)
SBC, SbBS512_E0795(fruK)
SDY, SDY_2316(fruK)
ECA, ECA2728(fruK)
PCT, PC1_1653
PWA, Pecwa_1925(fruK)
ETA, ETA_12750(fruK)
EPY, EpC_13370(fruK)
EAM, EAMY_2304(fruK)
EAY, EAM_2222(fruK)
EBI, EbC_30010(fruK)
PLU, plu2858(fruK)
PAY, PAU_01678(fruK)
SGL, SG0954(fruK)
ENT, Ent638_2762(fruK)
ENC, ECL_03472
ESC, Entcl_1536
EAE, EAE_24020(fruK)
ESA, ESA_01075(fruK)
CTU, CTU_28320(fruK)
KPN, KPN_02599(fruK) KPN_03544(pfkB)
KPE, KPK_1567(fruK)
KPU, KP1_3828(fruK) KP1_4848(pfkB)
KVA, Kvar_0553 Kvar_1464
CKO, CKO_00614(fruK)
CRO, ROD_22951(fruK)
SPE, Spro_3229(fruK)
SRS, SerAS12_3371
PMR, PMI2157(fruK)
