Species, Gene
EBI, EbC_23120
PVA, Pvag_3096(ptk)
PPF, Pput_2459
PBA, PSEBR_a2526
CGA, Celgi_0902
SON, SO_3542
SDN, Sden_2731
SFR, Sfri_2898
SAZ, Sama_0915
SBL, Sbal_1046
SBM, Shew185_1113
SBN, Sbal195_1147
SBP, Sbal223_3243
SLO, Shew_1091
SPC, Sputcn32_1051
SSE, Ssed_1186
SPL, Spea_1076
SHE, Shewmr4_2965
SHM, Shewmr7_3047
SHN, Shewana3_3145
SHW, Sputw3181_3114
SHL, Shal_1124
SWD, Swoo_1282
SWP, swp_3738
SVO, SVI_0989(xfp)
FBL, Fbal_3410
MCA, MCA1587
MMT, Metme_4252
NHL, Nhal_0746
NWA, Nwat_2808
AFE, Lferr_1712
AFR, AFE_2053(xfp)
BXE, Bxe_B1345
BPH, Bphy_5497
BPY, Bphyt_5273
BUG, BC1001_3626
BGE, BC1002_3881
BGF, BC1003_3685
VAP, Vapar_2826
NII, Nit79A3_0036
DBA, Dbac_1358
SUR, STAUR_8247
MCI, Mesci_3746
MOP, Mesop_2998
MES, Meso_2236
SMK, Sinme_3437
SMD, Smed_2995
RHI, NGR_c05700
ARA, Arad_7568
REC, RHECIAT_CH0003679(xfp)
RLE, RL0066
RLT, Rleg2_3180
RLG, Rleg_3471
BMI, BMEA_B0366
BMC, BAbS19_II07740
BMT, BSUIS_B0390
BCS, BCAN_B0388
BMR, BMI_II382(xfp)
OAN, Oant_4654
RPT, Rpal_1869
RPX, Rpdx1_3844
OCA, OCAR_6822(xfp)
SNO, Snov_3187
MEX, Mext_0040 Mext_0567
MEA, Mex_1p0387(xfp) Mex_1p3806(xfp)
MRD, Mrad2831_0423 Mrad2831_2611
MET, M446_3572
MPO, Mpop_0538
MCH, Mchl_0502 Mchl_1283
MNO, Mnod_6176 Mnod_8717
BID, Bind_2204
ACR, Acry_3376
GDI, GDI_1617
GDJ, Gdia_1822
PPY, PPE_00210
PPM, PPSC2_c0266
LLK, LLKF_1615(ptk)
SAK, SAK_1819(xpkA)
SCP, HMPREF0833_11145(xpkA)
LPL, lp_2659(xpk1) lp_3551(xpk2)
LPJ, JDM1_2132(xpk1) JDM1_2836(xpk2)
LPS, LPST_C2185(xpk1) LPST_C2900(xpk2)
LJO, LJ0803
LJF, FI9785_658
LAC, LBA0600
LAI, LAC30SC_03030
LSA, LSA0289(xpk)
LSL, LSL_1509 LSL_1956
LDB, Ldb0534
LBU, LBUL_0475
LDE, LDBND_0477
LCA, LSEI_0174
LCB, LCABL_01680(xpk) LCABL_29270(xpk)
LCZ, LCAZH_0200
LGA, LGAS_0562
LRE, Lreu_1686
LRF, LAR_1574
LRU, HMPREF0538_20863(xpkA)
LHE, lhv_0629
LFE, LAF_1747
LRH, LGG_00200(xfp)
LRL, LC705_00194(xfp)
LCR, LCRIS_00603(xfp)
LAM, LA2_03130
LBH, Lbuc_1980 Lbuc_2134
LKE, WANG_1040
MPS, MPTP_1016
OOE, OEOE_1183
LME, LEUM_1456
LCI, LCK_00177(ptk)
LKI, LKI_04490 LKI_08780
LGS, LEGAS_0303(xfp)
LEC, LGMK_03335 LGMK_07935
AUR, HMPREF9243_0913(xfp)
CRN, CAR_c21400(xpkA)
WKO, WKK_03260
CAE, SMB_G1366
MAA, MAG_1230
MAT, MARTH_orf448(xfp)
MHO, MHO_3010
MCD, MCRO_0568(xfp)
MFR, MFE_00170
MFM, MfeM64YM_0018(xfp)
MBV, MBOVPG45_0132(xfp)
MBH, MMB_0125
MSP, Mspyr1_26720 Mspyr1_54760
MJD, JDM601_1953(xfp)
MMI, MMAR_2742(xfp)
RHA, RHA1_ro01493
RER, RER_39270(xfp)
ROP, ROP_12030(xfp)
REQ, REQ_21880
SRT, Srot_2370
SGR, SGR_6763
SCB, SCAB_4201
AAU, AAur_1848(xfp)
ACH, Achl_0303
APN, Asphe3_02800
BFA, Bfae_22210
KSE, Ksed_02820
IVA, Isova_0730
CFL, Cfla_2576
CFI, Celf_1087
PFR, PFREUD_12930(phk)
MPH, MLP_21680(xfp)
KFL, Kfla_0909
NDA, Ndas_2196
TCU, Tcur_1271
SRO, Sros_5418
FRE, Franean1_1196 Franean1_6931
FRI, FraEuI1c_1118
FSY, FsymDg_3626
TBI, Tbis_3504
AMD, AMED_5477 AMED_6575
PDX, Psed_4839
AMI, Amir_1918 Amir_3368
STP, Strop_1582
SAQ, Sare_1533
MAU, Micau_1696
MIL, ML5_1956
VMA, VAB18032_13125
CAI, Caci_6198
SNA, Snas_3237
PUV, PUV_22030
SNG, SNE_A12900
ACM, AciX9_1691 AciX9_2523
TSA, AciPR4_0487
CPI, Cpin_6387
PSN, Pedsa_1171
ZPR, ZPR_3341
CYT, cce_3607 cce_5184
CYP, PCC8801_1677
CYC, PCC7424_3782
CYN, Cyan7425_1849 Cyan7425_2009
CYH, Cyan8802_1694
CYJ, Cyan7822_4422
ANA, all1483
NPU, Npun_F1951
AVA, Ava_4264
NAZ, Aazo_1827
CPC, Cpar_1611
CLI, Clim_1324
PPH, Ppha_1914
PAA, Paes_1620
TLE, Tlet_1584
