Species, Gene
ECO, b0124(gcd)
ECJ, JW0120(gcd)
ECD, ECDH10B_0104(gcd)
EBW, BWG_0117(gcd)
ECE, Z0134(gcd)
ECS, ECs0128
ECF, ECH74115_0132(gcd)
ETW, ECSP_0125(gcd)
EOJ, ECO26_0126(gcd)
EOI, ECO111_0125(gcd)
EOH, ECO103_0124(gcd)
ECG, E2348C_0127(gcd)
EOK, G2583_0128(gcd)
ECC, c0153(gcd)
ECP, ECP_0132
ECI, UTI89_C0137(gcd)
ECV, APECO1_1861(gcd)
ECX, EcHS_A0128(gcd)
ECW, EcE24377A_0126(gcd)
ECM, EcSMS35_0134(gcd)
ECY, ECSE_0124
ECR, ECIAI1_0122(gcd)
ECQ, ECED1_0128(gcd)
ECK, EC55989_0117(gcd)
ECT, ECIAI39_0124(gcd)
EUM, ECUMN_0121(gcd)
ECZ, ECS88_0133(gcd)
ECL, EcolC_3535
EBR, ECB_00123(gcd)
EBD, ECBD_3495
EFE, EFER_0145(gcd)
STY, STY0191(gcd)
STT, t0174(gcd)
STM, STM0169(gcd)
SPT, SPA0172(gcd)
SEK, SSPA0168
SPQ, SPAB_00208
SEI, SPC_0182(gcd)
SEC, SC0169(gcd)
SEH, SeHA_C0193(gcd)
SEE, SNSL254_A0185(gcd)
SEW, SeSA_A0188(gcd)
SEA, SeAg_B0201(gcd)
SED, SeD_A0184(gcd)
SET, SEN0174(gcd)
SES, SARI_02825
SFL, SF0121(gcd)
SFX, S0123(gcd)
SFV, SFV_0115(gcd)
SSN, SSON_0132(gcd)
SBO, SBO_0113(gcd)
ETA, ETA_23850(gcd)
EPY, EpC_25200(gcd)
EAM, EAMY_1081(gcd)
EAY, EAM_1088(gcd)
EBI, EbC_12100(gcd) EbC_22470
ENT, Ent638_0672
ENC, ECL_00929
ESC, Entcl_3602
EAE, EAE_11450
ESA, ESA_03208
CTU, CTU_07630(gcd)
KPN, KPN_00132(gcd)
KPE, KPK_4605(gcd)
KPU, KP1_0958(gcd)
KVA, Kvar_4250
CKO, CKO_03243
CRO, ROD_01361(gcd)
SPE, Spro_3100 Spro_4849
SRS, SerAS12_3175
PMR, PMI1773(gcd)
PAM, PANA_0312(gcd)
PVA, Pvag_1328(gcd1) Pvag_3575(gcd3)
PAO, Pat9b_0362 Pat9b_1833 Pat9b_4608
RAH, Rahaq_4778
XCC, XCC1575(gcd) XCC3083(gcd)
XCB, XC_1075 XC_2659
XCA, xccb100_1109(gcd) xccb100_2685(gcd)
XCV, XCV1673(gcd1) XCV3337(gcd2)
XAC, XAC1633(gcd) XAC3212(gcd)
SML, Smlt3136(gcd)
SMT, Smal_2577
PAE, PA2290(gcd)
PAU, PA14_34970(gcd)
PAP, PSPA7_2951(gcd)
PAG, PLES_30141(gcd)
PPU, PP_1444(gcd)
PPF, Pput_4277
PPG, PputGB1_4361
PPW, PputW619_1081 PputW619_2610
PPT, PPS_4204
PST, PSPTO_4196(gcd)
PSB, Psyr_2574 Psyr_3930
PSP, PSPPH_3927(gcd)
PFL, PFL_4916
PFO, Pfl01_4577ECO, b0124(gcd)
ECJ, JW0120(gcd)
ECD, ECDH10B_0104(gcd)
EBW, BWG_0117(gcd)
ECE, Z0134(gcd)
ECS, ECs0128
ECF, ECH74115_0132(gcd)
ETW, ECSP_0125(gcd)
EOJ, ECO26_0126(gcd)
EOI, ECO111_0125(gcd)
EOH, ECO103_0124(gcd)
ECG, E2348C_0127(gcd)
EOK, G2583_0128(gcd)
ECC, c0153(gcd)
ECP, ECP_0132
ECI, UTI89_C0137(gcd)
ECV, APECO1_1861(gcd)
ECX, EcHS_A0128(gcd)
ECW, EcE24377A_0126(gcd)
ECM, EcSMS35_0134(gcd)
ECY, ECSE_0124
ECR, ECIAI1_0122(gcd)
ECQ, ECED1_0128(gcd)
ECK, EC55989_0117(gcd)
ECT, ECIAI39_0124(gcd)
EUM, ECUMN_0121(gcd)
ECZ, ECS88_0133(gcd)
ECL, EcolC_3535
EBR, ECB_00123(gcd)
EBD, ECBD_3495
EFE, EFER_0145(gcd)
STY, STY0191(gcd)
STT, t0174(gcd)
STM, STM0169(gcd)
SPT, SPA0172(gcd)
SEK, SSPA0168
SPQ, SPAB_00208
SEI, SPC_0182(gcd)
SEC, SC0169(gcd)
SEH, SeHA_C0193(gcd)
SEE, SNSL254_A0185(gcd)
SEW, SeSA_A0188(gcd)
SEA, SeAg_B0201(gcd)
SED, SeD_A0184(gcd)
SET, SEN0174(gcd)
SES, SARI_02825
SFL, SF0121(gcd)
SFX, S0123(gcd)
SFV, SFV_0115(gcd)
SSN, SSON_0132(gcd)
SBO, SBO_0113(gcd)
ETA, ETA_23850(gcd)
EPY, EpC_25200(gcd)
EAM, EAMY_1081(gcd)
EAY, EAM_1088(gcd)
EBI, EbC_12100(gcd) EbC_22470
ENT, Ent638_0672
ENC, ECL_00929
ESC, Entcl_3602
EAE, EAE_11450
ESA, ESA_03208
CTU, CTU_07630(gcd)
KPN, KPN_00132(gcd)
KPE, KPK_4605(gcd)
KPU, KP1_0958(gcd)
KVA, Kvar_4250
CKO, CKO_03243
CRO, ROD_01361(gcd)
SPE, Spro_3100 Spro_4849
SRS, SerAS12_3175
PMR, PMI1773(gcd)
PAM, PANA_0312(gcd)
