Species, Gene
HSA, 25796(PGLS) 9563(H6PD)
PTR, 748844(PGLS)
PON, 100438428 100458506
MCC, 710107(H6PD) 719149
MMU, 100198(H6pd) 66171(Pgls)
RNO, 290636(Pgls) 298655(H6pd)
CFA, 489642(H6PD) 610090(PGLS)
AML, 100472479 100476557(H6PD)
BTA, 541220(H6PD) 616120(PGLS)
SSC, 100517636
ECB, 100057646(H6PD) 100070210
MDO, 100009940 100014397
OAA, 100082409 100088226
GGA, 428188(H6PD) 430442(BRD4)
MGP, 100543746 100545189
TGU, 100228049(H6PD)
XLA, 495503(pgls)
XTR, 100127695(h6pd) 548361(pgls)
DRE, 445494(pgls) 569348
BFO, BRAFLDRAFT_57400 BRAFLDRAFT_65130
CIN, 100187363
SPU, 587057 590387
DME, Dmel_CG17333
DPO, Dpse_GA14465
DAN, Dana_GF20427
DER, Dere_GG18372
DPE, Dper_GL14324
DSE, Dsec_GM11437
DSI, Dsim_GD24783
DWI, Dwil_GK16453
DYA, Dyak_GE17861
DGR, Dgri_GH12656
DVI, Dvir_GJ19493
AGA, AgaP_AGAP010866
AAG, AaeL_AAEL014204
AME, 551785
NVI, 100119366(NV13271)
TCA, 657206
API, 100165291
PHU, Phum_PHUM097930
CEL, Y57G11C.3
CBR, CBG21525
BMY, Bm1_33900
SMM, Smp_081460.1 Smp_081460.4
NVE, NEMVE_v1g160554 NEMVE_v1g31531
HMG, 100209508 100212767
TAD, TRIADDRAFT_20384 TRIADDRAFT_23609
ATH, AT1G13700 AT3G49360 AT5G24400 AT5G24410 AT5G24420
ALY, ARALYDRAFT_326734 ARALYDRAFT_489305 ARALYDRAFT_888741 ARALYDRAFT_906216 ARALYDRAFT_910480
POP, POPTR_574687 POPTR_659198 POPTR_772510
RCU, RCOM_1620240 RCOM_1748120
VVI, 100245849 100248620
OSA, 4333117 4343843 4346232 4347654
SBI, SORBI_01g032450 SORBI_02g030620 SORBI_02g038710
ZMA, 100285062(pco143240a) 100285593 100285843(umc2374)
PPP, PHYPADRAFT_170776 PHYPADRAFT_63708
CRE, CHLREDRAFT_101528
VCN, VOLCADRAFT_82562
OLU, OSTLU_13316 OSTLU_28057
OTA, Ot16g01770 Ot17g01100
CME, CMC120C
SCE, YCR073W-A(SOL2) YGR248W(SOL4) YHR163W(SOL3) YNR034W(SOL1)
AGO, AGOS_AEL215C AGOS_AER268W
KLA, KLLA0A05390g KLLA0C08415g
LTH, KLTH0A06864g
PPA, PAS_chr1-1_0277 PAS_chr3_1126
VPO, Kpol_1028p37 Kpol_1050p78 Kpol_325p5
ZRO, ZYRO0C11484g ZYRO0D08096g
CGR, CAGL0I02200g CAGL0M06963g CAGL0M10956g
DHA, DEHA2C12738g DEHA2G23452g
PIC, PICST_60598(SOL1) PICST_82104(SOL2)
PGU, PGUG_03564 PGUG_04072
LEL, LELG_02756 LELG_03221
CAL, CaO19.1355(SOL2) CaO19.704(SOL3)
CTP, CTRG_00665 CTRG_02095
CDU, CD36_24040 CD36_32240
YLI, YALI0C19085g YALI0E11671g
CLU, CLUG_02480 CLUG_02954
NCR, NCU00087
PAN, PODANSg5320
MGR, MGG_10148(MG10148.4)
FGR, FG07031.1
SSL, SS1G_07188
ANI, AN0285.2
AFM, AFUA_1G02980
NFI, NFIA_021660
AOR, AOR_1_1374174(AO090005000789)
ANG, ANI_1_656014(An01g05150)
AFV, AFLA_080390
ACT, ACLA_031450
PCS, Pc22g25470
CIM, CIMG_04852
CPW, CPC735_070130
URE, UREG_06688
PNO, SNOG_00901
TML, GSTUM_00012117001
SPO, SPCC16C4.10
CNE, CND03390 CNE04030
CNB, CNBD2960 CNBE4020
LBC, LACBIDRAFT_291579
MPR, MPER_07329
CCI, CC1G_03714
SCM, SCHCODRAFT_13242
UMA, UM03811.1
MGL, MGL_2040
ECU, ECU04_0730
MBR, MONBRDRAFT_36917
NGR, NAEGRDRAFT_70012
DDI, DDB_G0292898(pgl)
PFA, PF14_0511
TAN, TA05220
TPV, TP03_0558
BBO, BBOV_IV001600(21.m02735)
PTI, PHATRDRAFT_31882 PHATRDRAFT_38631
TPS, THAPSDRAFT_10378 THAPSDRAFT_5080
PIF, PITG_08598
ECO, b0767(pgl)
ECJ, JW0750(ybhE)
ECD, ECDH10B_0835(pgl)
EBW, BWG_0619(pgl)
ECE, Z0938(ybhE)
ECS, ECs0795
ECF, ECH74115_0870(pgl)
ETW, ECSP_0820(pgl)
EOJ, ECO26_0821(ybhE)
EOI, ECO111_0777(ybhE)
EOH, ECO103_0755(ybhE)
ECG, E2348C_0644(pgl)
EOK, G2583_0933
ECC, c0844(ybhE)
ECP, ECP_0779
ECI, UTI89_C0765(ybhE)
ECV, APECO1_1322(ybhE)
ECX, EcHS_A0821(pgl)
ECW, EcE24377A_0794(pgl)
ECM, EcSMS35_0790(pgl)
ECY, ECSE_0820
ECR, ECIAI1_0735(pgl)
ECQ, ECED1_0729(pgl)
ECK, EC55989_0747(pgl)
ECT, ECIAI39_0735(pgl)
EUM, ECUMN_0852(pgl)
ECZ, ECS88_0783(pgl)
ECL, EcolC_2895
EBR, ECB_00720(ybhE)
EFE, EFER_2342(pgl)
STY, STY0818(ybhE)
STT, t2102(ybhE)
STM, STM0785(ybhE)
SPT, SPA1967(ybhE)
SEK, SSPA1834
SPQ, SPAB_02735
SEI, SPC_0781(ybhE)
SEC, SC0783(ybhE)
SEH, SeHA_C0912
SEE, SNSL254_A0849
SEW, SeSA_A0935
SEA, SeAg_B0821
SED, SeD_A0880
SEG, SG0763(ybhE)
SET, SEN0730(ybhE)
SES, SARI_02157
YPE, YPO1149
YPK, y3033
YPA, YPA_1056
YPN, YPN_2852
YPM, YP_1011
YPP, YPDSF_2548
YPZ, YPZ3_1041
YPS, YPTB1180
YPI, YpsIP31758_2846(pgl)
YPY, YPK_2933
YPB, YPTS_1259
YEN, YE2909
YEP, YE105_C1370
SFL, SF0888(ybhE)
SFX, S0935(ybhE)
SFV, SFV_0750(ybhE)
SSN, SSON_0741(ybhE)
SBO, SBO_0654(ybhE)
SBC, SbBS512_E2591(pgl)
SDY, SDY_2011(ybhE)
ECA, ECA1403 ECA3507
PCT, PC1_1280 PC1_3325
PWA, Pecwa_3051 Pecwa_3481
ETA, ETA_22700(pgl)
EPY, EpC_24030(pgl)
EAM, EAMY_1202(ybhE)
EAY, EAM_1206(pgl)
EBI, EbC_13330(pgl) EbC_22410(pgl)
PLU, plu1480
PAY, PAU_02942(pgl)
BUC, BU293(ybhE)
BAS, BUsg282(ybhE)
BAB, bbp274(ybhE)
BCC, BCc_179(pgl)
BAP, BUAP5A_288(ybhE)
BAU, BUAPTUC7_289(ybhE)
SGL, SG0900
ENT, Ent638_1258
ENC, ECL_02970
ESC, Entcl_3062
EAE, EAE_14340
ESA, ESA_02577
CTU, CTU_13670(pgl)
KPN, KPN_00781(ybhE)
KPE, KPK_3798(pgl)
KPU, KP1_1725(ybhE)
KVA, Kvar_3606
CKO, CKO_02368
CRO, ROD_07631(pgl)
SPE, Spro_1307
SRS, SerAS12_1275
PMR, PMI0601(pgl)
EIC, NT01EI_1608
ETR, ETAE_1450
BFL, Bfl341(ybhE)
BPN, BPEN_351(ybhE)
BVA, BVAF_343(pgl)
HDE, HDEF_1256(pgl)
DDA, Dd703_1181
DDC, Dd586_1224
DDD, Dda3937_00845 Dda3937_03939(ybhE)
DZE, Dd1591_2830 Dd1591_2878
XNE, XNC1_1437(ybhE)
PAM, PANA_1211(pgl)
PVA, Pvag_0586(ybhE) Pvag_1824
PAO, Pat9b_1158 Pat9b_1869 Pat9b_4398
RAH, Rahaq_3108
MEN, MEPCIT_104(pgl)
HIN, HI0556(devB)
HIT, NTHI0685(devB)
HIP, CGSHiEE_00195
HIQ, CGSHiGG_06060
HIF, HIBPF17710
HIL, HICON_08620
HDU, HD0836(pgl)
HAP, HAPS_0837(devB)
HSO, HS_1652(pgl)
HSM, HSM_1814
PMU, PM1550(devB)
MSU, MS0015(nagB)
APL, APL_1310(pgl)
APJ, APJL_1323(nagB1)
APA, APP7_1361
ASU, Asuc_0228
AAP, NT05HA_2092
AAT, D11S_0517
GAN, UMN179_01650
XFA, XF1063
XFT, PD0344(pgl)
XFM, Xfasm12_0372
XFN, XfasM23_0336
XCC, XCC2138(pgl)
XCB, XC_1975
XCA, xccb100_2040(pgl)
XCV, XCV2235(pgl)
XAC, XAC2069(pgl)
XOO, XOO2316(pgl)
XOM, XOO_2193
XOP, PXO_00610(pgl)
XAL, XALc_1832(pgl)
SML, Smlt1791(pgl)
SMT, Smal_1529
PSU, Psesu_1290
VCH, VCA0897
VCO, VC0395_0340(pgl)
VCM, VCM66_A0857(devB)
VCJ, VCD_000434
VVU, VV1_2683
VVY, VV1606
VVM, VVM_03168
VPA, VP1709
VHA, VIBHAR_02428 VIBHAR_06344
VSP, VS_0726 VS_1305
VEX, VEA_001405 VEA_003324
VFI, VF_A0469
VFM, VFMJ11_A0519(pgl)
VSA, VSAL_II0686(pgl)
PPR, PBPRA1443
VAN, VAA_01353 VAA_01360
PAE, PA3182(pgl)
PAU, PA14_23080(pgl)
PAP, PSPA7_1948
PAG, PLES_18861(pgl)
PPU, PP_1023(pgl)
PPF, Pput_1061
PPG, PputGB1_1021
PPW, PputW619_1581 PputW619_4201
PPT, PPS_1052
PST, PSPTO_1301(pgl) PSPTO_2765
PSB, Psyr_1121 Psyr_2494
PSP, PSPPH_1189(pgl) PSPPH_2651
PFL, PFL_4609(pgl)
PFO, Pfl01_4362
PFS, PFLU4256 PFLU4837
PEN, PSEEN4404(pgl)
PMY, Pmen_3142
PMK, MDS_3421
PSA, PST_2328 PST_3496
PSZ, PSTAB_2208 PSTAB_3468
PBA, PSEBR_a1220
PFV, Psefu_0877 Psefu_2070
CJA, CJA_1351(pgl)
CGA, Celgi_1647
AVN, Avin_15710(pgl-1) Avin_17640(pgl-2)
SON, SO_2488(pgl)
SDN, Sden_2078
SFR, Sfri_1893
SAZ, Sama_1811
SBL, Sbal_2240
SBM, Shew185_2131
SBN, Sbal195_2176
SBP, Sbal223_2253
SLO, Shew_2047
SPC, Sputcn32_1867
SSE, Ssed_2071
SPL, Spea_2334
SHE, Shewmr4_2045
SHM, Shewmr7_1930
SHN, Shewana3_2150
SHW, Sputw3181_2141
SHL, Shal_1950
SWD, Swoo_2538
SWP, swp_2391
SVO, SVI_2316(pgl)
CPS, CPS_2282(pgl)
PHA, PSHAa1141(agaI)
PAT, Patl_0971
PSM, PSM_A1886(agaI)
SDE, Sde_1446
MAQ, Maqu_1833
AMC, MADE_1011700
ALT, ambt_05820
GAG, Glaag_3437
PIN, Ping_2753
FBL, Fbal_1964
LPN, lpg0417(pgl)
LPF, lpl0460(pgl)
LPP, lpp0484(pgl)
LPC, LPC_2926(pgl)
LPA, lpa_00652(pgl)
LLO, LLO_2806(pgl)
MCA, MCA0024(pgl-1) MCA2970(pgl-2)
MMT, Metme_2911
TCX, Tcr_1213
NOC, Noc_1348
NHL, Nhal_3051
NWA, Nwat_1221
ALV, Alvin_0460
TGR, Tgr7_2720
HNA, Hneap_1278
HCH, HCH_00348
CSA, Csal_2740
HEL, HELO_3636(pgl)
AHA, AHA_3055
DNO, DNO_1222(pgl)
AFE, Lferr_2455
AFR, AFE_2833(pgl)
BCI, BCI_0244(pgl)
NMA, NMA1608
NME, NMB1391
NMC, NMC1330(pgl)
NMN, NMCC_1306(pgl)
NMI, NMO_1233(pgl)
NGO, NGO0716
NGK, NGK_1173
NLA, NLA_9270(pgl)
CVI, CV_0146(pgl)
LHK, LHK_01339
RSO, RSp1558(pgl)
RSL, RPSI07_mp1662(pgl)
RPI, Rpic_4866
RPF, Rpic12D_3789
REU, Reut_B4086 Reut_B5328
REH, H16_B2565(pgl)
RME, Rmet_5800
CTI, RALTA_B2295(pgl)
CNC, CNE_2c24750(pgl)
BMA, BMA2131(pgl)
BMV, BMASAVP1_A0779(pgl)
BML, BMA10229_A2613(pgl)
BMN, BMA10247_2001(pgl)
BPS, BPSL2613(pgl)
BPM, BURPS1710b_3089(pgl)
BPL, BURPS1106A_3054(pgl)
BPD, BURPS668_3000(pgl)
BPR, GBP346_A3191(pgl)
BTE, BTH_I1551(pgl)
BVI, Bcep1808_0882 Bcep1808_2255
BUR, Bcep18194_A4069 Bcep18194_A5499
BCN, Bcen_0487 Bcen_5660 Bcen_5895
BCH, Bcen2424_0966 Bcen2424_2182 Bcen2424_6025
BCM, Bcenmc03_0927 Bcenmc03_2199 Bcenmc03_2345
BCJ, BCAL2263 BCAL3043(pgl)
BAM, Bamb_0826 Bamb_6126
BAC, BamMC406_0838 BamMC406_2099 BamMC406_2241 BamMC406_5886
BMU, Bmul_0955 Bmul_1090 Bmul_2432
BMJ, BMULJ_00801(pgl) BMULJ_02167(ybhE)
BXE, Bxe_A3453 Bxe_C0539
BPH, Bphy_0626 Bphy_2090 Bphy_6529
BPY, Bphyt_1026 Bphyt_1242
BGL, bglu_1g08050 bglu_2g05570
BUG, BC1001_0784
BGE, BC1002_0741 BC1002_0870
BGF, BC1003_0885
BGD, bgla_1g08710 bgla_2g07070 bgla_2g11760
AXY, AXYL_01810
VAP, Vapar_1718
VPE, Varpa_1889
HSE, Hsero_3149
TIN, Tint_1099
NEU, NE1691
NET, Neut_0430
NIT, NAL212_0733
NII, Nit79A3_0547
NMU, Nmul_A1628
DAR, Daro_2071
TBD, Tbd_2121
MFA, Mfla_0919 Mfla_1063
MMB, Mmol_1526
MEH, M301_1114
MEI, Msip34_1095
MEP, MPQ_1150(nagB)
SLT, Slit_0393
GCA, Galf_1906
HPY, HP1102
HPJ, jhp1028
HPA, HPAG1_1040
HPS, HPSH_05660
HPG, HPG27_1043
HPP, HPP12_1067
HPB, HELPY_1071(pgl)
HPL, HPB8_402(devB)
HPC, HPPC_05350
HPM, HPSJM_05440
HAC, Hac_0440(pgl)
HMS, HMU04970(pgl)
HFE, HFELIS_04940(pgl)
HBI, HBZC1_13380
CJD, JJD26997_1269(pgl)
ANT, Arnit_0215
GME, Gmet_2618
PCA, Pcar_0923
PPD, Ppro_2251
DVU, DVU2313(pgl)
DVL, Dvul_0945
DVM, DvMF_3178
DDE, Dde_1324
DDS, Ddes_1131
DMA, DMR_05540(pgl)
DAS, Daes_0533
DBA, Dbac_1157
DRT, Dret_2488
DAK, DaAHT2_0984
DAL, Dalk_3006
ADE, Adeh_1440
ACP, A2cp1_2507
AFW, Anae109_0599
ANK, AnaeK_2420
MXA, MXAN_0952(pgl)
MFU, LILAB_03915
SUR, STAUR_5260 STAUR_7040(pgl)
SCL, sce4353(pgl)
HOH, Hoch_4432
DBR, Deba_0222
MLO, mll6514
MCI, Mesci_2404 Mesci_5264
MOP, Mesop_2540 Mesop_5888
MES, Meso_0158
SME, SMc03069(pgl)
SMK, Sinme_0396
SMD, Smed_0299
RHI, NGR_c03180
ATU, Atu0599(pgl)
ARA, Arad_0943(pgl) Arad_9705
AVI, Avi_0797(pgl)
AGR, AGROH133_04042(pgl)
RET, RHE_CH00703(pgl)
REC, RHECIAT_CH0000784(pgl)
RLE, RL0752(pgl)
RLT, Rleg2_0362
RLG, Rleg_0394
LAS, CLIBASIA_01960
LSO, CKC_02750
BME, BMEII0512
BMI, BMEA_B0757(pgl)
BMF, BAB2_0459(pgl)
BMB, BruAb2_0453
BMC, BAbS19_II04340
BMS, BRA0779(pgl)
BMT, BSUIS_B0771(pgl)
BOV, BOV_A0729(pgl)
BCS, BCAN_B0791(pgl)
BMR, BMI_II772(pgl)
OAN, Oant_3957
BJA, blr0368 blr6761
BRA, BRADO5790 BRADO5812
BBT, BBta_6297 BBta_6318
RPA, RPA3637(pgl)
RPB, RPB_1889
RPC, RPC_3673
RPD, RPD_3477
RPE, RPE_3711
RPT, Rpal_4158
RPX, Rpdx1_1714
NWI, Nwi_2644
NHA, Nham_3272
OCA, OCAR_5067(pgl)
BHE, BH03920(pgl)
BQU, BQ02940(pgl)
BTR, Btr_0600(pgl)
BGR, Bgr_04220(pgl)
BCD, BARCL_0237(pgl)
XAU, Xaut_1251
AZC, AZC_2620 AZC_3630
SNO, Snov_3399
MEX, Mext_4827
MEA, Mex_1p1866(pgl) Mex_1p5284(pgl)
MDI, METDI5884(pgl)
MRD, Mrad2831_2308
MET, M446_6709
MPO, Mpop_5372
MCH, Mchl_5294
MNO, Mnod_7448
BID, Bind_0456
MSL, Msil_1794
RVA, Rvan_3106
CCR, CC_2056
CCS, CCNA_02135(pgl)
CAK, Caul_1439
CSE, Cseg_1374
PZU, PHZ_c3253(pgl)
BSB, Bresu_1036
AEX, Astex_1953
SIL, SPO2047(pgl)
SIT, TM1040_1330
RSP, RSP_2735(pgl)
RSH, Rsph17029_1393
RSQ, Rsph17025_1777
RSK, RSKD131_1058
RCP, RCAP_rcc02407(pgl)
JAN, Jann_1970
RDE, RD1_2721(pgl)
RLI, RLO149_c018310(pgl)
PDE, Pden_1951
DSH, Dshi_1683
KVU, EIO_1651
MMR, Mmar10_2641
HNE, HNE_1739(pgl)
HBA, Hbal_1357 Hbal_2614
ZMO, ZMO1478
ZMN, Za10_1721
ZMP, Zymop_1614
NAR, Saro_1894
NPP, PP1Y_AT8223
SWI, Swit_2888
SJP, SJA_C1-20830(pgl)
SCH, Sphch_1083
ELI, ELI_09925
GOX, GOX1707
GBE, GbCGDNIH1_0851
ACR, Acry_1273
AMV, ACMV_13130(pgl)
GDI, GDI_0291(pgl)
GDJ, Gdia_2354
APT, APA01_23150
APB, SAR116_1987
MGM, Mmc1_1586 Mmc1_3705
BSU, BSU13010(ykgB)
BSS, BSUW23_06665(ykgB)
BSN, BSn5_18530
BAN, BA_3427
BAR, GBAA_3427
BAT, BAS3176
BAH, BAMEG_1200
BAI, BAA_3461
BAL, BACI_c33290
BCE, BC3368
BCA, BCE_3406
BCZ, BCZK3077
BCR, BCAH187_A3408
BCB, BCB4264_A3383
BCU, BCAH820_3396
BCG, BCG9842_B1848
BCQ, BCQ_3182
BCX, BCA_3463
BCY, Bcer98_2410
BTK, BT9727_3160
BTL, BALH_3045
BTB, BMB171_C3058
BWE, BcerKBAB4_3101 BcerKBAB4_3511
BLI, BL02413(ykgB)
BLD, BLi04142(ykgB)
BAY, RBAM_012860(ykgB)
BAO, BAMF_1389(ykgB)
BAE, BATR1942_04190
BCL, ABC0768
BPU, BPUM_2474
BMQ, BMQ_0309
BMD, BMD_0305
BCO, Bcell_3702
BCK, BCO26_0536
OIH, OB1355
LMO, lmo0558
LMF, LMOf2365_0587
LMH, LMHCC_2073
LMC, Lm4b_00584
LMN, LM5578_0586
LMY, LM5923_0585
LIN, lin0567
LWE, lwe0524
LSG, lse_0466
PJD, Pjdr2_5187
GYM, GYMC10_0639 GYMC10_4026
PPY, PPE_00469 PPE_02033
PPM, PPSC2_c2269
PMS, KNP414_07173
LLA, L11851(ywcC)
LLK, LLKF_2397(ywcC)
LLC, LACR_2456
LLM, llmg_2431
SPN, SP_1506
SPD, SPD_1333
SPR, spr1358
SPW, SPCG_1490
SPX, SPG_1428
SNE, SPN23F_14700
SPV, SPH_1617
SNM, SP70585_1543
SJJ, SPJ_1406
SPP, SPP_1525
SNT, SPT_1442
SNC, HMPREF0837_11739
SNB, SP670_0792
SNP, SPAP_1528
SSA, SSA_0891
SSU, SSU05_1497
SSV, SSU98_1507
SSB, SSUBM407_1392
SSI, SSU1315
SSS, SSUSC84_1345
SST, SSUST3_1356
SGO, SGO_1422
SUB, SUB1117
SMB, smi_1304(ybhE)
SOR, SOR_1119
STK, STP_0969
SCP, HMPREF0833_10833
LPL, lp_2219
LPJ, JDM1_1856
LPS, LPST_C1834
LJO, LJ0828
LJF, FI9785_1375
LAC, LBA0651
LAI, LAC30SC_03270
LSA, LSA0470
LSL, LSL_1142
LDB, Ldb0588
LBU, LBUL_0524
LDE, LDBND_0531
LBR, LVIS_1877
LCA, LSEI_0908
LCB, LCABL_10210(ywcC)
LCZ, LCAZH_0850
LGA, LGAS_1349
LRE, Lreu_0578
LRF, LAR_0562
LRU, HMPREF0538_21821
LHE, lhv_0700
LFE, LAF_0563
LRH, LGG_00871(ykgB)
LRL, LC705_00921(ykgB)
LCR, LCRIS_00663(pgl)
LAM, LA2_03375
LBH, Lbuc_1995
LKE, WANG_0996
PPE, PEPE_1198
EFA, EF1918
MPS, MPTP_0891
OOE, OEOE_1157
LME, LEUM_0656
LCI, LCK_00757 LCK_01081
LKI, LKI_09245
LGS, LEGAS_0815(pgl)
LEC, LGMK_02870
AUR, HMPREF9243_1271
CRN, CAR_c17210(ykgB)
WKO, WKK_05535
CAE, SMB_G0087(ykgB)
CBK, CLL_A2914
CBT, CLH_2656
CBE, Cbei_1278
CPY, Cphy_1746
CSH, Closa_3894
CCB, Clocel_0474
CLS, CXIVA_21810
AMT, Amet_3470
VPR, Vpar_1447
EEL, EUBELI_01332
BPB, bpr_I1331
EHA, Ethha_2689
SAY, TPY_1047(pgl)
ERH, ERH_0398(pgl)
ACL, ACL_0240
MTU, Rv1445c(devB)
MTC, MT1492
MRA, MRA_1454(devB)
MTF, TBFG_11473
MTB, TBMG_02536(TBMG_02536.1)
MBO, Mb1480c(devB)
MBB, BCG_1506c(devB)
MBT, JTY_1481(devB)
MAF, MAF_14670(devB)
MLE, ML0579(pgl)
MLB, MLBr_00579(pgl)
MPA, MAP1174c(devB)
MAV, MAV_3331(pgl)
MSM, MSMEG_3099(pgl)
MUL, MUL_1840(devB)
MVA, Mvan_2716
MGI, Mflv_3696
MAB, MAB_2763
MMC, Mmcs_2410
MKM, Mkms_2456
MJL, Mjls_2450
MSP, Mspyr1_30390
MJD, JDM601_2271(devB)
MMI, MMAR_2250(devB)
ASD, AS9A_1893(devB)
CGL, NCgl1516(cgl1578)
CGB, cg1780(devB)
CGT, cgR_1628
CEF, CE1698
CDI, DIP1306
CJK, jk0996(pgl)
CUR, cur_0995
CAR, cauri_1204(pgl)
CKP, ckrop_0963(pgl)
CPU, cpfrc_01105(devB)
CRD, CRES_1077(pgl)
CUL, CULC22_01217(devB)
NFA, nfa35770
RHA, RHA1_ro07182(pgl)
RER, RER_30410(pgl)
ROP, ROP_69630(pgl)
REQ, REQ_22120
GBR, Gbro_2370
TPR, Tpau_2526
SRT, Srot_0463
SCO, SCO1939(SCC22.21)
SMA, SAV_6311(pgl)
SGR, SGR_5584
SCB, SCAB_69881(pgl)
TWH, TWT308(devB)
TWS, TW464(pgl)
LXX, Lxx11570(pgl)
CMI, CMM_1739(pglA)
CMS, CMS_1983(pgl)
MTS, MTES_3656
ART, Arth_2092
AAU, AAur_2092(pgl)
ACH, Achl_1833
AAI, AARI_18920(pgl)
APN, Asphe3_18110
RSA, RSal33209_2251
KRH, KRH_12140(pgl)
RMU, RMDY18_10970
RDN, HMPREF0733_11882(pgl)
BCV, Bcav_2165
JDE, Jden_1260
KSE, Ksed_13160
XCE, Xcel_1553
IVA, Isova_1492
SKE, Sked_19980
CFL, Cfla_1938
CFI, Celf_1869
ICA, Intca_1689
PAC, PPA1565
PAK, HMPREF0675_4632(pgl)
PFR, PFREUD_01590 PFREUD_15080(devB)
MPH, MLP_14230(pgl)
NCA, Noca_2536
KFL, Kfla_3267 Kfla_6217
TFU, Tfu_2007
NDA, Ndas_2978
TCU, Tcur_2208
SRO, Sros_6018
FRA, Francci3_1645
FRE, Franean1_2071
FRI, FraEuI1c_4867
FAL, FRAAL4578(devB)
FSY, FsymDg_1704
ACE, Acel_1122
NML, Namu_1974 Namu_2257
GOB, Gobs_2053
KRA, Krad_2926
SEN, SACE_2155(devB)
SVI, Svir_15930
TBI, Tbis_1985
AMD, AMED_2804(pgl)
PDX, Psed_3411
AMI, Amir_5191
STP, Strop_3094
SAQ, Sare_3321
MAU, Micau_4332
MIL, ML5_3971
VMA, VAB18032_25995
CAI, Caci_2242
SNA, Snas_2417
BLO, BL0443
BLJ, BLD_1243(magB)
BLN, Blon_0208
BLF, BLIF_0172
BLL, BLJ_0211
BLB, BBMN68_1187(magB)
BLM, BLLJ_0191
BAD, BAD_0629
BLA, BLA_1008
BLC, Balac_1040
BLT, Balat_1040
BDE, BDP_0848(pgl)
BBI, BBIF_1445(pgl)
BBP, BBPR_1498(pgl)
GVA, HMPREF0424_0183(pgl)
GVG, HMPREF0421_21328(pgl)
RXY, Rxyl_0053
CWO, Cwoe_4692
AFO, Afer_0901
EYY, EGYY_17250
CTR, CT186(devB)
CTA, CTA_0204(devB)
CTB, CTL0438(devB)
CTL, CTLon_0433(devB)
CTO, CTL2C_36(pgl)
CTJ, JALI_1801(devB)
CTZ, CTB_1801(devB)
CMU, TC0458
CPN, CPn0239(devB)
CPA, CP0523
CPJ, CPj0239(devB)
CPT, CpB0245
CCA, CCA00539(pgl)
CAB, CAB525(pgl)
CFE, CF0469(devB)
CPM, G5S_0901(pgl)
CHP, CPSIT_0583(pgl)
PCU, pc0819(devB)
PUV, PUV_16330(pgl)
WCH, wcw_1134(pgl)
SNG, SNE_A09510(pgl)
BBU, BB0222
BBZ, BbuZS7_0227
BGA, BG0225(pgl)
BAF, BAPKO_0230(pgl)
BTU, BT0222
BHR, BH0222
BDU, BDU_223(pgl)
BRE, BRE_222(pgl)
TPA, TP0477
TPP, TPASS_0477
TAZ, TREAZ_2399
TPL, TPCCA_0477
SSM, Spirs_1427
STA, STHERM_c04800
SBU, SpiBuddy_1323 SpiBuddy_1566
LIL, LA_1621(nagB)
LIC, LIC12161(nagB)
LBJ, LBJ_1140(nagB)
LBL, LBL_1194(nagB)
LBI, LEPBI_I0403
LBF, LBF_0390
ABA, Acid345_2814
ACA, ACP_2281(pgl)
ACM, AciX9_0438
TSA, AciPR4_0516
SUS, Acid_5279
BTH, BT_1220
BFR, BF1855
BFS, BF1921(pgl)
BVU, BVU_2797
BHL, Bache_2718
PAH, Poras_0491
PDI, BDI_0648
PPN, Palpr_1001 Palpr_2271
OSP, Odosp_1837
SRU, SRU_0864(pgl)
SRM, SRM_01048(nagB)
RMR, Rmar_2299
CPI, Cpin_0750 Cpin_1482
PHE, Phep_1674
PSN, Pedsa_1694 Pedsa_2851
SHG, Sph21_4278
HHY, Halhy_2650 Halhy_3669
DFE, Dfer_3105 Dfer_5183
SLI, Slin_2698 Slin_5727
LBY, Lbys_2877
RSI, Runsl_2242
