ACECITLY-CPLX			citrate lyase	citrate lyase, active, acetyl-citrate lyase
ACEF-LIPOATE	EG10025		AceF-lipoate	B0115, AceF
ACP-MONOMER	EG50003		holo-[acyl-carrier protein]	AcpM, B1094, AcpP, acyl carrier protein, ACP-SH, ACP
ADENYLYL-GS	EG10383		adenylyl-[glutamine synthetase]	B3870, GlnA, adenylyl-[L-glutamate:ammonia Ligase (ADP-forming)], adenylyl-GS
BCCP-BIOTIN-CO2	EG10275		carboxybiotin-carboxyl-carrier protein	B3255, FabE, AccB, BCCP-biotin-CO<SUB>2</SUB>
CHMTACMBARK-MONOMER	G-83		CH<SUB>3</SUB>-MtaC-cob(I)amide	MtaC
CPD-7010			(1,4-&alpha;-D-glucosyl)<sub>n</sub>-glucosyl glucogenin	
CPLX-2			corrinoid/iron-sulfur protein, methylated	corrinoid/Fe-S protein, methylated, E[Co]-CH<SUB>3</SUB>]
CPLX-246			lactyl-CoA dehydratase	lactyl-CoA dehydratase, active form
CPLX-8138			factor Xa	
CPLX0-2			oxidized flavorubredoxin	
DSBCOX-MONOMER	EG11070		DsbC<SUB>oxidized</SUB>	B2893, XprA, DsbC
DSBGOXI-MONOMER	G6333		DsbG<SUB>oxidized</SUB>	B0604, DsbG
ENTB-CPLX			Escherichia coli  EntB protein	holo-EntB
ENTF-PANT	EG10264			B0586, EntF, holo-serine activating enzyme
Factor-XIIa			a factor XIIa	activated factor XII
GLUTAREDOXIN-MONOMER	EG10417	P00277	oxidized glutaredoxin 1	Grx, B0849, Grx1, GrxA, glutaredoxin oxidized, protein-disulfide reductase (glutathione), glutathione:protein-disulfide oxidoreductase
ISOCITHASE-P			isocitrate dehydrogenase-P	[isocitrate dehydrogenase (NADP+)]-phosphate, isocitrate dehydrogenase phosphate
KETOBUTFORMLY-MONOMER	G7627		2-ketobutyrate formate-lyase / pyruvate formate-lyase 4	B3114, YhaS, TdcE, PFL4
MONOMER-12929		P11183	H-protein-(lipoyl)lysine	H-protein, hydrogen carrier protein
MONOMER-13713	G-1544		sucrose:fructan 6-fructosyltransferase 49 kDa subunit	
MONOMER-13714	G-1544		sucrose:fructan 6-fructosyltransferase 23 kDa subunit	
MONOMER-13922	G-10624		Bacillus subtilis holo-DhbF protein	DhbF
MONOMER-14629	G-11194		histidine decarboxylase cleavage product &alpha; chain	HdcA
MONOMER-14630	G-11194		histidine decarboxylase cleavage product &beta; chain	HdcA
MONOMER-14636	G-11199		L-histidine decarboxylase C-terminally truncated subunit	
MONOMER-14901	ENSG00000100141		phosphatidylserine decarboxylase alpha chain	
MONOMER-14902	ENSG00000100141		phosphatidylserine decarboxylase beta subunit	
MONOMER-14919			plasmin large subunit	
MONOMER-14920			plasmin small subunit	
MONOMER-15205	VC0771		<i>Vibrio cholerae</i> <i>holo</i>-VibB protein monomer	VibB
MONOMER-15206	VC1579		<i>Vibrio cholerae holo</i>-VibF protein	VibF
MONOMER-15276	G-11696		myeloperoxidase heavy chain	
MONOMER-15277	G-11696		myeloperoxidase light chain	
MONOMER-15388	HS03265		dipeptidyl-peptidase 1 light chain	
MONOMER-15389	HS03265		dipeptidyl-peptidase 1 heavy chain	
MONOMER-15390	HS03265		dipeptidyl-peptidase 1 exclusion domain chain	
MONOMER-15585	G-11959		diphtheria toxin fragment A	Tox
MONOMER-15586	G-11959		diphtheria toxin fragment B	Tox
MONOMER-15588	G-11960		N-terminal fragment	ToxA
MONOMER-15589	G-11960		C-terminal fragment	ToxA
MONOMER-15777	HS10616		heparanase 8 kDa subunit	
MONOMER-15778	HS10616		heparanase 50 kDa subunit	
MONOMER-15792	HS00286		iduronate 2-sulfatase 42 kDa chain	
MONOMER-15793	HS00286		iduronate 2-sulfatase 14 kDa chain	
MONOMER-15794	HS06046		<i>N</i>-acetylglucosamine-6-sulfatase 32 kDa chain	<i>N</i>-acetylglucosamine-6-sulfatase form B
MONOMER-15795	HS06046		<i>N</i>-acetylglucosamine-6-sulfatase 48 kDa chain	
MONOMER-15816	HS00629		&beta;-hexosaminidase subunit &beta; chain A	
MONOMER-15817	HS00629		&beta;-hexosaminidase subunit &beta; chain B	
MONOMER-15854	HS05000		factor X heavy chain	
MONOMER-15855	HS05000		factor X light chain	
MONOMER-15872	HS01565	P08253	type IV collagenase	
MONOMER-15873	HS08338		ADAMTS-4 endopeptidase	
MONOMER0-1761	EG10562		MalT-MalK	MalA, B3418, MalT
MONOMER0-1842	EG11747		PanD &alpha; cleavage product	B0131, PanD
MONOMER0-1843	EG11747		PanD &beta; cleavage product	B0131, PanD
MONOMER0-2	EG12407		&alpha; cleavage product of IaaA	B0828, Spt, IaaA, YbiK
MONOMER0-2811	EG10873		50S ribosomal subunit protein L7	B3986, RplL
MONOMER0-2863			oxidized ribonucleoside-triphosphate reductase	
MONOMER0-3	EG12407		&beta; cleavage product of IaaA	B0828, Spt, IaaA, YbiK
MONOMER0-4142	EG11393		DsbB<sub>oxidised</sub>	B1185, RosB, IarB, DsbX, RoxB, YcgA, DsbB
MONOMER0-4152	EG11297		DsbA<sub>oxidised</sub>	B3860, PpfA, IarA, Dsf, DsbA
MONOMER0-4195	EG10374		&gamma;-glutamyltranspeptidase, small subunit	
MONOMER0-4196	EG10374		&gamma;-glutamyltranspeptidase, large subunit	
OX-FERREDOXIN	EG11328		oxidized ferredoxin	B2525, Fdx
OX-THIOREDOXIN2-MONOMER	EG11887		oxidized thioredoxin 2	B2582, YfiG, TrxC
OXIDIZED-PUTIDAREDOXIN	G-2562		oxidized putidaredoxin	CamB
PGLYCEROLTRANSII-MONOMER	EG12591		phosphoglycerol transferase II	B4359, YjjO, MdoB
PHOSPHASERDECARB-ALPHA-MONOMER	EG10775		phosphatidylserine decarboxylase, &alpha; subunit	B4160, Psd
PHOSPHASERDECARB-BETA-MONOMER	EG10775		phosphatidylserine decarboxylase, &beta; subunit	B4160, Psd
