Pathway Genes Missing,taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG Organism ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,1.2.7.1,4.1.3.24,1.1.1.82,4.1.1.1,6.2.1.9,1.1.1.37
2,644736387,Bacteria,Finished,Methylobacterium extorquens DM4,Methylobacterium extorquens DM4,644736387,661410,61617,16093,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,extorquens,DM4,Genoscope,zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc01065,Free living,zzz,zzz,"Singles, Pairs",Rod-shaped,None,Methylotroph,C1,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,zzz,"Methanol production, Biotechnological",zzz,Nonsporulating,Mesophile,zzz,11489,3,zzz,4164002,0.68,5117137,6123851,5829,5741,98.49,88,15,5,5,zzz,5,zzz,58,15,480,8.23,2653,45.51,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3191,54.74,2458,42.17,92,1.58,1390,23.85,1308,22.44,5391,92.49,1281,21.98,4395,474,9,0.15,5732,98.34,510,8.75,5231,89.74,3791,65.04,1671,28.67,4012,68.83,1506,25.84,1846,782,1958,1145,4329,74.27,1094,18.77,644,11.05,1307,22.42,4434,76.07,2171,37.24,3570,61.25,805,13.81,4936,84.68,369,6.33,80,1.37,114,1.96,5650,96.93,759,mdi,False,False,False,False,False,True,True,True,False,True,False,False,True,True
3,637000012,Bacteria,Finished,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum EbN1,637000012,76114,58231,13242,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,sp.,EbN1,"Max Planck Institute, Max-Planck Institute",Max Planck Society,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00232,Free living,zzz,zzz,Singles,Rod-shaped,None,Diazotroph,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,"Hydrocarbons metabolizer, Nitrate reducer, Denitrifying",Facultative,Facultative,zzz,"Bioremediation, Biotechnological, Agricultural",zzz,zzz,Mesophile,zzz,10454,3,5,3058421,0.65,4290096,4727255,4686,4599,98.14,87,12,4,4,zzz,4,zzz,58,17,414,8.83,2080,44.39,zzz,zzz,zzz,zzz,zzz,zzz,14,zzz,2676,57.11,1773,37.84,150,3.2,874,18.65,870,18.57,4214,89.93,845,18.03,3515,294,405,8.64,4194,89.5,4594,98.04,5,0.11,3121,66.6,1306,27.87,3343,71.34,1386,29.58,1717,696,1820,1138,3621,77.27,1124,23.99,467,9.97,1206,25.74,3393,72.41,2110,45.03,2489,53.12,817,17.43,3782,80.71,1004,21.43,374,7.98,310,6.62,4638,98.98,298,eba,True,False,False,False,True,False,False,False,True,False,False,False,False,True
3,637000089,Bacteria,Finished,Dehalococcoides ethenogenes 195,Dehalococcoides ethenogenes 195,637000089,243164,57763,214,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,ethenogenes,195,J. Craig Venter Institute,DOE,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00246,Free living,zzz,zzz,Singles,zzz,None,Chemolithotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,Dechlorinates Tetrachloroethene,Anaerobe,Anaerobe,zzz,"Environmental, Ecological, Biotechnological, Bioremediation",zzz,Nonsporulating,Mesophile,zzz,10439,1,zzz,717962,0.49,1327393,1469720,1647,1590,96.54,57,3,1,1,zzz,1,zzz,46,8,143,8.68,671,40.74,10,0.61,zzz,zzz,zzz,zzz,zzz,zzz,1070,64.97,457,27.75,63,3.83,203,12.33,345,20.95,1508,91.56,317,19.25,1274,118,240,14.57,1350,81.97,1580,95.93,10,0.61,1119,67.94,557,33.82,1158,70.31,611,37.1,840,404,943,556,1238,75.17,453,27.5,143,8.68,529,32.12,1061,64.42,821,49.85,769,46.69,329,19.98,1261,76.56,450,27.32,164,9.96,159,9.65,1626,98.72,77,det,False,False,False,True,False,False,False,False,True,False,False,False,False,True
3,646311936,Bacteria,Finished,"Hydrogenobacter thermophilus TK-6, DSM 6534",Hydrogenobacter thermophilus TK-6,646311936,608538,45927,34131,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,thermophilus,TK-6,Univ of Tokyo,zzz,2010-02-26,Yes,IMG/W 3.1,zzz,zzz,Gc01207,Free living,zzz,zzz,zzz,zzz,None,Chemolithoautotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,zzz,Hydrogen oxidizer,Aerobe,Aerobe,zzz,Comparative analysis,zzz,zzz,Thermophile,zzz,14738,1,2,766984,0.44,1669712,1743135,1941,1893,97.53,48,3,1,1,zzz,1,zzz,44,1,152,7.83,962,49.56,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1349,69.5,543,27.98,1,0.05,288,14.84,385,19.84,1837,94.64,175,9.02,1682,77,4,0.21,1889,97.32,zzz,zzz,1893,97.53,1430,73.67,702,36.17,1489,76.71,771,39.72,1084,509,1177,732,1609,82.9,615,31.68,210,10.82,665,34.26,1228,63.27,1081,55.69,812,41.83,467,24.06,1426,73.47,383,19.73,143,7.37,103,5.31,1941,100,32,hth,False,False,False,False,False,False,False,False,True,False,False,False,False,True
3,637000131,Bacteria,Finished,"Helicobacter hepaticus 3B1, ATCC 51449","Helicobacter hepaticus 3B1, ATCC 51449",637000131,235279,57737,185,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,hepaticus,ATCC 51449,"GeneData, MIT, MWG-Biotech, Univ of Wuerzburg","PathoGenoMik, NIH",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00139,Free living,Gastrointestinal tract,Intestinal tract,Singles,Spiral-shaped,"Gastric bowel disease, Liver cancer, Hepatitis, Hepatic inflammation",,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,Pathogen,"Medical, Mice Pathogen, Animal Pathogen",zzz,Nonsporulating,Mesophile,zzz,10547,1,zzz,646456,0.36,1681823,1799146,1919,1875,97.71,44,3,1,1,zzz,1,zzz,37,4,109,5.68,667,34.76,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,772,40.23,1019,53.1,84,4.38,320,16.68,442,23.03,1765,91.97,99,5.16,1639,43,316,16.47,1559,81.24,1871,97.5,4,0.21,1249,65.09,584,30.43,1292,67.33,674,35.12,1050,445,1140,681,1428,74.41,554,28.87,216,11.26,652,33.98,1223,63.73,1019,53.1,856,44.61,418,21.78,1457,75.92,470,24.49,220,11.46,141,7.35,1916,99.84,50,hhe,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2,644736386,Bacteria,Finished,Methylobacterium extorquens AM1,Methylobacterium extorquens AM1,644736386,272630,57605,20,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,extorquens,AM1,Univ of Washington,zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc01036,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,None,Methylotroph,C1,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Aerobe,Aerobe,zzz,"Biotechnological, Methanol production",zzz,Nonsporulating,Mesophile,zzz,11488,5,zzz,4711578,0.68,5582778,6879778,6294,6216,98.76,78,15,5,5,zzz,5,zzz,63,zzz,456,7.24,2722,43.25,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3087,49.05,2986,47.44,143,2.27,1534,24.37,1353,21.5,5626,89.39,1183,18.8,4677,467,zzz,zzz,6216,98.76,478,7.59,5738,91.17,3775,59.98,1676,26.63,4023,63.92,1550,24.63,1851,788,1981,1173,4398,69.88,1139,18.1,634,10.07,1317,20.92,4899,77.84,2228,35.4,3988,63.36,814,12.93,5402,85.83,357,5.67,86,1.37,118,1.87,6108,97.04,790,mea,False,False,False,False,False,True,True,True,False,True,False,False,True,True
3,648028041,Archaea,Finished,Methanothermobacter marburgensis Marburg DSM 2133,Methanothermobacter marburgensis Marburg DSM 2133,648028041,79929,51637,40103,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,marburgensis,str. Marburg,Georg-August-University Goettingen|Goettingen Genomics Laboratory,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01359,Free living,zzz,zzz,zzz,zzz,None,"Autotroph, Lithoautotroph, Lithotroph",Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Nonmotile,Methanogen,Obligate anaerobe,Anaerobe,zzz,"Biotechnological, Energy production",zzz,Nonsporulating,Thermophile,zzz,17257,2,1,797286,0.49,1499549,1639135,1806,1757,97.29,49,8,3,2,zzz,2,zzz,40,1,97,5.37,605,33.5,zzz,zzz,zzz,zzz,zzz,zzz,1,zzz,1207,66.83,526,29.13,24,1.33,342,18.94,375,20.76,1707,94.52,182,10.08,1519,84,87,4.82,1670,92.47,21,1.16,1736,96.12,1415,78.35,635,35.16,1423,78.79,611,33.83,1085,484,1067,584,1510,83.61,512,28.35,142,7.86,572,31.67,1185,65.61,965,53.43,792,43.85,375,20.76,1382,76.52,480,26.58,178,9.86,140,7.75,1803,99.83,63,mmg,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2,639633056,Bacteria,Finished,Roseobacter denitrificans OCh 114,Roseobacter denitrificans OCh 114,639633056,375451,58597,16426,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,denitrificans,OCh 114,"Arizona State Univ, TGen",NSF,2007-01-28,Yes,IMG/W 2.1,zzz,zzz,Gc00448,zzz,zzz,zzz,zzz,Rod-shaped,None,"Phototroph, Photosynthetic",Inorganic,zzz,zzz,zzz,zzz,zzz,zzz,Gram-,Plants,zzz,Motile,zzz,Aerobe,Aerobe,Non-Pathogen,"Environmental, Biotechnological",zzz,zzz,Mesophile,zzz,10237,5,zzz,2550232,0.59,3871475,4331234,4201,4146,98.69,55,3,1,1,zzz,1,zzz,38,14,346,8.24,2086,49.65,17,0.4,zzz,zzz,zzz,zzz,zzz,zzz,2803,66.72,1212,28.85,131,3.12,917,21.83,951,22.64,4012,95.5,457,10.88,3588,178,338,8.05,3808,90.65,2766,65.84,1380,32.85,3076,73.22,1431,34.06,3284,78.17,1208,28.76,1738,740,1810,1046,3536,84.17,1191,28.35,699,16.64,1407,33.49,2739,65.2,2284,54.37,1862,44.32,901,21.45,3245,77.24,951,22.64,321,7.64,296,7.05,4134,98.41,262,rde,False,False,False,False,False,True,True,True,False,True,False,False,True,True
3,638154507,Archaea,Finished,Methanopyrus kandleri AV19,Methanopyrus kandleri AV19,638154507,190192,57883,294,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,kandleri,AV19,Fidelity Systems Inc,"DOE, NIH",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00080,Free living,zzz,zzz,zzz,Rod-shaped,None,Lithotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,zzz,Methanogen,Anaerobe,Anaerobe,zzz,"Environmental, Energy production, Carbon cycle, Biotechnological",zzz,Nonsporulating,Hyperthermophile,zzz,10606,1,4,1036629,0.61,1518064,1694969,1767,1727,97.74,40,3,1,1,zzz,1,zzz,35,2,61,3.45,506,28.64,17,0.96,zzz,zzz,21,1,85,5,1684,95.3,42,2.38,1,0.06,162,9.17,289,16.36,1574,89.08,122,6.9,1425,52,123,6.96,1604,90.78,1683,95.25,44,2.49,1250,70.74,542,30.67,1223,69.21,512,28.98,1023,434,962,514,1354,76.63,443,25.07,91,5.15,493,27.9,1234,69.84,857,48.5,870,49.24,334,18.9,1393,78.83,527,29.82,186,10.53,160,9.05,1718,97.23,115,mka,False,False,False,False,False,False,False,False,True,False,False,False,False,True
3,643692029,Bacteria,Finished,Nautilia profundicola Am-H,Nautilia profundicola Am-H,643692029,598659,59345,32573,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,profundicola,AmH,"J. Craig Venter Institute, Univ of Delaware",zzz,2009-06-09,Yes,IMG/W 2.9,zzz,zzz,Gc00958,Free living,zzz,zzz,zzz,Rod-shaped,None,Chemoautotroph,Inorganic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Alvinella pompejana,zzz,Motile,"Hydrogen oxidizer, Sulfur reducer",Obligate anaerobe,Anaerobe,zzz,"Carbon cycle, Environmental, Biotechnological",zzz,zzz,Thermophile,zzz,11571,1,zzz,561735,0.34,1580126,1676444,1788,1730,96.76,58,12,4,4,zzz,4,zzz,46,zzz,119,6.66,853,47.71,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1312,73.38,412,23.04,6,0.34,273,15.27,408,22.82,1680,93.96,98,5.48,1583,44,138,7.72,1592,89.04,zzz,zzz,1730,96.76,1341,75,623,34.84,1379,77.13,736,41.16,1041,458,1113,692,1504,84.12,596,33.33,246,13.76,690,38.59,1040,58.17,1056,59.06,674,37.7,437,24.44,1293,72.32,341,19.07,126,7.05,116,6.49,1787,99.94,46,nam,True,False,False,False,True,False,False,False,True,False,False,False,False,True
