Species, Gene
ECO, b1101(ptsG)
ECJ, JW1087(ptsG)
ECD, ECDH10B_1173(ptsG)
EBW, BWG_0949(ptsG)
ECE, Z1740(ptsG)
ECS, ECs1479
ECF, ECH74115_1480(ptsG)
ETW, ECSP_1402(ptsG)
EOJ, ECO26_1434(ptsG)
EOI, ECO111_1378(ptsG)
EOH, ECO103_1146(ptsG)
ECG, E2348C_1193(ptsG)
EOK, G2583_1361
ECC, c1373(ptsG) c4758
ECP, ECP_1093 ECP_4028
ECI, UTI89_C1228 UTI89_C4399
ECV, APECO1_182(ptsG) APECO1_2642
ECX, EcHS_A1223(ptsG)
ECW, EcE24377A_1222(ptsG)
ECM, EcSMS35_2026(ptsG)
ECY, ECSE_1165
ECR, ECIAI1_1137(ptsG)
ECQ, ECED1_1244(ptsG)
ECK, EC55989_1213(ptsG)
ECT, ECIAI39_2060(ptsG)
EUM, ECUMN_1279(ptsG)
ECZ, ECS88_1115(ptsG)
ECL, EcolC_2500
EBR, ECB_01097(ptsG)
EBD, ECBD_2500
EFE, EFER_1826(ptsG)
STY, STY1242(ptsG)
STT, t1717(ptsG)
STM, STM1203(ptsG) STM2758
SPT, SPA1648(ptsG)
SEK, SSPA1532
SPQ, SPAB_02319
SEI, SPC_2543(ptsG)
SEC, SC1153(ptsG)
SEH, SeHA_C1317(ptsG)
SEE, SNSL254_A1302(ptsG)
SEW, SeSA_A1279(ptsG)
SEA, SeAg_B1982(ptsG)
SED, SeD_A2166(ptsG)
SEG, SG1919(ptsG)
SET, SEN1846(ptsG)
SES, SARI_01788
YPE, YPO0851 YPO1608(ptsG)
YPK, y1767(ptsG) y3236
YPA, YPA_0419 YPA_1917
YPN, YPN_2021 YPN_3053
YPM, YP_2246(ptsG)
YPP, YPDSF_1839
YPG, YpAngola_A3355 YpAngola_A3490(ptsG)
YPZ, YPZ3_0862 YPZ3_2081(ptsG)
YPS, YPTB2463(ptsG)
YPI, YpsIP31758_0919 YpsIP31758_1586(ptsG)
YPY, YPK_0974 YPK_1694
YPB, YPTS_2551 YPTS_3218
YEN, YE1643(glcA)
SFL, SF1105(ptsG)
SFX, S1185(ptsG)
SFV, SFV_1121(ptsG)
SSN, SSON_1121(ptsG)
SBO, SBO_1962(ptsG)
SBC, SbBS512_E2223(ptsG)
SDY, SDY_2049(ptsG)
ECA, ECA1805(ptsG) ECA3180
PCT, PC1_2495 PC1_2963
PWA, Pecwa_2799
ETA, ETA_20140(ptsG)
EPY, EpC_21400(ptsG)
EAM, EAMY_1482(ptsG)
EAY, EAM_1466(ptsG)
EBI, EbC_16630
BUC, BU356(ptsG)
BAS, BUsg344(ptsG)
