Pathway Genes Missing,taxon_oid,Domain,Status,Proposal Name,Genome Name,Taxon Object ID,NCBI Taxon ID,RefSeq Project ID,GenBank Project ID,Phylum,Class,Order,Family,Genus,Species,Strain,Sequencing Center,Funding Agency,Add Date,Is Public,IMG Release,IMG Product Assignment,IMG Submission ID,GOLD ID,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Diseases,Energy Source,Energy Category,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Isolation,Specific Ecosystem,Gram Staining,Host Name,Host Gender,Motility,Metabolism,Oxygen Requirement,Broad Oxygen Requirement,Phenotype,Relevance,Salinity,Sporulation,Temperature Range,IMG Sample Id,IMG Project Id,Scaffold Count,CRISPR Count,GC Count,GC %,Coding Base Count,Genome Size,Gene Count,CDS Count,CDS %,RNA Count,rRNA Count,5S rRNA Count,16S rRNA Count,18S rRNA Count,23S rRNA Count,28S rRNA Count,tRNA Count,Other RNA Count,Fused Count,Fused %,Fusion Component Count,Fusion component %,Pseudo Count,Pseudo %,Unchar Count,Unchar %,Obsolete Count,Obsolete %,Revised Count,Revised %,w/ Func Pred Count,w/ Func Pred %,w/o Func Pred Sim Count,w/o Func Pred Sim %,w/o Func Pred No Sim Count,w/o Func Pred No Sim %,Signal Peptide Count,Signal Peptide %,Transmembrane Count,Transmembrane %,Orthologs Count,Orthologs %`,Paralogs Count,Paralogs %,Ortholog Group Count,Paralog Group Count,SwissProt Count,SwissProt %,Not SwissProt Count,Not SwissProt %,SEED Count,SEED %,Not SEED Count,Not SEED %,COG Count,COG %,KOG Count,KOG %,Pfam Count,Pfam %,TIGRfam Count,TIGRfam %,COG Cluster Count,KOG Cluster Count,Pfam Cluster Count,TIGRfam Cluster Count,InterPro Count,InterPro %,Enzyme Count,Enzyme %,TC Count,TC %,KEGG Count,KEGG %,Not KEGG Count,Not KEGG %,KO Count,KO %,Not KO Count,Not KO %,MetaCyc Count,MetaCyc %,Not MetaCyc Count,Not MetaCyc %,IMG Term Count,IMG Term %,IMG Pathwawy Count,IMG Pathway %,IMG Parts List Count,IMG Parts List %,Chromosomal Cassette Gene Count,Chromosomal Cassette Gene %,Chromosomal Cassette Count,KEGG Organism ID,Has ATP 6PFK,Has Ppi 6PFK,Has ADP 6PFK,Has ATP 1PFK,Has Any 6PFK,Has EDD,Has EDA,Has ED Genes,4.1.3.24,2.3.3.8,4.2.1.3,1.1.1.37,4.1.3.6,1.1.1.82,6.2.1.9,4.1.3.1,4.1.3.34
1,640069335,Bacteria,Finished,Yersinia enterocolitica enterocolitica 8081,Yersinia enterocolitica enterocolitica 8081,640069335,393305,57741,190,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,enterocolitica,subsp. enterocolitica 8081,"Institut Pasteur, Sanger Institute, St. Bartholomew's Hospital",Beowulf Genomics,2007-04-13,Yes,IMG/W 2.2,zzz,zzz,Gc00481,Free living,zzz,zzz,Singles,Rod-shaped,"Gastroenteritis, Food poisoning",Heterotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Aerobe,Aerobe,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10204,2,zzz,2211728,0.47,3950632,4683620,4303,4135,96.1,168,22,8,7,zzz,7,zzz,82,64,400,9.3,1946,45.22,84,1.95,zzz,zzz,1,zzz,zzz,zzz,2889,67.14,1229,28.56,17,0.4,842,19.57,1033,24.01,4098,95.24,689,16.01,3635,257,730,16.96,3405,79.13,3193,74.2,942,21.89,3313,76.99,1291,30,3651,84.85,1647,38.28,2095,708,2230,1443,3829,88.98,1211,28.14,807,18.75,1440,33.47,2695,62.63,2669,62.03,1466,34.07,829,19.27,3306,76.83,1167,27.12,404,9.39,338,7.85,4092,95.1,623,yen,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,644736365,Bacteria,Finished,Escherichia coli O17:K52:H18 UMN026,Escherichia coli O17:K52:H18 UMN026,644736365,585056,62981,33415,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,UMN026,Genoscope,zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc00921,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,Urinary infection,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,Female,Motile,zzz,Facultative,Facultative,"Pathogen, Highly Virulent","Medical, Human Pathogen",zzz,Nonsporulating,Mesophile,zzz,11308,3,3,2714237,0.51,4729221,5358200,5211,5017,96.28,194,22,8,7,zzz,7,zzz,88,84,453,8.69,2336,44.83,zzz,zzz,zzz,zzz,zzz,zzz,2,zzz,3696,70.93,1313,25.2,8,0.15,1037,19.9,1172,22.49,4986,95.68,1081,20.74,4300,426,zzz,zzz,5017,96.28,2596,49.82,2421,46.46,3890,74.65,1473,28.27,4331,83.11,1875,35.98,2196,753,2451,1548,4571,87.72,1397,26.81,880,16.89,1558,29.9,3459,66.38,3067,58.86,1950,37.42,936,17.96,4081,78.32,1056,20.26,314,6.03,330,6.33,5131,98.46,466,eum,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,644736345,Bacteria,Finished,Corynebacterium efficiens YS-314,Corynebacterium efficiens YS-314,644736345,196164,62905,305,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,efficiens,YS-314,"Ajinomoto Co., Inc, NITE",zzz,2009-10-13,Yes,IMG/W 3.0,zzz,zzz,Gc00140,Free living,zzz,zzz,Singles,Rod-shaped,None,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,zzz,zzz,Nonmotile,zzz,Facultative,Facultative,zzz,"Amino acids production, Biotechnological",zzz,Nonsporulating,Mesophile,zzz,10546,3,1,2027445,0.63,2918839,3219505,3064,2994,97.72,70,15,5,5,zzz,5,zzz,55,zzz,187,6.1,1209,39.46,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1462,47.72,1506,49.15,26,0.85,590,19.26,753,24.58,2871,93.7,370,12.08,2514,121,409,13.35,2585,84.37,2942,96.02,52,1.7,2078,67.82,1015,33.13,2233,72.88,894,29.18,1309,612,1437,828,2396,78.2,799,26.08,357,11.65,862,28.13,2132,69.58,1438,46.93,1556,50.78,592,19.32,2402,78.39,693,22.62,298,9.73,205,6.69,3028,98.83,228,cef,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True
1,637000168,Bacteria,Finished,Mycobacterium avium paratuberculosis K-10,Mycobacterium avium paratuberculosis K-10,637000168,262316,57699,91,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,avium,subsp. paratuberculosis K-10,Univ of Minnesota,"USDA, Univ of Minnesota Agriculural Experiment Station",2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00169,Free living,Gastrointestinal tract,zzz,Singles,Rod-shaped,"Enteritis, Johne's disease, Paratuberculosis",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,Bovine,zzz,Nonmotile,zzz,Aerobe,Aerobe,Pathogen,"Animal Pathogen, Cattle Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10517,1,zzz,3346971,0.69,4421960,4829781,4415,4350,98.53,65,3,1,1,zzz,1,zzz,46,16,439,9.94,2615,59.23,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,1336,30.26,3012,68.22,2,0.05,961,21.77,708,16.04,4268,96.67,928,21.02,3423,320,441,9.99,3909,88.54,4346,98.44,4,0.09,3188,72.21,1731,39.21,3544,80.27,1175,26.61,1433,720,1561,906,3838,86.93,1118,25.32,370,8.38,1235,27.97,3115,70.55,1982,44.89,2368,53.64,878,19.89,3472,78.64,833,18.87,331,7.5,287,6.5,4383,99.28,264,mpa,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True
0,648028006,Bacteria,Finished,Amycolatopsis mediterranei U32,Amycolatopsis mediterranei U32,648028006,749927,50565,46889,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,mediterranei,U32,Chinese National Human Genome Center at Shanghai,zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01317,zzz,zzz,zzz,zzz,zzz,zzz,,,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,,,zzz,"Biotechnological, Antibiotic production, Pharmaceutical",zzz,zzz,zzz,zzz,16974,1,2,7298040,0.71,9142111,10236715,9292,9228,99.31,64,12,4,4,zzz,4,zzz,52,zzz,365,3.93,4387,47.21,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,6431,69.21,2515,27.07,282,3.03,3019,32.49,2118,22.79,8762,94.3,2652,28.54,5977,941,2,0.02,9226,99.29,21,0.23,9207,99.09,6213,66.86,3007,32.36,7051,75.88,1782,19.18,1799,875,2011,1111,7717,83.05,1537,16.54,881,9.48,1676,18.04,7552,81.27,2773,29.84,6455,69.47,1135,12.21,8093,87.1,218,2.35,64,0.69,76,0.82,9158,98.56,743,amd,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True
1,640427143,Bacteria,Finished,Shigella sonnei Ss046,Shigella sonnei Ss046,640427143,300269,58217,13151,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,sonnei,Ss046,Microbial Genome Center of ChMPH,MOST,2007-06-28,Yes,IMG/W 2.3,zzz,zzz,Gc00323,Free living,zzz,zzz,"Pairs, Singles",Rod-shaped,"Dysenteria, Food poisoning",Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Human Pathogen, Medical",zzz,Nonsporulating,Mesophile,zzz,10363,5,1,2566408,0.51,4102077,5055316,4841,4641,95.87,200,22,8,7,zzz,7,zzz,98,80,400,8.26,1993,41.17,166,3.43,zzz,zzz,zzz,zzz,zzz,zzz,3324,68.66,1316,27.18,1,0.02,784,16.2,586,12.1,4623,95.5,1310,27.06,3603,318,831,17.17,3810,78.7,4007,82.77,634,13.1,3760,77.67,1349,27.87,4218,87.13,1666,34.41,2066,734,2283,1446,4424,91.39,1268,26.19,714,14.75,1380,28.51,3261,67.36,2763,57.07,1878,38.79,849,17.54,3792,78.33,1182,24.42,396,8.18,327,6.75,4443,91.78,612,ssn,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000115,Bacteria,Finished,Frankia alni ACN14a,Frankia alni ACN14a,637000115,326424,58695,17403,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,alni,ACN14a,Genoscope,zzz,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00412,Symbiotic,zzz,zzz,zzz,Filament-shaped,None,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Symbiotic,zzz,Gram+,Alnus viridis subsp. crispa ,zzz,Nonmotile,Nitrogen fixation,Aerobe,Aerobe,Non-Pathogen,Biotechnological,zzz,Sporulating,Mesophile,zzz,10274,1,5,5460602,0.73,6471726,7497934,6795,6723,98.94,72,6,2,2,zzz,2,zzz,46,20,638,9.39,3402,50.07,12,0.18,zzz,zzz,zzz,zzz,12,zzz,3349,49.29,3155,46.43,219,3.22,1269,18.68,1133,16.67,5889,86.67,1251,18.41,4416,461,204,3,6519,95.94,3030,44.59,3693,54.35,4004,58.93,2140,31.49,4409,64.89,1278,18.81,1551,767,1691,954,4929,72.54,1362,20.04,568,8.36,1394,20.52,5329,78.43,2238,32.94,4485,66,973,14.32,5750,84.62,1056,15.54,338,4.97,401,5.9,6592,97.01,864,fal,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True
1,642555152,Bacteria,Finished,Rhizobium etli CIAT 652,Rhizobium etli CIAT 652,642555152,491916,59115,28021,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,etli,CIAT 652,UNAM,zzz,2008-09-20,Yes,IMG/W 2.7,zzz,zzz,Gc00823,Symbiotic,Plant-root,zzz,Singles,Rod-shaped,None,,,zzz,zzz,zzz,zzz,Symbiotic,zzz,Gram-,Phaseolus vulgaris,zzz,Motile,Nitrogen fixation,Aerobe,Aerobe,zzz,"Agricultural, Root Nodulating Bacteria (RNB), Biotechnological",zzz,Nonsporulating,Mesophile,zzz,13551,4,zzz,3953287,0.61,5551015,6448048,6116,6056,99.02,60,9,3,3,zzz,3,zzz,51,zzz,535,8.75,3158,51.64,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,4059,66.37,1916,31.33,81,1.32,1212,19.82,1353,22.12,5873,96.03,1232,20.14,4903,452,309,5.05,5747,93.97,1099,17.97,4957,81.05,4574,74.79,1948,31.85,4746,77.6,1518,24.82,2050,788,2039,1160,5084,83.13,1428,23.35,995,16.27,1799,29.41,4257,69.6,2982,48.76,3074,50.26,1035,16.92,5021,82.1,1227,20.06,280,4.58,409,6.69,5995,98.02,537,rec,False,True,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True
1,637000033,Bacteria,Finished,Bordetella parapertussis 12822,Bordetella parapertussis 12822,637000033,257311,57615,25,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,parapertussis,12822,"Sanger Institute, Univ of Cambridge",Beowulf Genomics,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00147,Free living,zzz,zzz,zzz,Rod-shaped,Respiratory infection,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Obligate aerobe,Aerobe,Pathogen,"Animal Pathogen, Medical, Human Pathogen",zzz,zzz,Mesophile,zzz,10539,1,zzz,3250786,0.68,4148254,4773551,4447,4368,98.22,79,9,3,3,zzz,3,zzz,54,16,488,10.97,2754,61.93,183,4.12,zzz,zzz,zzz,zzz,zzz,zzz,2836,63.77,1530,34.41,2,0.04,1169,26.29,1009,22.69,4321,97.17,1076,24.2,3353,321,492,11.06,3876,87.16,4187,94.15,181,4.07,3654,82.17,1625,36.54,3912,87.97,1333,29.98,1746,733,1822,1094,4126,92.78,1211,27.23,986,22.17,1521,34.2,2847,64.02,2460,55.32,1908,42.91,917,20.62,3451,77.6,1201,27.01,377,8.48,429,9.65,4220,94.9,342,bpa,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
1,637000034,Bacteria,Finished,Bordetella pertussis Tohama I,Bordetella pertussis Tohama I,637000034,257313,57617,26,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,pertussis,Tohama I,"Sanger Institute, Univ of Cambridge",Beowulf Genomics,2006-10-02,Yes,IMG/W 2.0,zzz,zzz,Gc00146,Free living,zzz,zzz,zzz,Rod-shaped,Respiratory infection,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,Homo sapiens,zzz,Motile,zzz,Aerobe,Aerobe,Pathogen,"Medical, Human Pathogen strictly",zzz,zzz,Mesophile,zzz,10540,1,zzz,2767191,0.68,3392616,4086189,3833,3761,98.12,72,9,3,3,zzz,3,zzz,51,12,565,14.74,2221,57.94,325,8.48,zzz,zzz,zzz,zzz,zzz,zzz,2460,64.18,1289,33.63,12,0.31,906,23.64,822,21.45,3704,96.63,890,23.22,2873,209,500,13.04,3261,85.08,3469,90.5,292,7.62,2824,73.68,1349,35.19,3354,87.5,1164,30.37,1593,697,1710,1019,3565,93.01,1001,26.12,743,19.38,1258,32.82,2503,65.3,2055,53.61,1706,44.51,756,19.72,3005,78.4,1010,26.35,335,8.74,353,9.21,3434,89.59,394,bpe,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
1,643348560,Bacteria,Finished,Klebsiella pneumoniae 342,Klebsiella pneumoniae 342,643348560,507522,59145,28471,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,pneumoniae,342,J. Craig Venter Institute,zzz,2009-02-11,Yes,IMG/W 2.8,zzz,zzz,Gc00841,Symbiotic,zzz,zzz,"Singles, Pairs, Chains",Rod-shaped,zzz,,,zzz,zzz,zzz,zzz,Symbiotic,zzz,Gram-,Zea mays,zzz,Motile,Nitrogen fixation,Facultative,Facultative,zzz,zzz,zzz,zzz,Mesophile,zzz,11430,3,1,3366797,0.57,5209026,5920257,5881,5768,98.08,113,25,9,8,zzz,8,zzz,88,zzz,627,10.66,2943,50.04,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,4437,75.45,1137,19.33,194,3.3,1238,21.05,1090,18.53,5573,94.76,1332,22.65,4644,509,691,11.75,5077,86.33,480,8.16,5288,89.92,4477,76.13,1754,29.82,4806,81.72,1953,33.21,2190,773,2331,1541,5038,85.67,1603,27.26,1107,18.82,1780,30.27,3988,67.81,3322,56.49,2446,41.59,1113,18.93,4655,79.15,1028,17.48,269,4.57,309,5.25,5805,98.71,518,kpe,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
1,648276635,Bacteria,Draft,Corynebacterium resistens DSM 45100,Corynebacterium resistens DSM 45100,648276635,662755,50555,39683,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,resistens,DSM 45100,"IGS, Bielefeld Univ",zzz,2010-10-29,Yes,IMG/W 3.3,zzz,zzz,Gc01861,Free living,Blood,zzz,Singles,Rod-shaped,zzz,Chemoorganotroph,Organic,zzz,zzz,zzz,zzz,Free living,zzz,Gram+,Homo sapiens,zzz,Nonmotile,zzz,Anaerobe,Anaerobe,Catalase positive,Medical,zzz,Nonsporulating,Mesophile,zzz,13620,82,3,1461878,0.57,2258439,2559783,2312,2260,97.75,51,5,2,2,zzz,1,zzz,46,zzz,158,6.83,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3,zzz,1440,62.28,729,31.53,91,3.94,594,25.69,576,24.91,2162,93.51,201,8.69,1952,86,zzz,zzz,2260,97.75,16,0.69,2244,97.06,1568,67.82,857,37.07,1722,74.48,752,32.53,1090,581,1266,727,2072,89.62,597,25.82,284,12.28,660,28.55,1600,69.2,1028,44.46,1232,53.29,436,18.86,1824,78.89,317,13.71,140,6.06,116,5.02,2237,96.76,221,crd,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True
1,646311913,Bacteria,Finished,Citrobacter rodentium ICC168,Citrobacter rodentium ICC168,646311913,637910,43089,34685,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,rodentium,ICC168,"Imperial College, Sanger Institute",zzz,2010-02-26,Yes,IMG/W 3.1,zzz,zzz,Gc01155,Free living,zzz,zzz,zzz,Rod-shaped,Murine colonic hyperplasia,,,zzz,zzz,zzz,zzz,Free living,zzz,Gram-,zzz,zzz,Motile,zzz,Facultative,Facultative,Pathogen,"Animal Pathogen, Medical",zzz,zzz,Mesophile,zzz,11239,4,1,2969878,0.55,4642716,5444283,5078,4913,96.75,165,22,8,7,zzz,7,zzz,86,57,511,10.06,2394,47.14,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,3758,74.01,1150,22.65,5,0.1,994,19.57,1161,22.86,4836,95.23,921,18.14,4173,334,2,0.04,4911,96.71,142,2.8,4771,93.95,3815,75.13,1396,27.49,4176,82.24,1804,35.53,2156,740,2374,1509,4388,86.41,1307,25.74,880,17.33,1511,29.76,3402,66.99,2815,55.44,2098,41.32,907,17.86,4006,78.89,777,15.3,236,4.65,204,4.02,4971,97.89,495,cro,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,True,True
