Species, Gene
HSA, 2539(G6PD)
PTR, 743041(G6PD)
PON, 100449143
MCC, 701137(G6PD)
MMU, 14380(G6pd2) 14381(G6pdx)
RNO, 24377(G6pd)
CFA, 481088(G6PD)
AML, 100469970
BTA, 281179(G6PD)
SSC, 100515002
ECB, 100059734(G6PD)
MDO, 100012365
OAA, 100073461
XLA, 379711(g6pd)
XTR, 550066(g6pd)
DRE, 570579(g6pd)
BFO, BRAFLDRAFT_276753
CIN, 100183819
SPU, 590603
DME, Dmel_CG12529(Zw) Dmel_CG7140
DPO, Dpse_GA11679 Dpse_GA28263
DAN, Dana_GF20421 Dana_GF23498
DER, Dere_GG13190 Dere_GG19245(Dere_Zw)
DPE, Dper_GL18263 Dper_GL25454
DSE, Dsec_GM22102 Dsec_GM22981(Dsec_Zw)
DSI, Dsim_GD12078
DWI, Dwil_GK12143 Dwil_GK20019
DYA, Dyak_GE15864(Dyak_Zw) Dyak_GE19513
DGR, Dgri_GH12489 Dgri_GH17134
DMO, Dmoj_GI11107(Dmoj_G6pd) Dmoj_GI11743
DVI, Dvir_GJ11415 Dvir_GJ15960
AGA, AgaP_AGAP010739 AgaP_AGAP012678
AAG, AaeL_AAEL009507
CQU, CpipJ_CPIJ006761
AME, 725325
NVI, 100115674(Zw)
TCA, 662934(G6pd)
API, 100159375
ISC, IscW_ISCW010043
CEL, B0035.5
CBR, CBG06072
BMY, Bm1_36755
SMM, Smp_052810
NVE, NEMVE_v1g246951
HMG, 100204193
TAD, TRIADDRAFT_24087
ATH, AT1G09420(G6PD4) AT1G24280(G6PD3) AT3G27300(G6PD5) AT5G13110(G6PD2) AT5G35790(G6PD1) AT5G40760(G6PD6)
ALY, ARALYDRAFT_322854(G6PD5) ARALYDRAFT_471034(G6PD4) ARALYDRAFT_493636(G6PD1) ARALYDRAFT_890245(G6PD3) ARALYDRAFT_909263(G6PD2) ARALYDRAFT_916152(G6PD6)
POP, POPTR_554745 POPTR_641721 POPTR_708767 POPTR_736146 POPTR_807677 POPTR_834445
RCU, RCOM_0347870 RCOM_1078990 RCOM_1436130
VVI, 100254253 100254628 100264918 100266583 100267681
OSA, 4329889 4332659 4333103 4336209 4342988
SBI, SORBI_01g037060 SORBI_06g003160
ZMA, 100279290(gpm175) 100284317 100304292 100383421(gpm742) 100383765
PPP, PHYPADRAFT_106065 PHYPADRAFT_110277 PHYPADRAFT_110351 PHYPADRAFT_120050 PHYPADRAFT_179517 PHYPADRAFT_189728 PHYPADRAFT_209102 PHYPADRAFT_225940 PHYPADRAFT_233228
CRE, CHLREDRAFT_119861(GLD1) CHLREDRAFT_173841(GLD2-N)
VCN, VOLCADRAFT_82038
OLU, OSTLU_45668
OTA, Ot05g04760
CME, CMI224C CMR014C
SCE, YNL241C(ZWF1)
AGO, AGOS_ABL206C
KLA, KLLA0D19855g
LTH, KLTH0H00374g
PPA, PAS_chr2-1_0308
VPO, Kpol_1015p12
ZRO, ZYRO0F15686g
CGR, CAGL0J07612g
DHA, DEHA2C10274g
PIC, PICST_85065(ZWF1)
PGU, PGUG_03724
LEL, LELG_00511
CAL, CaO19.12218(ZWF1) CaO19.4754(ZWF1)
CTP, CTRG_03250
CDU, CD36_08460
YLI, YALI0E22649g
CLU, CLUG_01870
NCR, NCU09111
PAN, PODANSg5654
MGR, MGG_09926(MG09926.4)
FGR, FG01279.1
SSL, SS1G_12886
BFU, BC1G_08348
ANI, AN2981.2
AFM, AFUA_3G08470
NFI, NFIA_068650
AOR, AOR_1_2474174(AO090005001427)
ANG, ANI_1_1686024(An02g12140)
AFV, AFLA_086620
ACT, ACLA_036450
PCS, Pc20g03330
CIM, CIMG_07661
CPW, CPC735_042930
URE, UREG_07624
PNO, SNOG_09416
TML, GSTUM_00008696001
SPO, SPAC3A12.18(zwf1) SPAC3C7.13c SPCC794.01c
CNE, CNG03280
CNB, CNBG1480
LBC, LACBIDRAFT_188936
MPR, MPER_06249
CCI, CC1G_00317
SCM, SCHCODRAFT_12537
UMA, UM04930.1
MGL, MGL_3189
ECU, ECU08_1850
MBR, MONBRDRAFT_32291
NGR, NAEGRDRAFT_78375
DDI, DDB_G0273131(g6pd-1) DDB_G0273639(g6pd-2)
PFA, PF14_0511
PFD, PFDG_02252
PFH, PFHG_00656
PYO, PY00793
PCB, PC000399.00.0
PBE, PB001310.02.0
PKN, PKH_125270
PVX, PVX_117790
TAN, TA05220
TPV, TP03_0558
BBO, BBOV_IV001600(21.m02735)
TGO, TGME49_078830 TGME49_094200
TBR, Tb10.70.5200
TCR, 509287.50
LMA, LmjF34.0080
LIF, LinJ34.0080
LBZ, LbrM20_V2.0160
GLA, GL50803_8682
TVA, TVAG_089600 TVAG_414060
TPS, THAPSDRAFT_34514
PIF, PITG_00146
ECO, b1852(zwf)
ECJ, JW1841(zwf)
ECD, ECDH10B_1993(zwf)
EBW, BWG_1666(zwf)
ECE, Z2904(zwf)
ECS, ECs2562
ECF, ECH74115_2587(zwf)
ETW, ECSP_2426(zwf)
EOJ, ECO26_2690(zwf)
EOI, ECO111_2360(zwf)
EOH, ECO103_2042(zwf)
ECG, E2348C_1977(zwf)
EOK, G2583_2304(zwf)
ECC, c2265(zwf)
ECP, ECP_1796
ECI, UTI89_C2055(zwf)
ECV, APECO1_902(zwf)
ECX, EcHS_A1944(zwf)
ECW, EcE24377A_2082(zwf)
ECM, EcSMS35_1335(zwf)
ECY, ECSE_2027
ECR, ECIAI1_1925(zwf)
ECQ, ECED1_2057(zwf)
ECK, EC55989_2030(zwf)
ECT, ECIAI39_1198(zwf)
EUM, ECUMN_2149(zwf)
ECZ, ECS88_1909(zwf)
ECL, EcolC_1780
EBR, ECB_01823(zwf)
EBD, ECBD_1787
EFE, EFER_1221(zwf)
STY, STY2094(zwf)
STT, t0991(zwf)
STM, STM1886(zwf)
SPT, SPA0983(zwf)
SEK, SSPA0917
SPQ, SPAB_01282
SEI, SPC_1830(zwf)
SEC, SC1891(zwf)
SEH, SeHA_C2100(zwf)
SEE, SNSL254_A2045(zwf)
SEW, SeSA_A2040(zwf)
SEA, SeAg_B1238(zwf)
SED, SeD_A1362(zwf)
SEG, SG1166(zwf)
SET, SEN1117(zwf)
SES, SARI_01060
YPE, YPO2066(zwf)
YPK, y2244(zwf)
YPA, YPA_1449
YPN, YPN_1543
YPM, YP_1909(zwf)
YPP, YPDSF_1056
YPG, YpAngola_A2412(zwf)
YPZ, YPZ3_1758(zwf)
YPS, YPTB2049(zwf)
YPI, YpsIP31758_2022(zwf)
YPY, YPK_2134
YPB, YPTS_2109
YEN, YE2383(zwf)
YEP, YE105_C1908
SFX, S1928(zwf)
SFV, SFV_1854(zwf)
SSN, SSON_1296(zwf)
SBO, SBO_1160(zwf)
SBC, SbBS512_E2127(zwf)
SDY, SDY_1138(zwf)
ECA, ECA2479(zwf)
PCT, PC1_1832
PWA, Pecwa_2116
ETA, ETA_14980(zwf)
EPY, EpC_15740(zwf)
EAM, EAMY_2054(zwf)
EAY, EAM_1995(zwf)
EBI, EbC_24960(zwf)
PLU, plu2122(zwf)
PAY, PAU_02443(zwf)
BUC, BU320(zwf)
