Species, Gene
CEL, F26D11.1
SMM, Smp_018500
ATH, AT2G16790
ALY, ARALYDRAFT_674426
POP, POPTR_738338
RCU, RCOM_1324360 RCOM_1324370
VVI, 100264923
SBI, SORBI_10g001210
ZMA, 100382228
PPP, PHYPADRAFT_128786
SCE, YDR248C
AGO, AGOS_ADR164C
KLA, KLLA0D12078g
LTH, KLTH0E11132g
PPA, PAS_chr1-4_0669
VPO, Kpol_1031p68
ZRO, ZYRO0A02750g
CGR, CAGL0K11297g
DHA, DEHA2F08646g
PIC, PICST_83065(GLK2)
PGU, PGUG_01486
LEL, LELG_01042
CAL, CaO19.11995 CaO19.4520
CTP, CTRG_01587
CDU, CD36_18990
YLI, YALI0F07821g
CLU, CLUG_05108
NCR, NCU02702
PAN, PODANSg2062
MGR, MGG_04446(MG04446.4)
FGR, FG01018.1
SSL, SS1G_06687
BFU, BC1G_03364
ANI, AN3641.2
AFM, AFUA_1G00530 AFUA_4G12050
NFI, NFIA_104200
AOR, AOR_1_1790154(AO090003001003)
ACT, ACLA_051060
PCS, Pc22g05190
CIM, CIMG_01633
CPW, CPC735_048430
URE, UREG_05356
TML, GSTUM_00003264001
SPO, SPAC4G9.12
CNE, CNC00400
CNB, CNBC6830
LBC, LACBIDRAFT_314161
CCI, CC1G_02274
SCM, SCHCODRAFT_82703
NGR, NAEGRDRAFT_72955
DDI, DDB_G0284557
TCR, 508177.20 511693.60
LBZ, LbrM28_V2.1170
TVA, TVAG_135240
ECO, b3437(gntK) b4268(idnK)
ECJ, JW3400(gntK) JW4225(idnK)
ECD, ECDH10B_3610(gntK) ECDH10B_4461(idnK)
EBW, BWG_3128(gntK) BWG_3974(idnK)
ECE, Z4805(gntK)
ECS, ECs4286(gntK)
ECF, ECH74115_4753(gntK)
ETW, ECSP_4392(gntK)
EOJ, ECO26_4526(gntK)
EOI, ECO111_4247(gntK)
EOH, ECO103_4159(gntK)
ECG, E2348C_3682(gntK)
EOK, G2583_4139(gntK)
ECC, c4225(gntK) c5369(idnK)
ECP, ECP_3532(gntK)
ECI, UTI89_C3945(gntK) UTI89_C4875(idnK)
ECV, APECO1_2126(idnK) APECO1_3021(gntK)
ECX, EcHS_A3636(gntK) EcHS_A4524(idnK)
ECW, EcE24377A_3915(gntK)
ECM, EcSMS35_3720(gntK) EcSMS35_4749(idnK)
ECY, ECSE_3705(gntK)
ECR, ECIAI1_3582(gntK)
ECQ, ECED1_4111(gntK) ECED1_5122(idnK)
ECK, EC55989_3846(gntK) EC55989_4826(idnK)
ECT, ECIAI39_3919(gntK) ECIAI39_4741(idnK)
EUM, ECUMN_3900(gntK) ECUMN_4800(idnK)
ECZ, ECS88_3834(gntK)
